公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 庫藏股票處分,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應收款（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 遞延借項（增加）減少,　　 舉借長期借款,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 現金增資,　　 取得無形資產,　　 其他金融資產增加,　　 非控制權益變動,　　　　 非金融資產減損迴轉利益,　　 退還（支付）之所得稅,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 呆帳費用提列（轉列收入）數,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　 其他金融資產減少
1472,2016年01月01日至2016年09月30日,,69009,69009,,,25417,182,9123,-228,-76,666,,,,-11622,-24175,-4426,-5783,-2334,,-48243,,23330,41744,17019,3645,,78447,30204,-80408,-11399,228,-9161,-39677,,-27686,149,-15386,,236549,,855788,-993760.0,-10167,55,-118084,-798,77990,99015,177005,177005,-62.0,,159.0,30000.0,,,,,,-54.0,0.0,,,-19345.0,,-110612.0,-7291.0,-3437.0,-142259.0,162053.0,117473.0
1472,2016年01月01日至2016年06月30日,,73889,73889,,,16642,122,6419,-197,57,126,,,,18497,-11869,9731,-4099,-2925,,9296,,10967,29517,8650,-837,,40966,50262,-72747,1142,197,-6520,-24526,,-16029,16,29,,46432,,545365,-560158.0,-7467,55,7795,-597,29104,99015,128119,128119,-187.0,,148.0,30000.0,,,,,,-54.0,-99583.0,,,-19345.0,,-123009.0,-7331.0,-3919.0,-142259.0,162053.0,
1472,2016年01月01日至2016年03月31日,,96605,96605,,,8202,59,3146,-1,-16,-108,,,,2565,14358,3884,-5828,-713,,14059,,-8014,30312,6103,3179,,24179,38238,-91091,5514,1,-3223,-16924,,-7775,16,-5998,,6941,,282556,-307247.0,-4375,0,934,-82,-9131,99015,89884,89884,-294.0,,87.0,30000.0,,,,,,0.0,-14992.0,,,-19216.0,,-129329.0,-7401.0,1749.0,-142360.0,35690.0,
1472,2015年度,,-37196,-37196,,,38506,230,14106,-191,-46725,-113,,,,5705,-10195,27221,2986,1014,,27721,,14165,-14847,-4411,-4687,,-9640,18081,27569,-9627,191,-14339,-25253,,-11598,82961,-799,0.0,3004,,941959,-967650.0,-25228,19451,-1718,688,-23279,122294,99015,99015,,,990.0,,,0.0,,,29750.0,-328.0,-67232.0,,,-1478.0,,9488.0,140.0,3675.0,,,
1472,2015年01月01日至2015年09月30日,,-15776,-15776,,,29245,171,10701,-102,-46324,-299,,,,-21293,-20707,10884,3711,1062,,-25489,,13819,7733,2417,-3511,,20563,-4926,-11534,-27310,102,-10763,-39463,,-9716,72528,-466,0.0,-8191,,779858,-809178.0,-12661,19451,-22530,1090,-69094,122294,53200,53200,57.0,,797.0,,,,,,,-328.0,-70209.0,,0.0,-1492.0,,-6608.0,105.0,,,,
1472,2015年01月01日至2015年06月30日,,-3953,-3953,,,19766,108,7277,-94,-46324,288,,,,11003,-10000,15140,4582,-488,,20785,,-6200,2820,-3220,-3299,,-9832,10953,-8026,-11979,94,-7253,-20630,,-8317,2928,27,0.0,-7225,,471482,-485417.0,-10100,19451,-4584,380,-32059,122294,90235,90235,-5.0,,553.0,,,,,,,-232.0,-1631.0,,0.0,-1492.0,,-18979.0,67.0,,,,
1472,2015年01月01日至2015年03月31日,,-29804,-29804,,,10074,52,3803,0,0,79,,,,19126,-11381,-15311,-19887,-1367,,-28444,,19784,29517,-149,-1937,,47250,18806,32814,3010,0,-3588,-578,,-6461,0,0,0.0,-8155,,300127,-307581.0,-2547,8036,-1965,-241,-10939,122294,111355,111355,75.0,,301.0,,,,,,,-134.0,-1560.0,,,,,14008.0,35.0,,,,
1472,2014年度,,-63941,-63941,,,39977,247,14811,-255,41,-1517,40315.0,,,-13224,29145,40338,-1592,371,,57252,,9987,-47030,-5335,-560,212.0,-42726,14526,54841,-9100,255,-14830,-23696,,-44967,1136,-94,-774.0,-38201,,1102019,-1045665.0,-18275,38920,76999,-930,14172,108122,122294,122294,,0.0,2214.0,0.0,0.0,-12989.0,0.0,,0.0,0.0,6498.0,,,-21.0,,,,,,,
1472,2014年01月01日至2014年09月30日,,-47539,-47539,,,29766,196,10909,-166,92,-1151,26657.0,,,-30987,12387,14324,-2134,-1488,,-6441,,-9431,31512,1681,-3617,159.0,20304,13863,40520,-7019,166,-11000,-17853,,-21290,920,-81,-774.0,-26773,,895530,-826011.0,-25926,12010,55603,-478,10499,108122,118621,118621,-681.0,0.0,2138.0,0.0,0.0,-12989.0,0.0,,0.0,,-5548.0,,,,,,,,,,
1472,2014年01月01日至2014年06月30日,,-36717,-36717,,,19706,145,7009,-129,308,738,14788.0,,,6732,10622,12870,-3919,-3403,,24812,,7446,21919,-9,-4660,96.0,24792,49604,64392,27675,129,-7068,20736,,-13816,702,-6,-774.0,-16869,,568228,-530875.0,-18372,0,18981,-1282,21566,108122,129688,129688,175.0,0.0,1735.0,0.0,,,,,,,-2975.0,,-12989.0,,,,,,,,
1472,2014年01月01日至2014年03月31日,,-18557,-18557,,,9867,83,3379,-29,378,-1396,12282.0,,,16312,6617,-2416,-2299,-1134,,18289,,6208,-10036,-787,-3268,52.0,-7831,10458,22740,4183,29,-3452,760,,-3194,602,-15,-10638.0,-14260,,398030,-397544.0,-9860,0,-9374,-1029,-23903,108122,84219,84219,,,1209.0,,,,,,,,-1015.0,,,,,,,,,,
1472,2013年度,,-107129,-107129,,,49802,251,17584,-227,20844,-556,97012.0,,,25367,-15886,43811,14006,6574,,86681,,-3474,-17442,-3073,-19250,118.0,-43121,43560,140572,33443,227,-17558,16093,,-7310,106476,-343,-5875.0,81349,,1056680,-1180856.0,-52883,187,-71372,-713,25357,82765,108122,108122,,1969.0,10840.0,30000.0,-344.0,9658.0,344.0,,75500.0,-612.0,-11331.0,,,-19.0,,,,,,,
1472,2013年01月01日至2013年12月31日,,-107129,-107129,,,49802,251,17584,-227,20844,-556,97012.0,,,25367,-15886,43811,14006,6555,,86662,,-3474,-17442,-3073,-19250,118.0,-43121,43541,140553,33424,227,-17558,16093,,-7310,106476,-343,-5875.0,81349,,1056680,-1180856.0,-52883,187,-71372,-713,25357,82765,108122,108122,,1969.0,10840.0,30000.0,-344.0,9658.0,344.0,0.0,75500.0,-612.0,-11331.0,0.0,,,,,,,,,
1472,2013年01月01日至2013年09月30日,,-90378,-90378,,,38424,198,13797,-80,21416,37,77108.0,,,-3091,-5066,37229,11918,3304,-17140.0,30069,,-3201,-33207,-1029,-22581,90.0,-59928,-29859,47249,-43129,80,-13583,-56632,,-4389,91281,-360,785.0,87661,,11051,,-41208,187,75530,-955,105604,82765,188369,188369,170.0,-214.0,2959.0,30000.0,-344.0,3660.0,344.0,0.0,75500.0,,,,,,,,,,,,
1472,2013年01月01日至2013年06月30日,,-82839,-82839,,,26838,159,9068,-72,21390,-62,57321.0,,,29292,-28087,16866,11780,-1877,-11477.0,27416,,-4504,-25418,1426,-22319,61.0,-50754,-23338,33983,-48856,72,-8960,-57744,,-5430,59227,-6002,1207.0,49002,,0,-1294.0,-20472,187,8421,-1415,-1736,82765,81029,81029,3676.0,-200.0,7443.0,30000.0,,,,,,,,,,,,,,,,,
1472,2013年01月01日至2013年03月31日,,-36340,-36340,,,13119,120,4353,0,-405,-164,17023.0,,,5012,6315,3800,12297,7319,-10469.0,24274,,-1646,6306,-6618,-23055,-70.0,-25083,-809,16214,-20126,0,-4313,-24439,,-1115,527,-7,2091.0,1496,,25960,0.0,-9836,187,16311,-1996,-8628,82765,74137,74137,,,,,,,,,,,,,,,,,,,,,
