公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款－關係人減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 處分不動產、廠房及設備,　　 其他金融資產減少,　　 其他金融負債減少,　　 發放現金股利,　　　　 其他項目,　　 取得採用權益法之投資,　　 預付設備款減少,　　 非控制權益變動,　　　　 未實現銷貨利益（損失）,　　 存入保證金減少,　　 存入保證金增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 短期借款增加,　　　　 利息費用,　　 支付之利息
2727,2015年01月01日至2015年06月30日,,500154,500154,,,431310,1910,-21281,,25328,138753,-17897,,,,30,14949,,237050,-92903,-7318,,151808,,-5937,3062,-97971,,-68752,-2034,,-179348,-27540,533662,1033816,-78135,954118,,,-456467,-19883,,-7471,0,-29643,26730,-472979,,,-317942,-23268,139929,2558186,2698115,2698115,0.0,610.0,105642.0,,-623075.0,,-92497.0,,,-76.0,,0.0,,561202.0,-7716.0,305133.0,3155.0,-1563.0
2727,2015年01月01日至2015年03月31日,,296294,296294,,,215650,944,-9865,,11619,63730,-13527,,,,30,32074,,227170,-89720,953,,170507,,-2097,-66087,-155331,,-79122,-1066,,-303330,-132823,135690,431984,-46621,385363,,,-191905,-14046,,-1032,0,-39309,10797,-270910,,,309813,-8776,415490,2558186,2973676,2973676,,86.0,56996.0,,,,-92497.0,,,-38.0,0.0,,,268513.0,373.0,309813.0,,
2727,2014年度,,1193026,1193026,,,760417,3769,-33864,,47653,106952,-2770,883052.0,,,22026,18502,,-873422,16719,-19593,,-835768,,-24865,-42654,142262,,424802,-3078,1401.0,497868,-337900,545152,1738178,-353391,1384787,,,-1136841,-61013,0.0,-1115,-133384,-44279,34647,-1402732,,,-941029,32389,-926585,3484771,2558186,2558186,-1260.0,159.0,0.0,,-940929.0,,-60906.0,0.0,0.0,2155.0,,-100.0,,,,,,
2727,2014年01月01日至2014年09月30日,,1069867,1069867,,,620560,2896,-26964,,33730,31137,-5621,756570.0,,,22052,33673,,-304192,-48179,-34764,,-331410,,-21099,-67730,23330,,493441,-1265,1119.0,427796,96386,852956,1922823,-304652,1618171,,,-786885,-51123,0.0,-1055,-159508,-43430,26727,-1028185,,,-940999,3438,-347575,3484771,3137196,3137196,-1260.0,35.0,,,-940929.0,99900.0,-12946.0,,,2192.0,,-70.0,,,,,,
2727,2014年01月01日至2014年06月30日,,753807,753807,,,369281,1941,-17629,,21733,10993,5522,392812.0,,,22045,33807,-18733.0,-129004,-68135,-696,,-160716,,-8823,-78841,-10343,,490181,-681,746.0,392239,231523,624335,1378142,-162873,1215269,,,-361887,-27488,0.0,-641,-123521,-111672,19402,-618744,,,-917099,-18302,-338876,3484771,3145895,3145895,-1260.0,9.0,,,-917129.0,,-12946.0,,,2231.0,,30.0,,,,,,
2727,2014年01月01日至2014年03月31日,,445208,445208,,,177944,967,-8161,,9728,4412,10784,197942.0,,,22056,26732,-992.0,17235,-77037,-19843,0.0,-31849,,-3509,-70870,-141245,,557498,-918,373.0,341329,309480,507422,952630,-17885,934745,,,-161895,-13686,0.0,-473,-155972,-39277,10253,-373996,,,30,-2233,558546,3484771,4043317,4043317,,,,,,,-12946.0,,,2268.0,30.0,,,,,,,
2727,2013年度,,1440690,1440690,,,594492,2729,-36850,,27099,28679,7059,618230.0,,,-7334,6554,,-43773,-128630,-299,,-173482,,-22234,52741,285135,,555030,2056,1044.0,873772,700290,1318520,2759210,-330355,2428855,,,-1367455,-61472,2297.0,-2150,0,0,34183,-1356433,,,-950918,51361,172865,3311906,3484771,3484771,-4978.0,1299.0,56377.0,,-983442.0,,-66278.0,46766.0,32524.0,0.0,,0.0,,,,,,
2727,2013年01月01日至2013年12月31日,,1440690,1440690,,,594492,2729,-36850,0.0,27099,28679,7059,618230.0,,,-7334,6554,-101.0,-43773,-128630,-198,,-173482,,-22234,52741,285135,,555030,2056,1044.0,873772,700290,1318520,2759210,-330355,2428855,,0.0,-1367455,-61472,2297.0,-2150,0,0,34183,-1356433,,0.0,-950918,51361,172865,3311906,3484771,3484771,-4978.0,1299.0,56377.0,0.0,-983442.0,0.0,-66278.0,46766.0,32524.0,,,,,,,,,
2727,2013年01月01日至2013年09月30日,,1229098,1229098,,,410346,1780,-28356,0.0,16657,22466,8215,426863.0,,,-10243,76942,,181591,-59289,-595,,188406,,-24563,5246,84606,,308923,605,783.0,375600,564006,990869,2219967,-299711,1920256,,0.0,-244216,-52500,2297.0,-2150,-219086,-609186,23861,-1100173,,0.0,-983442,39598,-123761,3311906,3188145,3188145,-4978.0,807.0,,0.0,-983442.0,733.0,,,,,,,,,,,,
2727,2013年01月01日至2013年06月30日,,838531,838531,,,262982,938,-20633,0.0,10945,13911,403,263568.0,,,-1870,21939,-518.0,130410,-11444,-456,,138061,,-24125,-13533,33833,,180599,3472,522.0,180768,318829,582397,1420928,-173606,1247322,,0.0,-133170,-42082,2297.0,-1001,-177792,-412897,15468,-748370,,0.0,-928989,48003,-382034,3311906,2929872,2929872,-4978.0,807.0,0.0,0.0,-928989.0,,,,,,,,,,,,,
2727,2013年01月01日至2013年03月31日,,431586,431586,,,124925,311,-9951,0.0,5519,3090,1576,125470.0,,,4667,34967,4206.0,30094,38741,-2293,40.0,110422,,-17039,-76345,-165318,50.0,93137,2410,261.0,-162844,-52422,73048,504634,-18358,486276,,0.0,-9427,-19317,513.0,-409,-146039,-191797,7622,-358854,,0.0,0,32518,159940,3311906,3471846,3471846,,,,,,,,,,,,,,,,,,
2727,2012年01月01日至2012年12月31日,,1472252,1472252,,,438553,2164,-30298,6.0,1554,13865,5956,422290.0,,,-7332,-74400,-4305.0,-93322,106355,-540,,-73544,,-151634,55120,250653,,316745,-9936,1049.0,461997,388453,810743,2282995,-306911,1976084,,266487.0,-937055,-39401,0.0,0,-43845,-13567,27281,-805503,,1975060.0,1241268,-18032,2393817,918089,3311906,3311906,-9410.0,0.0,0.0,-79.0,-733713.0,-100.0,-65403.0,0.0,0.0,,,,,,,,,
2727,2012年01月01日至2012年09月30日,,1148692,1148692,,,323424,1623,-21057,6.0,0,8894,5938,309455.0,,,-10439,-33321,,-96540,92560,-20645,,-68385,,-120298,3962,134712,,166809,-10639,786.0,175332,106947,416402,1565094,-273207,1291887,,69543.0,-246757,-30052,0.0,0,-18315,-442179,18004,-649756,,1975060.0,1237069,-19719,1859481,918089,2777570,2777570,-9273.0,0.0,,-79.0,-737912.0,-100.0,,,,,,,,,,,,
2727,2012年01月01日至2012年06月30日,,695026,695026,,,213844,1082,-13263,6.0,0,8440,9550,210386.0,,,-3786,-9310,-9201.0,-181972,61551,-28263,,-170981,,-67810,-8086,58445,,99808,-9714,524.0,73167,-97814,112572,807598,-156882,650716,,69543.0,-143948,-15660,0.0,0,0,-313955,9521,-383301,,1975060.0,1279037,-13069,1533383,918089,2451472,2451472,-9273.0,0.0,11198.0,-100.0,-695923.0,,,,,,,,,,,,,
2727,2012年01月01日至2012年03月31日,,351643,351643,,,107509,541,-6085,6.0,0,2038,3280,107289.0,,,-7492,14423,-361.0,-144729,1941,-2667,10.0,-138875,,4985,75503,-36505,1200.0,62905,-2145,262.0,106205,-32670,74619,426262,-23108,403154,,69543.0,-52912,-3901,0.0,0,56228,-136581,4701,-62922,,1975060.0,1975060,-15648,2299644,918089,3217733,3217733,,,,,,,,,,,,,,,,,,
