公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 遞延貸項增加（減少）,　　 處分不動產、廠房及設備,　　 處分無形資產,　　 其他非流動資產減少,　　 存出保證金減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 預付投資款增加,　　 存出保證金增加,　　 取得投資性不動產,　　 取得無形資產,　　 支付之利息,　　　　　 應付票據增加（減少）
2424,2015年01月01日至2015年09月30日,,-7147,-7147,,,524,432,-3225,5697,0.0,3428.0,,,-94.0,0.0,249,521.0,-1,-670,33,-269.0,-231,,-12.0,-842,-390,-3.0,-1247,-1478,1950,-5197,1738,-18236.0,-21695,,0,0.0,1240.0,1240,,-6,-6,75,-20386,318632,298246,298246,,,,,,,,,,,,,,,,,,,,
2424,2015年01月01日至2015年06月30日,,-21851,-21851,,,351,288,-2013,3082,0.0,1708.0,,,-187.0,,354,537.0,-5,220,32,31.0,982,,-523.0,-1352,-390,27.0,-2238,-1256,452,-21399,1654,-18227.0,-37972,,0,,,-203086,,-6,-6,-160,-241224,318632,77408,77408,-203086.0,,,,,,,,,,,,,,,,,,,
2424,2015年01月01日至2015年03月31日,,-9817,-9817,,,178,144,-999,1586,0.0,909.0,,,-234.0,,15,403.0,95,594,-23,31.0,881,,-261.0,-1054,-390,12.0,-1693,-812,97,-9720,1146,-114.0,-8688,,0,,,-104178,,-6,-6,-58,-112930,318632,205702,205702,-104178.0,,,,,,,,,,,,,,,,,,,
2424,2014年度,,12180,12180,,,875,577,-3960,7549,-5071.0,,,,,106.0,-301,-398.0,-27,19132,121,-96.0,18537,,176.0,-2002,-3415,,-17971,566,1022,13202,3541,-352.0,16391,,-9921,-85.0,,-110722,,-144,-144,-21,-94496,413128,318632,318632,-100716.0,,0.0,0.0,0.0,486.0,456.0,-12730.0,0.0,0.0,0.0,,,,,,,,,
2424,2014年01月01日至2014年09月30日,,9330,9330,,,691,433,-2831,2494,-5071.0,-4284.0,,,0.0,106.0,185,-208.0,82,19087,179,-52.0,19379,,94.0,-2831,-15742,-14.0,-18493,886,-3398,5932,2062,-204.0,7790,,-9921,-85.0,-327580.0,-337586,,-150,-150,-311,-330257,413128,82871,82871,,,,,,,,,,,,,,,,,,,,
2424,2014年01月01日至2014年06月30日,,5406,5406,,,506,288,-1555,1253,-5071.0,-4579.0,,,106.0,,24,158.0,82,19425,137,-1.0,19931,,1327.0,-2341,-11769,-25.0,-12808,7123,2544,7950,1285,-127.0,9108,,-10290,,,-173886,,-150,-150,-175,-165103,413128,248025,248025,-163596.0,,,,,,,,,,,,,,,,,,,
2424,2014年01月01日至2014年03月31日,,4210,4210,,,302,144,-640,647,-5071.0,-4618.0,,,0.0,,9,-2467.0,89,4823,-861,-71.0,1522,,913.0,-2544,-7834,96.0,-9369,-7847,-12465,-8255,670,-65.0,-7650,,-10290,,,-6860,,0,0,-75,-14585,413128,398543,398543,3430.0,,,,,,,,,,,,,,,,,,,
2424,2013年度,,212250,212250,,,3864,67,-1110,1293,0.0,,,,,-106.0,57,-52.0,-63,177079,4535,-463.0,180987,,-3115.0,417,-9145,,-28240,152747,149681,361931,831,-616.0,362146,,-105276,-1338.0,,-109850,,-1672,-1672,6160,256784,156344,413128,413128,0.0,,7.0,-920.0,521.0,-6788.0,-3066.0,-16397.0,1124.0,-4950.0,590.0,,,,,,,,,
2424,2013年01月01日至2013年12月31日,,212250,212250,,,3864,67,-1110,1293,,,,,,-106.0,57,-52.0,-63,177079,4535,-463.0,180987,,-3115.0,417,-9145,,-28240,152747,149681,361931,831,-616.0,362146,,-105276,-1338.0,,-109850,,-1672,-1672,6160,256784,156344,413128,413128,,,7.0,-920.0,521.0,-6788.0,-3066.0,-16397.0,1124.0,,590.0,0.0,0.0,,,,0.0,-4950.0,,
2424,2013年01月01日至2013年09月30日,,28331,28331,,,3476,19,-706,2351,0.0,,,,,0.0,32,0.0,43,62350,-521,0.0,61904,,3435.0,-530,-7579,,-16756,45148,46578,74909,411,-616.0,74704,,-98244,-1158.0,,-101797,,-85,-85,3933,-23245,156344,133099,133099,0.0,,459.0,-918.0,,-3251.0,1430.0,-12082.0,1105.0,,,0.0,-3383.0,-117.0,,,,,-616.0,
2424,2013年01月01日至2013年06月30日,,28421,28421,,,2680,19,-269,1563,0.0,,,,,0.0,21,0.0,-17,66352,-384,36.0,66008,,-458.0,1755,-2351,,-9201,56807,57393,85814,217,-616.0,85415,,-93858,-119.0,,-97744,,-84,-84,5317,-7096,156344,149248,149248,0.0,,0.0,-156.0,,-3251.0,586.0,-8147.0,279.0,,,,-3422.0,,-624.0,0.0,0.0,,,
2424,2013年01月01日至2013年03月31日,,-1192,-1192,,,1874,12,-221,200,0.0,,,,,,-109,-5184.0,17,-566,1370,0.0,-4472,,5350.0,375,-1504,,216,-4256,-2391,-3583,124,0.0,-3459,,-66617,0.0,0.0,-66617,,-90,-90,3168,-66998,156344,89346,89346,,,,0.0,,,1865.0,-4005.0,,,,,,,,,,,,
2424,2012年01月01日至2012年12月31日,,-31522,-31522,,,7856,45,-2608,0,,,,,,0.0,-3071,1595.0,1759,8982,-114,1018.0,10169,,-9389.0,1023,-12538,,-36437,-26268,-6093,-37615,3056,-50.0,-34609,,-758,-3288.0,,-5170,,-1176,-1176,-3761,-44716,201060,156344,156344,,,4425.0,2686.0,0.0,7771.0,20175.0,-15533.0,3005.0,,0.0,128.0,-3821.0,,,,-436.0,0.0,,
2424,2012年01月01日至2012年09月30日,,-27317,-27317,,,5926,34,-2450,0,,,,,,,-3284,,1770,9315,893,,8694,,-893.0,-1471,-11378,,-25392,-16698,-6017,-33334,2490,,-30883,,0,-3521.0,,-417,,-161,-161,-4699,-36160,201060,164900,164900,,,4425.0,2715.0,,31.0,10681.0,-11650.0,2976.0,,,128.0,0.0,0.0,,,,,-39.0,
2424,2012年01月01日至2012年06月30日,,-22523,-22523,,,4025,23,-2235,0,,,,,,-950.0,-4160,1595.0,1426,3420,-4000,1177.0,-1492,,3155.0,-557,-3649,,-8886,-10378,-6509,-29032,2175,-26.0,-26883,,0,-1024.0,,-42,,-161,-161,-2379,-29465,201060,171595,171595,,,29.0,2628.0,,-601.0,3869.0,-7835.0,3054.0,,,,0.0,,-1756.0,120.0,-436.0,,,
2424,2012年01月01日至2012年03月31日,,-3673,-3673,,,2053,11,-675,0,,,,,,,737,,1492,3164,-207,,5186,,,-1920,-8268,,-9386,-4200,-2042,-5715,1048,,-4667,,0,-161.0,,-161,,-161,-161,-3012,-8001,201060,193059,193059,,,,769.0,,,2158.0,-3904.0,,,,,,,,,,,,4706.0
