公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 發放現金股利,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　 收取之利息,　　 收取之股利,　　 應付短期票券增加,　　　　 處分投資損失（利益）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 存入保證金增加,　　　　　 應付建造合約款增加（減少）,　　 其他非流動資產增加,　　 短期借款減少,　 匯率變動對現金及約當現金之影響,　　 舉借長期借款,　　 存入保證金減少,　　 非控制權益變動,　　 其他非流動資產減少,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　 取得採用權益法之投資,　　 處分無形資產,　　 其他籌資活動,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 預付費用（增加）減少,　　　　 其他項目,　　　　　 其他流動資產（增加）減少,　　　　 金融資產減損損失,　　 取得無活絡市場之債務工具投資,　　 預付投資款增加
2597,2016年01月01日至2016年09月30日,,512630,512630,,,129921,22894.0,4398,,,,,857356,113370,-100177,563720,27347,1245,-107033,,,1356898,,-135103,-391553,,-96933,17570,-21394,-572255,784643,874789,1387419,-13769,-121794,1328012,,-134975,0.0,-26946,,1886.0,-686472,,120000.0,-249873.0,-500000,-824203,-183171,1169920,986749,986749,-621000.0,13653.0,-22894.0,-57725.0,18431.0,57725.0,,,,,-26869.0,7943.0,55158.0,432.0,,-508.0,510000.0,,-91273.0,,-121.0,0.0,20.0,,,,,90146.0,6905.0,0.0,-5835.0,,-500000.0,
2597,2016年01月01日至2016年06月30日,,211771,211771,,,85238,17667.0,4280,,,,,278370,108351,-96412,593746,-41200,-5,-82278,,,746505,,-103683,-383915,,-115552,47171,-21184,-617601,128904,228552,440323,-9231,-70127,377547,,-124226,,-10678,,23614.0,-639380,,30000.0,-189884.0,-500000,-206018,-467593,1169920,702327,702327,,9072.0,-16551.0,,16582.0,,,,,,,3866.0,-40438.0,-1221.0,,258.0,450000.0,,0.0,,-58.0,0.0,0.0,,,,,99648.0,-9521.0,0.0,-4546.0,,-500000.0,-26869.0
2597,2016年01月01日至2016年03月31日,,91613,91613,,,41746,9461.0,4289,,,,,335727,143177,67091,332934,-21002,-2122,-1292,,,830941,,-85271,-300193,,-161538,3721,-19551,-607243,223698,274460,366073,-4611,-720,369162,,-68653,,-4845,,20506.0,-57727,,,-99909.0,-500000,-147612,163632,1169920,1333552,1333552,,4715.0,-9515.0,,8420.0,,,,,,,2297.0,-44411.0,-4735.0,,-191.0,450000.0,,,,66.0,0.0,0.0,,,,,50762.0,-16300.0,,-7272.0,,,
2597,2015年度,,910078,910078,,,172493,11090.0,801,0.0,,,,-791281,295774,342574,213676,298672,-4012,28040,,,456419,,-290187,-672495,,-52550,5648,10643,-723078,-266659,-271130,638948,-25664,-128248,742216,,-100094,459.0,-46053,,223877.0,79343,,,,-1552988,-915624,-95567,1265487,1169920,1169920,-1012500.0,25019.0,-22889.0,-229620.0,27560.0,229620.0,299887.0,,0.0,,0.0,11219.0,275863.0,,-400000.0,-1502.0,1300000.0,,438758.0,1154.0,3428.0,5312.0,80.0,0.0,,,,-4471.0,73372.0,651.0,-396.0,29164.0,,
2597,2015年01月01日至2015年09月30日,,699081,699081,,,130846,6886.0,-94,0.0,,,,87579,256959,39915,164849,236434,-1791,-11690,,,830345,,-469655,-619249,,-130585,6401,10150,-806804,23541,-56444,642637,-20498,-126747,741872,,-62197,319.0,-31316,,156513.0,63200,,,,-1242988,-888025,-82195,1265487,1183292,1183292,-1012500.0,19867.0,-17046.0,-229620.0,16860.0,229620.0,229900.0,,0.0,,0.0,8805.0,396134.0,,-400000.0,758.0,1090000.0,,438758.0,-119.0,3173.0,5272.0,80.0,,,,,-79985.0,58283.0,651.0,-193.0,,,
2597,2015年01月01日至2015年06月30日,,385187,385187,,,88852,4217.0,741,0.0,,,,84982,349711,-97333,146177,123933,-101,12546,,,655609,,-325846,-342071,,-178851,65646,6829,-535341,120268,227045,612232,-14079,-81045,532483,,-44398,,-15555,,119922.0,59834,,,,-90341,40336,631411,1265487,1896898,1896898,,14729.0,-12139.0,,15375.0,,19999.0,,0.0,,0.0,3519.0,238952.0,,0.0,-1242.0,270000.0,,-162841.0,-135.0,4374.0,5323.0,29.0,,,,,106777.0,35307.0,651.0,387.0,,,
2597,2015年01月01日至2015年03月31日,,204549,204549,,,44214,1879.0,-629,0.0,,,,118303,-1002,-361883,-17975,179740,-161,14341,,,-66978,,-305159,-253018,,-221318,43166,5262,-531262,-598240,-542220,-337671,-7227,-677,-338798,,-35538,,-1859,,57259.0,21009,,,-9984.0,-104960,-32599,-350877,1265487,914610,914610,,7156.0,-6134.0,,6777.0,,,,0.0,,,2345.0,199805.0,,0.0,-489.0,80000.0,,,1147.0,4223.0,5283.0,28.0,,0.0,,,56020.0,1659.0,,,,,
2597,2014年度,,1455034,1455034,,,204285,,306,-1115.0,2934.0,,,193800,-305855,85756,1724,-20552,41,28641,14387.0,,-2058,,-517375,345796,,52111,4932,11380,-449955,-452013,-449079,1005955,-36427,-268123,941301,,-215885,12.0,-14973,,142686.0,-332283,,,-169758.0,-564991,-1249549,-639974,1905461,1265487,1265487,-931500.0,36201.0,-40172.0,-196793.0,43103.0,196793.0,,0.0,-133064.0,0.0,-70818.0,3738.0,-346799.0,,-1550000.0,557.0,1300000.0,,671745.0,5249.0,119.0,17.0,86.0,-45819.0,329.0,-8783.0,,,,,,,,
2597,2014年01月01日至2014年09月30日,,1100708,1100708,,,157354,,-188,-1115.0,-44346.0,,,216759,-283728,41765,301570,21595,440,-25252,-26021.0,,247128,,-470423,152958,,-40597,10934,3862,-410306,-163178,-207524,893184,-28603,-261476,832118,,-47410,114.0,-13368,,55984.0,-203109,,,-139777.0,-556194,-1114509,-485385,1905461,1420076,1420076,-931500.0,28616.0,-32220.0,-196793.0,32220.0,196793.0,,,-133064.0,,-70818.0,,-67040.0,,-1230000.0,115.0,1080000.0,,662962.0,5453.0,,,,,,,,,,,,,,
2597,2014年01月01日至2014年06月30日,,569871,569871,,,103742,,-259,-956.0,100242.0,,,206060,-55814,37888,266791,29525,870,-37388,-19148.0,,428784,,-489021,143065,,-140496,36817,4142,115598,544382,644624,1214495,-20629,-168391,1048207,,-34975,52.0,-9099,27481.0,,-215299,,,,-49426,-98718,734020,1905461,2639481,2639481,0.0,20447.0,-22732.0,,22732.0,,122.0,,-133065.0,,-70818.0,,561091.0,5125.0,-980000.0,-170.0,300000.0,-831.0,631417.0,,,,,,,,,,,,,,,
