公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 應收款項增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 應付租賃款增加,　　 應付租賃款減少,　　 支付之利息,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 停業單位稅前淨利（淨損）,　　　　　 遞延貸項增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 應付短期票券增加,　　　　　 其他營業負債增加（減少）,　　 存出保證金減少,　　　　 非金融資產減損迴轉利益,　　　　　 預付費用（增加）減少,　　 處分採用權益法之投資,　　 應收款項減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 其他項目
2329,2015年01月01日至2015年09月30日,,913102,913102,,,886363,22210,2530,26293,147942,-5201,-2510.0,-51338,3294,-37390,4054.0,996247.0,,,-7011,-21.0,531458,-493264,-12750,7187,-2650,-35330,2777,-2239.0,-11843,,9055,-118783,11186.0,-2943,272190,4067.0,174772,162929,1159176,2072278,5290,-15030,2062538,,131150.0,-2146827,643464,-12594,-19020,36775,2510.0,-6441,-1370983,,0,-423529.0,50259,612933,-1085190,0,-1.0,245000.0,640015,-423634,-144999,-22684,-141550,-693380,3506,1681,399711,401392,401392,,,,,,,,,,,,,,,,,
2329,2015年01月01日至2015年06月30日,,621787,621787,,,574960,15226,1550,16880,99417,-3679,,-25734,-1993,-37662,7019.0,645984.0,,,-4451,-21.0,-350249,7329,-1043,-841,53229,-44797,-26932,-612.0,-368388,,37474,-65486,19725.0,-961,261645,1015.0,253412,-114976,531008,1152795,3533,-9772,1146556,,131422.0,-1498310,543729,-10846,-3990,42979,,-7608,-802624,,0,-13403.0,50245,453017,-754740,5,,245000.0,544710,-274123,-98456,-22875,-120831,8549,-533,351948,399711,751659,751659,0.0,0.0,,,,,,,,,,,,,,,
2329,2015年01月01日至2015年03月31日,,288566,288566,,,282768,7363,-72,4832,50266,-1787,,-7720,-1349,-37887,,296414.0,,,-4884,,-16554,14409,-3324,-3401,-108504,-12878,6284,229.0,-128623,,-16575,-134455,7940.0,-1481,139229,2860.0,-2482,-131105,165309,453875,1760,-4428,451207,,131647.0,-395791,5290,-2135,-1324,41800,,1077,-219436,,102590,,615,150000,-269348,0,-454.0,250000.0,1871,-91034,-48785,-2874,-310908,-218327,531,13975,399711,413686,413686,0.0,0.0,,,,,,,,,,,,,,,
2329,2014年度,,1023123,1023123,,,1185358,27828,-24678,-19077,203186,-8619,-2008.0,-31370,-4703,-875,,,,,-466,,-985753,-13641,-1396,-5651,-432536,-32904,-9670,-683.0,-1482700,,35893,1095281,,-292,108905,,1251217,-231483,1093559,2116682,8983,-1912,2123753,,,-2231966,736579,-32639,-20055,-7941,8679.0,0,-1547343,,155508,,-709,680000,-1156245,3388,0.0,,668517,-338527,-202894,4106,-309472,-496328,-2866,77216,322495,399711,399711,0.0,0.0,,1325042.0,11430.0,0.0,0.0,,,,,,,,,,
2329,2014年01月01日至2014年09月30日,,687940,687940,,,866439,20622,-25232,-13115,152509,-6509,-2008.0,-20247,-4037,32,0.0,968454.0,,,-1015,0.0,-713293,-26882,4185,-573,-481051,-47698,-102177,0.0,-1368504,,78199,892999,0.0,109,215936,8441.0,1195684,-172820,795634,1483574,6986,-3438,1487122,,0.0,-1421005,678746,-19658,-15033,-2676,2008.0,0,-777618,,36832,0.0,-108,280000,-700833,1252,0.0,0.0,616790,-247050,-152618,-2630,-482463,-650828,2131,60807,322495,383302,383302,,,,,,,,,,,,,,,,,
2329,2014年01月01日至2014年06月30日,,375758,366473,,,571003,13582,-25528,-22716,101446,-1772,,-12595,-1881,32,0.0,621571.0,,,-896,0.0,-637019,-20478,19466,1088,-327356,-34622,2286,0.0,-997531,,43695,649515,0.0,-412,141152,5553.0,830653,-166878,454693,821166,2276,-2087,821355,,0.0,-671329,228859,-8307,-6532,-44,,-789,-458142,,98602,0.0,-736,280000,-480910,23,,0.0,200250,-156557,-101034,-4694,-207825,-372881,9538,-130,322495,322365,322365,-9285.0,-8850.0,,,,,,,,,,,,,,,
2329,2014年01月01日至2014年03月31日,,152413,148347,,,285668,6627,312,-18135,50523,-589,,-4421,-1069,32,,318948.0,,,-4854,,-397130,-8602,15278,-1725,-176186,-3035,2129,58.0,-574067,,36762,403108,0.0,-1243,100363,2704.0,532342,-41725,277223,425570,1051,-610,426011,,0.0,-152794,1246,-892,-6532,-2764,,0,-161736,,146293,,-149,180000,-111888,24,0.0,0.0,0,-74789,-49280,0,-313504,-223293,8467,49449,322495,371944,371944,-4066.0,-9352.0,,,,,,,,,,,,,,,
2329,2013年度,,-41710,-117980,,,1097006,21023,7799,15497,222945,-4691,-1883.0,-24064,457,-1462,,,,,5853,,-176706,18195,-7178,-12698,23915,28650,-11564,0.0,-131533,,-18099,-51343,,-4069,23371,,-43567,-175100,1157527,1039547,4158,-2800,1040905,,,-1128506,142408,-12443,-20069,-3378,17765.0,-2920,-1006896,,287198,,0,581000,-410727,0,-41.0,,111073,-298374,-218876,1068,-57505,-5141,9992,38860,283635,322495,322495,-76270.0,-3612.0,,1332627.0,10185.0,247.0,43.0,,,,,,,,,,
2329,2013年01月01日至2013年12月31日,,-41710,-117980,,,1097006,21023,7799,15497,222945,-4691,-1883.0,-24064,457,-1462,,,,,5853,,-176706,18195,-7178,-12698,23915,28650,-11564,-954226.0,-1085759,,-18099,-51343,,-4069,23371,,-43567,-1129326,203301,85321,4158,-2800,86679,,,-174280,142408,-12443,-20069,-3378,17765.0,-2920,-52670,,287198,0.0,43,581000,-410727,0,-41.0,0.0,111073,-298374,-218876,1068,-57505,-5141,9992,38860,283635,322495,322495,-76270.0,-3612.0,,1332627.0,10185.0,247.0,,,,0.0,0.0,0.0,0.0,,,,
2329,2013年01月01日至2013年09月30日,,-137601,-209332,,,811364,14577,10863,14242,169221,-7421,-1883.0,-11536,2004,-1348,,,,,-4380,-21.0,-212987,15625,-7503,-11772,67620,52501,-11786,,-112703,,-58333,-29844,,-3090,106898,,20473,-92230,907853,698521,7432,-4274,701679,,,-779977,139703,-39014,-17426,-2369,17706.0,2125,-679216,,500455,,-595,471000,-165658,0,-43.0,,110179,-221044,-166131,-855,-298934,228374,7761,258598,283635,542233,542233,-71731.0,-3612.0,,1000083.0,8454.0,36.0,,,,,,,,,,,
2329,2013年01月01日至2013年06月30日,,-183685,-250296,,,535520,8983,12797,10854,110008,-3147,,-5701,3473,-1141,,,,,855,,-12046,10059,-11833,-11698,29303,43727,-19959,-463055.0,-434647,,-47954,64843,,177130,64738,,261966,-172681,498965,248669,3173,-2658,249184,,,-230449,142505,-3317,-3610,-4211,,-6922,-105968,,0,-125717.0,16,191080,-195040,0,-42.0,,109718,-144056,-107428,-507,66469,-205507,16503,-45788,283635,237847,237847,-66611.0,-3612.0,,671646.0,6821.0,36.0,,,,,,,,,,,
2329,2013年01月01日至2013年03月31日,,-130049,-191783,,,267318,4447,-10409,562,55674,-664,,-3129,-930,754,,,,,7077,,-99308,21448,-674,-8448,-5209,25658,-31889,-264612.0,-355957,,-35406,59921,,-61,239029,,283115,-72842,240781,48998,297,-3666,45629,,,-136777,135097,0,-3500,-3422,,-345,-7250,,0,-68279.0,-616,157720,-92797,0,-100.0,7215.0,109212,-64717,-55613,6578,61018,59621,-7373,90627,283635,374262,374262,-61734.0,-3612.0,,313623.0,4083.0,,,19161.0,1697.0,,,,,,,,
2329,2012年01月01日至2012年12月31日,,147112,114072,,,1008294,8465,4817,-20074,218887,-3171,-2527.0,-32890,7787,3823,,,,,-787,,70366,171869,12759,9794,103027,-26449,12557,-815671.0,-462535,,-110084,-643239,,-108258,38109,,-821767,-1284302,-90898,23174,3127,-8466,17835,,,-672935,725125,-22144,-38291,0,13583.0,42452,53292,,0,-231694.0,-27241,1589821,-1271371,30554,0.0,41200.0,483268,-307911,-226094,-5444,-37889,37199,3239,111565,172070,283635,283635,-33040.0,2130.0,,1193404.0,-425.0,0.0,,,,-7.0,0.0,150.0,5352.0,,,,
2329,2012年01月01日至2012年09月30日,,158238,131029,,,756604,4793,276,-2,147839,-1871,,-43659,7897,293,,,,,-650,0.0,62745,146222,1624,4240,84926,-41265,11627,-688918.0,-419449,,9096,-578720,,-4975,-20148,,-589523,-1008972,-136802,-5773,1870,-10822,-156167,,,-666230,621695,-21788,-27058,0,11205.0,48185,-40747,,0,-271217.0,-27892,466229,0,30330,0.0,13200.0,408262,-246822,-152647,-4751,-54694,312645,14521,130252,172070,302322,302322,-27209.0,2864.0,,872170.0,2360.0,0.0,,,,,,150.0,4299.0,,,,
2329,2012年01月01日至2012年06月30日,,173673,155784,,,500555,2231,1620,0,105445,-1284,,-44489,7337,855,,,,,-3979,0.0,-226263,112150,21873,-215104,51777,-29833,10537,-437421.0,-716263,,-35321,-347005,,-38759,-13766,,-430088,-1146351,-574081,-418297,1283,-8958,-525020,,,-411060,378358,-16955,-944,0,11205.0,65391,-13586,,86267,0.0,-27269,1424665,-1057617,30300,0.0,13200.0,355712,-96808,-110253,-3190,7750,733010,-10582,183822,172070,355892,355892,-17889.0,3175.0,,572270.0,1588.0,0.0,0.0,,,,,150.0,1711.0,-30237.0,0.0,0.0,
2329,2012年01月01日至2012年03月31日,,81984,74035,,,252374,1103,-2058,-4,46847,-522,,-35487,9761,166,,,,,-1442,,30631,-36879,16586,3087,90032,17337,-1921,0.0,117431,,76052,-59461,,15276,19922,,57632,175063,454535,528570,508,-11951,470839,,,-234760,17907,-2167,-1063,0,,48170,-197043,,245261,0.0,-405,0,-423129,300,0.0,22068.0,0,-45284,-46288,6308,4276,-190605,-39,83152,172070,255222,255222,-7949.0,5048.0,,279472.0,795.0,,,0.0,0.0,-2095.0,,,3422.0,-28552.0,,,9387.0
