公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付建造合約款增加（減少）,　　　　　 淨確定福利負債增加(減少),　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　 收取之股利,　　　　　 其他營業資產（增加）減少,　　 支付之股利,　　　　　 應計退休金負債增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　 備供出售金融資產減資退回股款,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 發放現金股利
6177,2015年01月01日至2015年09月30日,,246182,246182,,,3224,918,-366,33012,-1128,82.0,-157.0,35585.0,,,230,1490,3485,298719,-3467,1283,133,301873,,4155,-227352,3970,-111230,-158960,13322,-476095,-174222,-138637,107545,1128,-33185,-18955,56533,,-9254.0,9831.0,-1000.0,-1828,648.0,-60787,1279.0,-824,-583928.0,148839.0,-1052.0,970.0,-497106,,485720,-842614.0,5350000,-5330000.0,994925.0,0,658031,217458,141774,359232,359232,,,,,,,,,,,,,,,
6177,2015年01月01日至2015年06月30日,,252441,252441,,,2111,592,-92,22661,-990,82.0,-157.0,24207.0,,,7900,910,3485,717180,4024,26894,62532,822925,,-106,-192664,513,-110109,-432324,-24636,-759326,63599,87806,340247,990,-29324,-17964,293949,,,9831.0,,-1828,648.0,-1112,1006.0,-719,-318163.0,148402.0,0.0,0.0,-161935,,149270,-145444.0,3840000,-3200000.0,0.0,0,643826,775840,141774,917614,917614,,,,,,,,,,,,,,,
6177,2015年01月01日至2015年03月31日,,207666,207666,,,1044,285,0,10695,-133,82.0,,11973.0,,,10780,-42905,2626,582054,1508,34775,84723,673561,,3369,-89977,612,-78158,-345820,-24318,-534292,139269,151242,358908,133,-5566,-14368,339107,,,,,-692,648.0,-105,656.0,0,-284410.0,,0.0,0.0,-283903,,9270,-124014.0,2350000,-2250000.0,,0,-14744,40460,141774,182234,182234,0.0,0.0,0.0,,,,,,,,,,,,
6177,2014年度,,1574719,1574719,,,3492,468,1222,24901,-1531,227.0,-10023.0,,,,-289,17556,-3618,-2307375,-31904,-110466,-60130,-2496226,,-907,493978,2020,-10735,-379721,18477,123112,-2373114,-2354358,-779639,1531,-12507,-105220,-895835,,-59808.0,74231.0,,-9742,95.0,-28005,26398.0,-3043,,-326576.0,0.0,,-326450,,3545755,-3279695.0,4411100,-4657000.0,1200000.0,-733,1219427,-2858,144632,141774,141774,,,0.0,,0.0,0.0,18756.0,0.0,,,,,,,
6177,2014年01月01日至2014年09月30日,,1470607,1470607,,,2545,244,729,16138,-731,227.0,-8351.0,10801.0,,,-13469,17823,-211,-2144735,-20873,-42922,-263144,-2467531,,3205,321325,16,-16616,-297993,59429,69366,-2398165,-2387364,-916757,731,-8975,-102350,-1027351,,-45709.0,64841.0,0.0,-8791,95.0,-28103,25679.0,-562,0.0,-326279.0,-5757.0,7187.0,-317399,,3359253,-2839260.0,3901100,-4247000.0,1200000.0,-733,1373360,28610,144632,173242,173242,,,,,,,,,,,,,,,
6177,2014年01月01日至2014年06月30日,,868257,868257,,,1670,157,459,9018,-599,227.0,0.0,10932.0,,,2241,6842,-211,-2156690,-25592,-11870,-31624,-2216904,,3708,438328,0,-109729,-133268,198816,397855,-1819049,-1808117,-939860,599,-7092,-82446,-1028799,,,0.0,,-7234,95.0,-7367,2626.0,-562,-326279.0,0.0,-5757.0,7187.0,-337291,,2697839,-2266348.0,3095400,-3201400.0,1200000.0,-732,1524759,158669,144632,303301,303301,,,,,,,,,,,,,,,
6177,2014年01月01日至2014年03月31日,,-36729,-36729,,,831,71,138,6602,-4,227.0,,7865.0,,,-62437,3335,-281,-1427564,-110588,-17870,-20414,-1635819,,4153,-253,0,-106421,439273,41375,379772,-1256047,-1248182,-1284911,4,-3613,-461,-1288981,,,,,-7043,95.0,-1759,162.0,-562,0.0,,-5757.0,7187.0,-7677,,1733359,-197730.0,1467700,-1441700.0,,-733,1560896,264238,144632,408870,408870,1645.0,0.0,0.0,,,,,,,,,,,,
6177,2013年度,,101412,101412,,,3062,159,-1813,20320,-751,0.0,-211.0,,,,12134,53659,37,-3054820,-231162,-43702,370956,-2892898,,-1185,-177768,-916,212270,1149098,5249,1186748,-1706150,-1685587,-1584175,751,-12161,-14810,-1610192,,0.0,20350.0,,-3719,0.0,-2259,514.0,0,,-54772.0,-1429.0,,-41315,,2657440,-1095618.0,7316128,-7192228.0,0.0,734,1686456,34949,109683,144632,144632,,,0.0,,-203.0,0.0,20563.0,203.0,,,,,,,
6177,2013年01月01日至2013年12月31日,,101412,101412,,,3062,159,-1813,20320,-751,0.0,-211.0,,,,12134,53659,37,-3054820,-231162,-43702,370956,-2892898,,-1185,-177768,-916,212270,1149098,5249,1186748,-1706150,-1685587,-1584175,751,-12161,-14810,-1610192,,0.0,20350.0,,-3719,,-2259,514.0,0,,-54772.0,-1429.0,,-41315,,2657440,-1095618.0,7316128,-7192228.0,0.0,734,1686456,34949,109683,144632,144632,,,0.0,,-203.0,0.0,20563.0,203.0,0.0,,,0.0,0.0,0.0,0.0
6177,2013年01月01日至2013年09月30日,,113803,113803,,,2243,119,-1515,15687,-389,0.0,-211.0,,,,15157,71500,0,-1535490,-13140,-37895,65841,-1434027,,3603,-169404,-916,12336,350754,202617,398990,-1035037,-1019103,-905300,389,-11708,-12996,-929615,,0.0,20350.0,,-3278,0.0,-1947,581.0,0,,-54660.0,0.0,0.0,-38954,,1628297,-842365.0,6128500,-6004000.0,0.0,0,910432,-58137,109683,51546,51546,,,,,,,15934.0,,0.0,0.0,,,,,
