公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存出保證金增加,　　 非控制權益變動
2369,2015年01月01日至2015年09月30日,,-41911,-41911,,,817902,7467,994,0,17851,-7787,-12498.0,-1662,0.0,8419,937,831623.0,,,9322,43808,-100219,54,-99901,-5620,-152556,,0,-28479,-72425,-1036,-4454,1984.0,-104410,-256966,574657,532746,7670,12498.0,-17661,-47427,487826,,0.0,0.0,-14280.0,-500740,1688,1702.0,-333160,-844790,,272372,-130082,583000,-103593,0.0,-197023.0,424674,4723,72433,1018028,1090461,1090461,,,,,,
2369,2015年01月01日至2015年06月30日,,-34193,-34193,,,547921,5038,1002,0,11331,-5171,-569.0,-1649,0.0,8224,2981,569108.0,,,-5470,51974,-101076,-5607,-40048,-3637,-103864,,0,-10240,-7848,2657,5103,911.0,-9417,-113281,455827,421634,4738,569.0,-11172,-25179,390021,,0.0,0.0,-14280.0,-466530,1650,1685.0,-216564,-693470,,253500,-141083,583000,-67312,,,628105,-5989,318667,1018028,1336695,1336695,,,,,,
2369,2015年01月01日至2015年03月31日,,1095,1095,,,273915,2534,0,0,5519,-2316,,-450,0.0,248,1460,281015.0,,,1362,46642,-100072,-2315,-24670,-2141,-81194,,0,4652,-55140,2490,4263,-181.0,-43916,-125110,155905,157000,2253,,-5318,-205,153730,,0.0,,-14280.0,-278370,450,685.0,-166005,-457520,,110349,-120083,463000,-31030,,,422236,-2176,116270,1018028,1134298,1134298,105.0,,,,,
2369,2014年度,,247918,247918,,,1008056,9173,941,0,11819,-6850,-10691.0,13944,-58.0,-137,1413,,,,-1185,24528,-227586,-19246,40629,-13435,-196295,,-2115,-21686,-1671,-4990,26113,,-10730,-207025,820585,1068503,6568,10691.0,-15605,-53666,1005800,,968.0,-50000.0,,-277402,12674,,-1612907,-1888610,,188300,-236225,1233000,-126096,136.0,-265980.0,793135,3991,-85684,1103712,1018028,1018028,,,1027610.0,-6381.0,27366.0,0.0
2369,2014年01月01日至2014年09月30日,,205519,205519,,,742291,6553,959,-60,6857,-4944,-10691.0,14248,2.0,-1300,5943,759858.0,,,-4838,-24838,-215891,-19852,51292,-9815,-223942,,-2114,-13414,-23158,-12671,16840,4993.0,-29524,-253466,506392,711911,4780,10691.0,-6692,-48787,671903,,968.0,-50000.0,0.0,-271491,12263,27376.0,-1186719,-1467603,,306658,-236078,870000,-95065,136.0,-265980.0,579671,-2550,-218579,1103712,885133,885133,,,,,,
2369,2014年01月01日至2014年06月30日,,150374,150374,,,483329,4054,-1,-60,4042,-3388,-722.0,-410,2.0,-976,7130,493000.0,,,-8865,-54694,-208467,-34343,44873,-9379,-270875,,-2115,3789,6489,-2253,9056,-362.0,14604,-256271,236729,387103,2957,722.0,-3811,-16286,369963,,968.0,-50000.0,0.0,-246961,6506,26032.0,-870363,-1133096,,29550,-165382,870000,-64033,,,670135,-7638,-100636,1103712,1003076,1003076,,,,,,
2369,2014年01月01日至2014年03月31日,,53834,53834,,,236961,1683,17,-60,2135,-993,,0,2.0,-242,2627,242231.0,,,4828,69155,-41937,-29702,39941,-2594,39691,,-2115,-20941,-42487,-5189,3324,-121.0,-67529,-27838,214393,268227,1097,,-1949,-91,267284,,968.0,,0.0,-55673,0,27004.0,-639868,-667569,,11546,-15733,870000,-44767,,,821046,-749,420012,1103712,1523724,1523724,101.0,,,,,
2369,2013年度,,425340,425340,,,1003083,7546,1473,36,8468,-9567,-13398.0,456,0.0,12671,-473,,,,42511,39070,127500,15601,-40777,-6587,177318,,1227,-6795,48322,12283,-1833,,46947,224265,1234560,1659900,10220,13398.0,-9070,-122405,1538645,,0.0,0.0,,-874666,1457,,-874718,-1772637,,210717,-452204,285000,-70650,0.0,-265980.0,-292717,5639,-521070,1624782,1103712,1103712,,,1010295.0,-6257.0,-38108.0,400.0
2369,2013年01月01日至2013年12月31日,,425340,425340,,,1003083,7152,1473,36,8468,-9567,,456,,12671,-473,,,,42511,39070,127500,15601,-40777,-6587,177318,,1227,-6795,48322,12283,-1833,,46947,224265,1247958,1673298,10220,,-9070,-122405,1552043,,,,,-874666,1457,,-874718,-1786035,,210717,-452204,285000,-70650,,-265980.0,-292717,5639,-521070,1624782,1103712,1103712,394.0,,1023693.0,-6257.0,-38108.0,400.0
2369,2013年01月01日至2013年09月30日,,321427,321427,,,751197,5263,-224,82,6881,-7497,,456,0.0,11481,-1602,,,,50460,34320,136592,891,-32132,-4315,185816,,361,9478,9095,17370,391,,40181,225997,992034,1313461,7905,,-7189,-124861,1189316,,0.0,0.0,,-508635,1457,,-541751,-1060966,,147567,-202645,230000,-53133,0.0,-265980.0,-144191,6383,-9458,1624782,1615324,1615324,,,766037.0,3486.0,-12037.0,
2369,2013年01月01日至2013年06月30日,,227275,227275,,,498951,3395,-207,-80,5020,-5722,,-735,0.0,8721,287,,,,48950,-83791,-21630,-6884,-22410,-3012,-88777,,-755,23569,44045,-7922,1177,,60795,-27982,481648,708923,5841,,-5302,-71005,638457,,0.0,0.0,,-310870,800,,-299995,-622104,,139587,-385036,30000,-35616,,,-251065,5740,-228972,1624782,1395810,1395810,,,509630.0,681.0,-12039.0,
2369,2013年01月01日至2013年03月31日,,71889,71889,,,251994,1771,-233,-140,2929,-2826,,-167,0.0,4531,-88,,,,42227,65469,-47891,-7204,-6440,-2956,43205,,-637,20193,-31088,-16102,1667,,-25915,17290,275158,347047,3033,,-3404,-5601,341075,,0.0,,,-104236,200,,-149332,-263148,,170745,-263767,30000,-18100,,,-81122,9256,6061,1624782,1630843,1630843,97.0,,257868.0,52.0,-9780.0,
2369,2012年01月01日至2012年12月31日,,458185,458185,,,1047163,7415,209,-360,14443,-11000,,13,,5761,-3276,,,,6802,-124341,-49537,39500,-76772,-3116,-207464,,-1458,-25018,9157,15352,2807,,-7413,-214877,845793,1303978,11573,,-14150,-10692,1290709,,,,,-499976,85491,,-580413,-995269,,325934,0,68000,-62900,,-246278.0,84756,-13666,366530,1258252,1624782,1624782,302.0,,1060670.0,-8253.0,-371.0,0.0
2369,2012年01月01日至2012年09月30日,,372038,372038,,,783285,5862,5,-371,10639,-7848,,12,,6256,-1557,,,,-3858,-250074,-108699,17872,-61204,-3027,-408990,,-1711,20077,-14335,17599,4054,,16010,-392980,403594,775632,7838,,-10553,-10414,762503,,,,,-343395,85495,,-452130,-710314,,378603,0,33000,-49300,,-246278.0,116025,-9605,158609,1258252,1416861,1416861,291.0,,796574.0,-9674.0,-284.0,
2369,2012年01月01日至2012年06月30日,,248095,248095,,,523828,3907,0,-68,6560,-5101,,-290,,5262,-1716,,,,-44816,-364673,-60579,-41168,-67988,-2506,-581730,,-1524,142130,35100,-1041,2787,,169730,-412000,120575,368670,4655,,-6377,-455,366493,,,,,-282286,40106,,-259041,-501319,,553793,-351170,33000,-35700,,,199923,834,65931,1258252,1324183,1324183,193.0,,532575.0,-7722.0,-98.0,
2369,2012年01月01日至2012年03月31日,,29313,29313,,,260444,1947,-5,-293,3060,-2173,,2888,,1670,-679,,,,28055,-35098,93121,18589,-515,-819,103333,,-1362,27720,-63329,-7743,2677,,-42257,61076,328031,357344,2156,,-3051,-189,356260,,,,,-188347,36331,,-125103,-277134,,148562,-31126,33000,-22100,,,128336,-4118,203344,1258252,1461596,1461596,96.0,,266955.0,-220.0,-15.0,
