公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 處分無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人減少,　　 發放現金股利,　　 現金減資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 其他營業資產（增加）減少,　　 退還（支付）之所得稅,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得以成本衡量之金融資產,　　　　 非金融資產減損損失,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分待出售非流動資產,　　 其他投資活動,　　　　　 其他應付款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　 其他金融資產減少,　　 應付短期票券減少,　　 現金增資,　　 員工執行認股權,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　 收取之股利,　　　 收益費損項目,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 預付投資款增加,　　 其他預付款項增加
1467,2016年01月01日至2016年09月30日,,63196,63196,,,149727,13525,2849,-88,50098,-7059,0,555,,,,,,17703.0,11645,-70881,56752,33706,-22449,-4196,563,22843,,2424,225706,-46958,-8024,577,-24.0,166366,189209,399234,462430,7059,-52699,382697,,,,-234875,1870,-4808,,-21084.0,-273326,,3224403,-3431919.0,800000,2202610.0,-2251171,,0.0,,-2207.0,-251160,-22095,-163884,1294527,1130643,1130643,,,-34093.0,,,0.0,0.0,,-6000.0,,-14093.0,,,,5664.0,-800000.0,,7124.0,,418.0,,,,,210025.0,-7335.0,,,
1467,2016年01月01日至2016年06月30日,,-7842,-7842,,,96468,8660,-1544,-112,40891,-4912,0,80,,0.0,,,,8114.0,7952,77297,45082,-115331,-39586,1880,12252,-2340,,9902,187165,-19922,-1577,2407,,173132,170792,310459,302617,4912,-44016,232694,,,,-146611,1144,-3919,,,-167118,,1979829,-1927547.0,500000,1178217.0,-1377257,,,,0.0,-146758,-14497,-95679,1294527,1198848,1198848,,,-30819.0,,,0.0,0.0,,-6000.0,,-7898.0,,,,0.0,-500000.0,,0.0,,136.0,,,,0.0,139667.0,-4843.0,,,-3834.0
1467,2016年01月01日至2016年03月31日,,-17161,-17161,,,48553,4551,-2051,-115,26719,-1390,0,6,,0.0,,,,,18462,257768,8380,-44870,-17745,2592,-2891,221696,,257,103815,22603,-1692,3515,0.0,128622,350318,426591,409430,1390,-27120,360906,,,,-65057,784,-1982,,-3293.0,-77762,,893705,-916653.0,200000,,-21699,,,,,-144647,-5740,132757,1294527,1427284,1427284,,,-22794.0,,,,0.0,,,,0.0,,,0.0,,-300000.0,,,,,,,,0.0,76273.0,124.0,-2214.0,-6000.0,
1467,2015年01月01日至2015年09月30日,,34256,34256,,,154285,12392,14531,598,48301,-7844,7577,4779,,,,,,0.0,-7299,-196860,-87832,-190090,-27098,-1893,-1645,-512717,,-11406,170120,-68635,26219,12078,0.0,120175,-392542,-148683,-114427,7844,-48411,-158644,,,,-192467,20939,-14949,,-41501.0,-110276,,1304289,-1212637.0,270000,960000.0,-1037780,,-105131.0,,2749.0,-107516,-30152,-406588,1583517,1176929,1176929,,,-3650.0,,,-8079.0,9061.0,,0.0,,0.0,,,,125781.0,-290183.0,,1177.0,,179.0,,,,,243859.0,-8201.0,,,
1467,2015年01月01日至2015年06月30日,,-2852,-2852,,,102580,9607,4356,98,31929,-2930,6527,1816,,0.0,,,,0.0,4565,-15511,83255,-233840,-147271,2106,-2458,-309154,,-19737,104640,-30122,-28132,6728,,27477,-281677,-119953,-122805,2930,-31592,-158786,,,,-153850,15979,-10826,,,-101075,,1132991,-1144943.0,240000,960000.0,-998868,,,,4520.0,-95124,-52164,-407149,1583517,1176368,1176368,,,-7319.0,,,-490.0,6161.0,,0.0,,-682.0,,,,48794.0,-290000.0,,1176.0,,180.0,,,,1400.0,161724.0,-5900.0,,,0.0
1467,2015年01月01日至2015年03月31日,,1031,1031,,,52115,5289,3844,18,16276,-2795,1059,417,,0.0,,,,,-3311,268839,-60718,-14627,-92081,-6203,-7466,84433,,-18337,6296,-40009,4673,15570,0.0,-33694,50739,129862,130893,2795,-16182,117474,,,,-118197,2338,-6248,,,-140066,,670367,-690839.0,100000,0.0,-14464,,,,,-124936,-40578,-188106,1583517,1395411,1395411,,,-32.0,,,,1500.0,,,,-682.0,,,-17277.0,,-190000.0,,,,,,,,1400.0,79123.0,-1887.0,,,
1467,2014年度,,124376,124376,,,202624,11265,28325,282,68191,-9075,1842,-13231,,0.0,301279.0,,,,-8926,-342706,110729,-173900,-8,-3840,-56129,-474780,,-5813,56461,51176,7969,-678,1177.0,102316,-372464,-71185,53191,9075,-68286,-14238,,,0.0,-283812,30539,-10079,,,-295225,,3117028,-3247616.0,1894000,789088.0,-434175,0.0,-42052.0,,115635.0,749609,38683,478829,1104688,1583517,1583517,0.0,,-8368.0,0.0,,-19288.0,10362.0,,-9013.0,,-55035.0,,-7976.0,,51463.0,-1984000.0,538271.0,3430.0,-150.0,590.0,254.0,150.0,,,,,,,
1467,2014年01月01日至2014年09月30日,,80616,80616,,,149014,7252,10247,399,44113,-5330,841,-989,,,210997.0,,,,1668,-340618,39068,-289269,-113390,-9308,20386,-691463,,6915,158455,74565,1788,12157,-23.0,246940,-444523,-233526,-152910,5330,-44491,-206068,,,0.0,-193295,16426,-7666,,,-232926,,2493715,-2862365.0,1703868,548460.0,-363075,0.0,-42052.0,,115344.0,531596,-9687,82915,1104688,1187603,1187603,0.0,,-13997.0,,,-850.0,5450.0,0.0,0.0,,-47541.0,,-6917.0,,,-1604000.0,538271.0,3430.0,,,,,,,,,,,
1467,2014年01月01日至2014年06月30日,,8078,8078,,,96650,4518,13309,72,33169,-3273,839,-729,,2620.0,149475.0,,,,1207,-7304,-29966,-323948,-90084,-2946,6216,-446825,,14817,47403,1301,21476,18218,-23.0,98662,-348163,-198688,-190610,3273,-33506,-225572,,,0.0,-153405,12916,-2573,,,-190603,,1844829,-2139820.0,1051461,395258.0,-360584,0.0,0.0,,119523.0,497256,-9361,71720,1104688,1176408,1176408,0.0,,-4729.0,,,0.0,2300.0,,,,-47541.0,,-4530.0,,,-951682.0,538271.0,,,,,,,,,,,,
1467,2014年01月01日至2014年03月31日,,8504,8504,,,48775,2143,10647,23,17389,-1647,200,-276,,-2061.0,75193.0,,,,18158,12396,61152,-210472,-89880,-39,28527,-180158,,4245,164286,-45560,2062,17693,1.0,140570,-39588,35605,44109,1647,-17522,28231,,,0.0,-103050,11560,-860,,0.0,-143759,,1066022,-1051653.0,390801,300244.0,-130045,0.0,0.0,0.0,,234663,10542,129677,1104688,1234365,1234365,0.0,,-3.0,,,,,,,,-47541.0,,-2157.0,-3868.0,,-340706.0,,,,,,,,,,,,,
