公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息收入,　　　　 處分待出售非流動資產損失（利益）,　　　　　 其他營業資產（增加）減少,　　 收取之利息,　　 退還（支付）之所得稅,　　　　 股利收入,　　 收取之股利,　　 短期借款增加,　　 發放現金股利,　　　　 非金融資產減損損失,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得備供出售金融資產,　　 處分不動產、廠房及設備,　　 庫藏股票處分
1454,2016年01月01日至2016年09月30日,,64566,64566,,,57668,,,1976,220,0.0,,,,7174,21657,-220,-58986,2111,-1963,-30227,,,-5507,593,-11926,-2709,517,,,-67591,-97818,-50233,14333,-1978,-358,,0.0,,-32945,0,-157,-33097,,20000.0,80000,,,0,33702,247,150977,151224,151224,0.0,-41.0,,,41.0,-24992.0,-12238.0,12238.0,,-66298.0,,,47585.0,-48559.0,0.0,5.0,0.0
1454,2016年01月01日至2016年06月30日,,50514,50514,,,38136,,,1230,165,0.0,,,,6970,-4698,-1802,-47631,-2068,25,-49204,,,-7365,19451,-14515,4748,6535,,,-38489,-87693,-48203,2311,-1223,-13004,,0.0,,-23076,0,-40,-23111,,70000.0,-30000,,,0,40000,3885,150977,154862,154862,0.0,-41.0,,,41.0,-14133.0,,,,,,,39490.0,-47343.0,0.0,5.0,0.0
1454,2016年01月01日至2016年03月31日,,10440,10440,,,18788,,,453,145,,,,,6883,11989,-1026,-37482,-2838,-454,-22928,,,-7874,8556,-19331,-1492,348,,,-50863,-73791,-54405,-43965,-470,-44432,,,,-8829,0,-7201,-16025,,50000.0,30000,,,400,80400,19943,150977,170920,170920,0.0,,,,,3.0,,,,,,,19386.0,-31070.0,0.0,5.0,
1454,2015年度,,126924,126924,,,69143,,,1453,529,-4005.0,,,,-3442,44079,-391,35449,3592,-217,79070,,0.0,815,-8001,11303,-808,-815,,,-9943,69127,113378,240302,-2284,237692,,16159.0,0.0,-43776,-17,-58392,-115932,,,-30000,0.0,,-4040,-66481,55279,95698,150977,150977,-15544.0,-48.0,0.0,,48.0,-374.0,-7277.0,7277.0,0.0,-53039.0,0.0,,44251.0,-12437.0,-37685.0,502.0,20598.0
1454,2015年01月01日至2015年09月30日,,106238,106238,,,51971,,,1868,445,-4032.0,,,,2348,22516,767,19420,8995,-1334,52712,,0.0,-4291,-6167,-484,-3915,339,,,-25980,26732,56344,162582,-2523,166991,,13186.0,0.0,-12433,-19,-3606,-40057,,,-60000,0.0,,-4040,-141481,-14547,95698,81151,81151,-13338.0,-25.0,0.0,,25.0,-370.0,-7277.0,7277.0,-45000.0,-53039.0,,,29612.0,-11462.0,-37685.0,500.0,20598.0
1454,2015年01月01日至2015年06月30日,,77302,77302,,,34763,,,988,269,-4035.0,,,,2590,9798,61,14168,2567,-94,29090,,0.0,-1530,5673,-6956,1363,-123,,,-12041,17049,33945,111247,-1402,109869,,13186.0,0.0,-10674,-19,-545,-24453,,-10000.0,-10000,0.0,,-4000,-3402,82014,95698,177712,177712,-15064.0,-25.0,0.0,,25.0,-1.0,,,,,,,16896.0,-10468.0,-26901.0,500.0,20598.0
1454,2015年01月01日至2015年03月31日,,30206,30206,,,17363,,,452,13,0.0,,,,3510,-21801,-1317,10461,-185,-1451,-10783,,0.0,-17942,2418,-11836,847,-474,,,-27870,-38653,-19268,10938,-647,10291,,0.0,0.0,-5929,-17,-604,-13071,,20000.0,-10000,0.0,,-4000,6000,3220,95698,98918,98918,1557.0,,0.0,,,,,,,,,,19385.0,-883.0,-6521.0,,
1454,2014年度,,74004,74004,,,69676,,0.0,1609,269,-1665.0,55006.0,,,7557,-60683,4756,-41004,-2530,-93,-91997,,-2277.0,11663,-4825,-118,2385,-569,-3748.0,,2511,-89486,-34480,39524,-3044,29294,,5812.0,14768.0,-107529,176,-401,-76181,,90000.0,0,-22600.0,,95,34711,-12176,107874,95698,95698,-3340.0,-44.0,-3335.0,,44.0,-7230.0,-10993.0,10993.0,,-32784.0,2829.0,,,,,,
1454,2014年01月01日至2014年09月30日,,53953,53953,,,52396,,0.0,1299,170,-1665.0,34510.0,,,7460,-22285,2487,-22685,-8109,-914,-44027,,-2277.0,9909,-8265,-10510,-709,-1204,-2791.0,,-15847,-59874,-25364,28589,-2286,30088,,5812.0,14768.0,-106106,176,0,-85350,,,-10000,-22600.0,,-3705,20911,-34351,107874,73523,73523,-3341.0,-21.0,-3335.0,19.0,21.0,-7229.0,-10993.0,10993.0,90000.0,-32784.0,,,,,,,
1454,2014年01月01日至2014年06月30日,,23158,23158,,,34944,495.0,0.0,647,103,-1665.0,31168.0,,,-14679,-29158,1940,-19234,-8735,-318,-69472,,-2277.0,9615,3973,-12559,5187,-1337,-1824.0,,778,-68694,-37526,-14368,-1437,-20602,,5812.0,14768.0,-100662,66,-1495,-81511,,200000.0,-10000,-22600.0,,495,167895,65782,107874,173656,173656,0.0,-21.0,-3335.0,712.0,21.0,-4818.0,,,,,,,,,,,
1454,2014年01月01日至2014年03月31日,,6787,6787,,,16810,219.0,0.0,191,92,-1665.0,15647.0,,,-1538,-20354,-1426,-16566,-5296,-110,-45290,,-2277.0,5320,9167,-16233,5989,-1323,-858.0,-3335.0,-3550,-48840,-33193,-26406,-583,-26989,,5812.0,14768.0,-32718,66,-58907,-70979,,80000.0,0,-12900.0,0.0,-3905,63195,-34773,107874,73101,73101,,,,,,,,,,,,,,,,,
1454,2013年度,,41948,41948,,,66366,,2341.0,1339,668,-860.0,64887.0,,,29509,-17671,-231,-125080,8914,-1234,-105793,,-64.0,-978,6953,355,-841,-277,-3939.0,,1209,-104584,-39697,2251,-1255,-2426,,6449.0,0.0,-6624,0,-4639,2021,,-20000.0,60000,-51600.0,,3905,-33921,-34326,142200,107874,107874,1907.0,-39.0,0.0,,39.0,-3461.0,-6835.0,6835.0,,-26226.0,0.0,,,,,,
1454,2013年01月01日至2013年09月30日,,38524,38524,,,49814,,64.0,1365,363,0.0,46664.0,,,20509,-48488,1047,-53097,18321,-696,-62404,,-64.0,8523,9804,-1952,-2522,-798,-2982.0,,10009,-52395,-5731,32793,-1333,34854,,0.0,0.0,-6023,1,-1199,-7221,,,60000,-38700.0,,0,-34926,-7293,142200,134907,134907,1906.0,-13.0,0.0,0.0,13.0,-3454.0,-6835.0,6835.0,-30000.0,-26226.0,,,,,,,
1454,2013年01月01日至2013年06月30日,,23593,23593,,,33177,395.0,100.0,937,297,0.0,36806.0,,,2937,-79488,607,-65241,13865,-884,-128204,,-77.0,13768,13331,-6485,2858,960,-1971.0,,22384,-105820,-69014,-45421,-938,-49805,,0.0,0.0,-3486,1,0,-3485,,-50000.0,60000,-25800.0,,0,-15800,-69090,142200,73110,73110,1907.0,-7.0,0.0,0.0,7.0,-3453.0,,,,,,,,,,,
1454,2013年01月01日至2013年03月31日,,2474,2474,,,16555,211.0,39.0,427,288,0.0,17520.0,,,30399,-46583,-319,-67796,8355,-487,-76431,,0.0,8052,2594,-12115,2188,-1232,-922.0,0.0,-1435,-77866,-60346,-57872,-427,-58299,,0.0,0.0,-1149,1,0,-1148,,-50000.0,50000,-12900.0,-36.0,0,-12936,-72383,142200,69817,69817,,,,,,,,,,,,,,,,,
