公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還公司債,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 庫藏股票買回成本,　　 存入保證金增加,　　 發放現金股利,　　　　 股利收入,　　 處分無活絡市場之債券投資,　　 收取之股利,　　 短期借款減少,　　 員工購買庫藏股,　　 其他非流動資產增加,　　 應付款項增加
3653,2014年01月01日至2014年06月30日,,243351,243351,,,149116,2581,1158,0,0,-5599,7337,124,2449.0,14348,-1390,0.0,799,170923,,,0,1553,21111,-9802,-95511,-5132,-87781,,-570,-4097,-15126,8058,451,-11284,-99065,71858,315209,0,-43011,272198,,-113061,10811.0,,,-16322,151,2136,-1811,-63259,6803,-62547,,,0.0,0,0,43056,-14236,238471,807828,1046299,1046299,,0.0,40.0,,,112605.0,,0.0,43016.0,-600.0,0.0
3653,2014年01月01日至2014年03月31日,,92119,92119,,,74458,1495,257,0,0,-2498,3553,58,,14325,10697,,402,102747,,,0,1173,54566,-10009,-2643,-138,42949,,-285,-31371,-50414,8255,211,-73604,-30655,72092,164211,0,-250,163961,,-3061,,,,-18793,28,678,-1439,-34567,4019,77890,,0.0,,0,0,43219,5133,290203,807828,1098031,1098031,,,203.0,,,131025.0,,,43016.0,,
3653,2013年01月01日至2013年12月31日,,341269,341269,,,265871,4842,2157,0,321,-10711,6201,662,0.0,20824,1904,6045.0,1556,299181,,,563,1536,-301379,5902,-70675,4539,-359514,,760,99696,22004,-1380,434,121514,-238000,61181,402450,-270,-32750,369430,,-56850,10049.0,-180875.0,0.0,-103976,4069,-511,-2326,-87618,8198,-409349,,,-113400.0,-84198,-158,-442083,36229,-445773,1253601,807828,807828,,-30443.0,0.0,-212648.0,-491.0,0.0,491.0,-1236.0,,,
3653,2013年01月01日至2013年09月30日,,199548,199548,,,204517,3712,600,22843,319,-8549,2162,-171,0.0,25865,-4609,6045.0,1164,253898,,,563,-2443,-244343,3019,-53919,-5881,-303004,,950,74907,-13388,-10818,326,51977,-251027,2871,202419,-268,-31811,170340,,-56850,10049.0,-177959.0,0.0,-48158,476,315,-1806,-63870,7539,-330264,,4323.0,-113400.0,-84198,-68,-436434,18792,-577566,1253601,676035,676035,,-30443.0,0.0,-212648.0,,,,,,,
3653,2013年01月01日至2013年06月30日,,25171,25171,,,134956,2540,391,67090,319,-6347,-1382,-175,0.0,35586,12739,6045.0,771,252533,,,772,476,-136658,4386,-36945,-27493,-195462,,0,101680,-32909,-1378,231,67624,-127838,124695,149866,-268,-13323,136275,,-56861,10049.0,0.0,0.0,-25168,227,340,-1686,-40328,5876,-107551,,-1236.0,-113400.0,-92702,-464,-238245,18274,-191247,1253601,1062354,1062354,,-30443.0,,,,,,,,,
3653,2013年01月01日至2013年03月31日,,741,741,,,66921,1267,-1083,10018,300,-3187,-2894,-80,0.0,17571,-3322,0.0,379,85890,,,563,-4492,59694,2924,4961,-3733,59917,,0,41010,-49034,651,101,-7272,52645,138535,139276,-265,-404,138607,,-3453,0.0,0.0,0.0,-13746,80,220,-1529,-42046,3124,-57350,,3532.0,0.0,-92702,-388,-89558,10717,2416,1253601,1256017,1256017,0.0,,,,,,,,,,
3653,2012年01月01日至2012年12月31日,,315923,315923,,,262424,4967,-7651,-3581,2760,-12656,11561,-566,-201.0,-1842,-15086,-1861.0,1521,239161,,,2917,-2554,54762,7330,-51918,13371,23908,,-438,-54712,-16064,5937,498,-64779,-40871,198290,514213,-6211,-54219,453783,,-6267,107004.0,0.0,-27555.0,-57650,4048,58,-2115,-128115,12905,-68230,,,-26216.0,-115991,0,-514203,-18745,-147395,1400996,1253601,1253601,,-39745.0,56.0,-305212.0,-628.0,28829.0,628.0,-27095.0,,,
3653,2012年01月01日至2012年09月30日,,284841,284841,,,196668,3775,11766,-8538,1945,-8899,4229,298,-201.0,32796,-5102,-1861.0,1145,228021,,,2917,-1571,-47788,1440,-139693,9762,-174933,,-438,22144,32305,8056,369,62436,-112497,115524,400365,-1721,-8601,390043,,-5000,107004.0,1109.0,-27555.0,-50172,2586,578,-1212,-115223,9150,-78735,,21679.0,-26216.0,-64843,0,-414268,-25554,-128514,1400996,1272482,1272482,,-39745.0,69.0,-305212.0,,,,,,,
3653,2012年01月01日至2012年06月30日,,203688,203688,,,132073,2516,8915,4477,1272,-6343,1152,147,-46.0,22038,-4655,-1835.0,763,160474,,,2917,148,-77831,7410,-62310,1343,-128323,,-438,6774,-133,5478,250,11931,-116392,44082,247770,-1047,-4632,242091,,-5000,49078.0,-23137.0,-27555.0,-34398,1931,1075,-799,-77815,9230,-107390,,27419.0,-25819.0,-54223,78,-92290,-8320,34091,1400996,1435087,1435087,,-39745.0,,,,,,,,,
3653,2012年01月01日至2012年03月31日,,90863,90863,,,66189,1223,11212,808,786,-3385,901,355,-46.0,15431,-8742,-1835.0,382,83279,,,-101,568,4198,168,-67036,-336,-62539,,-438,7156,-26151,-3979,115,-23297,-85836,-2557,88306,-698,-157,87451,,0,49078.0,-22743.0,-12555.0,-16214,0,855,-610,-37659,3490,-36358,,32314.0,-25819.0,-26871,-20,-20396,-8878,21819,1400996,1422815,1422815,0.0,,,,,,,,,,
