公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 其他借款減少,　　　　 其他項目,　　　　　 其他營業資產（增加）減少,　　　　　 應收建造合約款（增加）減少
2912,2015年01月01日至2015年09月30日,,9283349,9283349,,,3782844,287418,5375,-18364,76158,-122550.0,-44332.0,-976593,38600,5841.0,-14519.0,3019878.0,,,1261864,-290188,-429037.0,287934,-33949,-466544,330080,,210815,503807,2251652,285683,-4651.0,3247306,3577386,6597264,15880613,120696,517952.0,-75537,-2066986,14376738,,0.0,16800.0,-870200.0,28503.0,0.0,-4458966,208124,-30021.0,-128578.0,-54311,218.0,-5288431,,1212606,-100000,137965,-590849,352908,-14536.0,-7946766.0,-239800.0,-7188472,70202,1970037,21450797,23420834,23420834,,,,,,,,,,,,,,
2912,2015年01月01日至2015年06月30日,,5977205,5977205,,,2513060,195334,1760,-20893,49420,-82369.0,-13358.0,-622734,27507,0.0,-13327.0,2034400.0,,,-2375006,51192,-889334.0,1025335,-24314,-54039,-2266166,,-85445,177212,2134882,14108,-6535.0,2234222,-31944,2002456,7979661,83562,486978.0,-48792,-1050754,7450655,,0.0,0.0,,,0.0,-3087927,82939,15919.0,-89891.0,-156316,,-3235276,,33927,-11000,40680,-148292,318266,-64765.0,,-851536.0,-682720,-159189,3373470,21450797,24824267,24824267,,,,,,,,,,,,,,
2912,2015年01月01日至2015年03月31日,,2855786,2855786,,,1244688,85322,1983,-8178,23878,-37653.0,,-279014,21917,0.0,-3237.0,1049706.0,,,-1325620,276958,-648721.0,751003,-13838,39919,-920299,,602001,-1646741,536508,14754,-5955.0,-499433,-1419732,-370026,2485760,42400,,-23563,-12324,2492273,,,,,,0.0,-1968992,1486,33773.0,-76609.0,-52080,,-2062422,,665017,-24000,7540,-94503,319793,-73170.0,,-18855.0,781822,-67756,1143917,21450797,22594714,22594714,,,,,,,,,,,,,,
2912,2014年度,,12609776,12609776,,,4950611,362705,2976,-87,102628,-172789.0,-40017.0,-149227,54845,-1028508.0,31722.0,,,,432376,-464065,-426675.0,-845666,-194536,-604661,-2103227,,-405894,1350564,2193521,-107838,,3011370,908143,5335050,17944826,173053,184119.0,-102626,-2045161,16154211,,-199521.0,4667.0,,0.0,1450000.0,-6481842,180349,-233655.0,-293650.0,-504823,218.0,-6078257,,-301037,95000,452380,-1595520,172926,,-7001773.0,-734946.0,-8912970,198402,1361386,21008243,22369629,22369629,,0.0,104279.0,207769.0,4426907.0,-63557.0,44574.0,0.0,0.0,0.0,,,,
2912,2014年01月01日至2014年09月30日,,10098089,10098089,,,3517554,257518,11086,-15375,74623,-110729.0,-39856.0,-688670,28963,-1028508.0,-5373.0,2001233.0,,,1292686,-522518,-1329184.0,-38381,-111476,-530622,-1239495,,-399775,1801725,1984914,83550,-34913.0,3435501,2196006,4197239,14295328,113005,507462.0,-72028,-1703665,13140102,,-199497.0,4667.0,-60840.0,0.0,1450000.0,-4616464,103846,-123331.0,-198187.0,-122962,218.0,-3762550,,-220859,79991,421360,-1232240,256389,-25075.0,-6938010.0,-78751.0,-7737195,31887,1672244,20235519,21907763,21907763,,,,,,,,,,,,,,
2912,2014年01月01日至2014年06月30日,,6718456,6718456,,,2309971,170093,11873,-19722,52126,-75386.0,-9953.0,-442478,17095,-1028508.0,-4115.0,980996.0,,,-1224387,-418822,-742581.0,349021,-13160,-342065,-2391994,,-139239,-71362,2129870,-40801,17900.0,1896368,-495626,485370,7203826,78251,477559.0,-52418,-848820,6858398,,-200000.0,4667.0,,,1450000.0,-3220221,77208,-80855.0,-99165.0,-40677,,-2109043,,-7466,284942,192540,-1460644,214136,-98167.0,,-768581.0,-1643240,-43411,3062704,20235519,23298223,23298223,,,,,,,,,,,,,,
2912,2014年01月01日至2014年03月31日,,3664996,3664996,,,1132541,83241,5874,-10217,28161,-34291.0,,-237811,-66,-1028508.0,-6757.0,-67833.0,,,-940985,-304717,-364684.0,737636,-73658,18853,-927555,,-531233,-914079,-12664,-57471,5636.0,-1509811,-2437366,-2505199,1159797,36572,,-20673,-4099,1171597,,,,,,1450000.0,-1883111,46046,-26016.0,-34059.0,-63394,,-510534,,650312,310000,24130,-1167032,158862,-142256.0,,16904.0,-149080,26818,538801,20235519,20774320,20774320,,,,,,,,,,,,,,
2912,2013年度,,11292796,11292796,,,4277453,394267,58990,1225,119753,-134915.0,-282829.0,-89512,56549,-233437.0,-25593.0,,,,-1043401,340142,862024.0,-4963,-40979,-91729,21094,,-268147,-502609,605127,-63577,,-424391,-403297,4220780,15513576,134213,303510.0,-73699,-2074371,13803229,,0.0,34376.0,,275231.0,0.0,-5228040,133374,-89948.0,-266393.0,-719072,184.0,-5358766,,-1060645,-85000,5719314,-5891784,249799,,-5782496.0,-761912.0,-7612724,151560,983299,20024944,21008243,21008243,,-62356.0,296157.0,248325.0,4624077.0,-95282.0,-99903.0,444165.0,35508.0,21849.0,,,,
2912,2013年01月01日至2013年12月31日,,11292796,11292796,,,4277453,394267,58990,1225,119753,-134915.0,-282829.0,-89512,56549,-233437.0,-25593.0,,,,-1043401,340142,862024.0,-4963,-40979,-318265,-205442,,-268147,-502609,202896,-63577,,-826622,-1032064,3592013,14884809,134213,303510.0,-73699,-2074371,13174462,,,34376.0,0.0,275231.0,-198233.0,-5228040,133374,-89948.0,-266393.0,-492536,184.0,-5330463,,-1060645,-85000,5719314,-5891784,249799,,-5042168.0,-761912.0,-7012260,151560,983299,20024944,21008243,21008243,,-62356.0,296157.0,248325.0,4624077.0,-95282.0,-99903.0,444165.0,35508.0,21849.0,-139864.0,,,
2912,2013年01月01日至2013年09月30日,,9263201,9263201,,,3134624,272799,20031,-21129,91295,-96792.0,-279450.0,-78908,21195,-232665.0,756.0,,,,-2055041,-204839,356134.0,-136117,-135040,-391581,-2566484,,-1127797,479490,892028,141820,,174578,-2391906,546213,9809414,98906,300131.0,-68666,-1731431,8408354,,0.0,27733.0,,275231.0,0.0,-4161132,106261,23692.0,-130923.0,-228100,184.0,-3621028,,-582479,156985,4523586,-4201477,302444,,-5704181.0,-747682.0,-6420862,49930,-1583606,20024944,18441338,18441338,,-30550.0,100786.0,36127.0,2938119.0,-97193.0,-113770.0,444177.0,,21849.0,-168058.0,,,
