公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 預付款項（增加）減少,　　 處分不動產、廠房及設備,　　 取得無形資產,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 應付短期票券增加,　　 存入保證金增加,　　 發放現金股利,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 短期借款增加,　　　　　 存貨（增加）減少,　　　　　 應付建造合約款增加（減少）,　　　　 股份基礎給付酬勞成本,　　 發行公司債,　　 存入保證金減少,　　 現金增資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 處分投資損失（利益）,　　 庫藏股票買回成本,　　　　 呆帳費用提列（轉列收入）數
3018,2016年01月01日至2016年09月30日,,1000,1000,,,11313,260,6837,-730,,,,0.0,-2093,26354,-249337,420,,-1667,-229074,,42762,173400,,-6899,-276,-252,,205717,-23357,-6566,-5566,742,-3885,-36,-4860,,-1632,,156.0,,-4453.0,-5861,,-17565.0,,,-2972,120666,627,110572,124104,234676,234676,-1124.0,-4020.0,68.0,0.0,206.0,30000.0,8904.0,,,,1269.0,-3008.0,,,,106184.0,,16791.0,-10.0,29.0,0.0,
3018,2016年01月01日至2016年06月30日,,-7902,-7902,,,7795,177,4542,-503,,,,0.0,-8419,43824,-13085,90,,-2831,3634,,986,-22002,,-6936,-227,1580,,14514,18148,30064,22162,523,-2560,-22,22663,,-343,,98.0,-23201.0,,-23446,,0.0,0.0,,-1981,17268,314,16799,124104,140903,140903,-95.0,-17065.0,0.0,0.0,0.0,10000.0,8397.0,,,3412.0,1120.0,41123.0,,,,,,11916.0,-10.0,,,
3018,2016年01月01日至2016年03月31日,,1079,1079,,,3900,89,2260,-221,,,,0.0,-7114,-24719,-85106,39,-2809.0,-2237,-123476,,-2197,15304,,-6094,-169,5279,,95153,-28323,-22433,-21354,309,-1317,-14,-21059,,-130,-2178.0,,-28292.0,,-30600,,0.0,,,-991,25092,36,-26531,124104,97573,97573,-138.0,,,0.0,,,6898.0,,,20502.0,-1530.0,83036.0,,,,,,5890.0,-6.0,0.0,,
3018,2015年度,,-55527,-55527,,,9654,278,6190,-1528,,,,6640.0,29426,-5757,-316630,0,,-8216,-282789,,1215,16140,,-27700,-200,473,,-4332,-287121,-272424,-327951,2312,-2745,87,-325552,,-5159,,-2153.0,2224.0,,-5554,,,,0.0,-3961,112118,216,-218772,342876,124104,124104,1810.0,12048.0,19.0,-485.0,-19.0,19962.0,0.0,-25969.0,0.0,153021.0,-300.0,5866.0,0.0,0.0,2700.0,0.0,,14697.0,-126.0,-1688.0,-30890.0,0.0
3018,2015年01月01日至2015年09月30日,,1614,1614,,,6357,197,4261,-1156,,,,6642.0,26003,77487,-291506,-2569,,-12012,-182498,,-2996,-34363,,-24533,-41,345,,-56167,-238665,-228938,-227324,1671,-1630,-125,-225778,,-4150,,-2064.0,,14339.0,8081,,24507.0,0.0,0.0,-2971,-10984,-166,-228847,342876,114029,114029,1757.0,12909.0,,-44.0,0.0,0.0,0.0,,0.0,,548.0,5323.0,,,,,,9727.0,98.0,-1689.0,-30890.0,
3018,2015年01月01日至2015年06月30日,,549,549,,,4229,131,2786,-839,,,,-15000.0,27937,19004,-157756,-872,,-225,-108450,,11343,-38416,,-24069,200,382,,-39330,-147780,-139783,-139234,1219,-1229,-81,-138096,,-2496,,-856.0,41203.0,,37806,,0.0,0.0,,-1981,-24615,257,-124648,342876,218228,218228,1690.0,17823.0,0.0,-45.0,0.0,,,,,-21405.0,639.0,11164.0,,,,,,7997.0,66.0,,,
3018,2015年01月01日至2015年03月31日,,-4842,-4842,,,2110,65,1463,-351,,,,-20000.0,17727,111385,-82700,-453,29021.0,16064,71376,,3167,-84399,,-15016,0,0,,-88225,-16849,-13208,-18050,505,-540,-197,-17742,,-1163,450.0,,8951.0,,8193,,-5000.0,0.0,,-991,-6529,105,-15973,342876,326903,326903,354.0,,,-45.0,,,2.0,,,0.0,332.0,7990.0,,,,,,3641.0,33.0,,,
3018,2014年度,,38898,38898,,,7375,256,3877,-1402,17947.0,,,-9954.0,-7299,83940,-39973,-2719,,10340,32679,,-5974,-73522,,30211,570,202,1585.0,-77568,-44889,-26942,11956,1602,-3574,-1677,11881,,-20821,,-5830.0,36563.0,,9912,,,,0.0,-3840,222331,-364,243760,99116,342876,342876,-903.0,-481.0,0.0,0.0,8260.0,-24988.0,0.0,0.0,0.0,-20000.0,-1175.0,-30640.0,484.0,185024.0,-2.0,89711.0,,,,,,
3018,2014年01月01日至2014年09月30日,,25237,25237,,,5354,192,2618,-993,15357.0,,,-9908.0,23838,61922,8044,-240,,26076,124569,,-3623,-97785,,21571,491,284,42.0,-91259,33310,48667,73904,1093,-3226,-89,74908,,-17939,,-3285.0,10325.0,,-10899,,18689.0,34944.0,0.0,-2850,47557,-31,111535,99116,210651,210651,-74.0,17111.0,,0.0,8260.0,0.0,0.0,0.0,0.0,,-2274.0,-12239.0,,,,,,,,,,
3018,2014年01月01日至2014年06月30日,,11823,11823,,,3512,128,1636,-675,13131.0,,,-9908.0,14554,45727,-898,-103,,-3446,54905,,-2379,-96283,,14292,-8,103,32.0,-79832,-24927,-11796,27,700,-1974,-57,670,,-14098,,-937.0,21135.0,,6100,,61180.0,-27.0,,-1860,57319,224,64313,99116,163429,163429,270.0,12674.0,0.0,0.0,8260.0,,,,,,-3695.0,4411.0,,,,,,,,,,
