公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 處分採用權益法之投資,　　 處分不動產、廠房及設備,　　 庫藏股票買回成本,　　　　　 應付票據增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　 金融資產減損損失,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 因合併產生之現金流入,　　　　　 應收帳款－關係人（增加）減少,　　 其他非流動資產減少
2357,2015年01月01日至2015年09月30日,,16349169,16349169,,,948876,306441,194455,-994837,-14019,-65562.0,70401,445755.0,,,4289938,-5743449,1648086,-2166434,2196925,-208548,16512,33030,,-2024085,-12413205,-676898,745548,-147068,75206,21520,-14418982,-14385952,-13940197,2408972,485949,-71743,-4163586,-1340408,,-153323.0,3935.0,-617980,-129817.0,-98412.0,-417770.0,2410633.0,17557,1014823,,-326066.0,867058.0,-901213.0,-12626925.0,277289.0,-73670.0,5116,-12778411,1779659,-11324337,79113855,67789518,67789518,,,,,,,,,,,,,,,,
2357,2015年01月01日至2015年06月30日,,11115694,11115694,,,656085,202796,-26145,-1130672,-3589,,-44529,-346054.0,,,-752356,-1113572,7042416,66637,2992414,526859,15685,8778083,,-616288,-9362954,-4858425,-3584875,-200200,391666,7037,-18224039,-9445956,-9792010,1323684,344316,-98462,-2273953,-704415,,-153323.0,3935.0,-352925,,,-260885.0,,-56994,-820192,,,307098.0,-591133.0,,,,-643,-17073,-1558112,-3099792,79113855,76014063,76014063,267605.0,,,,,,,,,,,,,,,
2357,2015年01月01日至2015年03月31日,,4911655,4911655,,,365016,100786,-7040,-1647737,-2551,,-2061,-1193587.0,,,1708900,-2634750,13017886,595694,7814573,690019,72952,21265274,,-238892,-24346179,-4335406,-1650298,-85178,1248898,718,-29406337,-8141063,-9334650,-4422995,144267,-55627,-117924,-4452279,,,,-131142,,,-170979.0,,-38191,-340312,,,309715.0,-311344.0,,,,34615,130681,-822045,-5483955,79113855,73629900,73629900,97695.0,,,,,,,,,,,,,,,
2357,2014年度,,25397514,25397514,,,2725264,372853,260707,-3147004,-22486,-396135.0,154636,,,,9313927,1360015,-7072838,-2715867,-23290538,-505549,772602,-22138248,,-1332821,19812921,2205511,3980995,233017,2341055,6782,27247460,5109212,5032621,30430135,655179,-205576,-4676851,26202887,,-134386.0,596647.0,-1389990,-150495.0,-272778.0,-1032140.0,1760115.0,-18312,-565299,,,302809.0,-306192.0,-14483825.0,,-138476.0,11466,-15734060,2686133,12589661,66524194,79113855,79113855,-1119842.0,,-24426.0,-76591.0,7605.0,68435.0,0.0,,,,,,,,,
2357,2014年01月01日至2014年09月30日,,19209045,19209045,,,2174956,270823,405629,-1433957,-15304,-101229.0,92063,1392981.0,,,7981172,-2348581,4717048,-1907121,-24483953,-973289,629566,-16385158,,-1202967,6490077,-1250605,2026959,295660,1477022,21885,7858031,-8527127,-7134146,12074899,457941,-196734,-4499781,7836325,,-134386.0,233143.0,-775104,-74410.0,-148140.0,-978513.0,1759870.0,7732,-109808,,-670899.0,0.0,-303543.0,-14483825.0,0.0,-138476.0,-30895,-15627638,929518,-6971603,66524194,59552591,59552591,,,,,,,,,,,,,,,,
2357,2014年01月01日至2014年06月30日,,11668639,11668639,,,1532257,181663,588821,-218226,-10202,,23395,2097708.0,,,1530788,3692785,7464271,-1279847,-15469284,654580,193244,-3213463,,-1075915,1482382,-3355252,212169,8157,219358,12280,-2496821,-5710284,-3612576,8056063,324124,-163119,-2886888,5330180,,-134386.0,118524.0,-621440,,,-790846.0,,-103270,-1531418,,,0.0,-1218.0,,,,-73202,-235755,64672,3627679,66524194,70151873,70151873,-161335.0,,,,,,,,,,,,,,,
2357,2014年01月01日至2014年03月31日,,5303294,5303294,,,769957,87987,225462,-199016,-5211,,23643,902822.0,,,1110012,-1655709,8419022,-889109,1273120,640539,217005,9114880,,-756733,-10503168,-4540751,864754,452613,-214465,20062,-14677688,-5562808,-4659986,643308,113766,-121283,-891153,-255362,,,,-428135,,,-546326.0,,-48752,-1023213,,,0.0,-846.0,,,,-60746,710292,1103484,535201,66524194,67059395,67059395,771884.0,,,,,,,,,,,,,,,
2357,2013年度,,27026102,27026102,,,2578962,400757,-192157,162430,-571969,-1583541.0,116225,,,,966175,-670890,-8218552,-1804522,2999239,-878639,-245941,-7853130,,-2315118,1945755,10303503,5041277,-1109609,392369,-1115,14257062,6403932,7515237,34541339,623855,-74445,-5208654,29882095,,-6449.0,175250.0,-2328017,27146.0,-217407.0,-1193058.0,1101199.0,-9893,2309820,,,928525.0,-1324846.0,-14302445.0,,-106485.0,53419,-16209319,932705,16915301,49608893,66524194,66524194,1068500.0,,200598.0,1111305.0,4652022.0,109027.0,-2525987.0,,,,,,,,,
2357,2013年01月01日至2013年12月31日,,27026102,27026102,,,2578962,400757,-192157,162430,-571969,-1583541.0,20643,,,,966175,-670890,-8218552,-1804522,2999239,-878639,-245941,-7853130,,-2315118,6807435,10303503,5041277,-1109609,392369,-1115,14257062,6403932,7515237,34541339,623855,-74445,-5208654,29882095,,,175250.0,-2328017,,-217407.0,-1193058.0,1101199.0,14511,2309820,,,928525.0,-1324846.0,-14302445.0,,-106485.0,53419,-16209319,932705,16915301,49608893,66524194,66524194,1068500.0,,200598.0,1111305.0,4652022.0,109027.0,-2525987.0,3517.0,-4865197.0,95582.0,0.0,0.0,-3707.0,0.0,,
2357,2013年01月01日至2013年09月30日,,19697988,19697988,,,1876369,307075,-296417,-30766,-563264,-1595495.0,84000,,,,5541893,-2893577,-2267503,-1427871,-1982848,733276,-36341,-2332971,,-1267247,-6094006,3622537,2784029,-1060585,168831,-38867,-1863318,-4196289,-4414787,15283201,423994,-63565,-4819211,10824419,,-1020.0,188803.0,-1415474,,-190116.0,-1196184.0,437073.0,10453,2591388,,,602992.0,-990964.0,-14302445.0,,-42645.0,6191,-15900574,594062,-1890705,49608893,47718188,47718188,1352284.0,,,-218498.0,4652022.0,105831.0,-2525987.0,21990.0,,,,,,,,
