公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金減少,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分不動產、廠房及設備,　　 存入保證金增加,　　 非控制權益變動,　　　　 股利收入,　　 收取之股利,　　 發放現金股利,　　　　 未實現銷貨利益（損失）,　　 預付設備款減少,　　 其他籌資活動,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 存出保證金減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 存出保證金增加,　　 取得採用權益法之投資,　　 預付設備款增加,　　 其他投資活動,　　 取得以成本衡量之金融資產,　　 短期借款減少,　　 現金減資
3015,2016年01月01日至2016年09月30日,,279864,279864,,,119743,2094,6628,2682,-25349,,1228,-16283,,,,,80664,-3586,-294963,-184575,-2088,215217,15360,7290,4377,-162304,,4123,-127801,-11343,40735,5755,,,-95067,-257371,-250151,29713,25544,-2665,-43988,8604,,-255768,-4180.0,-297770,,62098,,,-316336,-97483,-702985,3849352,3146367,3146367,,-5.0,,-84000.0,279.0,-288393.0,477.0,,-10962.0,0.0,0.0,,,7220.0,-6536.0,-3394.0,0.0,-34707.0,0.0,0.0,-79074.0,
3015,2016年01月01日至2016年06月30日,,154146,154146,,,82165,1173,3253,1761,-18020,,2797,-10843,,,,,80109,48435,-181126,-278523,-2819,113162,4198,1581,1517,-213466,,323,-191696,-17245,14738,-17250,,,-215460,-428926,-366614,-212468,18810,-1909,-30694,-226261,,-134055,-3980.0,-165160,,15647,,,-16317,-45871,-453609,3849352,3395743,3395743,,168.0,,,,,26.0,,0.0,0.0,0.0,,,62312.0,-4330.0,-3463.0,0.0,-23662.0,0.0,,-32132.0,
3015,2016年01月01日至2016年03月31日,,75963,75963,,,42045,357,1618,866,-10225,,4522,-10826,,,,,79302,14358,198108,-37404,-8154,210152,974,-11877,-2340,443119,,-68,-205993,-1770,-29893,-77161,,,-317028,126091,154510,230473,10406,-1069,-3123,236687,,-68370,-2644.0,-38335,,0,,,-16086,-9282,172984,3849352,4022336,4022336,35063.0,-5.0,,,,,62.0,-2438.0,0.0,0.0,0.0,,,28419.0,-2143.0,54.0,,,,,-16081.0,
3015,2015年度,,475212,475212,,,191844,217,5004,6217,-46760,,1618,1037,,,,,-17363,4530,28536,123810,7033,53831,12813,1337,44,214571,,290,-334039,-17890,-33400,26163,,,-367485,-152914,-455298,19914,48310,-6070,-100484,-38330,,-215718,-1129.0,156979,,158237,836.0,,-483752,-42236,-407339,4256691,3849352,3849352,0.0,,,-66089.0,66089.0,-23446.0,176.0,4259.0,-12689.0,-395648.0,387285.0,-303.0,,-302384.0,-8609.0,,-30858.0,,-21427.0,-31219.0,-184652.0,-422038.0
3015,2015年01月01日至2015年09月30日,,148473,148473,,,146924,106,8763,4965,-36400,,4000,664,,,,,-16240,13849,-124929,14406,8695,504013,22066,-5847,13,416026,,-841,-918052,-26037,-92678,-25130,,,-1068970,-652944,-697172,-548699,37307,-4845,-97164,-613401,,-139697,-825.0,-132073,,48229,,,-47923,13301,-780096,4256691,3476595,3476595,0.0,887.0,0.0,-66089.0,0.0,-23446.0,101.0,,-12689.0,-107262.0,94529.0,,,-44228.0,-6232.0,-163.0,-30858.0,-1282.0,-21427.0,-32350.0,-60904.0,
3015,2015年01月01日至2015年06月30日,,-19095,-19095,,,100295,29,8013,3781,-26073,,2832,457,,,,,-16165,654,266326,26997,15737,390636,19104,-975,5861,708175,,-470,-1140356,-32425,-106006,-35419,,,-1318823,-610648,-628145,-647240,25955,-3688,-48771,-673744,,-60906,-821.0,-23145,,-4178,,,-15866,-55149,-767904,4256691,3488787,3488787,0.0,1001.0,,,,,431.0,,-12689.0,-107262.0,94529.0,,,-17497.0,-4147.0,-461.0,-30858.0,-3201.0,-21427.0,,,
3015,2015年01月01日至2015年03月31日,,34823,34823,,,51634,0,-39,1922,-12832,,718,318,,,,,-289,3388,304334,48056,-2741,220533,695,292,20708,594976,,-2540,-908430,-12586,-168733,-16151,,,-1110381,-515405,-566644,-531821,12792,-1928,-40327,-561284,,-22954,,59806,,3780,,,2665,-15459,-514272,4256691,3742419,3742419,,612.0,,,,,-151.0,-7051.0,-1727.0,-92809.0,94529.0,,,-51239.0,-1941.0,-4718.0,,,,,,
3015,2014年度,,545821,545821,,,205601,402,3650,4881,-48481,0.0,-1055,1281,,94089.0,,,177473,-41825,-149294,-138408,-16104,-295547,-25743,5781,-340,-484007,,-893,311194,17267,128607,26138,-7706.0,,474607,-9400,84689,630510,50638,-4940,-148234,527974,,-156153,0.0,-91387,,81875,-226.0,0.0,-349710,55759,142636,4114055,4256691,4256691,186.0,,0.0,-44612.0,44612.0,-422038.0,50.0,-66.0,-9321.0,-27628.0,28821.0,-8787.0,,,,,,,,,,
3015,2014年01月01日至2014年09月30日,,422430,422430,,,151512,402,2668,3305,-36079,0.0,-768,754,0.0,49835.0,,,181474,-20893,-570351,-376783,-8047,-116800,-16258,1105,-4640,-931193,,-860,522486,11318,69650,18946,-5672.0,,615868,-315325,-265490,156940,38185,-3352,-131383,60390,,-117212,0.0,-88614,,56214,168.0,0.0,-367670,-153,-396047,4114055,3718008,3718008,185.0,,0.0,-44612.0,0.0,-422038.0,281.0,-408.0,-2014.0,-27628.0,28821.0,,,,,,,,,,,
3015,2014年01月01日至2014年06月30日,,217404,217404,,,100192,402,1450,2133,-23276,,-762,555,0.0,53263.0,,,-31109,-29015,-77534,-131214,-8445,-26891,7772,4629,7245,-284562,,-1073,-124144,-6813,31570,18107,-3621.0,,-85974,-370536,-317273,-99869,25658,-2203,-52735,-129149,,-84244,0.0,-62285,,27552,,0.0,25677,-29370,-195127,4114055,3918928,3918928,63.0,139.0,0.0,,,,197.0,-6925.0,-2014.0,-27628.0,28821.0,,,,,,,,,,,
3015,2014年01月01日至2014年03月31日,,130776,130776,,,49775,402,286,1031,-9983,,-422,119,0.0,13804.0,,,-30218,5746,192949,-94994,-44334,112322,3757,-4056,11125,152297,,-2616,-332116,4105,-63272,4138,-1880.0,0.0,-391641,-239344,-225540,-94764,13023,-1012,-12418,-95171,,-28271,0.0,-1864,,15424,,0.0,15570,-4668,-86133,4114055,4027922,4027922,,146.0,,,,,224.0,-2414.0,,-27628.0,28821.0,,,,,,,,,,,
3015,2013年度,,652717,652717,,,203706,2409,1564,4240,-34366,0.0,-369,1221,,135572.0,,,-52852,-29514,193906,-87277,4579,-354393,-1056,-12912,22638,-316881,,-1006,162796,-12176,118644,5515,-7718.0,,266055,-50826,84746,737463,31719,-4077,-153627,611478,,-173852,-2895.0,-137338,,-11371,3.0,89703.0,-377621,78510,175029,3939026,4114055,4114055,2.0,,17169.0,-42061.0,42061.0,-459754.0,-772.0,-2654.0,-13371.0,0.0,0.0,0.0,,,,,,,,,,
3015,2013年01月01日至2013年12月31日,,652717,652717,,,203706,2409,1564,4240,-34366,0.0,-369,1221,,135572.0,,,-52852,-29514,193906,-87277,4579,-354393,-1056,-12912,22638,-316881,,-1006,162796,-12176,118644,5515,-7718.0,,266055,-50826,84746,737463,31719,-4077,-153627,611478,,-173852,-2895.0,-137338,,-11371,3.0,89703.0,-377621,78510,175029,3939026,4114055,4114055,2.0,,17169.0,-42061.0,42061.0,-459754.0,-772.0,-2654.0,-13371.0,,,,,,,,,,,,,
3015,2013年01月01日至2013年09月30日,,542409,542409,,,149760,1807,-782,3217,-23690,0.0,117,260,111.0,88739.0,,,-51881,-62710,80622,-163112,1842,-70942,-9039,27301,19016,-228903,,-3933,8680,-18833,81841,8778,-5768.0,,70765,-158138,-69399,473010,21301,-3171,-127805,363335,,-89671,-740.0,-48350,,1628,-2.0,37038.0,-415931,56926,-44020,3939026,3895006,3895006,0.0,0.0,5159.0,-42061.0,42061.0,-459754.0,,,,,,,,,,,,,,,,
3015,2013年01月01日至2013年06月30日,,384799,384799,,,93596,1205,423,2110,-16643,0.0,353,7,111.0,81162.0,,,-101570,-17581,-144118,-96156,8734,-65371,-27890,23985,3574,-416393,,-2730,16207,-33381,28497,-23817,-3696.0,,-18920,-435313,-354151,30648,14852,-2122,-57387,-14009,,-45929,-599.0,-46528,,4446,,22004.0,38953,75777,54193,3939026,3993219,3993219,0.0,2.0,12501.0,,,,,,,,,,,,,,,,,,,
3015,2013年01月01日至2013年03月31日,,130741,130741,,,47016,2310,475,1137,-6704,0.0,198,7,111.0,44550.0,,,4755,1280,194287,-62061,3322,11965,-21288,8171,13049,153480,,-4184,-70948,-27903,-35732,-12888,-1824.0,41.0,-153438,42,44592,175333,5174,-1125,-17998,161384,,-21840,-433.0,-22273,,4287,-2.0,18298.0,22583,38242,199936,3939026,4138962,4138962,,,,,,,,,,,,,,,,,,,,,,
3015,2012年01月01日至2012年12月31日,,826361,826361,,,189441,9068,-3577,3274,-24745,2461.0,-296,3383,,160179.0,,,93068,15752,636873,27391,953,732976,25811,-50937,26948,1508835,,3197,-1050274,25834,-72962,31990,-7046.0,,-1069261,439574,599753,1426114,21834,-3390,-264819,1179739,,-95178,-6329.0,-85386,,24908,-4.0,24026.0,-463870,-40024,590459,3348567,3939026,3939026,845.0,,-34658.0,-18288.0,18288.0,-458549.0,-542.0,-3012.0,-19593.0,,,,,,,,,,,,,
3015,2012年01月01日至2012年09月30日,,702567,702567,,,153299,1735,-2600,2685,-19295,2008.0,-230,2615,0.0,121929.0,,,93467,14727,346181,14561,-13881,715093,8392,-15233,22119,1185426,,-682,-1033717,-305,-46541,35212,-3344.0,,-1049377,136049,257978,960545,16962,-2605,-221938,752964,,-75526,-6210.0,-62471,,20234,-4.0,17961.0,-474957,-36077,179459,3348567,3528026,3528026,977.0,0.0,-54599.0,-18288.0,18288.0,-458549.0,,,,,,,,,,,,,,,,
