公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 應付款項增加,　　 應付款項減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資性不動產損失（利益）,　　 取得投資性不動產,　　 處分投資性不動產,　　 短期借款增加,　　 存入保證金增加,　　 發放現金股利,　　 其他預付款項增加,　　 預付投資款增加,　　 取得無形資產,　　　　 股利收入,　　　　　 應付帳款－關係人增加（減少）,　　 取得以成本衡量之金融資產,　　 其他非流動資產增加,　　 收取之股利,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 淨確定福利負債增加(減少),　　 舉借長期借款,　　 取得無活絡市場之債務工具投資,　　 發行公司債,　　 償還長期借款
1707,2016年01月01日至2016年09月30日,,1650806,1650806,,,150141,2725,2432,-1445,26982,-2582,862,,,,2665,-46520,1946.0,-2473,-138756,-22808,2280,,43509,,1451,65764,2022,-3565.0,,90997.0,124429,,260644,304153,483268,2134074,2586,-14847,-346329,1775484,,,,-556624,186.0,,-4802,,-619871,,,,,-1541000.0,542,-384845,1432560,1047715,1047715,,,,30000.0,16173.0,-1086208.0,,,-16699.0,,0.0,0.0,-562.0,,,179115.0,247175.0,-20454.0,0.0,-41370.0,0.0,-500965.0
1707,2016年01月01日至2016年06月30日,,1067550,1067550,,,100267,1232,101,-1347,20088,-1882,828,,,,-5181,-22773,304.0,-1072,-105076,-8085,-107,,-421301,,7963,84807,223109,-12320.0,,72901.0,116430,,478650,57349,176636,1244186,1928,-11064,-187618,1047432,,,,-399301,112.0,-5177.0,0,,-448213,,,,,-649875.0,1410,-49246,1432560,1383314,1383314,,,,,15212.0,-356527.0,,,-16321.0,,0.0,,69.0,,,119287.0,-279311.0,-14240.0,0.0,-27595.0,,-308560.0
1707,2016年01月01日至2016年03月31日,,496946,496946,,,50335,447,116,-164,10579,-593,156,,,,-139,-24708,-1645.0,-2558,-29909,-1806,496,,-160269,,499,11838,-52242,7131.0,,,120250,,73936,-86333,-25457,471489,652,-6009,-2067,464065,,,,-247249,,,-2010,,-269661,,,,,-165513.0,591,29482,1432560,1462042,1462042,,,,35000.0,2820.0,,,,0.0,,0.0,,-125.0,,,60876.0,-100000.0,-13540.0,,-20277.0,,-203333.0
1707,2015年度,,1882604,1882604,,,149781,610,25,-3592,23136,-3387,14056,,,,-1432,2913,616.0,26,-91206,-3952,-9223,0.0,-616083,,-5617,31248,128681,25702.0,,30806.0,-1913,,197563,-418520,-237891,1644713,3387,-16696,-324474,1306930,,,,-2634649,0.0,,5472,,-2646675,,,,,1398704.0,-234,58725,1373835,1432560,1432560,0.0,0.0,,,200.0,-1089830.0,,,-2594.0,0.0,-987.0,-9526.0,-383.0,0.0,,180629.0,-513825.0,-10357.0,1800000.0,-4995.0,995000.0,-306666.0
1707,2015年01月01日至2015年09月30日,,1339118,1339118,,,111701,225,155,-1502,12101,-2415,13591,,,,-1322,-10628,-5359.0,-197,-97195,-7807,-1432,0.0,-711906,,-4531,31396,-148687,12767.0,,18482.0,13315,,-83344,-795250,-661394,677724,2415,-10325,-324360,345454,,,,-2464670,0.0,0.0,779,-30367.0,-2510605,,,,,1501837.0,23,-663291,1373835,710544,710544,0.0,0.0,,,0.0,-1089830.0,0.0,0.0,-1604.0,,-987.0,-9526.0,-41.0,,,133856.0,-587966.0,-5099.0,1800000.0,-5176.0,995000.0,-203333.0
1707,2015年01月01日至2015年06月30日,,866947,866947,,,72469,150,38,-576,2941,-1659,13591,,,,4878,-6723,2371.0,-173,-56907,-4392,-4512,0.0,-3598,,1312,56679,36027,8252.0,,5934.0,5958,,108693,105095,192049,1058996,1659,-2601,-179191,878863,,,,-2357183,0.0,0.0,822,-25233.0,-2382949,,,,,1400416.0,584,-103086,1373835,1270749,1270749,0.0,0.0,,,,-399584.0,0.0,,-1351.0,,-987.0,,-4.0,,,86954.0,61860.0,-4482.0,1800000.0,,,
1707,2015年01月01日至2015年03月31日,,419269,419269,,,34514,75,87,-283,20,-390,0,,,,3863,-9965,3197.0,46,-17120,43,25,0.0,-59911,,895,16111,-115265,-284.0,,-1541.0,-3214,,-108372,-168283,-134260,285009,390,-20,-15,285364,,,,-85756,0.0,0.0,809,-22995.0,-109014,,,,,,242,176592,1373835,1550427,1550427,,0.0,,,,,0.0,,-1203.0,,-987.0,,131.0,,,34023.0,-40000.0,-4087.0,,,,
1707,2014年度,,1689218,1689218,,,128975,150,-194,-2490,86,-2120,2874,129036.0,,,-2164,-6083,-4942.0,-1196,-33102,-3509,-921,450.0,-51467,,-7005,46333,151373,,918.0,35224.0,27,-14242.0,213615,162148,291184,1980402,2120,-86,-281014,1701422,,-685000.0,905324.0,-155843,315.0,-8974.0,1348,-31127.0,-498535,,-16.0,,,-898201.0,454,305140,1068695,1373835,1373835,1785.0,-38472.0,0.0,,133.0,-898318.0,-465154.0,,-11361.0,-30.0,987.0,-6228.0,-3393.0,30.0,,,,,,,,
1707,2014年01月01日至2014年09月30日,,1168024,1168024,,,99901,75,82,-2107,61,-1393,2787,101191.0,,,-110,-2984,,205,-9871,-3580,-1295,450.0,-17185,,-2706,32059,-83455,,1121.0,33624.0,7055,-5141.0,-17443,-34628,66563,1234587,1393,-61,-278079,957840,,-682798.0,794905.0,-96739,114.0,-8630.0,1348,-26120.0,-360930,,0.0,,,-898217.0,-1431,-302738,1068695,765957,765957,1785.0,-38471.0,0.0,0.0,100.0,-898317.0,-289774.0,-6228.0,-8537.0,,,,,,,,,,,,,
1707,2014年01月01日至2014年06月30日,,738152,738152,,,66376,0,103,-1400,40,-1187,148,,,,1236,-4558,0.0,-479,11565,-6955,-564,450.0,-539007,,-4642,17808,93075,-345.0,,25242.0,-2732,,124403,-414604,-346784,391368,1187,-40,-158812,233703,,,,-33254,114.0,-2708.0,1118,-51784.0,-401818,,,,,-247143.0,7373,-407885,1068695,660810,660810,3740.0,-25530.0,,,,-247143.0,-289774.0,,0.0,,0.0,,0.0,,,67820.0,-539702.0,-4003.0,0.0,,,
