公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 未實現銷貨利益（損失）,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 處分以成本衡量之金融資產,　　 處分不動產、廠房及設備,　　 預付設備款增加,　　 員工執行認股權,　　　　 利息費用,　　　　 股利收入,　　 因合併產生之現金流入,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 現金增資,　　 以成本衡量之金融資產減資退回股款,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 存出保證金增加,　　 存入保證金增加,　　　　　 持有供交易之金融資產（增加）減少,　　 其他非流動資產增加,　　　　　 其他營業負債增加（減少）,　　 停業單位稅前淨利（淨損）
4108,2016年01月01日至2016年09月30日,,-160586,-160586,,,25608,10912,-25,-2,-9080,2820,-46,,,,,2161,1770,0,-3374,-2173,-1259,-583300,,-602129,,-557,654,-12675,13473,,,61913,-540216,-519998,-680584,9080,9969.0,,,97,-661438,,,,,,,-3066,-4427,63,-126172,,,354000,,-433610,807247,373637,373637,,,,,,,,,-8631.0,,,-9969.0,,-110111.0,,354000.0,,,20218.0,98.0,0.0,0.0,-15954.0,,60920.0,0.0
4108,2016年01月01日至2016年06月30日,,-124081,-124081,,,17103,7299,-25,-5,-5840,2646,-25,,,,,2161,2607,-2647,6212,-211,-2607,-375720,,-425180,,-553,810,-9144,13630,,,69051,-356129,-334976,-459057,5840,0.0,,,177,-453040,,,,,,,-1567,-2515,23,-116659,,,354000,0.0,-215699,807247,591548,591548,,,,,,,,,-2489.0,,,0.0,,-110111.0,,354000.0,,,21153.0,65.0,0.0,0.0,-54975.0,,64243.0,
4108,2016年01月01日至2016年03月31日,,-63679,-63679,,,8557,3686,-21,0,-2905,174,-3,,,,,1778,2718,0,7989,-879,-1027,-164000,,-163418,,161,-1738,-14540,-191,,0.0,-16275,-179693,-170205,-233884,2905,0.0,0.0,0.0,179,-230800,,,,,,,0,-1884,32,-4235,,,0,0.0,-235035,807247,572212,572212,,,,,,,,,-2383.0,,,,,0.0,,0.0,,,9488.0,33.0,,,-9997.0,,,
4108,2015年度,,-237173,-237173,,,33543,14971,-663,24,-12220,3290,1842,0.0,,,,60508,8570,2513,-17708,7464,1265,24000,,108777,,518,-48444,-6418,-290,,-1608.0,-56037,52740,82561,-154612,12256,12036.0,,,-897,-131217,,,,0.0,0.0,0.0,-11035,-510,89,-37274,,,183133,0.0,14642,792605,807247,807247,0.0,1070.0,,,,,0.0,0.0,-9164.0,700.0,,-12036.0,,-16604.0,0.0,182400.0,0.0,,29821.0,205.0,-50.0,33.0,22165.0,0.0,,
4108,2015年01月01日至2015年09月30日,,-191427,-191427,,,25029,11248,-583,22,-9061,3049,1868,0.0,,,,52145,12240,2334,16,7012,277,133000,,216163,,-60,-43927,-16461,-584,,-1608.0,-62486,153677,173213,-18214,9097,12036.0,,,-582,2337,,0.0,0.0,0.0,0.0,,-4131,-434,61,-27928,,,182433,0.0,156842,792605,949447,949447,0.0,0.0,,,,,,0.0,-6770.0,,,-12036.0,,-16604.0,,182400.0,0.0,,19536.0,154.0,-50.0,33.0,9139.0,0.0,,
4108,2015年01月01日至2015年06月30日,,-148987,-148987,,,16737,7479,-522,-6,-5942,2807,1927,,,,,47806,10460,5,4644,7862,41,73000,,143818,,-60,-41837,-17602,-291,,0.0,-59687,84131,106538,-42449,5978,73.0,,,-270,-36668,,-53000.0,61080.0,,,,-3154,-434,21,-8418,,,182433,0.0,137347,957605,1094952,1094952,,,,,,,,,-2963.0,,,-73.0,,-9918.0,,182400.0,,,22407.0,103.0,-50.0,33.0,,,,
4108,2015年01月01日至2015年03月31日,,-82314,-82314,,,8323,3667,-247,21,-2717,2568,1943,,,,,20666,9163,-84,-2291,6651,-146,143000,,165023,,88,-20972,-16823,202,,0.0,-37464,127559,141117,58803,2717,0.0,0.0,0.0,53,61573,,,,,,,-1003,-434,30,-11687,,,182400,0.0,232286,792605,1024891,1024891,,,,,,,,,-362.0,,,,,-9918.0,,182400.0,,,13558.0,41.0,,,-11936.0,,,
4108,2014年度,,-347260,-347260,,,31843,21501,-56,-24,-11510,713,-332,0.0,60361.0,,,-3221,15711,495,54825,-10999,-377,163480,,219914,,55,12997,7019,-2108,-123.0,-2987.0,14853,234767,295128,-52132,11583,7975.0,,,-1169,-33743,,-142000.0,169983.0,0.0,0.0,-22615.0,-12951,-4996,-43,-13842,,,0,-27.0,-47612,94217,46605,46605,436.0,25765.0,,,,,0.0,29.0,-6181.0,0.0,,-7975.0,,0.0,0.0,0.0,4932.0,,,,,,,,,
4108,2014年01月01日至2014年09月30日,,-243141,-243141,,,23692,16133,29,-193,-8717,470,-76,0.0,49584.0,,,1751,-9488,473,24835,-8601,-723,155980,,164227,,55,23914,-10547,-2043,-92.0,-1387.0,9900,174127,223711,-19430,8782,7975.0,,,-889,-3562,,-112000.0,91750.0,0.0,0.0,,-3616,-4914,-69,-29418,,0.0,0,-57.0,-33037,94217,61180,61180,456.0,25765.0,,,,,,0.0,-5501.0,0.0,,-7975.0,,,,,4932.0,,,,,,,,,
4108,2014年01月01日至2014年06月30日,,-157394,-157394,,,15625,10765,149,-125,-5971,135,-28,0.0,20550.0,,,-22445,19558,-56,24358,-9761,103,165980,0.0,177737,,5,25072,-10751,-1984,-61.0,-181.0,12100,189837,210387,52993,6037,,,,-614,58416,,-92000.0,60090.0,0.0,0.0,0.0,-1868,-394,19,-38333,,0.0,0,-3.0,20080,94217,114297,114297,0.0,0.0,0.0,,,58416.0,0.0,0.0,-4180.0,0.0,,,,,,,,,,,,,,,,
