公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 處分持有至到期日金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分無形資產,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 員工執行認股權,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得以成本衡量之金融資產,　　 其他非流動資產增加,　　 短期借款減少,　　 存出保證金減少,　　　　 處分其他資產損失（利益）,　　 處分以成本衡量之金融資產,　　 其他金融資產減少,　　 取得採用權益法之投資,　　 其他投資活動,　　 發放現金股利,　　　　 非金融資產減損損失,　　 非控制權益變動,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 存入保證金減少,　　 採用權益法之被投資公司減資退回股款,　　 預付投資款增加,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分子公司
3706,2016年01月01日至2016年09月30日,,1721002,1721002,,,336446,78302,12041,-20410,10237,-44644,-101396.0,4845,-1085805,-5463,-30286,28408.0,-197611,,,,-11605,-1748610,-45677,-1269998,-43399,-3119289,,,3225128,91253,-6314,-244258,,,3066657,-52632,-1067968,653034,45798,589823.0,-9438,-177057,1102160,,-94488.0,134357,8820.0,,90007.0,408418.0,-849184,11801,,-66068,,,-24518.0,,-521599,,2317393.0,,-80,93502,0.0,0.0,2410815,-13314,2978062,8786787,11764849,11764849,,-18354.0,0.0,8495.0,,,0.0,-136979.0,,0.0,,,,-1015336.0,848.0,,0.0,0.0,-2004.0,2210.0,5888.0
3706,2016年01月01日至2016年06月30日,,853831,853831,,,226817,51746,10000,-17299,4966,-30289,-2684.0,3230,-651370,-7315,21747,28408.0,-111515,,,,-23672,-491013,-10898,-15818,-27433,-568834,,,1121675,-59810,-7359,-273083,,,781990,213156,-260402,593429,30987,75486.0,-4771,-102784,592347,,-71075.0,109857,,,,408418.0,-536149,10497,,-48301,,,-23475.0,0.0,-287327,,1204538.0,,2672,61415,,,1268625,-66467,1507178,8786787,10293965,10293965,,-8387.0,,8061.0,,,0.0,-136979.0,,,,,,-473558.0,567.0,0.0,0.0,,-2004.0,2210.0,
3706,2016年01月01日至2016年03月31日,,211558,211558,,,113039,26149,5189,8822,1767,-14469,-2684.0,1615,-316999,37,15474,28408.0,-13387,,,,3650,303026,-18682,299406,-198548,388852,,,-151818,-317801,-11491,-29605,,,-510432,-121580,-268619,-57061,14447,39484.0,-1666,-22162,-26958,,0.0,2661,,,,,-340144,533,,-28003,,,-23984.0,0.0,-398627,,404687.0,,1438,33066,,,439191,21526,35132,8786787,8821919,8821919,,-7899.0,,213.0,,,0.0,,,,,,,-147039.0,283.0,0.0,,,-2004.0,,
3706,2015年度,,2014103,2014103,,,534742,256504,6419,36291,32053,-99428,-119828.0,55137,-1380981,-12999,16506,25902.0,182649,,,,173,2273874,26156,840965,76146,3217314,,0.0,-2245258,188253,13245,141115,,,-1897068,1320246,853213,2867316,107274,599287.0,-37168,-167836,3368873,,-72340.0,33799,,,0.0,,-804950,16477,0.0,-52026,,,,,229290,,0.0,,0,303148,-169362.0,66875.0,-3213109,-92592,292462,8494325,8786787,8786787,-25000.0,-14637.0,-2876061.0,24216.0,0.0,0.0,1170853.0,-64237.0,0.0,-525270.0,0.0,0.0,,-467033.0,5577.0,-12439.0,17135.0,,,,
3706,2015年01月01日至2015年09月30日,,1827689,1827689,,,360245,196458,2057,31868,32894,-85445,-115130.0,49458,-972430,3,379,9760.0,-14952,,,,1712,2218209,37463,-46552,-27855,2182977,,0.0,-2588036,182410,-32483,234481,,,-2202601,-19624,-524459,1303230,92814,523226.0,-36116,-138408,1744746,,-6840.0,25000,,,0.0,,-463512,3303,0.0,-26908,,,,,627716,,0.0,,0,287667,-162139.0,66875.0,-1096756,-19394,1256312,8494325,9750637,9750637,0.0,-16475.0,-751683.0,23765.0,0.0,0.0,1161190.0,-63942.0,0.0,-525270.0,,,,-504835.0,1027.0,-12206.0,17135.0,-25000.0,,,
3706,2015年01月01日至2015年06月30日,,1207295,1207295,,,243860,135032,21,34421,23751,-63179,0.0,7537,-671906,204,375,5232.0,-30268,,,,2331,-2573534,26426,-188812,22462,-2711127,,0.0,433610,529143,-27078,-39954,,,896461,-1814666,-2129586,-922291,68432,152024.0,-21508,-109760,-833103,,-1031.0,25000,,,0.0,,-377760,2484,0.0,-10680,,,,675.0,795480,,184418.0,,0,270166,,,442706,71164,476247,8494325,8970572,8970572,,0.0,,15956.0,0.0,0.0,1123701.0,,,,,,,-314920.0,740.0,-11878.0,17135.0,,,,
3706,2015年01月01日至2015年03月31日,,568562,568562,,,116153,68035,-938,2861,10915,-31903,0.0,3769,-358030,201,-29,5232.0,-3032,,,,-5578,-2164055,-18320,-1577508,-70664,-3836125,,0.0,2403960,-13543,-12475,22144,,,2400534,-1435591,-1622357,-1053795,30138,,-10264,-28524,-1062445,,-1031.0,25000,,,,,-101828,1962,,-4328,,,0.0,1403.0,229574,,431547.0,,0,9843,,,438629,67017,-327225,8494325,8167100,8167100,,,,248.0,,,308148.0,,,,,,,-186766.0,448.0,-2761.0,,,,,
3706,2014年度,,1050823,1050823,,,486984,296229,-26594,-18362,44146,-147848,-105534.0,66639,-1213705,-11227,-58609,104593.0,131792,-355723.0,,,4529,-1103894,58923,-725420,-124017,-1889879,,-1622.0,672842,-61266,-119909,68648,-439.0,,558254,-1331625,-1687348,-636525,147414,340579.0,-40808,-180688,-370028,,-45000.0,82770,0.0,,63223.0,0.0,-452480,48156,-22231.0,-119239,,,0.0,,132956,,1481607.0,,20688,226850,,78316.0,1362307,178367,1303602,7190723,8494325,8494325,-25957.0,-7791.0,0.0,,-15832.0,2879.0,597064.0,-7839.0,19401.0,-444654.0,111605.0,-500.0,,,,,,,,,
3706,2014年01月01日至2014年09月30日,,697360,697360,,,366688,213293,-6593,-23131,31591,-111837,-100056.0,62176,-775693,-1367,-47688,,65157,-343292.0,,,5794,482561,73743,-920787,-198126,-556815,,-626.0,254650,-115377,-41663,20534,1610.0,,119128,-437687,-780979,-83619,94259,313137.0,-27332,-97369,199076,,-45000.0,59441,0.0,0.0,63223.0,0.0,-342225,15312,-13357.0,-73087,0.0,0.0,,0.0,-167758,,1600349.0,0.0,8145,203666,,78316.0,1445822,72818,1549958,7190723,8740681,8740681,-25000.0,-3072.0,,,-15832.0,2862.0,181583.0,-7839.0,19401.0,-444654.0,,,,,,,,,,,
3706,2014年01月01日至2014年06月30日,,413704,413704,,,261578,136648,-7133,4524,20690,-74441,,31228,-471512,-1477,-41162,,3512,-153377.0,,,7528,-272006,62076,307374,-103948,1024,,-1622.0,-143149,176189,-26136,61361,1035.0,,67678,68702,-84675,329029,63762,,-19075,-70519,303197,,,48913,,,-25000.0,,-253370,4414,-8309.0,-16976,,,,19401.0,-225267,,1728726.0,,3015,119767,,,1851508,-45676,1883762,7190723,9074485,9074485,,-5382.0,,,-15832.0,2852.0,8190.0,,,,,,,,,,,,,,
