公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 其他非流動負債減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　 處分採用權益法之投資,　　　　 呆帳費用提列（轉列收入）數,　　　　 非金融資產減損迴轉利益,　　 收取之股利,　　 取得採用權益法之投資,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 其他應收款減少,　　 處分子公司股權（未喪失控制力）,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得以成本衡量之金融資產,　　 舉借長期借款,　　　　 股利收入,　　　　　 淨確定福利負債增加(減少),　　 以成本衡量之金融資產減資退回股款,　　 處分備供出售金融資產,　　 存出保證金減少,　　　　 處分投資性不動產損失（利益）,　　 處分待出售非流動資產,　　 處分投資性不動產,　　 其他金融資產減少
3701,2016年01月01日至2016年09月30日,,233497,233497,,,369057,-6641,42667,-20196,23,11244,0,5759,,,,-101,1658,495460,406,22507,-26,150206,159063,-1172,828001,,-84,-836988,-135672,-281984,-5397,57412,31772,-121.0,-1171062,-343061,6892,240389,26315,-46890,-63594,165543,,0.0,-185633,11112,15352.0,,-762,429654,,-355287,,-6338,-29348,0.0,-365500,-67715,161982,965301,1127283,1088807,38476.0,-41943.0,,,0.0,,,9323.0,,70558.0,625.0,0.0,0.0,,349953.0,-690.0,25473.0,-2866.0,,,,,-7151.0,29262.0,18918.0,470912.0
3701,2016年01月01日至2016年06月30日,,117718,117718,,,251973,-6663,28925,-13459,-1558,15474,0,3917,,,,-15035,3904,-50579,-2549,12552,88,339526,38066,-1498,324475,,-66,-468832,-105208,-107032,-5017,31044,-13388,-95.0,-668594,-344119,-107453,10265,22720,-32351,-43032,-42398,,0.0,-122668,1872,19425.0,450961.0,-1025,449010,,-28416,-12825.0,-4231,11660,0.0,-33812,-29130,343670,965301,1308971,1284617,24354.0,-41943.0,,,,,,,,70558.0,29887.0,0.0,,,236666.0,0.0,,,,,,,,,,
3701,2016年01月01日至2016年03月31日,,51268,51268,,,130268,-7004,16087,-9762,464,493,0,1957,,,,26,-2904,-160582,3687,36546,132,62519,24226,-2513,-38863,,-75,-163191,-33100,-125833,-3849,10831,-13254,313.0,-328158,-367021,-235143,-183875,14921,-19760,-28291,-217005,,,-52492,879,,520251.0,-1162,486907,,-292928,-6875.0,-3131,13200,,-289734,5383,-14449,965301,950852,934250,16602.0,-625.0,,,,,,,,625.0,,0.0,,,131878.0,,,,,,0.0,18806.0,,,,
3701,2015年度,,-599613,-599613,,,503568,-153231,74464,-52573,5678,156792,-118207,7815,,,,796,25633,361628,3435,30871,-79,337909,-23606,962,737549,,-1,-541467,25922,-183911,2299,20111,9604,,-666206,71343,782551,182938,51339,-74603,-59876,109442,,125723.0,-403906,209480,-11439.0,545740.0,556,477447,,-906416,43083.0,6636,-2501,0.0,-859198,-10355,-282664,1247965,965301,965301,,0.0,1505.0,289325.0,0.0,,,9644.0,,,,11443.0,0.0,,711208.0,-250.0,,-3928.0,1237.0,100.0,,,,,,
3701,2015年01月01日至2015年09月30日,,-274945,-274945,,,354497,-136357,61919,-45679,4133,147354,-58873,5850,,,,111,15847,455978,4342,10966,-105,96984,-52713,-2303,529107,,1,-433938,8024,-87610,-714,7759,-34455,-92.0,-541025,-11918,320926,45981,39655,-62510,-39361,-10519,,63918.0,-286979,179028,-5958.0,9229.0,565,-29004,,-454070,,6938,-15427,0.0,-413254,-2393,-455170,1247965,792795,777678,15117.0,0.0,,,0.0,,,5716.0,,,,11443.0,0.0,,332844.0,-250.0,49305.0,,,,,,,,,
3701,2015年01月01日至2015年06月30日,,-189510,-189510,,,232654,-145073,41297,-30999,7025,127479,-49741,3872,,,,-3036,-967,587874,1440,87185,-5558,91099,-28457,-641,728939,,8,-474203,-44435,-153601,-1309,8286,-56362,1121.0,-720495,8444,194958,5448,28333,-43001,-47011,-56231,,54120.0,-149825,75293,-2055.0,-103620.0,13,-114881,,-30411,,3638,-28294,0.0,-55067,-19587,-245766,1247965,1002199,989923,12276.0,0.0,,,,,,,,,,11443.0,,,186514.0,-250.0,,,,,,,,,,
3701,2015年01月01日至2015年03月31日,,2657,2657,,,118506,-56648,22904,-15043,3263,-233,-50074,1951,,,,-1579,-18749,500035,2063,-4399,-52,-16726,22900,-3004,480489,,-1,-258906,27742,-192608,-1251,6212,-73323,266.0,-491869,-11380,13246,15903,9463,-23770,-40219,-38623,,54120.0,-102474,63325,774.0,-345621.0,5,-318428,,336646,0.0,2844,-23751,0.0,315739,-25411,-66723,1247965,1181242,1171784,9458.0,,,,,,,,,,,11443.0,,,24626.0,,,,,,,,,,,
3701,2014年度,,-543423,-543423,,,528698,167809,105842,-85454,13396,114071,-72687,7637,935207.0,,,19327,-27514,19963,-3457,-80022,-798,-392687,170270,1338,-293580,,42,246028,114223,70755,5576,1411,32618,714.0,471367,177787,1112994,569571,82031,-99900,-72200,483895,,71511.0,-310272,96263,-17467.0,189677.0,-184,35228,,-641602,0.0,3895,164892,-431.0,-331936,-31805,155382,1092583,1247965,1222325,25640.0,-4538.0,10209.0,150224.0,5700.0,,,4393.0,,0.0,,0.0,141310.0,,,,,,,,,,,,,
3701,2014年01月01日至2014年09月30日,,-315721,-315721,,,410532,162875,83429,-71147,10806,30773,-16342,5663,612051.0,,,14236,-6605,528262,1145,-57206,-1128,-442335,159415,-1233,194551,,40,442569,113242,-1781,-1987,6631,-14593,1740.0,545861,740412,1352463,1036742,55717,-77171,-62557,957124,,16816.0,-238937,61288,-9171.0,119921.0,-167,-44550,,-750563,0.0,2392,153172,-431.0,-458104,-22242,432228,1092583,1524811,1492700,32111.0,-4538.0,0.0,0.0,5700.0,0.0,0.0,4393.0,0.0,0.0,0.0,0.0,137326.0,,,,,,,,,,,,,
3701,2014年01月01日至2014年06月30日,,-417465,-417465,,,275535,209939,56776,-41147,9336,9620,-8622,3790,510689.0,,,10868,-7383,191704,-3444,-45313,-4763,-99610,167598,396,210053,,38,242083,104778,85165,-584,49639,-14642,5425.0,471902,681955,1192644,775179,43929,-52357,-39252,727499,,6049.0,-162154,51750,6375.0,-483968.0,-152,-576400,,-51034,0.0,1254,146067,-323.0,95964,-24880,222183,1092583,1314766,1259450,55316.0,-4538.0,0.0,0.0,5700.0,,,,,,,,,,,,,,,,,,,,,
