公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 其他借款增加,　　 存入保證金增加,　　 其他非流動負債增加,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 處分子公司,　　 短期借款減少,　　 應付短期票券減少,　　 庫藏股票處分,　　　　 已實現銷貨損失（利益）,　　　　　 預付費用（增加）減少,　　 附買回票券及債券負債減少,　　 以成本衡量之金融資產減資退回股款,　　 預付設備款增加,　　 預付設備款減少,　　 償還長期借款,　　 其他借款減少,　　 發放現金股利,　　 取得子公司股權,　　 處分以成本衡量之金融資產,　　 處分無活絡市場之債券投資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 償還公司債
1319,2016年01月01日至2016年09月30日,,2152262,2152262,,,2047801,208053,,97598,-5436,-357766,-12970,,,,,,-55648,531700,6447,42834,20823,,-8221,548171,,17859,-49975,-71958,-284422,9568,136706,,,-536856,11315,1988160,4140422,5436,155392.0,-288147,4013103,,,,,62218.0,-2419293,43503,,-186388,,,-3170011,,150429.0,150000.0,0.0,2549956,,,,-113632,-26021,-1589323,-8724,-754955,2061468,1306513,1306513,,,10236.0,5652.0,,0.0,0.0,,-435.0,,,,-559810.0,0.0,-1471988.0,,-828067.0,0.0,,,,1976845.0,-300286.0,-110241.0,0.0,-2000000.0
1319,2016年01月01日至2016年06月30日,,1488867,1488867,,,1404218,140217,,66402,-4396,-220375,-3682,,,,,,-34754,523309,5370,-66400,78484,11567.0,24853,537871,,7957,-109940,-65276,-351379,2169,125824,,,-685629,-147758,1234335,2723202,4396,77371.0,-175873,2629096,,,,,62218.0,-1763048,31886,,-159889,,,-2153939,,215591.0,,0.0,1455266,,,,-86181,-26022,-814706,-14490,-354039,2061468,1707429,1707429,,,-4558.0,-10871.0,,0.0,0.0,,-291.0,,,,-276230.0,0.0,-873360.0,,,0.0,,,,1382093.0,-284113.0,-48876.0,,-1500000.0
1319,2016年01月01日至2016年03月31日,,776026,776026,,,693559,73134,,32785,-2857,-94902,-3840,,,,,,6600,379290,-8941,11630,12595,,-46859,359767,,34025,28006,-13307,-409885,-2944,70975,,,-586588,-226821,470913,1246939,2857,,-34178,1215618,,,,,,-886800,15550,,-76345,,,-1160685,,790795.0,230000.0,0.0,780000,,,,-66943,0,-622158,9649,-557576,2061468,1503892,1503892,,,5452.0,-10871.0,,0.0,0.0,,-145.0,,,,-152071.0,0.0,-856010.0,,,0.0,,,,697734.0,-282587.0,-61019.0,,-1500000.0
1319,2015年度,,2091455,2091455,,,2631904,275124,29.0,148813,-9162,-412281,-4023,0.0,,,,,46250,158167,-5979,24142,202557,,74326,448204,,2028,113906,54754,-318839,14519,-53717,,,-215715,232489,2862312,4953767,9162,371530.0,-231479,5102980,,,,,10950.0,-4031159,72817,,-480156,,,-3963534,,0.0,0.0,1200000.0,2639701,,,,-111105,-38144,-220583,-52753,866110,1195358,2061468,2061468,,,-51259.0,-613.0,,-960581.0,-570000.0,,-581.0,,,,0.0,383005.0,-1925688.0,,-437693.0,-17073.0,0.0,,,2629823.0,-27753.0,,81009.0,
1319,2015年01月01日至2015年09月30日,,1281032,1281032,,,1955010,168982,0.0,109842,-4723,-240142,12422,0.0,,,,,59070,313388,-3738,10947,76205,,227299,624543,,-6024,-202679,22011,-612740,7463,-48652,,,-861302,-236759,1764196,3045228,4723,255338.0,-234700,3070589,,,,,10950.0,-2844654,50631,,-362616,,,-2981985,,0.0,0.0,1200000.0,2229181,,,,-88877,-38144,105337,-19105,174836,1195358,1370194,1370194,,,-58628.0,-966.0,,-513071.0,-570000.0,,-436.0,,,,0.0,114916.0,-1658986.0,,-437693.0,-17073.0,0.0,,,2000955.0,-19715.0,,48788.0,
1319,2015年01月01日至2015年06月30日,,713457,713457,,,1297428,103953,0.0,72737,-3118,-175541,11602,0.0,,,,,70578,245450,481,-41111,114215,,156535,519158,,80879,-285950,6513,-351401,883,-29555,,,-593518,-74360,1232411,1945868,3118,54428.0,-165005,1838409,,,,,,-1930580,50926,,-134245,,,-1893831,,0.0,0.0,1200000.0,1754535,,,,-64746,-38144,144821,-9181,80218,1195358,1275576,1275576,,,-26990.0,-1139.0,,-810701.0,-450000.0,,-290.0,,,,0.0,124977.0,-1429050.0,,,-17073.0,0.0,,,1306771.0,-13748.0,-4909.0,0.0,
1319,2015年01月01日至2015年03月31日,,502207,502207,,,643758,57173,0.0,36291,-1846,-76851,-2302,0.0,,,,,115783,108823,10074,-307787,7997,,-72767,-111597,,41482,-137190,-22357,-494383,1923,-40404,,,-659639,-771236,-115158,387049,1846,307800.0,-26650,670045,,,,,,-1106479,30194,,-46177,,,-1076333,,0.0,0.0,1200000.0,700000,,,,-51104,-17074,503932,-5395,92249,1195358,1287607,1287607,,,26280.0,-1111.0,,-115667.0,-199999.0,,-145.0,,,,0.0,93571.0,-995151.0,,,-17073.0,0.0,,,656078.0,-7599.0,-47442.0,0.0,
1319,2014年度,,1200009,1200009,,,2395431,224478,273.0,126847,-10867,-422607,-1265,1474.0,0.0,2313183.0,,,-79977,-613258,-8153,-70729,-15135,,-408951,-1238426,,-62397,481703,30621,555474,6591,61597,-29735.0,,1041561,-196865,2116318,3316327,10885,239942.0,-261363,3305791,,0.0,0.0,0.0,36500.0,-3721139,116306,,-291815,,,-4068639,,1049609.0,570000.0,,1355888,,,,-105860,-21764,915570,-29193,123529,1071829,1195358,1195358,0.0,0.0,-42223.0,-2293.0,,,0.0,0.0,-581.0,,,0.0,-257744.0,,-923725.0,,-650625.0,-357953.0,6461.0,42792.0,,,,,,
1319,2014年01月01日至2014年09月30日,,1158570,1158570,,,1775745,164826,273.0,92664,-5612,-281080,-9562,1711.0,,1738529.0,,,19051,-139920,-23131,-58202,-40185,,-210115,-467324,,-2799,239951,4617,-164287,2361,-13938,-21915.0,,41677,-425647,1312882,2471452,5630,239942.0,-252772,2464252,,0.0,0.0,,36500.0,-2606033,64113,,-142506,,,-2956110,,800440.0,605000.0,,1264252,,,,-84502,-21343,682354,-29709,160787,1071829,1232616,1232616,,,-14822.0,-2313.0,,,0.0,0.0,-436.0,,,,-332111.0,,-872915.0,,-650625.0,-357953.0,6223.0,17704.0,,,,,,
1319,2014年01月01日至2014年06月30日,,881166,881166,,,1171940,107162,273.0,60714,-3969,-199674,-7375,1711.0,,1130492.0,,,4311,-48394,-14357,-41398,106326,,-157518,-145031,,29156,79227,-746,-130444,-2379,58018,-14419.0,,16072,-128959,1001533,1882699,3988,74394.0,-165200,1795881,,12026.0,0.0,,,-1633185,41531,,-107834,,,-1977178,,832208.0,640000.0,,638545,,,,-67377,-11328,575290,-41026,352967,1071829,1424796,1424796,,,5999.0,-2341.0,,0.0,0.0,0.0,-290.0,,,,-295939.0,0.0,-1098805.0,,,-357953.0,6223.0,,,,,,,
