公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資性不動產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 存入保證金減少,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　　 預收款項增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分以成本衡量之金融資產,　　 存出保證金增加,　　 其他非流動資產減少,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 員工購買庫藏股,　　　　 利息收入,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 存出保證金減少,　　 收取之利息,　　 收取之利息-營業活動,　　 短期借款減少,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 其他預付款項增加,　　 其他籌資活動,　　 其他金融資產增加,　　 處分子公司股權（未喪失控制力）,　　　 收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得持有至到期日金融資產,　　　　 股利收入,　　　　　 持有供交易之金融負債增加（減少）,　　 收取之股利,　　 對子公司之收購（扣除所取得之現金）,　　　　 不動產、廠房及設備轉列費用數,　　 取得採用權益法之投資,　　 處分子公司,　　 其他借款增加,　　　　　 其他應收款－關係人（增加）減少,　　 其他應付款－關係人增加
1473,2016年01月01日至2016年09月30日,,312793,312793,,,96879,3788,338,88491,23434,19267,0.0,0,,,-3673,,,,215854,11455,-230023,-7641,375256,-12108,353527,,-2427,-164338,-14135,,-179558,173969,325659,638452,-23539,-50993,623448,,,122247.0,0.0,-169121,18652,-3938,3417,-2163.0,,-565728,,,487600,-3778.0,0,0,-198718,-167301,-308299,1225942,917643,917643,0.0,1664.0,,,2825.0,,-700000.0,,-173904.0,17650.0,15875.0,-68260.0,-4317.0,,,176.0,,59499.0,,-74789.0,-5564.0,-6885.0,,-11897.0,160769.0,,1336.0,151690.0,-322.0,-416534.0,-29.0,0.0,29.0,0.0,,,-102507.0,,734.0,71859.0
1473,2016年01月01日至2016年06月30日,,230801,230801,,,65270,2586,338,56861,16510,10061,0.0,0,,,-5450,,,,112337,19269,179016,-3745,-85206,-24644,197221,,-272,81153,-23084,,59965,257186,346382,577183,-16550,-21553,585964,,87560.0,0.0,0.0,-86501,16769,-2558,3417,,-6959.0,-400810,,,487600,-3588.0,0,0,-323060,-109652,-247558,1225942,978384,978384,0.0,1656.0,,,,2070.0,-700000.0,,-173904.0,16952.0,,-47042.0,-4317.0,,,176.0,2683.0,46855.0,,-182748.0,-5649.0,,,-20788.0,160769.0,,57.0,89196.0,512.0,-294172.0,-29.0,,29.0,,,,-102507.0,,194.0,71859.0
1473,2016年01月01日至2016年03月31日,,228881,228881,,,36345,1250,338,35048,8548,43,0.0,0,,,-7069,,,,170428,18987,-52843,-32390,225462,-39480,290164,,8145,-145031,14045,,-121396,168768,212156,441037,-9859,-7317,439207,,-21215.0,67000.0,0.0,-44404,2481,-2558,3417,,,-256465,,186691.0,0,,0,0,22624,-87350,118016,1225942,1343958,1343958,,1834.0,,,2864.0,2580.0,-400000.0,-3536.0,,6841.0,,-26306.0,-4317.0,,,,,15346.0,,,,,,-19999.0,160769.0,,37.0,43388.0,-389.0,-144124.0,,,,,-529.0,,-102507.0,71859.0,,
1473,2015年度,,-107164,-107164,,,125893,9610,-35205,-20508,41269,3,3.0,0,,0.0,3942,,,,165549,-10270,198504,75084,632977,35847,1097691,,-20105,-211903,-152432,,-472043,625648,672269,565105,-41193,-97871,514861,,-114579.0,80800.0,,-233004,427365,-2270,48322,,,-197849,,-322830.0,0,,-40257,-346,-708951,69304,-322635,1548577,1225942,1225942,1787.0,-77151.0,,,-14909.0,3562.0,-200000.0,9903.0,-231589.0,3584.0,18582.0,-92835.0,,,,405.0,,88788.0,,,,0.0,,-41603.0,54002.0,,395.0,46621.0,-10452.0,-253056.0,-32.0,,32.0,-93982.0,12299.0,-4900.0,,,,
1473,2015年01月01日至2015年09月30日,,-48295,-48295,,,88573,7735,-34234,-33683,31608,0,3.0,0,,0.0,4420,,,,-248558,2402,290813,137904,694830,15440,892831,,-21614,-221862,-247739,,-543451,349380,358310,310015,-31106,-87367,252819,,-63834.0,,0.0,-173487,427381,-1314,15728,,,-145103,,,0,,-27780,-354,-672262,92091,-472455,1548577,1076122,1076122,1787.0,-55989.0,,,-20739.0,4002.0,0.0,1308.0,-231589.0,2200.0,18582.0,-69126.0,,,,405.0,,61245.0,,-475525.0,11466.0,0.0,0.0,-22765.0,40896.0,,413.0,8930.0,2350.0,-237535.0,-32.0,1403.0,32.0,-72945.0,,,,,,
1473,2015年01月01日至2015年06月30日,,-42408,-42408,,,55181,4997,-34987,3658,22146,0,3.0,0,,0.0,-7946,,,,-651840,-4808,225820,6167,389271,-3928,-39318,,-367,-83707,-55148,,-183572,-222890,-210942,-253350,-21901,-38052,-275704,,-80014.0,,0.0,-85065,426056,-296,12363,,,111113,,-304285.0,0,,-27455,-354,-294884,-74977,-534452,1548577,1014125,1014125,1787.0,-46640.0,,185.0,-52298.0,1892.0,0.0,-5886.0,,2200.0,,-43633.0,,,,,,37599.0,,,10400.0,,,,40896.0,,342.0,11948.0,2290.0,-111710.0,,,,,,,,,,
1473,2015年01月01日至2015年03月31日,,56681,56681,,,26061,2571,-18987,3151,10993,0,3.0,0,,0.0,8577,,,,-678432,-10979,19152,-24876,331197,-11270,-375208,,-9592,-66588,-30286,0.0,-134342,-509550,-495680,-438999,-10836,-4460,-433032,,-21200.0,18800.0,0.0,-65273,4241,0,60,,,-112384,,11416.0,0,-4213.0,-27455,0,-20252,-34531,-600199,1548577,948378,948378,,-28953.0,,,-50112.0,1100.0,,,,0.0,,-20978.0,,,,0.0,,21263.0,,,2308.0,,,,,,171.0,13870.0,1077.0,,,,,,,,,,,
1473,2014年度,,-33490,-33490,,,99045,10276,43943,-62424,49949,0,-315636.0,0,,0.0,42205,-200197.0,,,293395,3409,-263908,5646,542637,55624,636803,,1967,-97694,5830,,-80609,556194,355997,322507,-51180,-150901,167868,,-123600.0,-30800.0,0.0,-177962,284187,-15336,0,,,-139603,,300490.0,0,-23455.0,-18865,-2287,-293298,142661,-122372,1670949,1548577,1548577,-242.0,1741.0,7547.0,,,4448.0,-293796.0,,-362593.0,240.0,19816.0,-67313.0,,,,3900.0,5664.0,47442.0,,,,-38365.0,,-51739.0,87152.0,,,,,,,,,,,,,,,
1473,2014年01月01日至2014年09月30日,,-125076,-125076,,,73266,4394,22590,-39424,40009,0,,0,0.0,0.0,43113,97550.0,,,318690,14353,-23108,-102361,591288,4968,803830,,1931,-163840,-39965,,-202851,600979,698529,573453,-41451,-143978,407210,,-452687.0,485333.0,0.0,-118566,597,-9314,0,,,-96552,,,12387,-16839.0,-18865,95246,-619162,15966,-292538,1670949,1378411,1378411,-242.0,-4256.0,3279.0,3900.0,-319.0,3107.0,-288328.0,,-362593.0,240.0,19816.0,-47457.0,,,,,,28271.0,19186.0,-308026.0,1301.0,-36874.0,247800.0,,,,,,,,,,,,,,,,,
1473,2014年01月01日至2014年06月30日,,-38977,-38977,,,49223,2414,18805,-26246,26543,0,1392.0,0,0.0,0.0,6845,67505.0,,,-129161,13665,41095,437,294574,-39982,180628,,-1579,-129181,50373,,-65854,114774,182279,143302,-29001,-77222,48308,,-317616.0,276299.0,0.0,-62111,294,-3044,0,,,-84493,,,1208,-13181.0,-18865,216,-309988,-32194,-378367,1670949,1292582,1292582,-242.0,9269.0,5264.0,,,2348.0,-109635.0,,,240.0,,-11229.0,,,,3900.0,1045.0,14392.0,11229.0,-169971.0,,,,,,,,,,,,,,,,,,,,
1473,2014年01月01日至2014年03月31日,,45815,45815,,,24924,1279,13040,-31258,13602,0,236.0,0,0.0,0.0,33122,47142.0,,,-541847,8158,-194505,-1650,413477,-9861,-326228,,-6723,-126958,36612,0.0,-93572,-419800,-372658,-326843,-15864,-1610,-344317,,-13718.0,106347.0,0.0,-29189,0,-3076,0,,,74005,,-156996.0,13394,,-18865,-268,-168991,11697,-427606,1670949,1243343,1243343,,-29.0,3526.0,,734.0,1204.0,,-6496.0,,240.0,,-7803.0,,,,3900.0,,7803.0,,,,,,,,,,,,,,,,,,,,,,
1473,2013年度,,54263,54263,,,104838,4064,56781,45582,48615,370,803.0,-1279,,0.0,131396,352815.0,,,-355477,-3960,124604,120925,-74093,-9637,-197638,,8121,-78485,31871,,-7904,-205542,147273,201536,-49654,-95694,96543,,45800.0,105644.0,18908.0,-61945,2232,-6412,29040,,,148585,,-63756.0,959787,-830.0,0,92509,394813,141369,781310,889639,1670949,1670949,2000.0,52983.0,-22394.0,,,14212.0,-471013.0,,-145004.0,870.0,22250.0,-40355.0,,,,900.0,206.0,40355.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,
1473,2013年01月01日至2013年12月31日,,54263,54263,,,104838,4064,56781,45582,48615,370,803.0,-1279,0.0,0.0,131396,370065.0,,,-171181,-3960,124604,120925,-74093,-9637,-13342,,8121,-78485,31871,,-7904,-21246,348819,403082,-49654,-95694,257734,,275474.0,-308326.0,18908.0,-61945,2232,-6412,29040,,,-12606,,-63756.0,959787,-830.0,0,92509,394813,141369,781310,889639,1670949,1670949,,52983.0,-22394.0,,,14212.0,-471013.0,,-145004.0,870.0,22250.0,-23105.0,2000.0,0.0,0.0,900.0,206.0,23105.0,,,,,,,,,,,,,,,,,,,,,,
1473,2013年01月01日至2013年09月30日,,47115,47115,,,77295,1618,44741,38645,35868,370,1043.0,-1491,0.0,0.0,113781,313870.0,,,-417035,-523,238312,130624,224089,-23499,151968,,-3550,-25847,-37199,,-5644,146324,460194,507309,-38502,-89546,379261,,290165.0,-227169.0,18908.0,-14247,1490,-5557,29040,,0.0,94244,,-508354.0,696581,,0,81782,-266751,110751,317505,889639,1207144,1207144,2000.0,61712.0,-760.0,900.0,-821.0,1535.0,-407522.0,-6604.0,-145004.0,120.0,22250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,2013年01月01日至2013年06月30日,,114593,114593,,,52635,934,21429,5493,23946,370,418.0,-1491,0.0,0.0,27449,125800.0,,,-502353,-15429,-29229,119566,141753,-55294,-340986,,4278,-187950,75448,,-36048,-377034,-251234,-136641,-26766,-50698,-206722,,227622.0,-136330.0,18908.0,-10288,1855,-206,29040,,,140050,,,736273,-2980.0,0,89268,95111,135637,164076,889639,1053715,1053715,2000.0,69360.0,2816.0,,,-3588.0,-438610.0,,,0.0,,-7383.0,,,,900.0,-1297.0,13434.0,7383.0,-288840.0,,,,,,,,,,,,,,,,,,,,
1473,2013年01月01日至2013年03月31日,,142114,142114,,,24783,462,16100,-1564,12050,370,376.0,-1491,0.0,-6272.0,32203,77017.0,,,-80292,-9629,-223928,133011,352141,-83568,87735,,6991,-134787,55189,51271.0,-21336,66399,143416,285530,-13445,0,272085,,49417.0,-6412.0,18908.0,-19029,3340,0,29040,-10901.0,0.0,64363,,-236746.0,212908,-5972.0,0,74876,45066,120779,502293,889639,1391932,1391932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,2012年01月01日至2012年12月31日,,112149,112149,,,109307,1642,-3005,13514,36515,5013,5308.0,0,-163.0,0.0,73276,217926.0,,,25609,-80,472036,-85039,212429,81541,706496,,-7574,-271777,-139072,,-610103,96393,314319,426468,-32396,-142377,251695,,-18078.0,42747.0,0.0,-96472,2744,-3007,-16530,,,-28103,,6533.0,186437,-6308.0,-49744,-35853,-209355,-71626,-57389,947028,889639,889639,,-140500.0,-51180.0,,,13576.0,0.0,,-334367.0,0.0,23947.0,-22985.0,-5288.0,4792.0,5288.0,4000.0,14644.0,22985.0,,,,,,,,,,,,,,,,,,,,,,
1473,2012年01月01日至2012年09月30日,,2707,2707,,,84234,1187,1409,16870,27827,890,1412.0,0,-24.0,0.0,67985,201790.0,,,60344,-33850,133744,20986,229456,86368,497048,,-4576,-123718,-176348,,-324441,172607,374397,377104,-26383,-92847,257874,,-108197.0,95118.0,0.0,-58210,5707,-2287,2410,,-9231.0,-48041,,313945.0,0,,-49744,-42632,-97306,-63534,48993,947028,996021,996021,0.0,31785.0,-51584.0,4000.0,9535.0,13114.0,0.0,-8455.0,-334367.0,0.0,23947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,2012年01月01日至2012年03月31日,,56895,56895,,,31602,299,4723,20597,12930,287,37.0,0,-17.0,-23953.0,20817,67322.0,,,-192297,-42400,597837,17266,396423,-2683,774146,,16269,-554421,-141544,9611.0,-670085,104061,171383,228278,-9439,-37490,181349,,57312.0,36393.0,0.0,-33808,5585,-2119,0,-354.0,-2874.0,60135,,-124277.0,-5331,-1478.0,-21350,-25382,-177818,-2669,60997,947028,1008025,1008025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
