公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 存入保證金增加,　　 庫藏股票處分,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　　　　 其他應收款－關係人（增加）減少,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 其他投資活動,　　 非控制權益變動,　　　　 其他項目,　　 取得按攤銷後成本衡量之金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 發放現金股利,　　 其他籌資活動,　　　　 金融資產減損損失,　　 取得採用權益法之投資,　　 償還長期借款,　　 存入保證金減少,　　 庫藏股票買回成本,　　 預付投資款增加,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他金融資產減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 預付投資款減少,　　 處分待出售非流動資產,　　 存出保證金減少,　　 長期應收租賃款增加,　　 應付租賃款增加,　　 應付租賃款減少
1312,2014年01月01日至2014年03月31日,,193624,193624,,,216851,144873,,6540,-5886,-3753,6113,169,5095.0,,370002.0,,,-9379,321775,-26038,-322551,-27713,-16958,-80864,,-9398,245089,-190779,-332,-14264,5661,-5675.0,30302,-50562,319440,513064,3423,3753,-6595,-5426,508219,,0.0,0.0,-129678,57,4564.0,-477.0,0.0,-244695.0,-80083,-8768,-459080,,,-143918.0,0.0,225000.0,200000.0,-12.0,0.0,-118930,16189,-53602,855816,802214,802214,,,,,,,,,,,,,,,-400000.0,,,,,,,,,,,,,,,
1312,2013年度,,2608287,2608287,,,848333,551694,0.0,38223,-14957,-281742,-218658,6200,18790.0,-35222.0,1006039.0,,,4427,-455016,2659,364811,213818,76989,207688,,50259,643061,150020,3108,15964,-16976,-46778.0,798658,1006346,2012385,4620672,14038,281742,-38247,-263050,4615155,,,435193.0,-592606,772,-6115.0,-789.0,,-629118.0,-559912,-96643,-1288600,,,-1171088.0,,-800000.0,200000.0,,1756.0,-3003806,25640,348389,507427,855816,855816,,,,160612.0,,,67480.0,,,6.0,-1043794.0,9320.0,25898.0,0.0,-200000.0,0.0,,0.0,,0.0,0.0,,,,,,,,,
1312,2013年01月01日至2013年12月31日,,2608287,2608287,,,848333,551694,,38223,-14957,-281742,-218658,6200,18790.0,-35222.0,1006039.0,,,4427,-455016,2659,364811,213818,76989,207688,,50259,643061,150020,3108,15964,-16976,-46778.0,798658,1006346,2012385,4620672,14038,281742,-38247,-263050,4615155,,0.0,435193.0,-592606,772,-6115.0,-789.0,0.0,-629118.0,-559912,-96643,-1288600,,0.0,-1171088.0,0.0,-800000.0,200000.0,,1756.0,-3003806,25640,348389,507427,855816,855816,0.0,,0.0,160612.0,,,67480.0,,0.0,6.0,-1043794.0,9320.0,25898.0,0.0,-200000.0,0.0,0.0,,,,,,,,,,,,,
1312,2013年01月01日至2013年09月30日,,1870815,1870815,,,598716,417366,,29542,-9716,-36364,-105101,7319,15590.0,-35222.0,958106.0,,,6598,-511066,19761,325203,189129,59847,89472,,52365,625883,86352,1903,-2402,3393,-29397.0,738097,827569,1785675,3656490,8094,36364,-29391,-261920,3409637,,0.0,435191.0,-559656,166,-2209.0,-490.0,0.0,-688453.0,-366319,-47290,-1068447,,,-807091.0,,-405000.0,100000.0,0.0,1756.0,-2144811,3607,199986,507427,707413,707413,8755.0,,0.0,,,,67221.0,160613.0,0.0,0.0,-1043796.0,9320.0,,,,,,,,,,,,,,,,,,
1312,2013年01月01日至2013年06月30日,,1038096,1038096,,,384239,265128,,20646,-5637,-8966,-66617,989,12171.0,-35222.0,566731.0,,,-20009,-672783,-3096,610591,47786,107636,69849,,137787,733607,26181,-927,11094,1086,-19945.0,888883,958732,1525463,2563559,5401,8966,-20528,-173372,2384026,,0.0,435191.0,-496766,166,-1455.0,-490.0,0.0,-679310.0,-189499,-53142,-863437,,0.0,-694650.0,0.0,-850000.0,100000.0,0.0,,-1442894,37424,115119,507427,622546,622546,0.0,-276.0,0.0,121868.0,0.0,1756.0,,,,,,,,,,,,,,,,,,,,,,,,
1312,2013年01月01日至2013年03月31日,,261372,261372,,,174381,147853,0.0,10937,-2721,-8966,-24086,540,6842.0,0.0,304780.0,,,9403,-694964,-24146,336702,149222,10141,-213642,,75171,814820,-34278,-588,8568,3827,-5720.0,861800,648158,952938,1214310,889,3753,-10837,-4349,1203766,,0.0,0.0,-334513,111,-1019.0,-366.0,0.0,-311433.0,-78706,-18845,-744771,,0.0,-367119.0,0.0,-415000.0,0.0,630.0,1756.0,-779733,29465,-291273,507427,216154,216154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,2012年01月01日至2012年12月31日,,2276529,2276529,,,619824,570598,,37141,-12408,-1765903,-147510,51007,5717.0,-9591.0,-563315.0,,,62563,332349,-1521,-915005,-233431,-59992,-815037,,-118791,-513953,-14019,2367,-13851,948,-33135.0,-690434,-1505471,-2068786,207743,12399,1765903,-36885,-125513,1823647,,66076.0,20837.0,-1542515,1612,-2012.0,-665.0,-1156.0,-296143.0,-558167,-128240,-2484207,,876741.0,0.0,550000.0,0.0,300000.0,,0.0,725949,-29308,36081,471346,507427,507427,4000.0,,-71366.0,5639.0,,,83810.0,,-45762.0,245556.0,-805860.0,6844.0,0.0,-177901.0,-200000.0,-20.0,-1756.0,,,,,,,,,,,,,
1312,2012年01月01日至2012年09月30日,,2071159,2071159,,,504552,417490,,27255,-8385,-1771076,-32310,7030,2478.0,-9895.0,-775051.0,,,66547,-82193,-39840,-450991,-78930,-30202,-615609,,-82889,120623,-34312,1065,-9904,1705,-26923.0,-30635,-646244,-1421295,649864,5980,1771076,-27465,-123753,2275702,,66076.0,20837.0,-1294765,1246,-2692.0,-431.0,-1156.0,-550546.0,-336032,-36419,-1999823,,,-222020.0,,530000.0,0.0,-20.0,0.0,-487680,-27082,-238883,471346,232463,232463,4000.0,,-71366.0,,,,83810.0,5639.0,-45770.0,245556.0,-802484.0,6844.0,,,,,,,,,,,,,,,,,,
1312,2012年01月01日至2012年06月30日,,1708878,1708878,,,306037,271368,,14581,-4502,-1761718,99806,7378,275.0,-9892.0,-1072667.0,,,51907,22921,1552,-482938,-84150,-45990,-536698,,-57336,10147,-18219,479,-8598,85,-18789.0,-92231,-628929,-1701596,7282,2898,1854811,-14804,-89628,1760559,,66073.0,20837.0,-991628,622,-619.0,-431.0,-850.0,-554586.0,-204259,-11370,-1512603,,449287.0,0.0,480000.0,0.0,300000.0,-20.0,,1229267,-12030,1465193,471346,1936539,1936539,4000.0,0.0,-71366.0,5639.0,229335.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1312,2012年01月01日至2012年03月31日,,214316,214316,,,136002,129563,18.0,8115,-1592,-7298,-115301,205,3933.0,-9883.0,143762.0,,,237937,70433,-10577,-558716,-52823,-31365,-345111,,-95589,182806,-90209,-101,-3461,871,-8970.0,-14653,-359764,-216002,-1686,1257,7298,-8237,-4418,-5786,,66044.0,20837.0,-512767,46,-328.0,-431.0,-470.0,-74036.0,-91864,-24066,-617035,,235833.0,0.0,100000.0,0.0,200000.0,0.0,0.0,535833,-12656,-99644,471346,371702,371702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
