公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分投資性不動產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 存入保證金減少,　　 其他非流動負債減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 其他項目,　　 採用權益法之被投資公司減資退回股款,　　 存出保證金減少,　　 取得無形資產,　　 非控制權益變動,　　　　 處分採用權益法之投資損失（利益）,　　 應付短期票券增加,　　 發放現金股利,　　　　 金融資產減損損失,　　 備供出售金融資產減資退回股款,　　 取得以成本衡量之金融資產,　　 處分不動產、廠房及設備,　　 取得投資性不動產,　　 其他金融資產增加,　　 短期借款增加,　　 處分以成本衡量之金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 應付票據增加（減少）,　　 存入保證金增加,　　　　 非金融資產減損迴轉利益,　　　　　 預收款項增加（減少）,　　 存出保證金增加
1110,2016年01月01日至2016年09月30日,,207169,207169,,,16893,66,-998,1408,209,-4984,-50645.0,-5255,-182910.0,-10248.0,-4582,,2127,,,,35510,132846,40545,19524,-87980,-14385,-312446.0,-186386,,108357,-119032,191,-58745,-68635,-255021,-505958,-298789,5041,58645.0,-209,-23158,-258470,,-23340.0,30525,6283.0,-8817,13730.0,,297603,,,,0.0,,-107255,-68122,496486,428364,428364,,,210.0,0.0,0.0,,-404.0,,,-114400.0,,,-1912.0,281335.0,,,,,,-250937.0,,7549.0,-12228.0,594.0,-201.0
1110,2016年01月01日至2016年06月30日,,216676,216676,,,11136,66,-15,4902,189,-3349,-1481.0,-1970,-176659.0,-10248.0,-602,,484,,,,-1379,23750,51454,15148,-50496,-26729,-358348.0,-346600,,89033,-121032,127,-28469,-60341,-406941,-596506,-379830,3413,8669.0,-189,-21087,-389024,,-6837.0,6910,2640.0,-6945,13730.0,,272384,,,,0.0,,10764,-105876,496486,390610,390610,,,210.0,0.0,547.0,,-404.0,,,,,,-1912.0,264251.0,,,,,,-189565.0,,11168.0,-12228.0,,
1110,2016年01月01日至2016年03月31日,,197272,197272,,,5512,40,-1397,3392,53,-1165,,-759,-175033.0,,-602,,591,,,,-7257,100097,37480,126,2577,-7391,-87787.0,37845,,-17989,-75387,64,-53288,-146600,-108755,-290351,-93079,1200,,-53,-18561,-110493,,,6910,,-2732,,,259352,,,,,,18271,167130,496486,663616,663616,,,,0.0,217.0,,,,,,,,-1912.0,256869.0,,,7000.0,,,-181596.0,0.0,11271.0,-12228.0,,
1110,2015年度,,143959,143959,,,23819,173,1358,2341,538,-5288,-68410.0,6290,,-57896.0,-3747,0.0,-1483,,,,54331,28260,8326,-15177,-133853,11837,37731.0,-8545,,11439,75406,-254,14208,100799,92254,-8090,135869,5261,76472.0,-538,-7218,209846,,-15378.0,16525,7774.0,-21600,67131.0,,185506,,,,-98890.0,,-213751,181601,314885,496486,496486,,,210.0,131026.0,28.0,,-461.0,,,-114400.0,1751.0,,0.0,,,,,0.0,,-100344.0,,,,,
1110,2015年01月01日至2015年09月30日,,122412,122412,,,17956,134,138,1827,480,-3820,-63706.0,2106,,-57896.0,-3747,,-1542,,,,90051,130557,25697,-641,-122830,5495,25871.0,154200,,-26913,18492,38488,-36402,-6335,147865,40005,162417,3925,71706.0,-480,-7086,230482,,-15398.0,16525,7774.0,-10518,67131.0,,196569,,,,-99585.0,,-214446,212605,314885,527490,527490,,,210.0,131026.0,29.0,,-461.0,,,-114400.0,,,0.0,,,,,0.0,,-107860.0,,,,,
1110,2015年01月01日至2015年06月30日,,57917,57917,,,12196,94,370,-5405,431,-2638,-4054.0,3694,0.0,0.0,-481,,1020,,,,67858,91415,21648,-2298,-196757,10472,40731.0,33069,,56884,-29624,-170,-24381,2709,35778,41215,99132,2745,12054.0,-431,-6881,106619,,-1400.0,2323,0.0,-6425,0.0,,113455,,,,-99972.0,,-100433,119641,314885,434526,434526,,,210.0,118957.0,0.0,,-461.0,,,,,,0.0,,,,,0.0,,5437.0,,,,,
1110,2015年01月01日至2015年03月31日,,31441,31441,,,6206,51,-140,-608,388,-1220,,3057,,,0,,449,,,,24236,84982,28939,20,-55658,-3230,-18151.0,61138,,19615,-30936,-42,-37435,-47900,13238,21421,52862,1266,,-388,-126,53614,,0.0,0,,-6045,,,46825,,,,0.0,,348,100787,314885,415672,415672,,,,52870.0,0.0,,,,,,,,,,,,0.0,,,8183.0,898.0,348.0,,,
1110,2014年度,,130905,130905,,,35320,206,2752,-17397,1668,-5911,-56335.0,-5971,0.0,-9104.0,-1178,105858.0,-2371,52183.0,,,-27302,-45567,3054,1005,-48456,-7002,17832.0,-106436,,-6359,-5356,295,-40321,-51741,-158177,-105994,24911,5945,65105.0,-1668,-846,93447,,-1846.0,10067,3749.0,-14623,10522.0,0.0,96001,,0.0,0.0,-1079.0,0.0,-115863,73585,241300,314885,314885,,0.0,209.0,165217.0,2795.0,,-384.0,,,-114400.0,4437.0,,-80000.0,0.0,0.0,,,120.0,,,,,,,
1110,2014年01月01日至2014年09月30日,,169690,169690,,,26522,154,1494,-11237,1275,-4536,-53673.0,9839,0.0,-9104.0,-1178,,-790,-41025.0,,,-130333,72507,10757,933,-24022,-9889,34450.0,-45597,,18873,-9683,222,-55041,-45629,-91226,-132251,37439,4653,61673.0,-1275,-719,101771,,-632.0,10067,3749.0,-13409,10522.0,0.0,96834,,0.0,0.0,-839.0,0.0,-115623,82982,241300,324282,324282,,,209.0,165217.0,1200.0,,-384.0,0.0,,-114400.0,,,-80000.0,,,,,120.0,,,,,,,
1110,2014年01月01日至2014年06月30日,,104104,104104,,,17973,103,-594,-3487,863,-3204,-2508.0,8765,0.0,-9104.0,-1178,,-76,7762.0,,,-196740,22101,37351,-3778,-55524,-3570,20091.0,-180069,,-12683,-12988,148,-20622,-46145,-226214,-218452,-114348,3294,10508.0,-863,-473,-101882,,-632.0,10067,3749.0,-9793,10522.0,0.0,140300,,0.0,0.0,-555.0,0.0,-939,37479,241300,278779,278779,,,209.0,165217.0,1050.0,,-384.0,,,,,,-40000.0,,,,,120.0,,,,,,,
