公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得待出售非流動資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 其他非流動負債增加,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 償還長期借款,　　　　 呆帳費用提列（轉列收入）數,　　 處分採用權益法之投資,　　 其他非流動資產減少,　　 其他非流動負債減少,　　　　 其他項目,　　 庫藏股票買回成本,　　 發放現金股利
2349,2015年01月01日至2015年09月30日,,-1182749,-1182749,,,1720153,275652,194655,-7680,-23796,22463,-600928,-5280,3300.0,1578539.0,,,-33442,5459,244190,327892,-71250,472849,,-55688,-172902,-252074,116542,-4573.0,-368695,104154,1682693,499944,7352,-199078,5595,313813,,-2200,621238,30046.0,0.0,0.0,16785.0,-12168.0,46554.0,-7318.0,916558.0,-274205,104277,-100.0,-248180.0,35435,1226722,,-985718,-66496,-431676.0,19324,-16910.0,4954,-103752,-1580274,17557,-22182,2452018,2429836,2429836,0.0,,,,,,,,,,,,,,,
2349,2015年01月01日至2015年06月30日,,-656318,-656318,,,1131910,186924,116955,-4703,-3325,15502,-605198,18804,,856869.0,,,-54352,15475,349286,418567,-71087,657889,,-25544,-179209,-270931,53460,-3166.0,-425390,232499,1089368,433050,4375,-121378,-1945,314102,,0,590764,-28686.0,,,16785.0,-12168.0,46554.0,-7318.0,644000.0,-140809,75488,-100.0,-335970.0,14964,863504,,-879171,-62514,-158997.0,19180,-38965.0,70437,-80303,-1130333,133422,180695,2452018,2632713,2632713,0.0,,,,,,,,,,,,,,,
2349,2015年01月01日至2015年03月31日,,-718969,-718969,,,560073,92853,58339,-1908,0,10675,-42768,40937,,718201.0,,,-2421,9633,88102,271939,-112088,255165,,-25349,-19066,-210138,89722,-1639.0,-166470,88695,806896,87927,1580,-62762,-18,26727,,0,248544,-50419.0,,,,,0.0,,,-30646,24219,-100.0,-63924.0,0,127674,,-216677,-18013,145654.0,16092,-20564.0,7736,-17779,-103551,-48890,1960,2452018,2453978,2453978,,,,,,,,,,,,,,,,
2349,2014年度,,-3454636,-3454636,,,2884121,400472,282832,-18843,-28634,-26382,215526,-32256,0.0,,,,105334,-12041,-54757,319824,-1683,356677,,-85308,-80469,-40969,-165372,,-365425,-8748,3668088,213452,19253,-280487,-9030,-56812,,-470700,133344,,,-121371.0,5853.0,-13340.0,0.0,,230000.0,-460218,142090,-5788.0,-234164.0,30160,-719989,,-311272,176,,35950,,55470,-94668,-383434,30241,-1129994,3582012,2452018,2452018,,,0.0,3676836.0,6693.0,-61516.0,0.0,105661.0,-69090.0,,,,,,,
2349,2014年01月01日至2014年09月30日,,-2488642,-2488642,,,2164868,270273,206268,-12721,-27097,8315,40705,-40545,0.0,2610066.0,,,42468,13971,366149,93045,-62154,453479,,-91778,-89573,-241116,-176878,-1718.0,-601063,-147584,2462482,-26160,13201,-207300,-9032,-229291,,-470700,133345,0.0,-33061.0,-14655.0,0.0,-13340.0,2532.0,0.0,0.0,-282230,123981,-5788.0,-77277.0,28622,-608571,,-236449,-23,280545.0,-7556,0.0,45456,-64713,17260,-19109,-839711,3582012,2742301,2742301,0.0,,,,,,,,,,,,,,,
2349,2014年01月01日至2014年06月30日,,-1871846,-1871846,,,1421003,179269,138656,-6127,-2624,15753,100928,-39900,,1806958.0,,,-54283,9021,540841,410284,-38617,867246,,-66463,-129911,-191241,-108631,-1107.0,-497353,369893,2176851,305005,6524,-140383,-3786,167360,,-470700,132148,-33191.0,,,0.0,0.0,2532.0,0.0,0.0,-181566,59881,-5788.0,-23576.0,4149,-516111,,-429887,23,178467.0,-7813,0.0,35027,-20821,-245004,-26039,-619794,3582012,2962218,2962218,0.0,,,,,,,,,,,,,,,
2349,2014年01月01日至2014年03月31日,,-907765,-907765,,,728084,88041,68139,-2680,-4829,7534,25155,-31922,,877522.0,,,108560,20990,214588,359218,-39178,664178,,-35815,-56873,-202506,-126102,-1770.0,-423066,241112,1118634,210869,2666,-68545,-3786,141204,,-470700,131817,-44898.0,,,,,2532.0,,,-92934,78100,0.0,57225.0,4829,-334029,,-243530,68,272402.0,-13811,0.0,20199,-3902,31426,-2628,-164027,3582012,3417985,3417985,,,,,,,,,,,,,,,,
2349,2013年度,,-3221638,-3221638,,,2630631,323464,307931,-21313,-17978,22022,48928,-161686,-212.0,,,,72835,-4178,258543,1236288,17048,1580536,,-169182,-98866,-214350,203479,,-287705,1292831,4434118,1212480,29313,-315465,-44342,881986,,-10070,72485,,,-244788.0,0.0,-19996.0,27933.0,,0.0,-1201658,949178,-1764.0,-221013.0,17978,-458476,,-629696,-5010,,16468,,258891,196485,-2026549,11427,-1591612,5173624,3582012,3582012,,,9500.0,3141287.0,-8786.0,0.0,41881.0,131358.0,-1863687.0,,,,,,,
2349,2013年01月01日至2013年12月31日,,-3221638,-3221638,,,2630631,323464,307931,-21313,-17978,22022,48928,-161686,-212.0,,,,72835,-4178,258543,1236288,17048,1580536,,-169182,-98866,-214350,203479,,-287705,1292831,4434118,1212480,29313,-315465,-44342,881986,,-10070,72485,,,-244788.0,,-19996.0,27933.0,,,-1201658,949178,-1764.0,,17978,-458476,,-629696,-5010,,16468,,258891,196485,-2026549,11427,-1591612,5173624,3582012,3582012,,,9500.0,3141287.0,-8786.0,0.0,41881.0,131358.0,-1863687.0,,,-221013.0,,0.0,0.0,
2349,2013年01月01日至2013年09月30日,,-1964466,-1964466,,,2273513,261409,234242,-16299,-17545,9999,47022,-147838,,,,,40586,-12182,132518,737682,-115648,782956,,-95935,6073,-393821,127996,,-359024,423932,3075935,1111469,24607,-248912,-45942,841222,,0,70858,,,-209250.0,,-19996.0,27933.0,,,-668453,320224,0.0,-143258.0,17545,-428925,,-310970,194888,,18930,,233399,-116277,-2176386,-94170,-1858259,5173624,3315365,3315365,,,7500.0,2652003.0,-3337.0,59781.0,0.0,115691.0,-2196356.0,,,,,,,
