公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 舉借長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得無活絡市場之債務工具投資,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 退還（支付）之所得稅,　　 取得無活絡市場之債券投資,　　 存出保證金增加,　　 存入保證金減少,　　 現金增資,　　 其他非流動資產減少,　　　　 其他項目
1786,2015年01月01日至2015年09月30日,,44168,44168,,,14628,237,1899.0,-63,68.0,-1327,-48.0,-19.0,15375.0,,,2399,-40706,210,12408,-21031,-880,-47600,,1419,5578,8661,3464,223,1646.0,20991,-26609,-11234,32934,1426,-68.0,34292,,-9495,104459,9495.0,-15000.0,-101313,48.0,571.0,-644.0,-17.0,-42012.0,-53908,,25463.0,0.0,-125806.0,-100343.0,-8.0,-119967,366492,246525,246525,,,,,,,,,,,
1786,2015年01月01日至2015年06月30日,,19020,19020,,,9611,152,1080.0,842,,-1032,-48.0,0.0,10605.0,,,-751,-21817,420,6720,-6515,-869,-22812,,1997,6554,-15856,61,128,1095.0,-6021,-28833,-18228,792,995,,1787,,-9495,18603,,,-71524,48.0,571.0,-458.0,-17.0,-30843.0,-83620,,,,-39029.0,-39029.0,-197.0,-121059,366492,245433,245433,9495.0,,,,,,,,,,
1786,2015年01月01日至2015年03月31日,,13759,13759,,,4727,70,1080.0,-335,,-502,,,5040.0,,,2299,-10641,210,5575,-4140,93,-6604,,713,5029,-9110,-63,13,548.0,-2870,-9474,-4434,9325,403,,9728,,-9495,9453,9495.0,,-26143,,,,-17.0,-29228.0,-45935,,,,-39029.0,-39029.0,-93.0,-75329,366492,291163,291163,,,,,,,,,,,
1786,2014年度,,-22145,-22145,,,18908,230,1263.0,-4973,17.0,-2776,0.0,-71.0,,,,-5829,-1001,-420,7625,-6288,-1250,-7163,,-3476,-58,18498,-1030,-89,,15624,8461,21059,-1086,3192,-17.0,1852,,-407161,249895,,,-125759,0.0,,-511.0,-17.0,-4897.0,-267263,,,-35000.0,,-34958.0,286.0,-300083,666575,366492,366492,,,12598.0,1779.0,-237.0,20734.0,453.0,42.0,0.0,,
1786,2014年01月01日至2014年09月30日,,333,333,,,14325,169,0.0,-3727,0.0,-2323,0.0,-7.0,8437.0,,,-3850,-4988,-420,8207,-5744,-3,-6798,,-3093,180,1117,-773,39,1337.0,-1193,-7991,446,779,2716,0.0,3495,,-388500,25533,21159.0,0.0,-22422,0.0,453.0,0.0,-17.0,-3076.0,-366870,,0.0,-35000.0,0.0,-35000.0,0.0,-398375,666575,268200,268200,,,,,,,,,,,
1786,2014年01月01日至2014年06月30日,,1696,1696,,,9717,125,0.0,-3521,,-1660,0.0,-7.0,4654.0,,,-5499,-9740,-210,699,-4038,-3,-18791,,-564,3530,60,-1074,-82,894.0,2764,-16027,-11373,-9677,1958,,-7719,,-388500,25533,,,-20394,0.0,780.0,0.0,-17.0,-1948.0,-354261,,,,0.0,0.0,0.0,-361980,666575,304595,304595,30285.0,,,,,,,,,,
1786,2014年01月01日至2014年03月31日,,1112,1112,,,4887,62,0.0,-2016,,-625,,,2308.0,,,506,-10365,-420,-1267,-3088,-3,-14637,,-1652,4642,-1118,2449,-27,450.0,4744,-9893,-7585,-6473,860,,-5613,,-388500,0,16703.0,,-3971,,,,-16.0,-549.0,-376333,,,,0.0,0.0,0.0,-381946,666575,284629,284629,,,,,,,,,,,
1786,2013年度,,31364,31364,,,22502,210,-30.0,-190,31.0,-1075,-252.0,-23.0,,,,-433,-5615,16729,-25937,1195,692,-13369,,-1090,-6074,4096,-836,185,,-2360,-15729,5444,36808,527,-31.0,37275,,-74559,60742,,,-26857,448.0,,-879.0,-1135.0,-5400.0,-74739,,,0.0,,607800.0,0.0,570336,96239,666575,666575,,,21173.0,1359.0,-29.0,-25899.0,-1200.0,-20000.0,627800.0,,
1786,2013年01月01日至2013年12月31日,,31364,31364,,,22502,210,,-190,31.0,-1075,-252.0,-23.0,,,,-433,-5645,16729,-25937,1195,692,-13399,,-1090,-6074,4096,-836,185,,-2360,-15759,5444,36808,527,-31.0,37275,,-74559,60742,,,-26857,448.0,,-879.0,-5400.0,-1135.0,-74739,,,,,607800.0,,570336,96239,666575,666575,,,21203.0,1359.0,-29.0,-25899.0,-1200.0,-20000.0,627800.0,,
1786,2013年01月01日至2013年09月30日,,25618,25618,,,16845,150,,1002,31.0,-673,-252.0,-23.0,,,,117,5280,5599,-28618,529,713,-16380,,-3636,-481,350,-1924,116,,-4555,-20935,-3855,21763,300,-31.0,22032,,-74559,60743,,,-16675,448.0,,-451.0,0.0,-1715.0,-62465,,,0.0,,0.0,,-40433,96239,55806,55806,,,17080.0,1020.0,,-29056.0,-1200.0,,,,
