公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 其他金融負債增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　　　 處分採用權益法之投資損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　 發行公司債,　　　　　 預付費用（增加）減少,　　 收取之股利,　　 發放現金股利,　　　　 股利收入,　　　　 金融資產減損損失,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 其他非流動負債增加,　　 其他投資活動,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 償還公司債,　　　　 非金融資產減損損失,　　 備供出售金融資產減資退回股款
1218,2016年01月01日至2016年09月30日,,298379,298379,,,84648,13565,1649,44700,-2068,-246855,6098,-45429.0,34465,,,,-25578,-12644,-4206,-303869,-74848,1078,-55516,273,176247.0,512,-292862,,2646.0,-52912,140295,34194,40420,,-38969,-331831,-428945,-130566,2068,-44315,-4595,-177408,,-33421.0,0.0,,-38688,6451,-268,-225285,-1094,-20180,,6789542,-6575506,1280000,-1300000.0,83417,-210843,,,12116,-23709,-209181,726095,516914,516914,13821.0,,676.0,-208.0,5689.0,,,55758.0,,,216367.0,,-2304.0,128.0,0.0,,-1394.0,,,-97114.0,-203612.0,-53100.0,,
1218,2016年01月01日至2016年06月30日,,142668,142668,,,56814,8883,-674,29540,-1356,-134522,6565,0.0,548,,,,-8182,37348,-7072,-171222,-90715,1025,-103103,-92,128758.0,351,-211472,,223.0,-33987,120450,40266,6873,,-67611,-279083,-344981,-202313,1356,-29155,-4476,-234588,,-33421.0,0.0,,-28612,2995,-950,-130141,-1114,-129985,,4754146,-4019486,390000,-450000.0,80810,-211313,,,489809,-16034,109202,726095,835297,835297,12612.0,-45429.0,1201.0,-208.0,1432.0,,,55758.0,,,5500.0,,,128.0,0.0,,-1248.0,,,-65898.0,-201436.0,-53100.0,,
1218,2016年01月01日至2016年03月31日,,55917,55917,,,27591,4340,3221,13986,-628,-36115,-1035,,5679,,,,-5071,41900,137,-49546,13852,-3004,205771,-626,-26155.0,180,177808,,2798.0,-71854,94630,-43819,-8138,,-225195,-47387,-74809,-18892,628,-13755,-52,-32071,,-33421.0,,,-12613,2836,0,-134021,-818,-122279,,1716672,-1175866,280000,-250000.0,60000,-201894,,,429432,-7255,267827,726095,993922,993922,810.0,-45429.0,366.0,-208.0,370.0,,,55758.0,,,,,,,,,520.0,,,-27422.0,-198812.0,,,
1218,2015年度,,104282,104282,,,137870,17232,-13079,72081,-4284,-273815,26058,-29224.0,21372,,,,23165,-31892,-1663,-37282,45968,95,-35133,-8056,,13816,23832,,3845.0,52061,-49079,-34229,-36279,,-77158,-53326,-109515,-5233,4284,-60135,-4471,-65555,,,71026.0,,-45172,15831,-2521,6682,-2326,348761,,12604218,-12589657,5895000,-5895000.0,649731,-258992,,,-41252,-2746,239208,486887,726095,726095,4922.0,-47135.0,208.0,-182.0,4264.0,,,57651.0,,50550.0,246890.0,,-1040.0,4163.0,,,348.0,600.0,,-56189.0,-13477.0,-446900.0,28664.0,100.0
1218,2015年01月01日至2015年09月30日,,87533,87533,,,103351,12867,-10970,63652,-2233,-200109,9197,-29266.0,56356,,,,-2569,-73655,-5420,-375892,23698,-19404,-39129,-7481,10372.0,7487,-469761,,2522.0,104286,60072,18233,29246,,205817,-263944,-259577,-172044,2233,-51937,-414,-222162,,,68225.0,,-27193,5592,-2520,5737,-2993,293298,,9028698,-8815133,5255000,-5255000.0,440927,-89244,,,117539,6751,195426,486887,682313,682313,1171.0,,533.0,-182.0,12232.0,,,,,,245850.0,,,,600.0,,-809.0,,,4367.0,-8542.0,-446900.0,,
1218,2015年01月01日至2015年06月30日,,-19026,-19026,,,70870,8521,-6343,48686,-1805,-102664,5774,-14830.0,549,,,,7555,-4307,-4963,-157045,18761,-10759,-54081,-5153,-12700.0,3960,-218239,,2246.0,86802,119629,-48386,40399,,195417,-22822,-12142,-31168,1805,-37202,-326,-66891,,,34238.0,,-16036,3991,-285,1939,-656,23791,,6262254,-6334925,3885000,-3550000.0,500000,-159850,,,158983,-10027,105856,486887,592743,592743,1534.0,,570.0,-182.0,493.0,,,,,,,,,,600.0,,3404.0,,,10680.0,-5273.0,-446900.0,,
1218,2015年01月01日至2015年03月31日,,-9255,-9255,,,35904,4246,-1295,16745,-902,-33065,838,,8320,,,,-706,12995,-11312,-51520,-28250,-7801,31213,-1131,250811.0,3607,199744,,620.0,33628,66661,-79647,16485,,36467,236211,268360,259105,902,-14569,-238,245200,,,,,-8114,2492,-88,62,0,-5648,,2873944,-3057539,1170000,-960000.0,0,-79748,,,-46638,-2914,190000,486887,676887,676887,720.0,,820.0,-182.0,1838.0,,,,,,,,,,,,6705.0,,,32149.0,-1280.0,,,
1218,2014年度,,74747,74747,,,143290,16668,-435,70410,-6116,-284392,2299,0.0,60809,6504.0,,,-14726,9646,62929,-30951,5893,-2716,34089,-49,-157493.0,16,-63180,,,-96596,-391,58406,-16512,-18342.0,-73435,-136615,-130111,-55364,6116,-61706,-4048,-115002,,,0.0,,-141365,10338,-20682,-354,-7468,67524,,10958878,-10749400,4558000,-4558000.0,1169974,-1469284,,0.0,-90438,10612,-127304,614191,486887,486887,5705.0,0.0,182.0,-410.0,30182.0,,,0.0,0.0,,225061.0,,-1506.0,0.0,,,-606.0,1994.0,,,,,,
1218,2014年01月01日至2014年09月30日,,82551,82551,,,110673,12463,-3067,58825,-3111,-235808,-1445,0.0,47057,-9967.0,,,-20704,-40511,62098,-311535,-83117,-9284,-94340,1379,-6356.0,-3879,-471983,,587.0,109843,117190,70234,63289,-14137.0,347006,-124977,-134944,-52393,3111,-52297,-2500,-104079,,,0.0,,-103427,8509,-17498,-1279,-5983,104377,,7841143,-7693366,3573000,-3599000.0,771736,-495799,,0.0,398437,5649,404384,614191,1018575,1018575,4664.0,0.0,192.0,-410.0,34266.0,,,0.0,0.0,0.0,223555.0,,,,500.0,,723.0,,,,,,,
1218,2014年01月01日至2014年06月30日,,4805,4805,,,76205,8282,-1859,36886,-2616,-136960,-1884,0.0,586,-17632.0,,,-21566,-112,57255,-144381,-68042,-8236,-212599,936,-320856.0,-3879,-709255,,1670.0,11091,155667,60239,17369,-10301.0,235735,-473520,-491152,-486347,2616,-32534,-2180,-518445,,,0.0,,-93775,8361,-17502,-912,-5995,-109323,,4758119,-4531735,2169000,-1995000.0,773939,-220040,,,955105,-11119,316218,614191,930409,930409,3528.0,0.0,610.0,-410.0,12225.0,,,0.0,0.0,,,,,,500.0,,822.0,,,,,,,
1218,2014年01月01日至2014年03月31日,,26116,26116,,,36156,3841,-2864,16165,-1246,-46223,395,0.0,297,13401.0,,,-553,7254,56235,-36137,-2195,-5213,5682,-344,-231573.0,-5721,-235161,,,-71608,141231,-6749,-39371,-5719.0,17784,-217377,-203976,-177860,1246,-13989,-1886,-192489,,,0.0,,-10511,4144,-16540,-3148,-4937,-30992,,107142,-66213,10000,,270000,-152000,,,169453,-979,-55007,614191,559184,559184,6183.0,,1107.0,-410.0,-22596.0,,,,,,,,,,,,524.0,,,,,,,
1218,2013年度,,-105538,-105538,,,149344,4337,1562,67479,-5290,-243874,10817,-3706.0,1157,-54436.0,,,-13256,190197,35898,150416,-24799,37459,667997,-4846,-14521.0,-3760,997322,,,2652,-34223,-34333,97513,-35490.0,-3881,993441,939005,833467,5290,-62400,-2106,774251,,,50711.0,,-120942,14423,-63879,-2417,-23712,95275,,5457563,-6017390,1852000,-2024000.0,1308598,-1670000,,1624.0,-591355,12359,290530,323661,614191,614191,5865.0,-53191.0,410.0,16.0,-23463.0,,,71181.0,491345.0,,164273.0,,-1157.0,11795.0,,,8905.0,5637.0,,,,,,
1218,2013年01月01日至2013年12月31日,,-105538,-105538,,,149344,4337,1562,67479,-5290,-243874,10817,-3706.0,1157,-54436.0,,,-13256,190197,35898,150416,-24799,37459,667997,-4846,-14521.0,-3760,997322,,0.0,2652,-34223,-34333,97513,-35490.0,-3881,993441,939005,833467,5290,-62400,-2106,774251,,0.0,50711.0,0.0,-120942,14423,-63879,-2417,-23712,95275,,5457563,-6017390,1852000,-2024000.0,1308598,-1670000,,1624.0,-591355,12359,290530,323661,614191,614191,5865.0,-53191.0,410.0,16.0,-23463.0,,,71181.0,491345.0,,164273.0,0.0,-1157.0,11795.0,5637.0,0.0,8905.0,,,,,,,
1218,2013年01月01日至2013年09月30日,,90709,90709,,,113094,1324,3697,49695,-3075,-191876,-662,-2539.0,866,-70977.0,,,-46909,123846,48267,-241995,129788,-21200,634233,-5436,24128.0,-3093,626728,,4280.0,140191,123642,1277,59917,-17559.0,313600,940328,869351,960060,3075,-46793,-1865,914477,,0.0,50711.0,0.0,-122653,9164,-575,-10223,-17563,131193,,4480962,-5069380,1452000,-1599000.0,1189051,-1550000,,-21.0,-605043,8421,449048,323661,772709,772709,2467.0,-43988.0,37.0,-17.0,-52700.0,1852.0,0.0,59214.0,491345.0,37799.0,163118.0,0.0,,,,,,,,,,,,
1218,2013年01月01日至2013年06月30日,,29520,29520,,,68154,845,1207,34088,-2337,-100202,606,-2539.0,-18166,-46534.0,,,-71732,139203,22204,-103958,112430,7964,636023,-2441,-3105.0,3962,783539,,2095.0,-77581,208164,-12596,47102,-20347.0,147280,930819,884285,913805,2337,-33363,-2032,880747,,0.0,50710.0,0.0,-36499,4856,0,-2866,-1144,54527,,3860294,-4361350,987000,-1209000.0,488523,-850000,,0.0,-593187,11566,353653,323661,677314,677314,347.0,-28848.0,328.0,-17.0,42989.0,443.0,0.0,39470.0,491346.0,,,,,,,,,,,,,,,
1218,2013年01月01日至2013年03月31日,,-624,-624,,,33384,515,-6079,16973,-1098,-23043,5851,-530.0,959,26932.0,,,-56000,62639,26585,42362,87262,15535,334025,-3683,-6737.0,6806,508794,,39499.0,-69781,107913,-144632,86256,-5416.0,13839,522633,549565,548941,1098,-16973,-268,532798,,0.0,9896.0,0.0,-17410,0,0,-4991,-361,-12866,,1132397,-1217047,440000,-635000.0,990000,-940000,1991.0,0.0,-227659,6764,299037,323661,622698,622698,,,,,,,,,,,,,,,,,,,,,,,,
1218,2012年01月01日至2012年12月31日,,-194595,-194595,,,120212,6936,-963,68159,-5852,-205597,9662,4710.0,475,9937.0,,,1571,-30420,46539,-49072,-128454,-25795,-295390,23799,-12859.0,-2075,-458229,,10388.0,-43211,30023,51362,-8725,12628.0,52465,-405764,-395827,-590422,5852,-68159,-5453,-658182,,-144786.0,229597.0,-39972.0,-164146,10624,-2344,-4835,0,94320,,6886649,-6692805,3689000,-3616000.0,1152000,-950000,,-877.0,401434,-6681,-169109,492770,323661,323661,15380.0,0.0,-16.0,-3.0,13927.0,,,9421.0,0.0,,189324.0,-65952.0,-3166.0,0.0,12555.0,-1118.0,-581.0,,,,,,,
