公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 金融資產重分類淨損失（利益）,　　　　 利息收入,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 其他非流動負債增加,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 呆帳費用提列（轉列收入）數,　　 處分不動產、廠房及設備,　　 發放現金股利,　　　 收益費損項目,　　　　 收益費損項目合計,　　 短期借款增加,　　 其他金融資產減少,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產
3021,2016年01月01日至2016年09月30日,,100465,100465,,,32813,557,5607,,-1606,,,,-35097,33596,-11325,-340,-13166,,10767,8640,6024,25431,12265,40198,140663,1606,-5665,-8342,128262,,-25080,,-4009,77659,,,-9000,-200,0.0,-197063,-49658,-40800,448363,407563,407563,16.0,0.0,1324.0,0.0,,27933.0,-187863.0,41970.0,-9454.0,63454.0
3021,2016年01月01日至2016年06月30日,,64994,64994,,,22009,432,4156,,-995,,,,-307,10475,-4796,2300,7672,,8195,-2832,-8821,-3458,4214,20540,85534,995,-4129,-4046,78354,,-20263,,-1531,102170,,,-6000,-103,,-93658,-24001,62865,448363,511228,511228,178.0,0.0,,,,16326.0,-87555.0,60510.0,-9454.0,63454.0
3021,2016年01月01日至2016年03月31日,,16589,16589,,,11161,234,2140,,-863,,,,111454,538,-9509,0,102483,,-21470,-11771,-17694,-50935,51548,64220,80809,863,-2145,37,79564,,-19552,0.0,-5161,35807,,,-3000,0,,-9994,-4822,100555,448363,548918,548918,,0.0,,,,12672.0,-6994.0,60520.0,,
3021,2015年度,,94364,94364,,,48461,856,5068,,-2165,,,,-63178,-13062,-16985,-66953,-160178,,6127,-4390,22522,24259,-135919,-76831,17533,2165,-4949,-15106,-357,,-38969,-2636.0,4560,-29981,,274197.0,-12000,-211,-3311.0,185343,-14141,140864,307499,448363,448363,8.0,6860.0,,-73332.0,,59088.0,,7064.0,,
3021,2015年01月01日至2015年09月30日,,62970,62970,,,36486,703,3186,,-1712,,,,-48249,-25359,-21961,-9909,-105478,,21976,-14823,9948,17101,-88377,-42854,20116,1712,-3075,-11425,7328,,-27708,-2687.0,14343,-16052,,,-9000,-91,-3311.0,7293,12449,11018,307499,318517,318517,0.0,6860.0,0.0,-73332.0,,45523.0,93027.0,,,
3021,2015年01月01日至2015年06月30日,,28960,28960,,,24396,552,1961,,-1322,,,,-39634,-23219,-14501,54,-77300,,14447,-18571,-3665,-7789,-85089,-52642,-23682,1322,-1965,-7676,-32001,,-18110,-2620.0,14552,-6178,,-3354.0,-6000,-95,0.0,-9449,-18405,-66033,307499,241466,241466,0.0,6860.0,,,,32447.0,,,,
3021,2015年01月01日至2015年03月31日,,3696,3696,,,11289,287,922,,-767,,,,-3935,-33140,-18224,9591,-45708,,7350,-9048,14886,13188,-32520,-13929,-10233,767,-924,-1270,-11660,,-8669,-1456.0,14944,4819,,-31657.0,-3000,-207,0.0,-34864,-6826,-48531,307499,258968,258968,0.0,6860.0,,,,18591.0,,,,
3021,2014年度,,87834,87834,,,47006,967,3520,,-2214,68681.0,,,-69359,-105418,4255,-10635,-181157,,48395,31458,3735,83588,-97569,-28888,58946,2214,-3473,580,58267,,-31448,-968.0,2369,-30047,,54763.0,-12000,328,-45393.0,-23654,25720,30286,277213,307499,307499,-105.0,19507.0,,-21352.0,,,,,,
3021,2014年01月01日至2014年09月30日,,61457,61457,,,35271,713,2599,,-1495,42039.0,,,-20452,-61267,-1909,-3804,-87432,,4880,18445,1275,24600,-62832,-20793,40664,1495,-2573,4519,44105,,-25844,-2397.0,8242,-19894,,20097.0,-9000,167,-19410.0,-29498,3854,-1433,277213,275780,275780,-105.0,5056.0,105.0,-21352.0,,,,,,
3021,2014年01月01日至2014年06月30日,,48560,48560,,,23632,476,1744,,-1096,24652.0,,,-81523,-34449,2461,-2827,-116338,,59382,15299,-6556,68125,-48213,-23561,24999,1096,-1732,1527,25890,,-19131,-903.0,7239,-12795,,-4403.0,-6000,66,-19410.0,-29747,-12163,-28815,277213,248398,248398,-104.0,,,,,,,,,
3021,2014年01月01日至2014年03月31日,,21866,21866,,,11932,240,769,-104.0,-660,12177.0,,,16862,-22556,2134,-1514,-5074,,6701,-1172,11694,17223,12149,24326,46192,660,-776,0,46076,,-6550,-3244.0,5508,-4286,,-9166.0,-3000,-31,-19410.0,-31607,-1102,9081,277213,286294,286294,,,,,,,,,,
3021,2013年度,,55964,55964,,,44616,1195,4267,,-1388,48914.0,,,34209,-54490,1304,4692,-14285,,-23575,-194,4175,-19594,-33879,15035,70999,1388,-4435,-8745,59207,,-39909,-319.0,10897,-29331,,-29413.0,-7762,194,-710.0,-37691,25486,17671,259542,277213,277213,224.0,0.0,,0.0,,,,,,
3021,2013年01月01日至2013年09月30日,,51498,51498,,,31845,955,3239,,-1023,35433.0,,,67402,-31909,7282,-2647,40128,,-57255,8528,-10816,-59543,-19415,16018,67516,1023,-3400,-5554,59585,,-31448,-10724.0,-2984,-44925,,-34035.0,-4762,-6,0.0,-38803,17307,-6836,259542,252706,252706,417.0,0.0,231.0,0.0,,,,,,
3021,2013年01月01日至2013年06月30日,,36608,36608,,,20055,656,2544,,-737,22418.0,,,11452,-32661,1114,-2156,-22251,,-12097,1049,11811,763,-21488,930,37538,737,-2569,-5518,30188,,-17441,-8358.0,-4467,-30266,,-62353.0,-1762,-6,0.0,-64121,24218,-39981,259542,219561,219561,-100.0,,,,,,,,,
3021,2013年01月01日至2013年03月31日,,7681,7681,,,9724,325,1082,0.0,-245,10886.0,,,65130,-18789,1987,-4906,43422,,-7935,1449,-2965,-9451,33971,44857,52538,245,-1149,-937,50697,,-4702,-3935.0,1225,-7412,,-45290.0,-1069,12,0.0,-46347,15439,12377,259542,271919,271919,,,,,,,,,,
