公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　 收取之股利,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 取得無形資產,　　　　 處分採用權益法之投資損失（利益）,　　　　　 其他應收款（增加）減少,　　　　　 預收款項增加（減少）,　　 處分子公司股權（未喪失控制力）,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 存出保證金減少,　　 其他預付款項減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 未實現銷貨利益（損失）,　　 存出保證金增加,　　 庫藏股票買回成本,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分持有至到期日金融資產,　　 庫藏股票處分,　　 取得無活絡市場之債券投資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分避險之衍生金融資產,　　　　 處分無形資產損失（利益）
1605,2015年01月01日至2015年09月30日,,1810575,1810575,,,1645506,30756,7754,152754,330433,-315999,-443220,-90941,-175687,,23103,14651,,,,,-233186,-1178641,958227,242167,740662,,11306,710610,,-125355,-1409018,-159994,-137568,,28622,-1793605,-1082995,34866,1845441,293909,-343727,-541624,1372034,,180158.0,0.0,-1665811.0,1184206.0,-1157334,153254,,0,618128,,-1530141,,,2599175.0,,-155572,-1.0,597544,114985,2702691,6417086,9119777,9119777,-41874.0,4762.0,118035.0,0.0,497853.0,-1669.0,-23382.0,170075.0,0.0,,6579.0,,,,,,-875.0,11800.0,-315917.0,0.0,0.0,,,,1117861.0,9708.0,-176473.0,,1637100.0,-51535.0,120.0
1605,2015年01月01日至2015年06月30日,,1011006,1011006,,,1094228,18876,8010,161608,214609,-211943,-248230,-60189,43645,,8245,-103468,,,,,-1328698,-122687,1140958,1640456,487786,,2006,2099514,,-67619,-671706,-459598,-165154,,-10335,-1363815,735699,1638397,2649403,191652,-223103,-442377,2175575,,180158.0,0.0,-1676504.0,392612.0,-742194,100014,,0,-881805,,5081375,,,0.0,-2181175.0,-57334,-1.0,2526948,-437357,3383361,6417086,9800447,9800447,0.0,1415.0,0.0,0.0,497853.0,-1582.0,-23382.0,279693.0,0.0,,0.0,,,,,0.0,-726.0,-6822.0,-315917.0,,,,,,902698.0,10597.0,-1127242.0,,1637051.0,-135149.0,
1605,2015年01月01日至2015年03月31日,,-107999,-107999,,,538708,9497,15393,31162,99411,-104757,64543,1755,14965,,-706,-42978,440.0,,,,-141644,-1604903,-187793,725256,345202,,-16132,-389923,,-136267,-612462,-495430,124616,,-3068,-1111627,-1501550,-873364,-981363,89761,-111433,-462672,-1465707,,126338.0,,,300110.0,-457375,1808,,208051,1052856,,3484788,,,0.0,-1201656.0,0,,2283132,-378495,1491786,6417086,7908872,7908872,,714.0,,,,,,490091.0,0.0,,,,,,,0.0,39.0,-5426.0,0.0,,,,,,628186.0,10984.0,-615871.0,1495221.0,,,
1605,2014年度,,3661324,3661324,,,2313423,44495,77558,-23040,761181,-469845,-614009,16681,468572,0.0,909563,182922,-440.0,2606707.0,,,-356424,1923394,-9084,-1539909,-141808,,66957,155117,,-91909,728947,-669111,-470540,86482.0,-140346,-5251260,-5096143,-2489436,1171888,482581,-747801,-414829,568139,,65534.0,-712807.0,-144761.0,43030.0,-1402151,180097,,-3000,-198456,,-3564118,,0.0,1934556.0,,-40331,-5.0,-1962791,312432,-1280676,7697762,6417086,6417086,-37935.0,3975.0,76300.0,7545.0,927328.0,-9618.0,-1033363.0,211991.0,-4694783.0,0.0,8136.0,,,29608.0,0.0,0.0,6969.0,,-292893.0,-2047887.0,3703833.0,,-843343.0,,,,,,,,
1605,2014年01月01日至2014年09月30日,,3256351,3256351,,,1766410,38617,41287,-257212,594962,-393093,-481665,10169,614264,0.0,892646,80335,0.0,2054116.0,,,-707364,770167,-927488,-3591862,220590,,19267,-3884476,,11158,-641819,-972947,-118844,4812.0,125731,-5841114,-9725590,-7671474,-4415123,372678,-482905,-345682,-4808522,,,-712807.0,-3662.0,,-819796,33861,,-2833,491572,,1958634,,0.0,2573632.0,0.0,-21995,-5.0,4217373,-300753,-400330,7697762,7297432,7297432,-36008.0,1311.0,62510.0,7545.0,200581.0,-9648.0,-835601.0,332214.0,-4249205.0,,8136.0,,,,,0.0,17694.0,-12729.0,-292893.0,-1900909.0,3703833.0,0.0,,,,,,,,,
1605,2014年01月01日至2014年06月30日,,840054,840054,,,1204914,29304,19946,-5811,410844,-288447,-256840,9346,618968,0.0,3396,-61882,,1661495.0,,,-576388,989469,-3431591,-3863055,-292411,,-95887,-7377701,,-154905,695981,-236925,22985,13017.0,58047,662214,-6715487,-5053992,-4213938,261870,-374176,-194463,-4507946,,,-700000.0,-3662.0,,-469888,26494,,-2333,-1220788,,3947976,,0.0,628944.0,,-26696,0.0,4257331,-322687,-1794090,7697762,5903672,5797574,-46.0,1619.0,12761.0,7545.0,,-9677.0,-49006.0,-107838.0,264014.0,,705.0,,,,,106098.0,25190.0,-69972.0,-292893.0,,,,,,,,,,,,
1605,2014年01月01日至2014年03月31日,,-211979,-211979,,,590110,15782,12441,122932,154244,-136859,-60455,414,285769,0.0,923,124872,792.0,1065740.0,,,-131518,-547631,-1626840,-964615,-94068,,-22639,-3561671,,-105008,379138,-449822,99578,6048.0,296996,572112,-2989559,-1923819,-2135798,132729,-158151,-121193,-2282413,,,,0.0,,-260333,1757,,-986,-278468,,2693356,,0.0,745282.0,,-4681,0.0,3341658,-108887,671890,7556082,8227972,8203206,,,,,,,-49006.0,-174360.0,345182.0,,,,,,,24766.0,3781.0,-18906.0,-92299.0,,,,,,,,,,,,
1605,2013年度,,-2316137,-2316137,,,2609854,110013,23066,-17029,614601,-408334,251001,-507196,-1050864,538000.0,2000030,-318312,2213.0,5467267.0,,,1040561,-2536257,1243338,-316585,371329,,-165458,-717756,,-198459,1066478,-374463,-60534,-133034.0,269824,5264595,4546839,10014106,7697969,459218,-696885,-1362325,6182837,,4878.0,-95178.0,-1809574.0,8800.0,-2201644,1150866,,-42403,-4639903,,-2042129,,-95956.0,1226808.0,,-39949,-115430.0,-787994,882707,1637647,6060115,7697762,7556082,-32835.0,6375.0,84860.0,41677.0,-1599157.0,-1386.0,1646684.0,-354684.0,4694783.0,278662.0,25182.0,,,-345411.0,223447.0,141680.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,
1605,2013年01月01日至2013年12月31日,,-2316137,-2316137,,,2609854,110013,23066,-17029,614601,-408334,251001,-507196,-1050864,538000.0,2000030,-318312,2213.0,5467267.0,,,1040561,-2536257,1243338,-316585,371329,,-165458,-717756,,-198459,1066478,-374463,-60534,-133034.0,269824,5264595,4546839,10014106,7697969,459218,-696885,-1362325,6182837,,4878.0,-95178.0,-1809574.0,8800.0,-2201644,1150866,0.0,-42403,-4639903,,-2042129,,-95956.0,1226808.0,0.0,-39949,-115430.0,-787994,882707,1637647,6060115,7697762,7556082,-32835.0,6375.0,84860.0,41677.0,-1599157.0,-1386.0,1646684.0,-354684.0,4694783.0,278662.0,25182.0,0.0,0.0,-345411.0,223447.0,141680.0,,,,,,,,,,,,,,,
1605,2013年01月01日至2013年09月30日,,1153540,1153540,,,1917892,102460,18424,-141,439599,-296380,142101,-49260,-1022727,3916.0,32998,-54229,1801.0,1218978.0,,,968776,-2108428,222744,1074429,570424,-310091.0,-12710,452903,,-142072,-548588,-422009,150142,-42614.0,147633,3145402,3598305,4817283,5970823,306834,-425023,-1092647,4846447,,,-95178.0,-430163.0,0.0,-1642732,210021,0.0,-27481,-2025491,,-2292492,,-95956.0,,-634792.0,-101846,-7.0,-2846431,548571,523096,6060115,6583211,6583211,-28541.0,5655.0,86460.0,2644.0,-41941.0,-661.0,5410.0,47759.0,4002910.0,278662.0,,,,,,,,,,,,,,,,,,,,,
1605,2013年01月01日至2013年06月30日,,978496,978496,,,1254355,84348,29733,-243020,302289,-164512,131420,-15359,-847531,3896.0,34735,-160835,0.0,387443.0,,,836771,-292799,-389760,487819,207849,-279394.0,-90596,479890,,-114508,-721088,-235854,17366,-24913.0,397381,-681616,-201726,185717,1164213,150563,-293680,-996014,53490,,0.0,-95178.0,-290135.0,0.0,-1246131,122326,0.0,-20379,-1527213,,355806,,-95956.0,1251976.0,0.0,-21373,-6.0,1490447,624303,641027,6060115,6701142,6701142,-26289.0,4213.0,28408.0,2644.0,0.0,-360.0,,,,,,,,,,,,,,,,,,,,,,,,,
1605,2013年01月01日至2013年03月31日,,353132,353132,,,624647,25621,24357,-114986,123696,-56764,186302,470,42726,3893.0,26496,-15095,720.0,872083.0,,,-117777,167248,-234836,-1127199,255331,-750659.0,382003,-1425889,,-126246,125316,-24373,43192,-26246.0,147923,139566,-1286323,-414240,-61108,51758,-158984,-186936,-355270,,0.0,0.0,-179725.0,0.0,-466654,48378,0.0,1101,-596900,,1484657,0.0,-95956.0,2518440.0,0.0,-1211,-4.0,3905926,-594417,2359339,6060115,8419454,8419454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,2012年01月01日至2012年12月31日,,-1763522,-1763522,,,2593034,104801,7902,-88661,617659,-459489,829130,-11226,433265,1950920.0,718517,-9117,33250.0,7072910.0,,,-307181,2125780,-1751081,7707390,36215,,-63537,7448534,,-32137,-4487462,1178432,-132072,-19276.0,169101,-6255352,1193182,8266092,6502570,936006,-597714,-543475,6421082,,0.0,-281312.0,-534780.0,811232.0,-6297946,285751,1108419.0,-32312,-4168205,,-461702,,95956.0,0.0,-7899649.0,-64788,-2511.0,-8332694,-799904,-6879721,12939836,6060115,6060115,55353.0,0.0,123695.0,168527.0,-13957.0,0.0,297572.0,-299052.0,-2931938.0,0.0,880.0,518486.0,59110.0,39697.0,0.0,0.0,,,,,,,,,,,,,,,
