公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 應付短期票券減少,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得投資性不動產,　　 庫藏股票處分,　　 非控制權益變動,　　 處分子公司,　　 庫藏股票買回成本,　　　　 處分採用權益法之投資損失（利益）,　　 存入保證金減少
2373,2015年01月01日至2015年09月30日,,1121980,1121980,,,309243,9109,38824,-156,21002,-105.0,-168261,0.0,-210408.0,14959,0,70422,-68571.0,16058.0,,,90395,-3786,-334489,-33101,-17208,-11804,-3379,8156.0,-305216,,-115570,18635,-150287,-291940,-6476.0,-545638,-850854,-834796,287184,-22413,-190360,74411,,0.0,105.0,-398980.0,0,-42392.0,-87436,7586,-35978.0,-1033,0,122470.0,0,8271.0,275203,181807.0,29623,,44156.0,154777.0,0.0,-60000.0,15773,-958582.0,-803876,335,-699507,1041662,342155,342155,,,,,,,,,,,,,,,,
2373,2015年01月01日至2015年06月30日,,737517,737517,,,208416,6226,25477,-148,12915,-105.0,-108000,,-99057.0,8459,0,45704,-68571.0,31316.0,,,180395,19040,-208528,-21566,-28201,51673,81246,8159.0,82218,,-244439,20346,-253036,-336660,5292.0,-808497,-726279,-694963,42554,-14065,-149250,-120761,,,105.0,-326185.0,0,-42392.0,-63046,6649,-28916.0,-1029,0,1662685.0,0,8261.0,212638,,1428770,,,,0.0,-60000.0,14839,,-600225,-11961,695823,1041662,1737485,1737485,-544880.0,-10184.0,,,,,,,,,,,,,,
2373,2015年01月01日至2015年03月31日,,361371,361371,,,104336,3068,8498,-129,6312,,-53257,,-36616.0,4460,0,12457,-68571.0,-19442.0,,,165376,31352,-123758,-14998,-63749,43405,63454,6030.0,107112,,-252853,-23095,-279642,-347709,5685.0,-897614,-790502,-809944,-448573,-6919,-59321,-514813,,,,-326138.0,0,-42392.0,-45278,3586,,-946,0,1037197.0,7480,0.0,158288,,765288,,0.0,,0.0,-140000.0,5499,,-542978,4668,-287835,1041662,753827,753827,-188448.0,-220029.0,-26509.0,,,,,,,,,,,,,
2373,2014年度,,1321287,1321287,,,412148,11899,-3968,-426,27536,-8306.0,-189430,-12803.0,-94641.0,24878,-104318,66756,,,,,-109730,4181,-22994,-10916,-24501,-398771,-29793,21683.0,-570841,,2178,-78976,74142,112165,,116703,-454138,-269274,1052013,-27514,-138958,885541,,657399.0,9232.0,-637853.0,169994,-54343.0,-106325,10160,0.0,-3230,-2062407,,-22048,,125720,303481.0,-1608461,,318634.0,299902.0,215700.0,0.0,54886,-1042681.0,-131059,4668,-849311,1890973,1041662,1041662,,0.0,1759.0,,0.0,48855.0,6684.0,184864.0,7194.0,0.0,0.0,22500.0,,,,
2373,2014年01月01日至2014年09月30日,,1106225,1106225,,,311437,8903,1631,-290,20074,-8306.0,-139802,-12803.0,-126090.0,17651,-104318,51512,0.0,19599.0,,,-19731,6927,-166051,-82154,-20140,-249509,-50795,12313.0,-569140,,2364,-105055,-38619,-163438,5104.0,-299644,-868784,-849185,257040,-21290,-127512,108238,,657399.0,9232.0,-527399.0,169994,0.0,-55954,6799,-13867.0,-2750,-1244655,0.0,-32443,0.0,85838,303481.0,-644325,,213559.0,149950.0,200000.0,0.0,35612,-1042681.0,-443560,-10114,-989761,1890973,901212,901212,,,,,,,,,,,,,,,,
2373,2014年01月01日至2014年06月30日,,713398,713398,,,210425,5955,3599,-151,12901,-8306.0,-93689,,-36420.0,9055,-67303,30285,0.0,66351.0,,,-44818,-6625,-250786,-4639,-30820,-17449,-51740,-120.0,-406997,,-39379,-106507,-64552,-170177,3490.0,-377125,-784122,-717771,-4373,-14463,-89076,-107912,,,9232.0,-423153.0,169041,0.0,-33051,4189,-831.0,-2754,-718393,0.0,-27986,0.0,54554,,-969152,,,,200000.0,0.0,16820,,-11321,-18030,-1106415,1890973,784558,784558,-128117.0,-100024.0,,,,,,,,,,,,,,
2373,2014年01月01日至2014年03月31日,,340772,340772,,,108161,2993,-7176,-94,6432,,-46075,,-4804.0,4980,-53195,10692,0.0,21914.0,,,20182,25406,-148864,10343,-36841,92388,-16625,684.0,-53327,,-180357,-122230,-231262,2168,1756.0,-529925,-583252,-561338,-220566,-6133,-29437,-256136,,,,-200002.0,127572,0.0,-5799,2538,,-806,-978958,0.0,0,-5108.0,28816,,-1040158,,80988.0,,110000.0,0.0,7254,,-1731,11689,-1286336,1890973,604637,604637,0.0,-199973.0,-8411.0,,,,,,,,,,,,,
2373,2013年度,,1430962,1430962,,,426039,11160,21973,-403,22350,0.0,-113651,-12816.0,-319090.0,19700,-18531,45471,,,,,-50201,51800,-107053,17656,-49515,-246988,-44009,4554.0,-423756,,188725,97752,193111,92652,,580829,157073,246689,1677651,-22295,-144523,1510833,,0.0,0.0,-84806.0,69746,0.0,-183140,62197,-5313.0,-23834,-840243,,7127,,103481,142164.0,-791998,,432031.0,0.0,0.0,-200000.0,43665,-930681.0,-365809,76301,429327,1461646,1890973,1890973,,-50003.0,0.0,,5218.0,0.0,2196.0,89616.0,8589.0,-39377.0,339179.0,0.0,,,,
2373,2013年01月01日至2013年12月31日,,1430962,1430962,,,426039,11160,21973,-403,22350,,-113651,-12816.0,-319090.0,19700,-18531,45471,,,,,-50201,51800,-107053,17656,-49515,-246988,-44009,4554.0,-423756,,188725,97752,193111,92652,,580829,157073,246689,1677651,-22295,-144523,1510833,,,,-84806.0,69746,,-183140,62197,-5313.0,-23834,-840243,,7127,,103481,142164.0,-791998,,432031.0,0.0,0.0,-200000.0,43665,-930681.0,-365809,76301,429327,1461646,1890973,1890973,0.0,-50003.0,,,5218.0,,2196.0,89616.0,8589.0,-39377.0,339179.0,,0.0,0.0,,
2373,2013年01月01日至2013年09月30日,,1092753,1092753,,,320655,8349,39188,-312,16123,0.0,-77025,-12816.0,-305564.0,10921,-18531,29036,,,,,19799,72550,-298441,2411,-52630,-198582,-114126,3005.0,-566014,,79824,38168,10568,-12286,,120632,-445382,-428320,664433,-16177,-140391,507865,,0.0,0.0,-36765.0,69746,,-164756,110057,-7720.0,-14648,-771339,,0,13419.0,77025,142164.0,-582817,,508607.0,49948.0,0.0,,28382,-930681.0,-343744,45467,-373229,1461646,1088417,1088417,,,,,5218.0,,1820.0,17062.0,4358.0,,,,,,,
