公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他預付款項增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 應付租賃款減少,　　 其他金融負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 生物資產（增加）減少,　　 採用權益法之被投資公司減資退回股款,　　 其他金融資產增加,　　 短期借款增加,　　 其他金融負債減少,　　 發放現金股利,　　 非控制權益變動,　　 取得以成本衡量之金融資產,　　 取得子公司股權,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 對子公司之收購（扣除所取得之現金）,　　 其他非流動負債增加,　　　　 處分其他資產損失（利益）,　　　　　 其他營業資產（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 應付租賃款增加
1227,2016年01月01日至2016年09月30日,,2397667,2397667,,,274655,41218,-4044,1238,37940,-41026,-9465,,692,-17273,81,,,,,-1238,-10907,-277975,-45689,-199579,300910,534,-236888,,232864,99627,196200,-9043,-131942,,392034,155146,439162,2836829,56545,-37505,-564971,2290898,,-1374990,1386558,,,15442.0,0.0,,-1399465,4982,-6530,2735,-51474,,-10752.0,9465,-628047,,,30019,,,-787728,-193710,681413,2916818,3598231,3598231,,,-37402.0,477061.0,-11747.0,-1259071.0,-26325.0,-6786.0,,,284016.0,-2437.0,-226311.0,1067166.0,-685.0,,,-2944.0,6765.0,2335.0
1227,2016年01月01日至2016年06月30日,,1622145,1622145,,,182508,26558,-225,-1090,18260,-28976,-1103,,684,-200,81,,,,,1090,30034,551315,13847,-102214,399448,-18450,872599,,-287067,-184264,-199571,-10730,-144540,,-829090,43509,240006,1862151,43727,-17405,-341156,1547317,,-1094990,783769,,,,0.0,,-908581,4955,-1146,3862,-54979,,-10997.0,1103,-535489,,,30015,-126.0,0.0,-591640,-55340,364848,2916818,3281666,3281666,,,-17587.0,-612506.0,-9023.0,,,-6786.0,,,196497.0,-2918.0,-306922.0,1073495.0,-685.0,,,-2471.0,,
1227,2016年01月01日至2016年03月31日,,1108779,1108779,,,91479,13250,-508,-653,9546,-17187,0,,239,-97,81,,,,,653,31579,-36461,-61417,-68367,478015,-446,342612,,-153313,961,-256433,-12579,-209388,,-634151,-291539,-195282,913497,28225,-9658,-12316,919748,,-555990,353649,,,,,,-755996,0,-1016,270,-20300,,,0,-486719,,,30009,-126.0,0.0,-754866,-20416,-342253,2916818,2574565,2574565,,,-17136.0,-772685.0,-12064.0,,,-6786.0,,,96257.0,-3399.0,-62322.0,579593.0,-685.0,,107.0,-944.0,,
1227,2015年度,,3398551,3398551,,,353838,49259,853,-21601,23155,-56917,-15792,,7717,-4790,5764,0.0,,,,21601,5743,-133325,-134019,239389,-837566,-6866,-844992,,235943,-285541,128784,7819,259574,,348009,-496983,-155497,3243054,49596,-25985,-593660,2673005,,-1850801,2051793,,,,5537.0,,-449250,1076,-33195,37,-50934,,-249662.0,15792,-1057499,,,-60022,-531.0,5340.0,-656535,-33711,925260,1991558,2916818,2916818,51.0,,-56068.0,532425.0,-936.0,-1144610.0,-8615.0,0.0,0.0,,341486.0,1430.0,-1441751.0,1172345.0,-172418.0,20414.0,,,,
1227,2015年01月01日至2015年09月30日,,2675589,2675589,,,262696,34968,3271,-18817,17633,-41003,-15176,,6568,-345,4803,0.0,,,,18817,23504,-321231,-190305,585453,-560556,-9527,-453845,,259069,-145015,236523,1255,-7392,,340233,-113612,140986,2816575,32829,-19231,-547049,2283124,,-1461706,1587192,,,,1059.0,,-307455,1076,-23894,0,-42505,,,15176,-858320,,,-59973,-407.0,0.0,-1275620,-1915,147269,1991558,2138827,2138827,0.0,,-5173.0,-54919.0,-7096.0,-1144610.0,-8615.0,0.0,0.0,,254598.0,-4207.0,-1177832.0,728160.0,-172418.0,,,,,
1227,2015年01月01日至2015年06月30日,,1616593,1616593,,,174160,22333,7632,-18494,10214,-25945,-5228,,1471,141,4803,0.0,,,,18494,3427,448941,-131914,517956,-93632,-5517,757755,,-100003,-650659,-94302,4653,-40775,,-881830,-124075,47012,1663605,25530,-10705,-350491,1327939,,-815706,780551,,,,1059.0,,-165714,158,-6880,0,-41691,,,5228,-1061097,,,-10045,-285.0,5465.0,125894,-25667,367069,1991558,2358627,2358627,0.0,,-8863.0,130759.0,,,,0.0,0.0,,171087.0,-744.0,-1152980.0,499881.0,-156140.0,,,,,
1227,2015年01月01日至2015年03月31日,,1214732,1214732,,,87020,10139,3325,-7314,5719,-10854,-4130,,1336,4154,4803,0.0,,,,7314,8287,-179369,-70803,673242,236417,1100,676188,,70939,-546493,-178789,-6027,-55612,,-715764,-39576,54622,1269354,15952,-6528,-33086,1245692,,-291000,346413,,,,0.0,,-83507,152,-6696,0,-11682,,,4130,-116725,,,-29982,-150.0,12631.0,-61410,-24426,1043131,1991558,3034689,3034689,0.0,,-18892.0,-43909.0,,,,,,,94198.0,218.0,-423500.0,367857.0,,,,,,
1227,2014年度,,2570025,2570025,,,302248,87522,-249,-27636,23991,-42274,-18242,,2141,-8212,22961,954.0,343204.0,,,27636,-11222,-425059,17667,-269516,-371088,9361,-1021239,,199142,386511,54374,-4991,-70794,2695.0,566937,-454302,-111098,2458927,40561,-21134,-366246,2112108,,-1192120,1460339,-1267195.0,963938.0,0.0,8464.0,0.0,-654506,20344,-11494,149998,-48826,,0.0,18242,-568644,,,29990,-758.0,10440.0,-986139,75201,632526,1359032,1991558,1991558,982.0,,-5828.0,30009.0,-529.0,-1050101.0,-2872.0,-10000.0,-2318.0,,,,,,,,,,,
1227,2014年01月01日至2014年09月30日,,1900208,1900208,,,222014,64877,472,-15233,15071,-30751,-17730,,572,-7707,14788,950.0,247323.0,,,15233,-9610,-40437,-69483,414295,-113803,4072,201283,,199938,-107416,-28455,-6472,-143852,2.0,-86255,115028,362351,2262559,26117,-14682,-362832,1911162,,-1000531,1099410,-870241.0,639248.0,0.0,7411.0,0.0,-442775,5272,-10472,150107,-45186,,0.0,17730,-462887,,,3,-591.0,3593.0,-1049335,20257,419197,1359032,1778229,1778229,1016.0,,-2860.0,2951.0,,-1050101.0,-2872.0,-10000.0,-2318.0,,,,,,,,,,,
1227,2014年01月01日至2014年06月30日,,1055799,1055799,,,144465,43285,-138,-9870,9168,-21286,-7383,,610,-6581,14788,953.0,168011.0,,,9870,5972,458804,65294,221,121467,6351,668998,,294320,-176430,-329491,-8345,-133354,-326.0,-353626,315372,483383,1539182,23999,-8209,-167135,1387837,,-661657,767243,-723345.0,478027.0,0.0,5537.0,0.0,-268745,4150,-10472,1569,-64510,,0.0,7383,-474820,,,1,-400.0,5042.0,-7418,-7331,898268,1359032,2257300,2257300,1019.0,,,-9743.0,,,,-10000.0,-2318.0,,,,,,,,,,,
