公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之股利,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人減少,　　 應付租賃款增加,　　 應付租賃款減少,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業負債增加（減少）,　　 其他應付款－關係人增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　 其他投資活動,　　 其他非流動負債增加,　　　　　 遞延貸項增加（減少）,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 退還（支付）之所得稅,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 發放現金股利,　　 非控制權益變動,　　　　　 其他金融資產（增加）減少
6289,2015年01月01日至2015年09月30日,,-174033,0,-174033,,,45060,2403,4113.0,11800,-25652,97.0,-53499.0,-12160.0,-27838.0,,,7030,13661,-184.0,-1575,50752,35943.0,-100,13460.0,118987,,-53508.0,-10252,-7706,-3495.0,414.0,-74547,44440,16602,-157431,25940.0,-7623,-139114,,269.0,0.0,164615.0,-4021,-60.0,160803,,289151.0,-271252,0.0,-6266.0,-8000.0,25000.0,-58093.0,0.0,-29460,534,-7237,14385,7148,7148,,,,,,,,,,,,,,,,,,,
6289,2015年01月01日至2015年06月30日,,-107666,0,-107666,,,29939,1678,4113.0,8243,-19352,97.0,-52514.0,-8088.0,-35884.0,,,5075,6130,-1512.0,1046,37040,35943.0,8495,10365.0,102582,,-57600.0,-8668,-10800,-7508.0,-4.0,-84580,18002,-17882,-125548,,-5323,-130871,,269.0,,156415.0,-4462,,152222,,156727.0,-158281,0.0,-4158.0,,25000.0,-44241.0,,-23953,-987,-3589,14385,10796,10796,0.0,1000.0,,,,,,,,,,,,,,,,,
6289,2015年01月01日至2015年03月31日,,-46539,0,-46539,,,14978,1006,0.0,4279,-11545,97.0,-28729.0,-4079.0,-23993.0,,,4089,8822,265.0,469,8982,,89,2137.0,24853,,-43321.0,-9344,-6989,2952.0,142.0,-56560,-31707,-55700,-102239,,-3124,-105363,,269.0,,97635.0,-3691,0.0,94213,,103755.0,-107503,0.0,-2070.0,,25000.0,-20793.0,,23389,-359,11880,14385,26265,26265,0.0,25000.0,,,,,,,,,,,,,,,,,
6289,2014年度,,-418350,0,-418350,,,61204,4773,171.0,11794,-62522,321.0,-52116.0,-15880.0,,,,-5064,51788,48813.0,5438,53782,,-14938,-3265.0,136554,,33341.0,-1688,-10512,8783.0,-2959.0,26965,163519,258685,-159665,43114.0,-11726,-128277,,,289.0,84918.0,-101229,-90.0,-12927,,341293.0,-333042,25588.0,-4660.0,,15012.0,-70202.0,,81989,16212,-43003,57388,14385,14385,,108000.0,,0.0,147421.0,95166.0,0.0,3185.0,0.0,,,,,,,,,,
6289,2014年01月01日至2014年09月30日,,-141458,0,-141458,,,41238,3604,171.0,9084,-31634,321.0,-52116.0,-11830.0,-41162.0,,,1129,30865,48292.0,5448,-9109,0.0,-13288,-2804.0,60533,,5252.0,10278,4423,5587.0,-2803.0,22737,83270,42108,-99350,43114.0,-9015,-65251,,0.0,289.0,84918.0,-61250,-90.0,23867,,285062.0,-269150,25588.0,-2608.0,0.0,15012.0,-50163.0,-2999.0,742,529,-40113,57388,17275,17275,,,,,,,,,,,,,,,,,,,
6289,2014年01月01日至2014年06月30日,,-63232,0,-63232,,,25309,2345,171.0,5941,-21684,0.0,-52116.0,-7906.0,-47940.0,,,-821,33891,48575.0,3463,-24835,0.0,-13193,-2675.0,44405,,-20363.0,23191,2878,2090.0,-3349.0,4141,48546,606,-62626,,-5865,-68491,,0.0,,84918.0,-41060,,43858,,169151.0,-147000,25588.0,-576.0,,15012.0,-30259.0,,31916,-504,6779,57388,64167,64167,-306.0,0.0,,,,,,,,,,,,,,,,,
6289,2014年01月01日至2014年03月31日,,-53851,0,-53851,,,13385,1602,-171.0,2819,-13346,0.0,-15017.0,-4011.0,-14739.0,,,1689,12236,47253.0,3316,6306,,-4914,59.0,65945,,-31855.0,15589,7353,1843.0,-2266.0,-9489,56456,41717,-12134,,-2822,-14956,,0.0,,25825.0,-7994,-428.0,17403,,102191.0,-100000,3953.0,0.0,,0.0,-12832.0,,-6688,-286,-4527,57388,52861,52861,-153.0,0.0,,,,,,,,,,,,,,,,,
6289,2013年度,,-640012,33228,-606784,,,148022,6644,18133.0,8221,-34429,0.0,29477.0,-10190.0,,,,7234,68979,-44477.0,-3471,107845,,3711,-9909.0,129912,,4900.0,-42200,-29406,5712.0,2634.0,-58867,71045,432700,-174084,38090.0,-6429,-142423,,,0.0,0.0,-132359,-6520.0,-311691,,157000.0,-247000,0.0,0.0,,128854.0,-36876.0,,1978,-4925,-457061,514449,57388,57388,,0.0,,195777.0,0.0,361655.0,-507.0,0.0,-172812.0,,,,,,,,,,
6289,2013年01月01日至2013年12月31日,,-640012,33228,-606784,,,148022,6644,18133.0,8221,-34429,29477.0,,-10190.0,,,,7234,68979,-44477.0,-3471,107845,,3711,-301.0,139520,,4900.0,-42200,-22571,,2634.0,-58867,80653,442308,-164476,38090.0,-6429,-132815,,,,,-132359,-6520.0,-311691,,157000.0,-247000,,,,128854.0,-36876.0,0.0,-7630,-4925,-457061,514449,57388,57388,-1123.0,,,195777.0,0.0,361655.0,-507.0,,-172812.0,-9608.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6289,2013年01月01日至2013年09月30日,,-365550,33228,-332322,,,140390,4946,0.0,5929,13442,0.0,29477.0,-9049.0,,,,8553,77568,-4336.0,42273,20293,,9578,,153929,,-31936.0,-29889,-24680,,7188.0,-79824,74105,259240,-73082,,-5974,-79056,,,0.0,0.0,-108023,-6095.0,-286930,,157000.0,-237000,0.0,0.0,,48850.0,-15259.0,0.0,-49109,3270,-411825,514449,102624,102624,,,,,,185135.0,-507.0,,-172812.0,-2700.0,,,,,,,,,
