公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 其他非流動負債增加,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分投資損失（利益）,　　 支付之股利,　　 以成本衡量之金融資產減資退回股款,　　 其他金融資產增加,　　 存入保證金增加,　　　　 金融資產減損損失,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 發放現金股利,　　　　 非金融資產減損損失,　　 處分以成本衡量之金融資產,　　 取得無形資產,　　 存入保證金減少,　　 非控制權益變動,　　 取得以成本衡量之金融資產,　　 應付短期票券增加,　　　　　 其他應付款－關係人增加（減少）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產減少,　　 其他投資活動,　　 應付短期票券減少,　　　　　 其他應收款－關係人（增加）減少
3704,2014年01月01日至2014年03月31日,,84559,84559,,,54426,17166,30677,-10508,311.0,2353,80,34123,127558.0,,,465015,-561424,36476,-83821,,-214835,-3530.0,-116866.0,-1258.0,-336489,-420310,-292752,-208193,6124,,-4130,-44357,-250556,,,0.0,-32229,,,2934.0,-9974.0,-7490,-61904,,324747,,,,324811,10398,22749,3614085,3636834,3636834,4084.0,-5154.0,,,,,,64.0,,-23888.0,,,,0.0,,,,,,-15145.0,,,,,,,,,
3704,2013年度,,464342,464342,,,286074,44500,29112,-4357,3249.0,27581,25034,201425,506984.0,,,-1193255,556313,-163304,-767672,,1189057,,-173637.0,-25833.0,989587,221915,728899,1193241,16290,41715.0,-11133,-85845,1154268,,60883.0,3157.0,-457207,4357.0,0.0,769.0,9781.0,-30747,-444027,,97257,,,,79692,62741,852674,2761411,3614085,3614085,11515.0,-18791.0,-41715.0,-56643.0,0.0,7866.0,,75.0,0.0,32574.0,,,0.0,-17640.0,,34785.0,-77671.0,0.0,,0.0,0.0,0.0,,,,,,,
3704,2013年01月01日至2013年12月31日,,464342,464342,,,286074,44500,29112,28217,3249.0,27581,25034,201425,539558.0,,,-1193255,556313,-163304,-800246,,1189057,,-173637.0,-25833.0,989587,189341,728899,1193241,16290,41715.0,-11133,-85845,1154268,,60883.0,3157.0,-457207,4357.0,,769.0,9781.0,-30747,-444027,,97257,,,0.0,79692,62741,852674,2761411,3614085,3614085,11515.0,-18791.0,-41715.0,-56643.0,,7866.0,0.0,75.0,,,,0.0,0.0,-17640.0,0.0,34785.0,-77671.0,0.0,0.0,,,,,,,,,,
3704,2013年01月01日至2013年09月30日,,147702,147702,,,213803,68069,41856,7601,2573.0,373,22977,240612,552206.0,,,-981695,89433,-145767,-1034242,,1068131,-154705.0,-225949.0,-3698.0,678293,-355949,196257,343959,11834,41777.0,-6741,-120982,252207,,0.0,2917.0,-322326,2086.0,-522.0,0.0,0.0,-59736,-372017,,385359,,,0.0,385455,48871,314516,2761411,3075927,3075927,7299.0,-12562.0,-41777.0,0.0,-17640.0,7866.0,-2302.0,96.0,1382.0,3787.0,-5486.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3704,2013年01月01日至2013年06月30日,,-80052,-80052,,,144544,21216,16476,-4744,1715.0,2362,8426,258067,403092.0,,,-522966,391607,-89349,-220708,,485246,-67997.0,-163427.0,-1989.0,251833,31125,434217,354165,7595,39700.0,-4493,-93382,285945,,0.0,2917.0,-182397,2118.0,-3167.0,,,-72240,-250195,,201300,,,0.0,201399,62806,299955,2761411,3061366,3061366,4505.0,-9775.0,-39700.0,0.0,-17640.0,5850.0,-3276.0,99.0,,,,,,,,,,,,,,,,,,,,,
3704,2013年01月01日至2013年03月31日,,-82337,-82337,,,70829,9900,4513,-147,858.0,-3857,202,118212,200510.0,,,124639,64885,16370,205894,,54806,-52808.0,-204951.0,-1335.0,-204288,1606,202116,119779,3061,-17640.0,-1831,-55673,47696,,0.0,1533.0,-33377,0.0,0.0,-6233.0,265.0,-10851,-48663,,236322,0.0,88.0,0.0,236410,52811,288254,2761411,3049665,3049665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,2012年01月01日至2012年12月31日,,148535,148535,,,204978,70129,2706,3729,10519.0,-3810,5125,59644,142024.0,,,-288505,-747027,57863,-977669,,-244553,,243199.0,3005.0,1651,-976018,-833994,-685459,30390,0.0,-4084,-205866,-865019,,211160.0,7334.0,-328977,5703.0,,13901.0,0.0,-29468,-238076,,665075,,,-4368.0,138012,-24669,-989752,3751163,2761411,2761411,4103.0,-31497.0,0.0,-185086.0,,21400.0,-9468.0,0.0,,,,-61159.0,-68502.0,-524996.0,1484.0,0.0,0.0,-1408.0,3709.0,,,,,,,,,,
3704,2012年01月01日至2012年09月30日,,-17325,-17325,,,157936,41527,33238,12922,8372.0,0,4694,-17475,36062.0,,,127076,-1161277,-197742,-1233440,,604521,235737.0,-182631.0,1357.0,662132,-571308,-535246,-552571,22684,0.0,-1811,-196653,-728351,,211159.0,5501.0,-198172,12287.0,0.0,9604.0,2536.0,-16956,-90702,,230882,,,-4368.0,-295675,-18303,-1133031,3751163,2618132,2618132,1811.0,-21877.0,0.0,-185086.0,0.0,13000.0,0.0,2807.0,0.0,-1497.0,3148.0,-61159.0,-68502.0,-524996.0,,,,,,,,,,,,,,,
3704,2012年01月01日至2012年06月30日,,-94850,-94850,,,99692,35761,43076,-1314,5581.0,0,3584,54738,93669.0,,,20262,-244351,-117177,-341266,,195350,26924.0,-189729.0,928.0,33473,-307793,-214124,-308974,17529,0.0,-625,-172282,-464352,,149685.0,3667.0,-138364,8791.0,-5250.0,,,-8240,28265,,180606,,,-4368.0,176902,-21490,-280675,3751163,3470488,3470488,625.0,-16384.0,0.0,-131690.0,0.0,13000.0,4976.0,664.0,,,,,,,,,,,,,,,,,,,,,
3704,2012年01月01日至2012年03月31日,,-61457,-61457,,,50586,20679,31305,596,2791.0,0,402,-113018,-6659.0,,,215667,-21974,-83821,109872,,-93325,10276.0,-171238.0,441.0,-253846,-143974,-150633,-212090,7722,0.0,-305,-33015,-237688,,149685.0,1834.0,-27952,3518.0,7936.0,0.0,6367.0,-4932,136456,,0,-8997.0,663.0,-4368.0,-12702,-25278,-139212,3751163,3611951,3611951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
