公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收票據（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 預收款項增加（減少）,　　 其他金融資產減少,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 存出保證金減少,　　 償還長期借款,　　　　　 其他金融資產（增加）減少,　　　　 其他項目,　　 取得無形資產,　　 其他非流動資產減少,　　　　 金融資產減損損失,　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 其他投資活動,　　 非控制權益變動
2025,2015年01月01日至2015年09月30日,,-296527,-296527,,,84173,268,43086,14344,-598.0,-2917.0,0.0,0.0,0.0,42534.0,180890.0,,,-26743,6984,8130,-393806,-8630.0,-414065,,-3882,-2134,-1238,1793.0,1293.0,0.0,-4168,-418233,-237343,-533870,599.0,-12484,-138.0,-545893,,0.0,-59335,0.0,0.0,0.0,2917.0,-56418,,625584,0.0,-5.0,0.0,625579,51,23319,222156,245475,245475,,,,,,,,,,,,,,,,,,,,
2025,2015年01月01日至2015年06月30日,,-140247,-140247,,,56154,200,10129,8595,-484.0,,0.0,0.0,0.0,-1763.0,72831.0,,,-2220,-470,5060,57580,,76518,,-5627,101508,-5493,2220.0,,0.0,93329,169847,242678,102431,488.0,-10307,-138.0,92474,,0.0,-52338,0.0,-10790.0,,,-63128,,106346,0.0,-5.0,0.0,106341,0,135687,222156,357843,357843,0.0,16568.0,721.0,0.0,0.0,,,,,,,,,,,,,,,
2025,2015年01月01日至2015年03月31日,,-53734,-53734,,,28073,132,-3535,3878,-140.0,,,,,-7772.0,20636.0,,,281,-3916,4192,86612,,102784,,-2154,-2466,-524,500.0,,,-3894,98890,119526,65792,140.0,-6155,,59777,,,-1637,,-4150.0,0.0,,-5787,,191715,,-5.0,,191710,0,245700,222156,467856,467856,,15615.0,750.0,,,,,,,,,,,,,,,,,
2025,2014年度,,-85133,-85133,,,112527,1436,-25152,21921,-837.0,-8802.0,-279.0,-1363.0,-5997.0,28175.0,,,,167782,6171,1756,223478,,444717,,-2072,1802,285,7464.0,,,3233,447950,569579,484446,928.0,-21215,-20.0,464139,,2122.0,-18742,314.0,,60500.0,8802.0,53241,,-413473,5.0,,,-413468,1433,105345,116811,222156,222156,,45530.0,-4926.0,,,,121629.0,680.0,0.0,245.0,0.0,,,,,,,,,
2025,2014年01月01日至2014年09月30日,,37948,37948,,,84602,1249,-21519,15695,-458.0,0.0,-279.0,-1363.0,-5997.0,14166.0,86096.0,,,-39575,4197,-7514,-38667,7841.0,-73718,,814,1408,-2955,0.0,-4718.0,-2.0,-5453,-79171,6925,44873,550.0,-16128,0.0,29295,,2122.0,-2374,314.0,-13756.0,-36684.0,0.0,-50378,,50524,13.0,0.0,5300.0,55837,1756,36510,116811,153321,153321,,,,,,,,,,,,,,,,,,,,
2025,2014年01月01日至2014年06月30日,,53747,53747,,,56721,923,-7428,11083,-357.0,,7.0,-1363.0,-5997.0,-7083.0,46506.0,,,-8710,-9919,-6001,-27272,,-33403,,7591,2272,-316,0.0,,-2.0,6229,-27174,19332,73079,205.0,-12238,0.0,61046,,2122.0,-1641,29.0,-13756.0,,,47254,,0,5.0,0.0,5300.0,-69442,137,38995,116811,155806,155806,-4.0,18503.0,-3316.0,60500.0,-74747.0,,,,,,,,,,,,,,,
2025,2014年01月01日至2014年03月31日,,-37940,-37940,,,28896,466,-11119,5564,-142.0,,,,,9419.0,33084.0,,,-22515,4051,-1601,81859,,69262,,-4119,485,-2498,0.0,,,-10771,58491,91575,53635,136.0,-5689,,48082,,,-1082,,-8995.0,-10451.0,,-20528,,-77829,,0.0,,-77829,2306,-47969,116811,68842,68842,,7468.0,-4639.0,,,,,,,,,,,,,,,,,
2025,2013年度,,-334567,-334567,,,225184,1951,-25996,21802,-230.0,-11642.0,379.0,-406.0,0.0,5369.0,,,,29690,10258,-7948,-74179,,-49626,,13754,2510,1783,0.0,,,23069,-26557,189854,-144713,128.0,-21527,-5.0,-166117,,604.0,-5301,5.0,,-60391.0,11642.0,-55033,,221260,0.0,,,194680,2640,-23830,140641,116811,116811,,-7447.0,4312.0,,,,216411.0,710.0,-1592.0,0.0,-26580.0,,,,,,,,,
2025,2013年01月01日至2013年12月31日,,-334567,-334567,,,225184,1798,-20114,21802,,-11642.0,379.0,-406.0,,,,,,23808,10258,-8050,-66168,,-47599,,13754,2510,1783,,,,23069,-24530,184460,-150107,,-21527,-5.0,-171639,,604.0,-5301,5.0,0.0,-60391.0,11642.0,-54880,,226629,,,,200049,2640,-23830,140641,116811,116811,,-7447.0,4312.0,,,,208990.0,710.0,-1592.0,,-26580.0,,-8011.0,0.0,153.0,0.0,,,,
2025,2013年01月01日至2013年09月30日,,-280829,-280829,,,168770,1462,-2513,16442,-64.0,-11625.0,366.0,0.0,0.0,-10614.0,,,,33324,-34953,4610,12474,-79704.0,-64249,,7463,3885,-1190,,1052.0,,11210,-53039,109185,-171644,64.0,-15829,,-187409,,0.0,-4497,0.0,0.0,,11625.0,7220,,185698,0.0,,0.0,159118,1800,-19271,140641,121370,121370,,,,92.0,,,162224.0,0.0,,,-26580.0,0.0,,,,,,,,
