公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分待出售非流動資產損失（利益）,　　　　　 持有供交易之金融負債增加（減少）,　　 處分待出售非流動資產,　　 存出保證金減少,　　 短期借款增加,　　 舉借長期借款,　　 取得備供出售金融資產,　　 其他非流動資產減少,　　 其他預付款項減少,　　 發放現金股利,　　　　 利息收入,　　　　 股利收入,　　　　　 應付帳款－關係人增加（減少）,　　 收取之利息,　　 存入保證金增加,　　 取得採用權益法之投資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 其他應付款－關係人增加（減少）,　　 應付短期票券增加,　　 現金減資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 非金融資產減損損失,　　　　　 負債準備增加（減少）,　　 非控制權益變動
1315,2014年01月01日至2014年03月31日,,1296,1296,,,15619,-2286,2277,759,0,0,-2669,582,13485.0,,,-217.0,14962,54256,-772,-967,447,-46130,-5296,4741,698,21722,,29727,17251,-41761,1332,316.0,-942,20780,34265,35561,853.0,-2277,-6059,28853,,0,-1179.0,-11938,0,-83.0,0.0,-43775,,0.0,0.0,-1749,0,2393,-3404,-15933,613668,597735,597735,,,,,4111.0,,-31611.0,1036.0,,,-797.0,,-7807.0,775.0,31.0,,,,,,,,,,,
1315,2013年度,,181632,181632,,,62928,-993,7982,-9807,131,-56355,5192,2278,-75876.0,,,-130.0,59476,-34303,-2953,-954,-215,136249,17703,-1497,-66820,106556,,-10996,-11832,34690,-23249,844.0,-2441,104115,28239,209871,35959.0,-7984,-35046,205663,,77994,-4248.0,-43610,277,0.0,,176484,,-86423.0,-9997.0,-25715,-1682,-298980,15939,99106,514562,613668,613668,-54557.0,,142532.0,746.0,,36907.0,0.0,1431.0,1362.0,-212070.0,-2866.0,-29809.0,7807.0,2863.0,,0.0,0.0,295.0,0.0,0.0,,,,,,
1315,2013年01月01日至2013年12月31日,,181632,181632,,,62928,-993,7982,-9807,131,-56355,5192,2278,-75876.0,,,-130.0,59476,-34303,-2953,-954,-215,136249,17703,-1497,-66820,106556,,-10996,-11832,34985,-23249,844.0,-2441,104115,28239,209871,35959.0,-7984,-35046,205663,,77994,-4248.0,-43610,277,,0.0,176484,,-86423.0,-9997.0,-25715,-1682,-298980,15939,99106,514562,613668,613668,-54557.0,,142532.0,746.0,0.0,36907.0,0.0,1431.0,1362.0,-212070.0,-2866.0,-29809.0,7807.0,2863.0,,,,,,,,,,,,
1315,2013年01月01日至2013年09月30日,,169552,169552,,,47274,-2094,6027,-10414,149,-28908,1473,1708,-39342.0,,,446.0,35428,-20131,541,-858,349,106383,12346,-1022,806,134288,,15216,19926,70051,-21875,584.0,84143,218431,179089,348641,6150.0,-6029,-35358,313404,,40724,-2636.0,-22901,1358,0.0,0.0,160778,,-35014.0,-9997.0,-19240,-174,-237222,7869,244829,514562,759391,759391,-54557.0,241.0,142532.0,515.0,0.0,39273.0,0.0,392.0,794.0,-212070.0,,,,,,,,,,,,,,,,
1315,2013年01月01日至2013年06月30日,,42777,42777,,,31410,109,3936,2222,201,-26495,-2846,1133,-44887.0,,,446.0,-1306,-45625,-1303,1394,218,67468,-60814,561,771,-38190,,14330,-288,33835,3641,24.0,51542,13352,-31535,11242,2910.0,-3938,-27272,-17058,,37408,-1076.0,-20780,1294,0.0,-547.0,159374,,,-9997.0,-15575,-157,22479,10096,174891,514562,689453,689453,-54557.0,0.0,142532.0,543.0,39100.0,9108.0,,,,,,,,,,,,,,,,,,,,
1315,2013年01月01日至2013年03月31日,,2902,2902,,,15663,-3082,2057,347,232,-7909,-7234,561,635.0,,,446.0,95959,-6000,1053,-2650,194,36192,-4569,1478,451,122554,,8972,54428,-19012,-1342,-664.0,42382,164936,165571,168473,1225.0,-2071,-512,167115,,11372,-1069.0,-4890,1230,-32.0,-1482.0,5129,,-87303.0,-9997.0,-8390,-92,-105782,5826,72288,514562,586850,586850,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,2012年01月01日至2012年12月31日,,201050,201050,,,64281,-2993,10446,-18575,2076,0,0,2240,-45451.0,,,-315.0,6750,22386,8255,-1038,888,113482,-15689,-2559,1276,133436,,4353,-16780,-48856,18758,395.0,-42130,91306,45855,246905,106202.0,-10442,-31463,314348,,0,0.0,-52192,841,,-2790.0,-84685,,0.0,-49990.0,-44463,-1635,-422665,1559,-191443,706005,514562,514562,0.0,,0.0,828.0,17118.0,16820.0,-31372.0,0.0,0.0,-360515.0,-2996.0,-99930.0,0.0,3146.0,,,,,,,,,,,,
1315,2012年01月01日至2012年09月30日,,238511,238511,,,48172,-889,7799,-19136,1764,0,4213,1685,43608.0,,,131.0,50402,-45794,-11957,-14990,882,14538,7274,-3558,303,-2769,,13619,5936,46950,-5580,-787.0,60138,57369,100977,339488,6272.0,-7786,-16815,321159,,0,0.0,-34455,610,-574.0,-3436.0,-69228,,0.0,-30002.0,-31032,-586,-391800,-542,-140411,706005,565594,565594,0.0,0.0,0.0,0.0,11450.0,18885.0,-31373.0,0.0,0.0,-360515.0,,,,,,,,,,,,,,,,
1315,2012年01月01日至2012年06月30日,,45955,45955,,,31866,854,3936,1848,896,0,-2001,1122,38521.0,,,131.0,1311,-63868,-12302,-9957,763,7896,-2448,-560,358,-78676,,17134,-51214,541,566,178.0,-32432,-111108,-72587,-26632,3032.0,-4228,-22902,-50730,,-28796,0.0,-16346,220,-1431.0,-4226.0,-50579,,,-59987.0,-21334,-596,-24822,-224,-126355,706005,579650,579650,0.0,363.0,0.0,0.0,57095.0,0.0,,,,,,,,,,,,,,,,,,,,
1315,2012年01月01日至2012年03月31日,,14874,14874,,,15833,-932,2077,515,-125,0,3929,563,21860.0,,,131.0,119703,19079,846,-20890,1335,64865,-11100,-657,739,174051,,35748,-2666,-51698,-1760,-675.0,-21051,153000,174860,189734,829.0,-2074,-1178,187311,,0,0.0,-4590,169,-1343.0,-69.0,-5833,,-165565.0,-59987.0,-15275,-318,-241145,-5990,-65657,706005,640348,640348,,,,,,,,,,,,,,,,,,,,,,,,,,
