公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　　 其他應收款－關係人（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 存入保證金增加,　　　　 處分投資損失（利益）,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 備供出售金融資產減資退回股款,　　 以成本衡量之金融資產減資退回股款,　　 其他投資活動,　　 短期借款增加,　　 舉借長期借款,　　 其他應付款－關係人增加,　　　　 其他項目,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　 處分備供出售金融資產,　　 存出保證金減少,　　 其他非流動資產減少,　　 短期借款減少,　　 償還公司債,　　 其他應付款－關係人減少,　　 現金增資,　　　　　 應付建造合約款增加（減少）,　　 其他非流動負債減少,　　　　 非金融資產減損迴轉利益,　　 其他金融資產增加,　　　　 股利收入,　　 收取之股利,　　 支付之股利
2491,2014年度,,151051,151051,,,64582,1086,25971,-71,25874,5214,,,36150,0,-21933,38871,18786,,,258138,,-30706.0,,-20295,0.0,521,5886,0.0,-77643,-118014,140124,145338,296389,71,-26294,-103.0,271588,,-2796,21757,,,,25187,,,-12,-303231,,-6456,29298,22842,22842,4774.0,,-115160.0,1075.0,-1429.0,4223.0,0.0,,,754.0,-317.0,189171.0,0.0,,,4116.0,0.0,-190130.0,,,0.0,-2553.0,0.0,,1900.0,210.0,,-26689.0,-87154.0,,0.0,,,,-1525.0,1525.0,
2491,2014年01月01日至2014年09月30日,,235374,235374,,,50123,853,19689,-55,1735,-42540,,,37286,0,-66,14236,-5837,0.0,,231620,,-33228.0,,-15070,,7372,-199,0.0,0,-40603,191017,148477,383851,55,-20076,,365251,,-2493,400,,,,4683,,-19984.0,-12,-372322,,-2388,29298,26910,26910,5076.0,0.0,-119431.0,0.0,2713.0,522.0,0.0,,,755.0,,185190.0,0.0,,,5191.0,0.0,,,,995.0,-1902.0,0.0,,1710.0,,-189485.0,,-94454.0,,0.0,-69142.0,,-125.0,-1525.0,1525.0,-104.0
2491,2014年01月01日至2014年06月30日,,254099,254099,,,37104,578,13368,-53,1195,-63073,,,17788,0,-1801,15560,-4428,0.0,0.0,204362,,-28458.0,,-13267,0.0,4391,-305,,0,-37147,167215,104142,358241,53,-13755,-104.0,344435,,-831,200,1540.0,,,2533,,,-12,-349438,0.0,-2470,29298,26828,26828,4166.0,0.0,0.0,1075.0,2305.0,492.0,,,1484.0,,,170765.0,,0.0,,,,,-13301.0,,,3098.0,0.0,,0.0,,-188840.0,,-95114.0,,0.0,-52171.0,-119431.0,140.0,,,
2491,2014年01月01日至2014年03月31日,,109757,109757,,,18782,291,7046,-1,0,29454,,,22832,0,-280,15927,-3581,-29785.0,,138598,,-11341.0,,1622,,9862,-123,0.0,0,3840,142438,171892,281649,1,-7192,0.0,274458,,-162,0,170.0,-261.0,0.0,-253,,-6640.0,-12,-258602,0.0,15603,29298,44901,44901,3336.0,,,1063.0,1370.0,3820.0,,,,,,151994.0,,,,,,-120645.0,,0.0,,-20942.0,0.0,,,,,,-99108.0,,0.0,-32197.0,,,,,
2491,2013年度,,-312993,-312993,,,165842,1846,33972,-174,-114,245064,,,-106426,-40800,-1962,-25118,-102,,,-168787,,52770.0,,-91126,14182.0,-5372,-70105,-56.0,-42963,-52050,-220837,24227,-288766,222,-34138,2.0,-322680,,-2765,560,,,,25937,,,87327,244913,,-51830,81128,29298,29298,2062.0,,101612.0,-738.0,-15738.0,20128.0,71317.0,,,25126.0,-557.0,-7860.0,-1155.0,,,2460.0,-8781.0,148750.0,,,-59425.0,9563.0,21549.0,,640.0,33823.0,,-7290.0,-9000.0,,-825.0,,,,0.0,0.0,
2491,2013年01月01日至2013年12月31日,,-312993,-312993,,,165842,1846,33972,-174,-114,245064,,,-106426,-40800,-1962,-25118,-102,,,-168787,,52770.0,-825.0,-91126,14182.0,-5372,-70105,-56.0,-42963,-52050,-220837,24227,-288766,222,-34138,2.0,-322680,,-2765,560,,,0.0,25937,,,87327,244913,0.0,-51830,81128,29298,29298,2062.0,,101612.0,-738.0,-15738.0,20128.0,71317.0,,,25126.0,-557.0,-7860.0,-1155.0,0.0,,2460.0,-8781.0,148750.0,,0.0,-59425.0,9563.0,21549.0,0.0,640.0,33823.0,0.0,-7290.0,-9000.0,0.0,,,,,,,
2491,2013年01月01日至2013年09月30日,,-341494,-341494,,,145349,1752,26589,-130,-116,271085,,,-70612,-19251,-2317,-18691,-9310,33685.0,,-117599,,33784.0,-825.0,-78047,,-8823,-70189,-54.0,-39239,-92076,-209675,61410,-280084,178,-26830,3.0,-306733,,-2697,560,190.0,274.0,0.0,-7994,,-25777.0,87327,266055,,-48672,81128,32456,32456,1319.0,-2443.0,98765.0,-738.0,-18118.0,,,0.0,,24824.0,0.0,-11092.0,-1155.0,71317.0,0.0,2460.0,-8781.0,149825.0,24674.0,5182.0,,,,,,,,,,,,,,,,,
2491,2013年01月01日至2013年06月30日,,-331737,-331737,,,115266,1246,18650,-123,-208,231712,,,-9695,5954,-1962,11692,-3042,3077.0,-204.0,18181,,,658.0,-809,-1613.0,-7461,3258,0.0,2210,27287,45468,277180,-54557,176,-19409,-2.0,-73792,,-2157,460,-6752.0,64.0,0.0,-6530,,-31043.0,87328,56285,32.0,-24005,81128,57123,57123,559.0,-2443.0,98765.0,-3380.0,15741.0,22640.0,8404.0,0.0,1855.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,2013年01月01日至2013年03月31日,,-124607,-124607,,,58944,658,8574,-17,-191,67968,,,26447,-4028,-686,20599,-7830,4780.0,8451.0,47733,,-7863.0,1152.0,16199,8400.0,-7666,332,0.0,-221,10333,58066,126034,1427,17,-8556,1.0,-7111,,-337,430,-2107.0,268.0,0.0,-1746,,-16841.0,431,-16410,-78.0,-25345,81128,55783,55783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,2012年01月01日至2012年12月31日,,-1506163,-1506163,,,296917,4074,55767,-752,20040,1275149,,,98134,-27188,-973,121035,3540,,,154392,,-69009.0,0.0,1310,13.0,-2429,-21919,-21.0,-1442,-102063,52329,1327478,-178685,752,-58701,255.0,-236379,,-9112,54776,,,-1105.0,120986,,,21729,-13978,627.0,-128744,209872,81128,81128,-6892.0,,897496.0,-231.0,-10816.0,-9482.0,0.0,,,23.0,348.0,0.0,0.0,916.0,,7000.0,0.0,0.0,,84300.0,8151.0,-24694.0,-4415.0,652.0,2155.0,66620.0,-65513.0,-59517.0,0.0,5000.0,,,,,,,
