公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 其他營業資產（增加）減少,　　 退還（支付）之所得稅,　　 其他金融資產增加,　　 其他非流動資產增加,　　 短期借款減少,　　 其他應付款－關係人增加,　　　　　 持有供交易之金融資產（增加）減少,　　 存入保證金增加,　　　　 利息收入,　　　　 股利收入,　　　　 金融資產減損損失,　　　　　 其他應收款（增加）減少,　　 收取之利息,　　 取得不動產、廠房及設備,　　 收取之股利,　　　　 股份基礎給付酬勞成本,　　　　　 預收款項增加（減少）,　　 員工購買庫藏股
1453,2014年度,,-44522,-44522,,,7994,590,,-801,693,-2678,-5231,2660,4046,,,1206,-3537,-313042,-17437,6437,-328862,,-121,6019,-2407,-619,6528,-322334,-318288,-362810,-630,-367956,,-168670,341188,3891,,168988,,155782.0,25025,194009,-4959,25908,20949,20949,0,,-4538.0,,-608.0,,,-2500.0,0.0,-22.0,-1555.0,,11.0,22.0,-8368.0,1555.0,2396.0,3656.0,13202.0
1453,2014年01月01日至2014年09月30日,,-31927,-31927,,,5916,406,,-400,307,-2388,-992,11460,16684,,,-16270,-13599,-134077,-15439,9320,-172565,,1878,35146,341,-613,37895,-134670,-117986,-149913,-297,-154726,,-62500,180826,3437,,113076,,9445.0,5000,27686,-13964,25908,11944,11944,0,,-4538.0,,-319.0,,,-2500.0,0.0,-22.0,,,,22.0,-8368.0,,2397.0,1143.0,13241.0
1453,2014年01月01日至2014年06月30日,,-23870,-23870,,,3903,262,,163,155,-1665,-494,17460,19762,,,-10317,1966,-32362,-15007,10880,-55067,,-2457,508,-2472,3095,-1326,-56393,-36631,-60501,-145,-65162,,-62500,92493,1990,,30393,,17955.0,5000,22955,-11814,25908,14094,14094,0,-7727.0,-4538.0,,0.0,,,-2500.0,,-22.0,,,,22.0,-1590.0,,,,
1453,2014年01月01日至2014年03月31日,,-5479,-5479,,,1937,131,,154,36,-40,-336,8610,10492,,,-3001,5938,-4279,-3344,-6700,-13886,,-6790,-309,-2940,-6235,-16274,-30160,-19668,-25147,-36,-25183,,-37500,55434,40,,16455,,-526.0,10,-516,-9244,25908,16664,16664,0,,,,,,,-2500.0,,,,,,,-1519.0,,,,
1453,2013年度,,23485,23485,,,8486,1353,,482,142,0,-597,-1910,6566,,,7881,6538,-32400,-15643,-76613,-108215,,4551,-5759,-4893,-210,47456,-60759,-54193,-30708,-144,-30847,,-113000,145063,0,,31134,,929.0,1,950,1237,24671,25908,25908,0,,0.0,,-1049.0,,,2115.0,20.0,-5.0,-1385.0,,-93.0,5.0,-1265.0,1385.0,0.0,53767.0,0.0
1453,2013年01月01日至2013年12月31日,,23485,23485,,,8486,1353,0.0,482,142,0,-597,-1910,6566,,,7881,6538,-32400,-15643,-76613,-108215,,4551,-5759,-4893,53557,47456,-60759,-54193,-30708,-144,-30847,,-113000,145063,0,0.0,31134,,929.0,1,950,1237,24671,25908,25908,0,,0.0,,-1049.0,,,2115.0,20.0,-5.0,-1385.0,0.0,-93.0,5.0,-1265.0,1385.0,,,
1453,2013年01月01日至2013年09月30日,,-3220,-3220,,,6545,1197,0.0,804,97,0,-237,-5600,2806,,,4153,4289,-25961,-7476,-32522,-58017,,11363,-8025,-3056,42524,42806,-15211,-12405,-15625,-99,-15724,,-57000,82945,-1264,0.0,23632,,1351.0,0,1411,9319,24671,33990,33990,0,,0.0,,-1049.0,,,-500.0,60.0,,,,,,,,,,
1453,2013年01月01日至2013年06月30日,,5531,5531,,,4492,1021,,373,75,0,-232,-5130,599,,,-2514,-1321,-21706,-4363,807,-24329,,2664,-8918,-2540,-943,-9737,-34066,-33467,-27936,-66,-28002,,-50000,82409,0,0.0,31360,,,0,-4783,-1425,24671,23246,23246,0,4768.0,0.0,0.0,-1049.0,-4783.0,0.0,,,,,,,,,,,,
1453,2013年01月01日至2013年03月31日,,-838,-838,,,2316,708,0.0,196,33,0,-100,-6860,-3707,,,37,-286,-15565,-2502,1127,-17189,,-1724,1511,-3201,50,-3364,-20553,-24260,-25098,-29,-25127,,-35000,41090,0,0.0,6090,,10832.0,11,10843,-8194,24671,16477,16477,0,,,,,,,,,,,,,,,,,,
1453,2012年01月01日至2012年12月31日,,114260,114260,,,9626,5152,14361.0,823,2022,-406,-40,-2350,28071,,,-3364,-10349,175125,23360,11421,196290,,-9425,2380,7241,-2734,-2538,193752,221823,336083,-2012,333584,,-272000,76040,438,702.0,-193366,,-109334.0,-24946,-134280,5938,18733,24671,24671,0,,-655.0,,0.0,,,-600.0,0.0,-168.0,-1454.0,505.0,697.0,168.0,0.0,1454.0,,,
1453,2012年01月01日至2012年09月30日,,38213,38213,,,7308,3344,10053.0,394,1983,-38,-32,-7350,15662,,,-10204,-9905,92336,-25484,5390,51533,,-7064,1766,9285,142447,146434,197967,213629,251842,-1990,249197,,-170000,69032,38,637.0,-100293,,-111241.0,-24935,-136176,12728,18733,31461,31461,0,,-655.0,,0.0,,,-600.0,0.0,,,,,,,,,,
1453,2012年01月01日至2012年06月30日,,-7132,-7132,,,5001,2229,,435,1489,-38,0,-1650,7466,,,-6509,-5430,21077,-16477,5200,4136,,-2588,-1368,-81,42936,38899,43035,50501,43369,-1368,41346,,0,0,38,71.0,-14901,,,-9956,-1089,25356,18733,44089,44089,0,6275.0,-655.0,-15010.0,0.0,-91133.0,100000.0,,,,,,,,,,,,
1453,2012年01月01日至2012年03月31日,,-12022,-12022,,,2511,1115,-29.0,-1210,786,-38,0,5750,8885,,,1150,-13015,-3245,-12805,0,-27915,,-2305,-381,1597,8282,7193,-20722,-11837,-23859,-773,-24632,,0,0,38,71.0,109,,30665.0,36,30701,6178,18733,24911,24911,0,,,,,,,,,,,,,,,,,,
