公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金減少,　　 發放現金股利,　　 現金減資,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付票據增加（減少）,　　 預付設備款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得待出售非流動資產,　　 處分待出售非流動資產,　　 存出保證金增加,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 支付之股利,　　 其他投資活動,　　　　　 持有供交易之金融負債增加（減少）,　　 處分採用權益法之投資,　　 償還長期借款,　　 存入保證金增加
2375,2015年01月01日至2015年09月30日,,36643,36643,,,25505,2812,1438,-15747,2727,-1897,-8956.0,-149,-3148.0,-463.0,0.0,-966.0,15263.0,16419.0,,,77959,-27994.0,38537,1888,-196844,3,-31518,6305,-9168,-140832,,11779,-7368,7770,14388,-121.0,26448,-114384,-97965,-61322,4906,8956.0,-1255,-65937,-114652,,-373365.0,120606.0,4849.0,-12235,295,0.0,0.0,-567.0,-6223,-266640,,300000.0,-47164.0,0.0,-107998.0,-300000.0,-47477.0,-202639,41755,-542176,929525,387349,387349,,,,,,,,,,,,,,,,,
2375,2015年01月01日至2015年06月30日,,19196,19196,,,17026,1935,949,-7832,1421,-560,,112,-1113.0,-463.0,,-193.0,,11282.0,,,76815,-9800.0,51246,-80,911,-11,6411,3398,-2927,125963,,-48274,9947,3805,10708,-85.0,-23899,102064,113346,132542,3484,,-553,-54492,80981,,-3525.0,24845.0,463.0,-10160,0,51.0,,-78.0,-3464,8132,,3232.0,,0.0,,,-6927.0,-3695,-30524,54894,929525,984419,984419,0.0,,,,,,,,,,,,,,,,
2375,2015年01月01日至2015年03月31日,,9891,9891,,,8283,991,-33,-3318,693,-226,,2,,,2932.0,,,9324.0,,,81281,-3089.0,67207,8414,164,-11,-39147,-7960,-2496,104363,,3505,-3175,683,-65,-48.0,900,105263,114587,124478,3235,,-304,0,127409,,0.0,,,-5029,672,13.0,,-78.0,0,-3325,,0.0,-47284.0,0.0,,,,-47284,-12664,64136,929525,993661,993661,,1097.0,,,,,,,,,,,,,,,
2375,2014年度,,161021,161021,,,28238,4738,-8936,-92117,5111,-6238,-9664.0,194,,0.0,5956.0,0.0,,,,,983064,-3870.0,2152,-14398,369,18,38656,3068,1083,1010142,,-49423,-9309,-3090,-41,,-62049,948093,875375,1036396,8781,9664.0,-120,-95,1054626,,-159208.0,,4873.0,-28563,897,0.0,49000.0,0.0,-7168,-140198,,90893.0,,-49.0,-13574.0,-406009.0,-5092.0,-333831,61528,642125,287400,929525,929525,,0.0,,-72718.0,-186.0,0.0,0.0,-29.0,0.0,0.0,0.0,,,,,,
2375,2014年01月01日至2014年09月30日,,148670,148670,,,20597,3717,-3072,-84480,105,-2577,-9664.0,193,0.0,0.0,2473.0,0.0,0.0,-72708.0,,,103023,-3442.0,-3324,-12027,1145,13,35379,11102,-3295,128574,,-75315,-48960,-3715,-634,-139.0,-128763,-189,-72897,75773,8081,9664.0,-105,-74,93339,,-157690.0,0.0,4873.0,-9761,936,-5.0,49000.0,0.0,-5606,-118253,,0.0,0.0,-49.0,-13574.0,0.0,-5092.0,-18715,3957,-39672,287400,247728,247728,,,,,,,,,,,,,,,,,
2375,2014年01月01日至2014年06月30日,,106962,106962,,,13179,2667,-2765,-63469,105,-2196,,-59,0.0,0.0,,-1805.0,,-54343.0,,,217193,-3858.0,8151,-9771,4588,-6,-4964,10088,47384,268805,,-56263,-12027,-2378,2306,-93.0,-68442,200363,146020,252982,3698,,-105,-74,256501,,-147872.0,0.0,4873.0,-17476,312,31.0,,0.0,-3300,-163432,,0.0,,-50.0,,,0.0,-50,-41837,51182,287400,338582,338582,13.0,,,,,,,,,,,,,,,,
2375,2014年01月01日至2014年03月31日,,50462,50462,,,6686,1380,-2791,-22591,54,-1912,,-60,,,1706.0,,,-17528.0,,,39641,4.0,-9415,-6191,4447,4,-53516,-4660,-1461,-31147,,6632,-2550,-2007,928,-46.0,2957,-28190,-45718,4744,1520,,-2,-390,5872,,-147967.0,,,-17075,146,5.0,,0.0,-4214,-169105,,76094.0,0.0,-49.0,,,,76045,-1908,-89096,287400,198304,198304,,0.0,,,,,,,,,,,,,,,
2375,2013年度,,629657,629657,,,48871,4952,-1462,-24853,0,-77079,-4602.0,-631914,,-2085.0,129935.0,-31078.0,,,,,-1164116,-43.0,34742,271,755,-21,12790,15134,9418,-1091070,,12097,74946,7120,-4583,,89374,-1001696,-1591011,-961354,72358,4602.0,0,-734,-885128,,0.0,,15165.0,-117865,23777,3367.0,0.0,-1234.0,0,883761,,0.0,,-97.0,0.0,0.0,0.0,-97,44818,43354,244046,287400,287400,,6078.0,,-589315.0,-206.0,-48247.0,1055962.0,0.0,-6810.0,2758.0,-49190.0,,,,,,
2375,2013年01月01日至2013年12月31日,,629657,629657,,,48871,4952,-1462,-24853,0,-77079,,-631914,,-2085.0,129935.0,,,,,,-1164116,-43.0,34742,271,755,-21,-18288,15134,9418,-1122148,,12097,74946,7120,-4583,,89374,-1032774,-1586409,-956752,72358,,0,-734,-885128,,,,15165.0,-117865,23777,3367.0,,,6078,883761,,,0.0,,,,,-97,44818,43354,244046,287400,287400,,,,-553635.0,-206.0,-48247.0,1055962.0,,-6810.0,2758.0,-49190.0,,-1234.0,0.0,0.0,0.0,-97.0
2375,2013年01月01日至2013年09月30日,,147494,147494,,,40455,3744,-1619,-12862,0,-7780,-4602.0,-89610,,,34341.0,-18188.0,,,,,-457071,-155.0,58807,-11645,1219,-8,39618,14794,-3935,-358376,,-54278,41997,6342,-4491,,-10585,-368961,-425082,-277588,3420,4602.0,0,-689,-270255,,0.0,,5415.0,-93036,21452,3392.0,0.0,-5589.0,-18410,569725,,,,-99.0,0.0,,0.0,-99,19620,318991,244046,563037,563037,,,,-56121.0,-155.0,449605.0,490987.0,,,,-284091.0,,,,,,
2375,2013年01月01日至2013年06月30日,,114553,114553,,,29851,2277,-1511,-1231,0,-4385,,-87001,,,34110.0,-13496.0,,,,,-212231,-1231.0,-43347,-17246,-708,-11,-32406,-12479,-1656,-321315,,52068,32806,3796,-2906,,85659,-235656,-277042,-162489,2069,0.0,0,-322,-160742,,0.0,,5415.0,-82235,18524,4721.0,,-865.0,-14450,761486,,,,-97.0,,,,-97,32755,633402,244046,877448,877448,0.0,,,-41386.0,-105.0,342694.0,487682.0,,,,,0.0,,,,,
2375,2013年01月01日至2013年03月31日,,29132,29132,,,14922,1159,-53,-1871,0,-1073,,-1967,,,0.0,-14163.0,,,,,-76443,,472,-8477,58,-9,-49490,-8555,-3040,-145484,,32272,14889,2199,1341,,50647,-94837,-97883,-68751,530,,0,-181,-68402,,0.0,,,-2568,6814,,,,-63320,166880,,0.0,,-89.0,,,,-89,18136,116525,244046,360571,360571,,,,-3046.0,-54.0,,,-212.0,,,,,226166.0,,,,
2375,2012年01月01日至2012年12月31日,,-132039,-132039,,,66681,7906,-1788,-13540,2435,-3856,,-860,,0.0,0.0,,,,,,-171501,1347.0,125684,13461,41636,17,143229,11130,-18175,146828,,-64161,-8427,56,-4890,,-77983,68845,125823,-6216,3686,,-6078,-1231,-9839,,,,11127.0,-70641,22461,288.0,,,-36311,279545,,,-268560.0,,,,,-276451,-27688,-34433,278479,244046,244046,,,,56978.0,-194.0,-157367.0,635.0,,0.0,0.0,0.0,,497071.0,-367.0,12282.0,-7894.0,3.0
2375,2012年01月01日至2012年09月30日,,-142095,-142095,,,51487,6750,-1162,-2230,2448,-600,,-952,,,0.0,,,,,,-36507,1111.0,120224,19580,8198,4,139355,15503,-13762,253706,,-102062,-9616,0,-682,,-113618,140088,195829,53734,1972,,-6084,-382,49240,,,,10855.0,-58482,23436,288.0,,,-13098,297293,,,-269713.0,3.0,,,,-277640,-10985,57908,278479,336387,336387,,,,55741.0,-1258.0,-117610.0,637.0,,,,0.0,,451267.0,,,-7930.0,
2375,2012年01月01日至2012年06月30日,,-117003,-117003,,,35782,5222,-11469,-913,2090,-408,,-1405,,,0.0,,,,,,-12455,-984.0,83767,12451,29105,10,49688,-15499,-4785,141298,,-31348,7524,0,-5013,,-29684,111614,140513,23510,627,,-5709,-8,18420,,,,0.0,-44341,13446,,,-1547.0,-17902,128591,,,-130485.0,-3.0,,,,-138092,-6259,2660,278479,281139,281139,,,,28899.0,-847.0,-96846.0,600.0,-9.0,,,,,275190.0,,,-7604.0,
