公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 其他金融資產減少,　　 舉借長期借款,　　　 不影響現金流量之收益費損項目,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 預付投資款增加,　　 償還公司債,　　 其他籌資活動,　　 其他非流動資產增加,　　 其他非流動負債減少,　　 對子公司之收購（扣除所取得之現金）,　　 存入保證金減少,　　 非控制權益變動
8039,2015年度,,867270,867270,,,265557,38901,31230,-5937,68999,-28117,0,5673,-190,0.0,-5461.0,-68105,302550.0,,,2678,31129,181105,-131679,-121530,37061,-11627,-2232,-15095,,-153843,261462,-25936,-9682,6540.0,-19,78522,63427,365977,1233247,26547,-71513,-217240,971041,,-487898,1614,0.0,23424.0,-9286,-87480.0,-559626,,0.0,-337794.0,-132574.0,-605849.0,513,0.0,-1075704,-12921,-677210,3406445,2729235,2729235,,,,,,,,,,,,,,,,
8039,2015年01月01日至2015年09月30日,,709834,709834,,,200982,30675,30341,-12066,42798,-22621,0,5655,-156,0.0,,-22808,248636.0,,,2270,234432,-265297,-64344,-279942,5219,-1857,-4639,-374158,,-205373,247163,-56545,-11228,5229.0,-19,-20773,-394931,-146295,563539,21688,-45043,-218877,321307,,-379674,617,0.0,12033.0,-4028,,-434152,,0.0,-209927.0,-233286.0,-605849.0,513,,-1048549,24657,-1136737,3406445,2269708,2269708,-4164.0,-63100.0,,,,,,,,,,,,,,
8039,2015年01月01日至2015年06月30日,,344921,344921,,,134167,20729,20768,-11863,25280,-15955,334,4449,-190,0.0,,-12436,162501.0,,,2085,-310183,740278,-18320,-340541,43164,2000,-4438,114045,,-179059,177647,-93030,-12607,3599.0,31,-103419,10626,173127,518048,15751,-26760,-126713,380326,,-153426,230,0.0,20244.0,-3708,,-106289,,0.0,-284265.0,,,100,,144755,-25217,393575,3406445,3800020,3800020,-2782.0,30371.0,428920.0,,,,,,,,,,,,,
8039,2015年01月01日至2015年03月31日,,157511,157511,,,66187,10801,-11588,-9047,13571,-7297,0,1894,0,,,4891,68013.0,,,-4000,-17069,813683,-248945,-289483,-38397,1857,-3232,214414,,-122116,28138,-130168,-12806,1796.0,32,-235124,-20710,47303,204814,6869,-12866,-11327,187490,,-93702,0,0.0,17750.0,-4124,,-53620,,0.0,-88335.0,,,0,,392314,-9695,516489,3406445,3922934,3922934,-1399.0,26456.0,480649.0,,,,,,,,,,,,,
8039,2014年度,,1107183,1107183,,,242242,39911,238375,9033,67252,-25230,548,8507,313,-124.0,-5744.0,-5402,569681.0,,,-6740,128853,-860576,-98013,36409,-4874,-57,-11965,-816963,,205394,167177,13063,11527,6788.0,66,404015,-412948,156733,1263916,27895,-65379,-217212,1009220,,-293636,930,-28373.0,0.0,-14191,-32210.0,-367480,,168260.0,0.0,-377158.0,-509941.0,12930,-98744.0,-804653,40078,-122835,3529280,3406445,3406445,,,,,,,,,,,,,,,,
8039,2014年01月01日至2014年09月30日,,877140,877140,,,179273,28963,127167,-324,54204,-19542,548,7108,306,-124.0,,-45637,327618.0,,,-1980,12375,-877607,24807,-140351,-29180,-2489,-4979,-1019404,,154496,366276,-6580,-404,5088.0,1282,520158,-499246,-171628,705512,21725,-52108,-211717,463412,,-230699,923,-46659.0,0.0,-7324,,-282612,,526255.0,0.0,-458951.0,-509941.0,12841,,-429796,9163,-239833,3529280,3289447,3289447,-4324.0,1147.0,,,,,,,,,,,,,,
8039,2014年01月01日至2014年06月30日,,520087,520087,,,118648,19477,57481,-7207,40120,-13606,548,4558,37,-124.0,,-32201,184841.0,,,-123,155774,-673346,34032,-31596,-10118,-3492,-4619,-533488,,29044,69192,1249,16430,3387.0,0,119302,-414186,-229345,290742,16589,-38981,-117462,150888,,-143375,389,-8048.0,0.0,-3515,,-151101,,31104.0,0.0,,,6070,,231060,-11278,219569,3529280,3748849,3748849,-2890.0,3448.0,193886.0,,,,,,,,,,,,,
8039,2014年01月01日至2014年03月31日,,233064,233064,,,58684,10350,13019,551,24011,-6008,548,1955,-8,,,-4422,97235.0,,,-843,385062,40740,27957,-68728,-39997,-726,-2536,340929,,-14,-362289,-86910,-1090,1682.0,0,-448621,-107692,-10457,222607,6526,-22768,-11048,195317,,-85497,30,-7692.0,0.0,-1887,,-94110,,175698.0,0.0,,,2310,,406003,2467,509677,3529280,4038957,4038957,-1445.0,936.0,227995.0,,,,,,,,,,,,,
8039,2013年度,,1278677,1278677,,,227627,28726,74214,4989,43008,-24558,3473,-275,-485,-12348.0,,40888,,,,-5072,-429049,-826065,-14255,39843,7862,5688,-7004,-1228052,,-1043,424526,189818,-1287,,-231,617545,-610507,-163873,1114804,21635,-41827,-214288,880324,,-444741,865,-699.0,,-12992,0.0,-369059,,0.0,-202227.0,0.0,-303901.0,22287,0.0,416288,30380,957933,2571347,3529280,3529280,61363.0,65892.0,916737.0,,12.0,446634.0,5762.0,35910.0,-13294.0,-16608.0,,,,,,
8039,2013年01月01日至2013年12月31日,,1278677,1278677,,,227627,28726,74214,4989,43008,-24558,3473,-275,-485,-12348.0,,40888,,,,-5072,-429049,-826065,-14255,39843,7862,5688,-7004,-1228052,,-1043,424526,189818,-1287,,-231,617545,-610507,-163873,1114804,21635,-41827,-214288,880324,,-444741,865,-699.0,,-12992,,-369059,,,-202227.0,,-303901.0,22287,,416288,30380,957933,2571347,3529280,3529280,61363.0,65892.0,916737.0,,12.0,446634.0,5762.0,35910.0,-13294.0,-16608.0,,,,0.0,0.0,0.0
