公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 無活絡市場之債務商品投資到期還本,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分持有至到期日金融資產,　　 其他非流動資產增加,　　　　 不動產、廠房及設備轉列費用數,　　 存出保證金減少,　　 短期借款減少,　　　　　 其他營業資產（增加）減少,　　 退還（支付）之所得稅,　　　　　 應付建造合約款增加（減少）,　　 舉借長期借款,　　 現金增資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 其他非流動負債減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 無活絡市場之債務工具投資到期還本,　　 現金減資,　　 存入保證金減少,　　 庫藏股票買回成本,　　 非控制權益變動
2543,2016年01月01日至2016年09月30日,,105069,105069,,,54633,719,-70827,11867,-17134,0.0,-2454,-17.0,0,,,,4521,-436764,-115025,33521,-726,-102788,212041,423607,18387,,-33847,338702,,-31681,-246,,-66143,-47756,-70969,34100,17123,-12198,11573,,-31000,51017,,-20436,5142,-44726.0,-728,-139150,,0.0,6723,,64279.0,-92056,-219633,317392,97759,97759,,,,0.0,-78351.0,,-27452.0,-338165.0,,,,0.0,,-23213.0,-906.0,-98419.0,,-35567.0,-44386.0,-4754.0
2543,2016年01月01日至2016年06月30日,,89867,89867,,,36914,453,-21490,7788,-16657,0.0,-1507,-15.0,0,,,,3386,-173494,-411528,4935,-144,-95143,215006,364637,-92345,,-3977,98873,,-42813,-875,,-39116,-131461,-125975,-36108,16889,-7998,-38040,,-15000,35015,,-16320,2983,,-267,-19278,,0.0,-13630,,,-176092,-233410,317392,83982,83982,,,,276.0,-90636.0,,-10823.0,-89728.0,,,,0.0,,5486.0,-596.0,-25965.0,,-35562.0,-36264.0,
2543,2016年01月01日至2016年03月31日,,43538,43538,,,17781,222,-21789,4006,-9814,0.0,0,-6.0,0,,,,844,-202978,-249890,35646,-213,-17333,215188,227743,9007,,8370,7801,,-45907,25618,,-25750,-16743,-26343,17195,9519,-4065,22642,,-15000,20006,,-5191,0,,-38,-37532,,-95584.0,-6797,,,-137856,-152746,317392,164646,164646,,,,126.0,,,-7.0,-21326.0,,,0.0,0.0,,-9600.0,-306.0,-37435.0,,-35100.0,-375.0,
2543,2015年度,,169683,169683,,,81820,773,32064,23447,-14596,,-7375,,0,,,,11535,88654,-581753,-83638,4780,29461,64325,-433411,-889088,,-119823,-95182,,39915,-3522,,361971,-527117,-411010,-241327,15599,-23370,-309684,,-210000,190026,,-57925,11642,-935.0,-700,291284,,,-33572,-7568.0,0.0,-8781,-27181,344573,317392,317392,,,0.0,,38407.0,10959.0,-60586.0,543552.0,,,-26.0,-6048.0,,116107.0,-2969.0,359176.0,0.0,,,
2543,2015年01月01日至2015年09月30日,,174282,174282,,,63194,578,50469,17573,-12145,0.0,-7068,-26.0,0,,,,5503,-236781,-458999,-76419,4567,2334,72881,87790,-599124,,-159694,-92251,,2858,-5391,,-257656,-856780,-744205,-569923,5603,-17466,-642171,,-190000,190026,,-47268,11299,-1253.0,0,185180,,227798.0,0,-5455.0,0.0,189473,-267518,344573,77055,77055,,0.0,0.0,,0.0,,-60385.0,0.0,-26822.0,0.0,,-6048.0,,112575.0,-3178.0,222376.0,,,,
2543,2015年01月01日至2015年06月30日,,108366,108366,,,43165,406,50469,11980,-10796,0.0,-4167,-14.0,0,,,,13908,-252709,-356231,-83264,5186,-19127,79130,181632,-431475,,-59522,-177197,,2155,-4450,,-238736,-670211,-579168,-470802,12212,-11803,-508928,,-190000,170014,,-37323,7927,4.0,0,175902,,91723.0,-18382,-7708.0,0.0,59585,-273441,344573,71132,71132,,0.0,,,0.0,,-38535.0,0.0,0.0,0.0,,-6048.0,,91043.0,278.0,225280.0,,,,
2543,2015年01月01日至2015年03月31日,,67412,67412,,,21723,235,-9624,5825,-2158,0.0,-1256,-3.0,0,,,,-2987,-234673,-151980,10340,1856,-9230,-4301,60134,-330841,,-3181,-106196,,-17332,-3912,,-114034,-444875,-430133,-362721,597,-5754,-367921,,-20000,20003,,-10874,3678,0.0,0,3057,,134153.0,-20841,-2367.0,-4524.0,106421,-258443,344573,86130,86130,,,,,,,-43.0,16073.0,,,,,,14742.0,514.0,10250.0,,,,
2543,2014年度,,349772,349772,,,94859,711,4281,30887,-19238,,-11731,,0,99743.0,,,7037,-348124,-1111632,60989,-787,-20775,40907,-313340,-1684119,,16666,300666,,-17076,6128,-790.0,252715,-1431404,-1331661,-981889,22063,-43215,-1011041,,-60000,80026,1072925.0,-115597,16220,-10253.0,-473,982848,,,-17279,5105.0,0.0,98516,70323,274250,344573,344573,,,0.0,,-303738.0,1606.0,-8000.0,-52879.0,,447930.0,-26.0,-33502.0,,,,,,,,
2543,2014年01月01日至2014年09月30日,,214778,214778,,,72903,527,4281,23836,-16441,0.0,-9401,-21.0,0,75684.0,,,8781,-489079,-835136,62690,2246,-40415,34116,-39084,-1295881,,133067,171308,,-27360,1247,-748.0,204776,-1091105,-1015421,-800643,15072,-24030,-818752,,-40000,60021,486667.0,-85219,13585,-10283.0,-198,424573,,0.0,-6161,5712.0,-26061.0,326013,-68166,274250,206084,206084,,0.0,0.0,,-95407.0,,-9151.0,-72738.0,0.0,447930.0,,,,,,,,,,
2543,2014年01月01日至2014年06月30日,,80668,80668,,,50473,346,0,17186,-9470,0.0,-6534,-15.0,0,51986.0,,,8207,-111903,-574181,33808,-1056,-20197,30092,6311,-628919,,-213066,74222,,-40085,1051,-511.0,-251127,-880046,-828060,-747392,10708,-17242,-759305,,-20000,40015,274753.0,-65133,8559,-10463.0,-159,227572,,0.0,0,3738.0,-17246.0,317306,-214427,274250,59823,59823,,0.0,,,-124303.0,,-5379.0,-72738.0,7187.0,447930.0,,,,,,,,,,
