公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 其他應收款增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 應付短期票券增加,　　 舉借長期借款,　　 其他非流動負債增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　　　 其他營業負債增加（減少）,　　 退還（支付）之所得稅,　　 其他應收款－關係人減少,　　 其他投資活動,　　 短期借款增加,　　 其他應付款－關係人減少,　　 庫藏股票處分,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 收取之股利,　　 預收款項增加－處分資產,　　 存出保證金增加,　　 預付設備款增加,　　 其他預付款項增加,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債減少,　　　　 股份基礎給付酬勞成本,　　　　 處分投資性不動產損失（利益）,　　　　 非金融資產減損損失,　　　　　 其他應收款－關係人（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分不動產、廠房及設備,　　 處分投資性不動產,　　 現金增資,　　 其他籌資活動,　　　　 處分採用權益法之投資損失（利益）,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 預付投資款增加,　　 存入保證金減少,　　　　 處分投資損失（利益）,　　　　　 遞延借項（增加）減少,　　 其他應付款－關係人增加,　　 處分採用權益法之投資,　　 停業單位稅前淨利（淨損）,　　　　 投資性不動產公允價值調整損失(利益),　　 庫藏股票買回成本,　　　 收益費損項目,　　　　 收益費損項目合計,　　 處分以成本衡量之金融資產,　　 發行公司債,　　　　 處分待出售非流動資產損失（利益）,　　　　　 應收帳款－關係人（增加）減少,　　　　　 預收款項增加（減少）,　　 處分備供出售金融資產,　　　　　 應付帳款－關係人增加（減少）,　　 應付款項增加,　　 其他應收款－關係人增加,　　 取得無形資產,　　 其他非流動資產減少,　　 處分待出售非流動資產,　　 備供出售金融資產減資退回股款,　　 發放現金股利
1432,2016年01月01日至2016年09月30日,,-206670,-135611,,,149444,8273,0.0,1118,53616,-1308,53022,,,,,0,290,-20350,-11192,-10417,-88820,-3672.0,-19673,-161420,,-1285,180578,59555,29187,310851,149431,168876,33265,936,-65597,-34813,,0.0,,-2025089,,-9599.0,-1819922,,,1450520,,-120000,1410211,-7417,-451941,590087,138146,138146,7347.0,-2378.0,-6900.0,,37911.0,170600.0,-57100.0,,-3483.0,583.0,3483.0,,-31921.0,-40989.0,,-14796.0,4517.0,-22450.0,9589.0,0.0,,1826.0,5550.0,,1657.0,0.0,,,,0.0,0.0,,,-187697.0,,0.0,234136.0,71059.0,,0.0,,19445.0,0.0,0.0,-71059.0,-9412.0,30506.0,0.0,9138.0,0.0,,-5046.0,0.0,11518.0,7500.0,-1080.0
1432,2016年01月01日至2016年06月30日,,-38351,32708,,,64763,5334,0.0,-64,26006,-737,28776,,,,,0,97,-973,-11769,-4695,-68374,-2810.0,-7108,-111740,,216,308117,26740,6340,365965,254225,131921,164629,348,-25097,132980,,0.0,0.0,-1869782,,-2808.0,-1613945,,,1336357,,-120000,1299056,11740,-170169,590087,419918,419918,5097.0,-3441.0,-6900.0,,47669.0,204434.0,-88100.0,,0.0,588.0,0.0,,-20309.0,-13287.0,,-5588.0,-3397.0,-24650.0,6644.0,0.0,,499.0,3240.0,,1657.0,0.0,,,,0.0,0.0,,,-187652.0,,,234136.0,71059.0,,0.0,,-122304.0,0.0,0.0,-71059.0,-16607.0,15420.0,0.0,9333.0,,,-2739.0,0.0,11518.0,,
1432,2016年01月01日至2016年03月31日,,89289,89289,,,9842,2573,0.0,-528,4824,-364,13145,,,,,0,-563,5780,-10108,-9404,-49705,,-294,-62707,,3279,12354,-12617,-667,17177,-45530,-197085,-107796,250,-4043,-111589,,0.0,234136.0,-835203,,-1581.0,-558933,,,394400,14000.0,-120000,374652,4784,-291086,590087,299001,299001,-30412.0,0.0,0.0,,52330.0,136951.0,,,0.0,781.0,0.0,,-5936.0,-3343.0,,-2616.0,-180.0,,3084.0,0.0,,1587.0,1955.0,,0.0,0.0,,,-154500.0,0.0,,,,0.0,,-46730.0,0.0,0.0,,0.0,,-151555.0,0.0,0.0,,,12077.0,0.0,796.0,-1173.0,,-614.0,1278.0,,,
1432,2015年度,,-194267,-129184,,,25819,7083,0.0,-1313,13258,-2473,4408,,,,,0,16053,-6511,12399,-64548,-124006,,-4803,-173222,,3508,114843,47368,1644,188433,15211,-106350,-235534,2216,-15863,-252342,,0.0,-164203.0,-2209241,,-3917.0,-2019738,,,958014,,614876,2289278,-14938,2260,554147,556407,556407,4697.0,0.0,-5979.0,,-1084.0,241767.0,,,-2818.0,209.0,2818.0,178340.0,-82455.0,-18425.0,,-46922.0,8030.0,,4310.0,-71853.0,,-1806.0,,,2189.0,262353.0,,29197.0,,0.0,,,,-6627.0,,-10684.0,0.0,65083.0,,0.0,,-121561.0,,495000.0,-96261.0,,20068.0,20625.0,1002.0,0.0,-20.0,-7036.0,3136.0,,,
1432,2015年01月01日至2015年09月30日,,-109296,-29651,,,15869,6463,,460,14652,-1124,12055,,,,,0,15126,-12358,2550,-37158,-97568,5800.0,-42949,-166557,,-106,113661,29682,293,164050,-2507,-137749,-167400,968,-11054,-181467,,,,-1583230,,,-1561305,,,740965,,197023,1626734,-20094,-136132,554147,418015,418015,2525.0,-4308.0,-6766.0,,9753.0,200000.0,,,-2785.0,209.0,2785.0,,-72590.0,18.0,,-23679.0,12849.0,,2464.0,-69498.0,,,,,2176.0,230072.0,,,,0.0,-164203.0,,,-5708.0,,4576.0,0.0,79645.0,,,,-135242.0,,495000.0,-110824.0,,20617.0,16699.0,4211.0,0.0,,,,,,
1432,2015年01月01日至2015年06月30日,,-113011,-33366,,,10877,4112,0.0,1326,8978,-955,6343,,,,,0,16343,-15545,8216,-20085,-69817,2900.0,-5246,-83349,,4600,7994,-2883,399,13804,-69545,-151407,-184773,929,-7784,-193590,,0.0,,-941392,0.0,,-836970,,,472965,0.0,61055,1142649,-7474,104615,554147,658762,658762,356.0,-4287.0,-1962.0,,173912.0,200000.0,,,,209.0,,,-55649.0,489.0,,-789.0,4.0,,1643.0,0.0,,,,,2174.0,0.0,,,0.0,0.0,-29653.0,0.0,,-3927.0,,-85586.0,,79645.0,,,,-81862.0,,495000.0,-110824.0,-115.0,7981.0,13149.0,,,,,,,,
1432,2015年01月01日至2015年03月31日,,-48878,-79840,,,10487,2166,0.0,-255,2493,-144,3136,,,,,0,16343,-21792,9402,-17502,-36024,-95049.0,0,-144622,,9419,6696,-7555,0,8560,-136062,-120581,-200421,130,-5182,-205473,,0.0,,-520991,0.0,,-470061,,,64400,919.0,58496,639740,-401,-36195,554147,517952,517952,-3433.0,0.0,0.0,,6743.0,0.0,,,,209.0,,61558.0,-12249.0,-13045.0,,-150.0,-59.0,,822.0,0.0,,,,,2176.0,0.0,,,,0.0,-1432.0,0.0,,0.0,,21134.0,,-30962.0,,,,15481.0,7179.0,495000.0,,,,,,,,,,,,
1432,2014年度,,-61655,-136324,,,48904,2600,0.0,1256,10587,-6359,11455,,-36019.0,,,54444,-5759,-24372,-8488,13454,-53477,,0,-24198,,2367,64020,66924,0,132207,108009,71990,-64334,6361,-22240,-88353,,0.0,,-870991,,-1300.0,86657,,,134500,19973.0,193050,300154,22760,321218,232929,554147,554147,294.0,-1104.0,-9534.0,567.0,664388.0,6333.0,,0.0,-1394.0,-234.0,1394.0,10758.0,-11576.0,-561.0,,-94216.0,2228.0,,822.0,-90781.0,,,0.0,,1777.0,308811.0,0.0,,,-26192.0,-13999.0,,,-13169.0,,108460.0,24975.0,-74669.0,0.0,-70174.0,,,,,,,,,,,,,,,,
1432,2014年01月01日至2014年09月30日,,-51965,-51965,,,35900,2097,0.0,1256,7734,-4804,7748,,-50569.0,,,54444,7611,-132843,378,-824,-31737,399546.0,0,291852,,2265,104406,53175,9142,167884,459736,409167,357202,4806,-9769,345203,,0.0,,-472263,,166.0,-278729,,,2900,1966.0,193050,218850,16034,301358,232929,534287,534287,,-1104.0,-8430.0,0.0,-27362.0,6333.0,,0.0,-1394.0,-234.0,1394.0,,-12253.0,0.0,,-216.0,2853.0,,,-89657.0,,,,,1536.0,252235.0,,,,-26190.0,-11228.0,,,-9215.0,-4723.0,11964.0,16630.0,,,,,,,,,,,,,,,,,,,
1432,2014年01月01日至2014年06月30日,,-105394,-105394,,,22939,855,0.0,1256,5225,-3828,3866,,19364.0,,,54444,-10285,-127436,-15230,-39108,-10552,399012.0,0,245059,,2430,151871,59213,8004,221518,466577,485941,380547,3830,-5244,378884,,0.0,,-49570,,,-466138,,,0,705.0,0,54329,9543,-23382,232929,209547,209547,,,-249.0,0.0,-407749.0,45333.0,,0.0,,-242.0,,,-11787.0,,,-216.0,3606.0,,,-6614.0,,,,,1276.0,37759.0,,,,-18752.0,-9815.0,-7500.0,,-4093.0,-5786.0,4901.0,,,,,,,,,,,,,,,,,,,,
