公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 支付之股利,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 長期應收租賃款減少,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金減少,　　 其他非流動負債減少,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　　　 持有供交易之金融負債增加（減少）,　　 退還（支付）之所得稅,　　 取得採用權益法之投資,　　 存出保證金增加,　　 其他非流動資產增加,　　 應付短期票券增加,　　 存入保證金增加,　　 其他非流動負債增加,　　　　 股利收入,　　 收取之股利,　　 長期應收租賃款增加,　　 短期借款增加,　　 發放現金股利,　　 非控制權益變動,　　　　 非金融資產減損損失,　　　　　 其他營業資產（增加）減少,　　 取得備供出售金融資產,　　 處分採用權益法之投資,　　　　 處分投資性不動產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　 應付短期票券減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　　 負債準備增加（減少）,　　 其他金融資產增加
2427,2016年01月01日至2016年09月30日,,44207,44207,,,10885,4461,-2326,7812,-8991,-16200,0,0,0.0,,,,0,-5,253996,-1834,-310479,-3841,-84641,-66,25468,-121402,,0,-77726,-37254,252687,-3265,,,3739,-117663,-123882,-79675,4057,-7559,,-81252,,-9994,0,,-2731,5374,-2774.0,,-41675,,-5777099.0,-2945.0,,,171625,-6814,41884,392867,434751,434751,,0.0,65.0,-30000.0,-1167.0,,1310031.0,,1.0,-1860.0,1860.0,,5920099.0,-18431.0,,,,0.0,0.0,,0.0,-1260031.0,,-6219.0,-32736.0,-97967.0,-383.0
2427,2016年01月01日至2016年06月30日,,23532,23532,,,7151,2939,0,4701,-6938,-8668,0,0,0.0,,,,0,52,183491,-8809,-162902,-2430,-86287,256,21345,-55284,,0,-75628,-40693,61175,-452,,,-182309,-237593,-238408,-214876,3689,-4829,,-215955,,-3478,0,0.0,-2713,3656,566.0,,-37906,,-3537000.0,0.0,,,196718,-3437,-60580,392867,332287,332287,,0.0,61.0,-30000.0,-5666.0,,730031.0,3718.0,,0.0,0.0,,3690000.0,,,,,,0.0,,0.0,-690031.0,,-815.0,-28744.0,-97967.0,-271.0
2427,2016年01月01日至2016年03月31日,,9283,9283,,,3542,1417,0,2139,-1988,-4491,0,0,0.0,,,,0,-60,137890,-4111,-141027,765,-16576,-3463,-1390,-27972,,0,-29651,-47001,-904,11,,,-205272,-233244,-232625,-223342,304,-2133,,-225171,,-618,0,2342.0,-356,1864,1253.0,-144.0,4341,,-1517000.0,-275.0,1.0,,172726,-680,-48784,392867,344083,344083,,0.0,0.0,0.0,,,130000.0,,,,,,1650000.0,,,,,,,,,-90000.0,,619.0,-29760.0,-97967.0,
2427,2015年度,,35986,35986,,,14154,5744,1977,5144,-10105,-17834,5616,83,-71.0,,,,12520,361,-239164,4681,-93640,-6136,26058,-2458,30304,-267474,,-1332,49099,4607,5316,5462,,,58117,-209357,-211336,-175350,16780,-4970,,-160902,,-7879,301,0.0,-1282,5121,168.0,-208.0,-143427,,-3303253.0,-241.0,4.0,0.0,350431,-2449,43653,349214,392867,392867,,-2538.0,-789.0,-130813.0,-10390.0,,799896.0,,,-3427.0,3427.0,,3660000.0,-46079.0,,,,-30000.0,31555.0,,-3260.0,-759896.0,,-1979.0,-24193.0,21696.0,
2427,2015年01月01日至2015年09月30日,,21349,21349,,,10604,4291,1977,3125,-7159,-18765,5623,74,-71.0,,,,12520,124,21226,3165,-180618,-3491,15017,-5083,37256,-99884,,-1312,41159,-47806,63316,7427,,,59127,-40757,-45133,-23784,15568,-3033,,-7996,,-8275,301,0.0,-956,8644,617.0,-461.0,-138588,,0.0,-3478.0,,,120190,1859,-24535,349214,324679,324679,,-2538.0,-174.0,-120000.0,-7960.0,,,,,-3427.0,3427.0,0.0,169747.0,-46079.0,,,,-30000.0,19502.0,,-648.0,,,-4376.0,-1119.0,,
2427,2015年01月01日至2015年06月30日,,-4169,-4169,,,7056,2862,681,2016,-5119,-14023,5608,50,-356.0,,,,8596,248,84289,3737,74454,-1422,4195,-3270,19764,190591,,-1173,-30847,-50440,38384,773,,,-48289,142302,139045,134876,1747,-1964,,135930,,-5593,300,1624.0,-935,5831,316.0,-327.0,-108402,,,-2725.0,,,17022,-3530,41020,349214,390234,390234,,-2538.0,-337.0,-120000.0,,,0.0,,0.0,-1608.0,1608.0,,69747.0,,,,,,10382.0,,-424.0,-50000.0,,-3257.0,-2448.0,,
2427,2015年01月01日至2015年03月31日,,-12308,-12308,,,3456,1428,578,1076,-2222,-4720,5620,25,-316.0,,,,7813,3,70163,4661,79646,6,-2577,-3071,17001,173645,,-852,-65689,-51718,33514,1062,,,-84895,88750,93675,81367,540,-1023,,80872,,-1562,303,5340.0,-897,2942,628.0,-173.0,-113419,,,-939.0,,,88808,-1266,54995,349214,404209,404209,,-2538.0,-12.0,-120000.0,0.0,0.0,,,,,,,89747.0,,,,,,,,,,,4925.0,1326.0,,
2427,2014年度,,29433,29433,,,15038,5703,-2420,869,-9834,-7751,1537,98,-197.0,-997.0,,,21598,1368,99650,-503,-32401,-3232,-135219,2002,31316,-15421,,742,-169640,-6584,-95340,-5510,629.0,,-273165,-288586,-289583,-260150,3110,-709,0.0,-253916,,-8596,2408,2672.0,-1588,1310,11522.0,424.0,-51977,,-486466.0,-2960.0,0.0,-24234.0,183059,4461,-118373,467587,349214,349214,0.0,2538.0,-310.0,-64590.0,,0.0,200000.0,0.0,,-4143.0,4143.0,,646719.0,0.0,0.0,0.0,0.0,,4461.0,,103.0,-150000.0,,,,,
2427,2014年01月01日至2014年09月30日,,20759,20759,,,11335,4280,-1877,377,-7173,-6367,1060,73,,-2819.0,,,18245,1132,126030,1069,-171031,-2344,4656,-2697,41353,16413,,222,-109620,-60808,33344,-4342,-792.0,,-135431,-119018,-121837,-101078,2124,-377,0.0,-95447,,-4315,766,3703.0,-1421,0,11224.0,619.0,-51278,,,-1801.0,0.0,,-1801,497,-148029,467587,319558,319558,0.0,6565.0,-259.0,-64590.0,,,,0.0,,-4143.0,4143.0,-1725.0,0.0,,0.0,,,,4461.0,-191.0,-193.0,,,,,,
2427,2014年01月01日至2014年06月30日,,16465,16465,,,7591,2843,-3993,244,-5010,-2992,898,49,-169.0,-539.0,,,7830,1110,161797,1640,61517,-954,-2677,-2599,20276,247940,,121,-183558,-48832,-26506,-3736,-2194.0,,-264705,-16765,-17304,-839,1756,-189,0.0,618,,-2286,823,2920.0,-442,3877,266.0,200.0,-59232,,0.0,-800.0,,,99215,-3403,37198,467587,504785,504785,0.0,0.0,-110.0,,0.0,,50000.0,0.0,15.0,,,0.0,50000.0,,,,,,-64590.0,,,,,,,,
