公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 其他非流動負債減少,　　 現金減資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　 其他非流動負債增加,　　　　　 負債準備增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 投資性不動產公允價值調整損失(利益),　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　 其他非流動資產增加,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　　 避險之衍生金融資產（增加）減少,　　 非控制權益變動,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　　　 處分投資性不動產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　　 其他流動資產（增加）減少,　　 取得採用權益法之投資,　　　　　 其他金融負債增加（減少）,　　 處分投資性不動產
2359,2015年01月01日至2015年09月30日,,311191,311191,,,31156,1933,2224,5833,1305,-9787,-795,-1651.0,-7920.0,6429.0,6630,35357.0,,,121671,-8658,69794,939,-55884,178819,0.0,-1181.0,305500,,0.0,1479,-239622,-15228,50805.0,-569.0,-203135,102365,137722,448913,9554,-1305,-70346.0,386816,,2608.0,0.0,11257.0,-14141,3350.0,3219.0,50102.0,56395,,-109755.0,-2034.0,0.0,-111789,17278,348700,1655218,2003918,2003918,,,,,,,,,,,,,,,,,,,,
2359,2015年01月01日至2015年06月30日,,178162,178162,,,20976,1491,240,1359,1127,-5622,-454,60.0,-7920.0,5239.0,2396,18892.0,,,98389,-18158,49589,-3080,53713,153456,0.0,-1033.0,332876,,,-3110,-127408,-20775,-29800.0,-372.0,-181465,151411,170303,348465,6306,-1127,-64377.0,289267,,2608.0,0.0,12891.0,-12149,302.0,3219.0,51085.0,57956,,,,,-119781,-35773,191669,1655218,1846887,1846887,-118290.0,-1491.0,,,,,,,,,,,,,,,,,,
2359,2015年01月01日至2015年03月31日,,107513,107513,,,10440,725,-200,-272,1024,-4275,-18,205.0,-294.0,977.0,4471,12783.0,,,102466,-21857,52689,8044,43677,80261,0.0,1485.0,266765,,,1281,-194764,58215,-54737.0,-567.0,-192178,74587,87370,194883,2332,-3679,-33730.0,159806,,2608.0,,,-13859,2154.0,3219.0,51557.0,45679,,-129840.0,-840.0,,-130680,3723,78528,1655218,1733746,1733746,,,-1606.0,,,,,,,,,,,,,,,,,
2359,2014年度,,513757,513757,,,40737,3649,2574,19115,9098,-24213,316,-17.0,-82728.0,17180.0,-28313,,,,-74724,-18745,-306223,9292,-42755,34175,59600.0,-4641.0,-344021,,,1007,108204,11610,21472.0,,133326,-210695,-253297,260460,18065,-9346,-95173.0,174006,,111123.0,-29415.0,6662.0,-24075,138.0,,,-12195,,,,-109385.0,-32924,43139,172026,1483192,1655218,1655218,76461.0,0.0,-5438.0,,0.0,-42602.0,-3529.0,-559.0,-76069.0,,,,,,,,,,,
2359,2014年01月01日至2014年09月30日,,377207,377207,,,26911,2704,260,15121,7013,-17769,1182,71.0,-82728.0,12909.0,-25422,-59748.0,,,10396,-33769,-151909,-4720,-28917,195325,-103629.0,-896.0,-118119,,10349.0,-2258,-12936,-3353,-25133.0,-1898.0,-35229,-153348,-213096,164111,13544,-6770,-93591.0,77294,,111123.0,-28815.0,6662.0,-15531,59.0,-59.0,-30589.0,42850,,33299.0,0.0,-109385.0,-76086,9005,53063,1483192,1536255,1536255,,,,,,,,,,,,,,,,,,,,
2359,2014年01月01日至2014年06月30日,,224425,224425,,,18291,1997,-63,17491,4644,-12179,1013,0.0,-905.0,0.0,-10779,19510.0,,,8265,-8152,-94994,-3523,-19473,159338,-176090.0,159.0,-134470,,,-6295,67485,-9047,-7559.0,-929.0,43655,-90815,-71305,153120,11639,-4396,-69562.0,90801,,0.0,-26201.0,6662.0,-7915,0.0,-59.0,-81889.0,-109402,,,,,-53359,-26303,-98263,1483192,1384929,1384929,-53359.0,0.0,,,,,,,,,,,,,,,,,,
2359,2014年01月01日至2014年03月31日,,167432,167432,,,9925,862,107,1841,2399,-9233,302,0.0,0.0,0.0,-3048,3155.0,,,-60774,6551,-151204,-2122,5256,160357,-217419.0,687.0,-258668,,,-5559,-23129,-28542,-33418.0,-213.0,-89775,-348443,-345288,-177856,5428,-452,0.0,-172880,,0.0,,,-3281,0.0,1968.0,-14194.0,-15507,,40666.0,0.0,,40666,7189,-140532,1483192,1342660,1342660,,,1086.0,,,,,,,,,,,,,,,,,
2359,2013年度,,179655,179655,,,59128,9566,-4116,-28920,5299,-12009,1505,-106.0,0.0,91174.0,-8689,,,,-14341,21215,-180250,11484,191521,-185207,-59600.0,-11096.0,-226274,,,-9825,-38529,106,-46763.0,,-96917,-323191,-217473,-37818,10019,-3650,-18542.0,-49991,,0.0,-4500.0,0.0,-19828,677.0,,,64678,,,,-56384.0,-86085,53772,-17626,1500818,1483192,1483192,-31114.0,1413.0,224.0,,-7114.0,105718.0,-2130.0,72407.0,15922.0,,,,,,,,,,,
2359,2013年01月01日至2013年12月31日,,179655,179655,,,59128,9566,-4216,-28920,5299,-12009,1505,,,89854.0,-8689,,,,-14341,21215,-180150,11484,191521,-185207,,,-166574,,,-9825,-38529,106,-46763.0,,-96917,-263491,-156864,22791,10019,-3650,-18542.0,10618,,,-4500.0,,-19828,677.0,,88329.0,5078,,,,-56384.0,-75335,42013,-17626,1500818,1483192,1483192,-31114.0,1413.0,224.0,,,106627.0,-2130.0,,,2329.0,,10750.0,-59600.0,,-106.0,-7114.0,-11096.0,0.0,,
2359,2013年01月01日至2013年09月30日,,148220,148220,,,48552,8523,-1203,-17133,4890,-9791,1623,-100.0,,30619.0,2397,,,,-27974,2360,-173600,4017,125145,-63709,-591.0,,-134352,,0.0,-3872,117311,-10883,-62820.0,,39706,-94646,-24949,123271,9187,-3139,-18665.0,110654,,0.0,-4500.0,0.0,-17232,677.0,,,61879,,,,-56384.0,-82768,15147,104912,1500818,1605730,1605730,-42938.0,9677.0,1015.0,,,69697.0,-1045.0,18559.0,64375.0,1320.0,0.0,6877.0,,,,,,,,
