公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得採用權益法之投資,　　 其他金融負債增加,　　 發放現金股利,　　　　　 應付票據增加（減少）,　　 現金增資,　　　　 股份基礎給付酬勞成本,　　 其他金融資產減少,　　　　 金融資產減損損失,　　 庫藏股票買回成本,　　　 收益費損項目,　　　　 收益費損項目合計,　　 收取之股利,　　 持有至到期日金融資產到期還本,　　 對子公司之收購（扣除所取得之現金）,　　　　　 應付帳款－關係人增加（減少）,　　 其他籌資活動
1338,2014年01月01日至2014年03月31日,,169537,169537,,,93883,1873,-2627,8884,-4798,3701,3919,13375,118210.0,,,-351,140692,26471,12555,30891,-120416,89842,,-456573,6008,-27174,24271,-75733.0,-520402,-430560,-312350,-142813,4798,-5846,-70886,-214747,,,-69396,6130,0,-533.0,-3767,,15348,-80056,,,1439,,-49866,,-48427,-2290,-345520,1387408,1041888,1041888,-27838.0,,,8799.0,,,,,,,,,,,,
1338,2013年度,,612919,612919,,,350458,6779,4181,22360,-27625,-7231,-44779,98424,402567.0,,,-29136,-1270632,-271291,4331,10123,-13911,-1570516,,845261,24828,1940,2456,86985.0,988799,-581717,-179150,433769,27625,-19405,-69739,372250,,0.0,-611524,192221,-2694,-4646.0,-36873,,2294,-509575,,,299014,143557.0,-195933,-2555.0,161734,64797,89206,1298202,1387408,1387408,-48353.0,24151.0,-106500.0,27329.0,0.0,,,0.0,0.0,,,,,,,
1338,2013年01月01日至2013年12月31日,,612919,612919,,,350458,6779,4181,22360,-27625,-7231,-44779,98424,402567.0,,,-29136,-1270632,-271291,4331,10123,-13911,-1570516,,845261,24828,1940,2456,86985.0,988799,-581717,-179150,433769,27625,-19405,-69739,372250,,0.0,-611524,192221,-2694,-4646.0,-36873,,2294,-509575,,,299014,143557.0,-195933,-2555.0,161734,64797,89206,1298202,1387408,1387408,-48353.0,24151.0,-106500.0,27329.0,0.0,,,,,,,,,,,
1338,2013年01月01日至2013年09月30日,,336524,336524,,,258156,5156,2700,14008,-21955,-4070,-14950,52430,291475.0,,,-10479,-1044027,-304003,13843,-37698,26797,-1355567,,643898,24332,2750,4079,38076.0,713135,-642432,-350957,-14433,21955,-13844,-33973,-40295,,0.0,-486803,114326,-2497,2408.0,-45472,,1718,-441446,,,313076,114452.0,-144047,-2555.0,198536,39261,-243944,1298202,1054258,1054258,-25126.0,24110.0,-106500.0,,,,,,,,,,,,,
1338,2013年01月01日至2013年06月30日,,175239,175239,,,169310,3427,94,7388,-15970,-3890,-14903,32281,177737.0,,,-5315,-808268,-209616,26586,-50224,-28842,-1075679,,672489,14183,21807,8774,53882.0,771135,-304544,-126807,48432,15970,-7254,-18104,39044,,0.0,-267877,113529,-2428,-2199.0,-14538,,1139,-197361,,,69717,0.0,-101981,-2517.0,-10805,48438,-120684,1298202,1177518,1177518,-24987.0,23976.0,,,,,,,,,,,,,,
1338,2013年01月01日至2013年03月31日,,67153,67153,,,81869,1792,92,3445,-7658,-1426,8051,13899,100064.0,,,-11054,-428506,-113588,20771,-37304,9589,-560092,,467769,-8987,-2280,-3445,44304.0,497361,-62731,37333,104486,7658,-3730,-2375,106039,,0.0,-179094,2591,-551,-1658.0,-216,-211.0,563,-178576,,58734.0,0,0.0,-48418,0.0,10316,32234,-29987,1298202,1268215,1268215,,,,,,,,,,,,,,,,
1338,2012年01月01日至2012年12月31日,,408729,408729,,,215839,6388,-10500,13071,-13947,-16041,-2445,45043,237408.0,,,5980,85147,-216194,-9136,-35142,10304,-159041,,-31851,-73555,44304,-7838,65626.0,-3314,-162355,75053,483782,13947,-12165,-214434,271130,,-14796.0,-952975,26874,-950,-101768.0,-74316,,2226,-1115705,,,-52293,472603.0,-92451,-2937.0,962286,-35158,82553,1215649,1298202,1298202,0.0,4687.0,0.0,0.0,632677.0,,,,,,,,,,,
1338,2012年01月01日至2012年09月30日,,406475,406475,,,155231,4600,-2520,9643,-10185,-15799,275,26604,167849.0,,,-2639,-25611,-259629,6424,-46061,24411,-303105,,284590,-5928,36818,-4748,110120.0,420852,117747,285596,692071,10185,-8677,-192772,500807,,-14820.0,-661608,4534,-771,-101369.0,-168448,,1672,-940810,,,-94814,476275.0,-44227,-2936.0,239798,-31211,-231416,1215649,984233,984233,0.0,0.0,-94500.0,,,,,,,,,,,,,
1338,2012年01月01日至2012年06月30日,,288200,288200,,,93457,3065,47,4891,-7110,-8891,2021,24942,112422.0,,,4123,-166362,-56486,4402,-44630,57413,-201540,,29916,-99742,11965,99730,69974.0,111843,-89697,22725,310925,7110,-5055,-151214,161766,,-2963.0,-292660,638,-1156,-130988.0,-110000,,1115,-536014,,,-214082,475030.0,-29459,-2903.0,228586,-25809,-171471,1215649,1044178,1044178,0.0,0.0,,,,,,,,,,,,,,
1338,2012年01月01日至2012年03月31日,,121350,121350,,,44995,1851,9,2429,-3048,-3858,-27,7235,49586.0,,,-48112,-62817,-14026,-17431,-50537,56250,-136673,,-2905,-11332,7821,13729,20342.0,27655,-109018,-59432,61918,3048,-2589,-32412,29965,,-2970.0,-106766,364,-1934,-112795.0,-86464,0.0,559,-310006,,0.0,-170664,304035.0,-22471,-2911.0,107989,-25683,-197735,1215649,1017914,1017914,,,,,,,,,,,,,,,,
