公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 無活絡市場之債務商品投資到期還本,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 庫藏股票買回成本,　　 取得子公司股權,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 未實現外幣兌換損失（利益）,　　 收取之利息,　　 取得備供出售金融資產,　　 取得無活絡市場之債券投資,　　 存出保證金增加,　　 存入保證金增加,　　　　 股利收入,　　　　　 預付款項（增加）減少,　　 收取之股利,　　 發放現金股利,　　　　　 應付票據－關係人增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　 預付設備款增加,　　　　　 其他營業負債增加（減少）,　　　　　 預收款項增加（減少）,　　 預付投資款增加,　　 預收款項增加－處分資產,　　 取得無形資產,　　 非控制權益變動,　　 存出保證金減少,　　 其他應付款－關係人減少,　　　　 處分投資損失（利益）,　　 處分子公司,　　 其他應收款增加,　　 處分無形資產,　　 因合併產生之現金流入,　　 應付短期票券減少,　　 其他非流動負債增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 其他金融資產增加,　　 發行公司債,　　 庫藏股票處分,　　 其他金融資產減少,　　 長期應收租賃款減少,　　 現金增資,　　　　 股份基礎給付酬勞成本,　　 長期應收租賃款增加
1464,2016年01月01日至2016年09月30日,,259054,259054,,,256147,8498,-7345,32368,-9086,10225,19188,1116,-692,,,,,9523,,18410,,4341,-37137,30365,11524,,,53667,-120236,1958.0,-145875,3163,,-252500,-240976,86860,345914,-30137,-109098,217193,,,-160843.0,-257396,23093,-204596.0,1656.0,-610502,,7980878,-7422342,1089548.0,0,-88850,-570,290675.0,,32295.0,,771138,-152873,224956,532494,757450,757450,9694.0,8039.0,,,-4691.0,1803.0,-2475.0,-13978.0,2475.0,-624017.0,,5156.0,,-807.0,,0.0,,0.0,-9.0,14383.0,-317390.0,-2114.0,7011.0,,,,-1014587.0,,,327836.0,-49526.0,-237388.0,349134.0,8356.0,-167576.0,0.0,5804.0,194564.0,,837900.0,3956.0,-167853.0
1464,2016年01月01日至2016年06月30日,,141074,141074,,,168328,5768,-716,21800,-7697,6596,22623,5082,1702,,,,,-12985,,183797,,-6994,-26153,17918,140790,,,5215,-143787,,-120389,-21055,,-329560,-188770,68339,209413,-20531,-99964,96224,,,-160843.0,-178691,4316,-171776.0,1829.0,-534787,,4554717,-4526953,674688.0,0,-79850,-370,194617.0,,32295.0,,640324,-56776,144985,532494,677479,677479,27405.0,7306.0,,,-4690.0,1569.0,,-14793.0,,-26922.0,,-196.0,,-341.0,,,,0.0,-9.0,10838.0,-317390.0,-2114.0,7011.0,,,,-709772.0,,,257109.0,-49007.0,-27079.0,190301.0,4376.0,-168331.0,0.0,5804.0,130181.0,,837900.0,3956.0,-167853.0
1464,2016年01月01日至2016年03月31日,,46082,46082,,,83283,2932,826,11330,-4678,527,25387,12300,1100,,,,,-39894,,55175,,12187,43701,-1663,54339,,,-18499,-77991,,-55142,-2544,,-201719,-147380,9879,55961,-8532,-4974,46527,,,-160843.0,-67029,1041,-112695.0,491.0,-363345,,2215974,-1746278,490102.0,0,-70850,-370,-23359.0,,,,406945,-28991,61136,532494,593630,593630,20589.0,4072.0,,,-411.0,1511.0,,-15167.0,,,,-103.0,,45.0,,,,0.0,,580.0,,-2114.0,0.0,,,,-510126.0,,,157259.0,-47485.0,-8734.0,32136.0,5777.0,-20012.0,,5804.0,30330.0,-58199.0,44537.0,,
1464,2015年度,,485553,485553,,,273105,5151,9546,39105,-5514,18391,-16572,30037,-3145,,,,,-74850,,-241617,0.0,13968,-172252,-27637,-521350,,,24257,85918,0.0,7386,12837,,-80883,-602233,-273687,211866,-37215,-21980,158119,,,,-343760,50986,-525297.0,2086.0,-1102444,,9535164,-9719789,1280300.0,122000,-50050,-1585,314145.0,,0.0,,573478,1080,-369767,902261,532494,532494,8922.0,3969.0,0.0,,-12392.0,780.0,-1479.0,-18962.0,1479.0,-231190.0,0.0,-38644.0,,-173166.0,4034.0,0.0,,-20620.0,4900.0,0.0,-1277.0,-27337.0,368069.0,0.0,0.0,0.0,-1255345.0,0.0,,328546.0,-3505.0,-570578.0,46036.0,-1664.0,-70571.0,445000.0,83456.0,40838.0,-67241.0,46969.0,,
1464,2015年01月01日至2015年09月30日,,373132,373132,,,194530,3144,-3726,28711,-4315,0,-5962,20398,-374,,,,,-110049,0.0,-57326,0.0,20235,-282547,-29612,-477118,,-735.0,11170,39530,0.0,-103942,22171,,-198750,-675868,-477909,-104777,-28205,-19597,-146773,,,,-283849,43305,-422353.0,1499.0,-605171,,6856096,-7017088,19942.0,39000,-37050,-610,46685.0,,0.0,,204641,28249,-519054,902261,383207,383207,-3733.0,4327.0,0.0,,-12072.0,400.0,-1479.0,-17819.0,1479.0,-231190.0,,,,-162998.0,-880.0,-30000.0,0.0,-20544.0,0.0,0.0,,-27337.0,146944.0,,,,,,,197959.0,-3066.0,-63463.0,34765.0,-1898.0,-40241.0,445000.0,83456.0,40838.0,,,,
1464,2015年01月01日至2015年06月30日,,252783,252783,,,127677,2292,1127,20761,-2650,0,2910,16268,-2230,,,,,-83724,0.0,127684,0.0,29367,-115174,-21990,-71890,,-844.0,10280,-60096,0.0,-229522,18984,,-427641,-499531,-358628,-105845,-20843,-11929,-135953,,,,-90670,23031,-348166.0,1360.0,-321317,,4419537,-4929791,-90018.0,39000,-24050,-410,,,0.0,,12265,-24519,-469524,902261,432737,432737,2917.0,2664.0,0.0,,-1862.0,400.0,,-8053.0,,-13692.0,,,,-164066.0,,0.0,0.0,-19694.0,0.0,,82833.0,-27337.0,146944.0,,,,,,,140903.0,-2377.0,-19399.0,27380.0,-832.0,-40241.0,445000.0,83456.0,,,,,
1464,2015年01月01日至2015年03月31日,,100177,100177,,,63663,944,-1868,9878,-1344,0,-573,7469,-3255,,,,,-14806,0.0,76617,0.0,-1799,-70007,-461,-11659,,-207.0,17219,-13893,0.0,-109093,11507,,-285714,-297373,-217051,-116874,-10864,-179,-126560,,,,-64302,6351,-126667.0,891.0,-58317,,1873694,-2095028,,39000,-11050,-303,0.0,,0.0,,-193730,6503,-372104,902261,530157,530157,5408.0,1357.0,,,-8.0,,,-1203.0,,,,-31938.0,,-158641.0,,,,-19694.0,,,,,146944.0,,,,-43.0,,,80322.0,-668.0,-18833.0,17001.0,,,,,,,,,
1464,2014年度,,898583,898583,,,204462,7575,7678,33770,-1557,-16944,-3606,32058,-15557,-607787.0,,,,-65326,0.0,-84039,-744.0,280757,-193203,-8636,-79085,,735.0,-116,44371,80060.0,6637,-2978,-8260.0,235249,156164,-451623,446960,-28720,-12866,409059,,9804.0,,-357244,261219,-66330.0,,-295622,,11022697,-10948461,29983.0,60667,-36100,0,1276.0,,-27290.0,,282925,5558,401920,500341,902261,902261,-4602.0,3096.0,-20000.0,-6635.0,-2209.0,459.0,-589.0,-7894.0,589.0,0.0,-21036.0,-53048.0,,188884.0,,-509034.0,,-1108.0,137292.0,7247.0,-19351.0,-850475.0,622451.0,-477834.0,142911.0,101140.0,-15008.0,76761.0,,,,,,,,,,,,,,
1464,2014年01月01日至2014年09月30日,,40043,40043,,,144493,5490,-1681,25344,-1104,-16944,-4538,10843,-2390,157612.0,,,,-129970,-2325.0,30118,-6066.0,-5021,-218375,-14374,-368254,,,4024,-14373,-1207.0,-30992,20325,-1974.0,158917,-209337,-51725,-11682,-25226,-12797,-48115,,5909.0,,-225191,48812,-55820.0,,-92697,,7294584,-7218654,29940.0,41000,-26050,0,16476.0,,-2400.0,,216760,-38127,37821,500341,538162,538162,-1416.0,1105.0,-20000.0,-3000.0,-2209.0,290.0,-485.0,-22241.0,485.0,0.0,,,,172356.0,10758.0,-129369.0,286801.0,-500.0,100925.0,1870.0,-19351.0,,,,,,,,,,,,,,,,,,,,,
1464,2014年01月01日至2014年06月30日,,31602,31602,,,92984,3836,-2273,15783,-422,-9543,-4938,24571,-514,122532.0,,,,11612,2360.0,98052,-5315.0,-20163,-195773,-8061,-140314,,,7362,-19684,-13282.0,-40663,11048,-1589.0,-45976,-186290,-63758,-32156,-17000,-9431,-58163,,5577.0,,-171966,48793,,8974.0,100167,,4688611,-4744855,0.0,41000,-16000,0,-6890.0,,-2400.0,,47456,-41628,47832,500341,548173,548173,3048.0,424.0,-20000.0,-2000.0,-2134.0,274.0,,-23026.0,,,,,,,10832.0,-49597.0,283020.0,-500.0,87716.0,,,,,,,,,,,,,,,,,,,,,,,
