公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 利息收入,　　　　 股利收入,　　 收取之利息,　　 收取之股利,　　 取得不動產、廠房及設備,　　 發放現金股利,　　 取得備供出售金融資產,　　　　　 應付建造合約款增加（減少）,　　　　 金融資產減損損失,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　　　　 淨確定福利負債增加(減少),　　 取得採用權益法之投資
2546,2016年01月01日至2016年09月30日,,225720,225720,,,622,-682,101,-966,,,,0,-54596,35397,-320796,-329209,-125944,-79280,-13823,7489,-880712,,45464,166282,,-48558,8092,1370,,-2216,290081,-590631,-604827,-379107,-101,-37665,-403681,,0,1129.0,-9871,,100000,-100000,250000,-250000,-106036,,-519588,1434364,914776,914776,-565.0,-12706.0,486.0,12706.0,,-106036.0,0.0,119647.0,0.0,,-14196.0,50.0,0.0,-11000.0
2546,2016年01月01日至2016年06月30日,,115701,115701,,,414,2778,87,-375,,,,0,24486,-100451,-243812,-142089,-4829,-92198,-14356,22743,-550455,,53245,131053,,-53931,9285,10684,,-2216,19258,-531197,-529098,-413397,-87,-22131,-434863,,-341,0.0,-11341,,100000,-100000,200000,-200000,0,,-446204,1434364,988160,988160,-445.0,-360.0,392.0,360.0,,,,-128862.0,,,2099.0,51.0,,-11000.0
2546,2016年01月01日至2016年03月31日,,60063,60063,,,207,3224,31,-412,,,,0,30278,205400,-270907,-194679,-128239,-88780,-9393,-7153,-463420,,40552,-111905,,-79069,10641,17627,,-118,-96398,-559818,-556988,-496925,-31,-18,-496795,,-50,,-50,,0,0,100000,-100000,0,,-496845,1434364,937519,937519,-220.0,,179.0,,,,,25874.0,,,2830.0,53.0,,
2546,2015年度,,165254,165254,,,874,27406,501,-110,,,,-5805,177565,-17351,-321131,101802,-216435,-68051,-5162,-15932,-371105,,-76553,278731,,17321,-1008,-12624,,1433,521501,150396,152877,318131,-501,-38743,305250,,917,,917,,170000,-220000,250000,-250000,-209053,,97114,1337250,1434364,1434364,-1920.0,-24492.0,1871.0,24492.0,,-159053.0,0.0,314201.0,222.0,,2481.0,-605.0,0.0,
2546,2015年01月01日至2015年09月30日,,168291,168291,,,667,20944,382,-504,,,,-5805,169410,212702,-427408,-31686,-218371,-62917,-7269,814,-370323,,-59982,128343,,-44118,-1267,-13621,,1498,272138,-98185,-102676,65615,-382,-38703,52493,,0,1061.0,1061,,120000,-170000,200000,-200000,-209053,,-155499,1337250,1181751,1181751,-1488.0,-24492.0,1471.0,24492.0,,-159053.0,0.0,261285.0,0.0,,-4491.0,207.0,0.0,
2546,2015年01月01日至2015年06月30日,,60264,60264,,,460,2897,324,-2084,,,,-6515,80130,131930,-87996,113792,-229106,-57759,-3446,23986,-34778,,-126970,51888,,-61462,-1065,-13670,,2658,60462,25684,25481,85745,-324,-28294,58924,,0,576.0,576,,120000,-170000,100000,-100000,-50000,,9500,1337250,1346750,1346750,-1140.0,-660.0,1137.0,660.0,,,0.0,209083.0,0.0,,-203.0,206.0,0.0,0.0
2546,2015年01月01日至2015年03月31日,,25316,25316,,,241,-6885,316,-2844,,,,-10676,-19791,42949,-103347,68733,-84129,-24004,-8409,20426,-118040,,-79336,-15667,,-71274,-7,-13546,,1498,-22052,-140092,-149739,-124423,-316,-51,-124316,,-211,,-211,,120000,-170000,100000,-100000,-50000,,-174527,1337250,1162723,1162723,-475.0,,474.0,,,,0.0,156280.0,,,-9647.0,208.0,0.0,
2546,2014年度,,224657,224657,,,1234,3620,678,-792,-6257.0,,,29314,-92572,129284,-83883,124487,-40700,468,-204,14715,80909,,7807,235006,,10051,4397,-1623,-2122.0,532,63963,144872,138615,363272,-678,-39304,338685,,-7284,,-28656,,401000,-351000,350000,-350000,-56036,,253993,1083257,1337250,1337250,-2370.0,-12905.0,2490.0,12905.0,,-106036.0,-21372.0,-190085.0,4278.0,,,,,
2546,2014年01月01日至2014年09月30日,,208438,208438,,,925,8706,487,-2203,-2530.0,,,18639,-103482,210522,-98135,271921,44551,9024,-3747,23417,372710,,-29922,-17412,,-50814,3937,-14374,-9.0,-3,-302175,70535,68005,276443,-487,-39215,251322,,-51602,,-72974,,271000,-271000,200000,-200000,-106036,,72312,1083257,1155569,1155569,-1818.0,-12905.0,1676.0,12905.0,,-106036.0,-21372.0,-193578.0,4278.0,,,,,
2546,2014年01月01日至2014年06月30日,,167288,167288,,,617,9236,332,-1019,9758.0,,,11424,-99142,91801,-184990,114196,11133,5617,-2750,-61947,-114658,,135041,71670,,-53139,5596,-14007,-6.0,0,56792,-57866,-48108,119180,-332,-24497,96088,,-5921,,-24456,,166000,-166000,150000,-150000,0,,71632,1083257,1154889,1154889,-1316.0,-2370.0,957.0,780.0,,,-18535.0,-88363.0,4278.0,,,,,
2546,2014年01月01日至2014年03月31日,,92933,92933,,,308,5502,176,-1113,4296.0,,,8322,-33053,-43335,26800,27602,-93229,23013,-1729,-23215,-108824,,21712,193545,,-64134,3496,-15183,-2.0,0,18310,-90514,-86218,6715,-176,-38,6896,,-1191,,-13398,,120000,-120000,0,0,0,,-6502,1083257,1076755,1076755,-577.0,,395.0,,,,-12207.0,-121124.0,,,4296.0,0.0,-2.0,
2546,2013年度,,207131,207131,,,1234,-30175,954,-591,-43344.0,,,32164,-115271,-148410,270239,-195949,193801,77400,2216,122736,238926,,-6634,146698,,8691,12522,15274,-567.0,-10555,-285011,-46085,-89429,117702,-954,-22213,109473,,-2235,,-28386,,300000,-350000,350000,-400000,-206036,,-124949,1208206,1083257,1083257,-4862.0,-9904.0,5034.0,9904.0,,-106036.0,-26151.0,-450440.0,0.0,,,,,
