公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他流動資產（增加）減少,　　 取得無活絡市場之債務工具投資,　　 其他金融資產減少,　　　　　 遞延借項（增加）減少,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 舉借長期借款,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 短期借款增加,　　 取得無活絡市場之債券投資,　　 存入保證金增加
4934,2015年度,,333234,333234,,,576496,4927,9984,1010,43418,-11708,3840.0,-23522.0,-529.0,7415.0,-3529.0,14982,-8316,614468.0,,,531,-66767,-509208,-4857.0,-12729,-49174,6051,49278,23345.0,-563530,,-7996.0,180764,239683,-222.0,89976,1184,906.0,-35584,6195,250.0,2060.0,477216,-86314,528154,861388,11509,-41903,-9979,821015,,-21719.0,0.0,-546203.0,577732.0,-192035.0,-344270,94403.0,75546,-2864,-56973.0,-639215.0,-1055598,,-394444,-167118.0,0,99900,-138273.0,693600.0,93665,-14143,-155061,1264428,1109367,1109367,,,,,,,,,,,,,,,,
4934,2015年01月01日至2015年09月30日,,119462,119462,,,420194,3650,7616,5407,33290,-9905,3840.0,-20572.0,-408.0,4726.0,-1427.0,14167,-6236,454342.0,,,532,-53114,-224915,-41987.0,-15543,776,-101185,17674,17071.0,-400691,,-4552.0,190953,108382,-559.0,-18675,10934,,-64596,4812,190.0,2060.0,228949,-171742,282600,402062,9893,-31780,-10407,369768,,-31921.0,0.0,-546203.0,503569.0,0.0,-274418,83985.0,68003,-2764,-137946.0,-489285.0,-1047120,,-386066,-76253.0,0,103520,-138273.0,693600.0,196528,-15662,-496486,1264428,767942,767942,0.0,-220140.0,,,,,,,,,,,,,,
4934,2015年01月01日至2015年06月30日,,-15160,-15160,,,276642,2404,1587,-1788,27573,-6505,3840.0,-20572.0,-391.0,21679.0,-1768.0,5144,-4025,303820.0,,,403,91215,-84717,-20632.0,2676,550,-133185,-48110,5068.0,-186732,,-1805.0,4525,147331,1365.0,-55370,-836,,-20600,2130,131.0,,76871,-109861,193959,178799,6614,-25935,-9939,149539,,-31814.0,,-500000.0,331370.0,0.0,-222726,82518.0,24595,-554,,-246876.0,-675695,,-377252,-7271.0,0,273515,,693600.0,582592,-11504,44932,1264428,1309360,1309360,,-123029.0,10821.0,,,,,,,,,,,,,
4934,2015年01月01日至2015年03月31日,,16668,16668,,,135906,1214,7625,-998,12887,-2518,,-20070.0,-252.0,29656.0,747.0,5592,-2018,167771.0,,,444,81295,28346,1053.0,-9924,-595,-184922,2125,,-86420,,-1573.0,-84847,88636,1022.0,-39901,-1035,,-91359,1201,97.0,,-127759,-214179,-46408,-29740,2332,-12007,-1422,-40837,,,65873.0,-145000.0,86243.0,47049.0,-146405,0.0,-321,-242,,-98683.0,-183486,,79706,,0,176540,,,374728,-11454,138951,1264428,1403379,1403379,,,8000.0,-4242.0,0.0,118482.0,,,,,,,,,,
4934,2014年度,,167950,167950,,,509546,4736,5201,-11152,62364,-5485,10465.0,7.0,-1191.0,14327.0,5999.0,3056,-7991,589882.0,,,6079,-98098,22028,-1888.0,18090,-784,-79389,-14437,19329.0,-129070,,-2731.0,-135185,12611,559.0,45348,2316,0.0,91367,146,273.0,0.0,14704,-114366,475516,643466,5069,-65587,-77,582871,,0.0,67962.0,-1130847.0,1101038.0,99524.0,-175358,0.0,140399,-709,-14635.0,-58014.0,29360,,-171387,-141295.0,-3575,-505899,-138627.0,1044225.0,83442,-13996,681677,582751,1264428,1264428,,,,,,,,,,,,,,,,
4934,2014年01月01日至2014年09月30日,,166450,166450,,,367177,3529,3424,-12056,50736,-2864,10465.0,7.0,-711.0,13986.0,9242.0,6415,-5979,443371.0,,,6009,-70050,-377542,-215.0,1498,-184,-134299,-195158,13843.0,-812980,,-2586.0,-35073,343351,0.0,16544,1529,,78875,976,217.0,0.0,403833,-409147,34224,200674,2828,-53100,159,150561,,0.0,2155.0,-1130848.0,915559.0,113808.0,-144775,0.0,110985,-696,0.0,-20186.0,-153998,,-289232,-22788.0,-3577,-505899,-138627.0,1044225.0,84102,-38,80627,582751,663378,663378,-56882.0,0.0,,,,,,,,,,,,,,
4934,2014年01月01日至2014年06月30日,,180794,180794,,,244051,2352,3038,-8090,37388,-1699,10465.0,7.0,-350.0,42.0,855.0,-1019,-3990,283050.0,,,5452,-6472,-345860,0.0,12082,0,-33798,8831,12610.0,-347155,,-2385.0,60104,-38775,0.0,42183,1036,,6630,64,133.0,,68990,-278165,4885,185679,1471,-31867,254,155537,,-124764.0,,-850848.0,604116.0,77808.0,-105823,0.0,86658,-686,,-13026.0,-326565,,-650301,-67251.0,-3578,-113825,,1044225.0,209270,16812,55054,582751,637805,637805,,0.0,0.0,,,,,,,,,,,,,
4934,2014年01月01日至2014年03月31日,,114126,114126,,,121802,1183,-660,-3970,19345,-1807,,7.0,0.0,-7284.0,-662.0,-5727,-1995,120232.0,,,7187,-823,-93177,0.0,3251,0,-304245,-127143,,-506025,,-1941.0,87407,163974,0.0,9942,2850,,34317,151,76.0,,296776,-209249,-89017,25109,1744,-17147,-53,9653,,,0.0,0.0,0.0,78006.0,-96656,0.0,12842,-394,,-7137.0,-148305,,-107135,,-14,-33111,,,-27561,3234,-162979,582751,419772,419772,,,0.0,8925.0,-134966.0,112699.0,,,,,,,,,,
4934,2013年度,,209859,209859,,,539199,5829,-92002,12279,78174,-3861,0.0,0.0,0.0,-20266.0,-20044.0,-12431,-7933,,,,-152814,393,385473,-36739.0,-24746,222,-230268,-49629,28463.0,-79645,,-27063.0,217398,14884,0.0,95642,-5999,,-13031,-137,,215.0,285580,205935,684879,894738,4488,-78645,-86,820495,,0.0,,0.0,0.0,,-439966,5.0,133585,-347,0.0,-57413.0,-344913,,-282864,-464754.0,3533,15357,0.0,475000.0,-253728,-36132,185722,397029,582751,582751,0.0,,17557.0,,,,,0.0,478944.0,0.0,0.0,3671.0,1666.0,0.0,,
4934,2013年01月01日至2013年12月31日,,209859,209859,,,539199,5829,-92002,12279,78174,-3861,0.0,0.0,0.0,-20266.0,-20044.0,-12431,-7933,,,,-152814,393,385473,-36739.0,-24746,222,-230268,-49629,28463.0,-62088,,-27063.0,217398,14884,,95642,-5999,,-13031,-137,,215.0,285580,223492,702436,912295,4488,-78645,-86,838052,,,,0.0,0.0,,-439966,5.0,133585,-347,,-57413.0,-362470,,-282864,-464754.0,3533,15357,,475000.0,-253728,-36132,185722,397029,582751,582751,17557.0,,,,,,,0.0,478944.0,0.0,0.0,3671.0,1666.0,0.0,,
