公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 採用權益法之被投資公司減資退回股款,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 其他項目,　　 收取之利息,　　 支付之利息,　　 按攤銷後成本衡量之金融資產到期還本,　　 取得無形資產,　 匯率變動對現金及約當現金之影響,　　 取得持有至到期日金融資產,　　　　 股利收入,　　　　 金融資產減損損失,　　 收取之股利,　　 存出保證金減少,　　　　 金融資產重分類淨損失（利益）,　　 取得不動產、廠房及設備,　　 取得以成本衡量之金融資產,　　 預付投資款增加,　　 存出保證金增加,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 處分不動產、廠房及設備,　　　 收益費損項目,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　 存入保證金增加,　　 取得無活絡市場之債務工具投資,　　　　 非金融資產減損損失
1435,2016年01月01日至2016年09月30日,,-6511,-6511,,,5388,92,-10614,,,,-362,542,58,45,3158,,3441,,-122,-31,1772,634,2253,5694,8282,1771,253,,,,6999,,-2866.0,22863,,,0.0,-24174,,1673.0,1673,-15502,60224,44722,44722,,,47.0,-2311.0,,2311.0,-47.0,,,,,-2711.0,3421.0,2711.0,0.0,9276.0,-133.0,,,,,,,,2588.0,,-44038.0,
1435,2015年度,,-3578,-3578,,,7033,243,12924,,,,0,-525,-169,98,-51,,-647,,125,13,928,175,1241,594,14807,11229,-40,,,,18799,,-104256.0,92762,,,1663.0,-192389,,,248,-173342,233566,60224,60224,,,80.0,-2836.0,,2836.0,-80.0,,,,,-4854.0,5298.0,4854.0,64.0,-3861.0,-517.0,0.0,0.0,,0.0,0.0,,,14213.0,248.0,-182105.0,186.0
1435,2015年01月01日至2015年09月30日,,632,632,,,5263,182,10712,,,,-425,61,18,61,-595,,-880,,106,10,-12,71,175,-705,11543,12175,33,,,,18989,,-99927.0,78323,,,1663.0,-127982,,248.0,248,-108745,233566,124821,124821,,,60.0,-1987.0,,1987.0,-60.0,,,,,-4854.0,2872.0,4854.0,64.0,,0.0,0.0,0.0,,,,,,12248.0,,-108105.0,
1435,2015年01月01日至2015年06月30日,,38,38,,,3487,122,-476,,,,-57,-169,-3712,52,-486,,-4372,,597,-31,-1615,5,-1044,-5416,-1335,-1297,99,,,,422,,-81959.0,67891,,,0.0,-25728,,248.0,248,-25058,233566,208508,208508,,,40.0,-1337.0,,1337.0,-40.0,,,,,-323.0,2568.0,323.0,45.0,,0.0,,,,,,,,4081.0,,-11705.0,
1435,2015年01月01日至2015年03月31日,,723,723,,,1735,61,-1068,,,,-714,-299,85,22,-1050,0.0,-1956,,114,-31,1358,676,2117,161,2340,3063,-68,,,,3640,,-11723.0,10049,,,,-1629,,,200,2211,233566,235777,235777,,,19.0,-664.0,,664.0,-19.0,,,,,0.0,1730.0,0.0,45.0,,0.0,,,,,,,366.0,2179.0,200.0,,
1435,2014年度,,-1655,-1655,,,6267,242,-1189,1485.0,,,160,243,234,-76,154,,715,,-103,-9,-96,63,-145,570,2055,400,-68,,,,3644,,-29692.0,19911,-5495.0,,10859.0,-13576,,366.0,366,-9566,243132,233566,233566,,,77.0,-2693.0,,2693.0,-77.0,,,0.0,,-696.0,116.0,696.0,19.0,,-7919.0,-1898.0,,,-639.0,639.0,,,,,,
1435,2014年01月01日至2014年09月30日,,985,985,,,4623,182,-565,1736.0,,,160,190,269,-88,-248,0.0,283,,-80,26,-971,327,-698,-415,1321,2306,0,,,,4810,,-21569.0,11663,0.0,,10858.0,-8429,,105.0,105,-3514,243132,239618,239618,,,57.0,-1651.0,,1651.0,-57.0,,,,,-910.0,,910.0,,,-3503.0,-1897.0,-4000.0,19.0,,,,,,,,
1435,2014年01月01日至2014年06月30日,,12,12,,,3091,121,-838,1188.0,,,160,305,279,-142,445,0.0,1047,,-94,-14,-1102,440,-770,277,1465,1477,56,,,,2719,,-11459.0,11653,,,3663.0,724,,105.0,105,3548,243132,246680,246680,,,38.0,-1085.0,,1085.0,-38.0,0.0,,,,-139.0,,139.0,,,-3133.0,,,,,,,,,,,
1435,2014年01月01日至2014年03月31日,,3,3,,,1545,60,-125,948.0,,,-128,340,279,-148,0,1944.0,2287,,-46,-2,-592,442,-198,2089,3037,3040,-53,,,,3519,,,0,0.0,0.0,0.0,-3133,,0.0,0,386,243132,243518,243518,,,19.0,-478.0,,478.0,-19.0,,,,,-73.0,,73.0,,0.0,-3133.0,,,,,,,,,,,
1435,2013年度,,-11247,-11247,,,5643,263,-437,3567.0,,,128,701,195,-1352,-25885,,-26213,,-891,-445,-172,-132,-1640,-27853,-24286,-35533,-108,,,,-29777,,-10201.0,4064,11300.0,,15665.0,18293,,-1233.0,-1233,-12717,255849,243132,243132,,,131.0,-2280.0,,2280.0,-131.0,,,0.0,,-3715.0,3962.0,3715.0,19.0,,-2554.0,0.0,,,0.0,0.0,,,,,,
1435,2013年01月01日至2013年12月31日,,-11247,-11247,,,5643,263,-437,3567.0,,,128,701,195,-1352,-25885,0.0,-26213,,-891,-445,-172,-132,-1640,-27853,-24286,-35533,-108,,,,-29777,,-10201.0,4064,,11300.0,15665.0,18293,,-1233.0,-1233,-12717,255849,243132,243132,,0.0,131.0,-2280.0,0.0,2280.0,-131.0,,0.0,,-2554.0,-3715.0,3962.0,3715.0,19.0,,,,,,,,,,,,,
