公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分無活絡市場之債務工具投資,　　　　　 預收款項增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 對子公司之收購（扣除所取得之現金）,　　 發行公司債,　　 舉借長期借款,　　 現金增資,　　 長期應收租賃款增加,　　 停業單位稅前淨利（淨損）
4916,2015年01月01日至2015年09月30日,,-3691,-3691,,,22831,14430,3144.0,1060.0,7031,-1206.0,0,10409,0.0,9367,-475.0,66591.0,,,-66659,-9200,-57019,-27509,-683,-161070,,15783,18491,0.0,-9363,-362.0,24549,-136521,-69930,-73621,-2691,-14253,-90565,,0.0,-264000.0,-6446,-519.0,0,0,2400.0,-268565,,220000.0,0,-2688,-101849.0,-13797.0,101666,3603,-253861,543306,289445,289445,,,,,,,,,,,,,,
4916,2015年01月01日至2015年06月30日,,-31523,-31523,,,15649,11313,,2936.0,4524,-1096.0,0,9392,0.0,-2328,-475.0,39915.0,,,-30936,-5522,-39667,-13646,-219,-89990,,47736,7110,,-9222,-241.0,45383,-44607,-4692,-36215,-1641,-8222,-46078,,,-264000.0,-5729,-32.0,0,0,,-269761,,120000.0,0,-1792,,,118208,-4963,-202594,543306,340712,340712,0.0,,,,,,,,,,,,,
4916,2015年01月01日至2015年03月31日,,-8245,-8245,,,9598,8076,0.0,-1824.0,2037,,0,4078,0.0,7201,-475.0,28691.0,,,-33705,25,4372,-4111,-2350,-35769,,21584,-1213,,-4987,-121.0,15201,-20568,8123,-122,-611,0,-733,,,,-15222,-179.0,0,0,,-15401,,,0,-896,,,-896,-2676,-19706,543306,523600,523600,0.0,-62.0,,,,,,,,,,,,
4916,2014年度,,18184,18184,,,36624,12953,,,5757,,1,0,,6711,243.0,,,,74318,13031,94354,-7991,-5634,168078,,-14055,-8765,,9240,,-14183,153895,213480,231664,-4791,-15724,211149,,,,-12341,,-118646,-3058,,-91654,,0.0,-95078,-237976,-135798.0,,-190741,12806,-58440,601746,543306,543306,,,,0.0,-2704.0,59585.0,-603.0,42391.0,0.0,278111.0,0.0,0.0,,
4916,2014年01月01日至2014年09月30日,,26730,26730,,,27099,5127,0.0,0.0,4280,0.0,1,0,-3120.0,-233,0.0,33154.0,,,112800,9242,78732,-11203,-709,188862,,-8030,-97,243.0,-346,-487.0,-8717,180145,213299,240029,-4314,-15982,219733,,-138029.0,0.0,-3160,0.0,-1751,-2626,0.0,-145566,,0.0,-95078,-35784,-135798.0,0.0,-266660,5608,-186885,601746,414861,414861,,,,,,,,,,,,,,
4916,2014年01月01日至2014年06月30日,,45290,45290,,,18046,3456,,0.0,3137,0.0,1,0,-8023.0,193,0.0,16810.0,,,51219,18910,126621,-14473,-482,181795,,-18774,-186,,7,-325.0,-19278,162517,179327,224617,-3165,-10991,210461,,,0.0,-3164,0.0,-971,-3071,,-144680,,0.0,-95078,-30522,,,-125600,322,-59497,601746,542249,542249,-137474.0,,,,,,,,,,,,,
4916,2014年01月01日至2014年03月31日,,29883,29883,,,9008,1694,-1547.0,0.0,1758,,1,0,-7343.0,-265,0.0,3306.0,,,31177,12431,56102,-7282,-1343,91085,,3329,-735,,397,-162.0,2829,93914,97220,127103,-1754,-1120,124229,,,,-2211,0.0,-816,-2585,,3309,,,-54220,-5261,,,-59481,6139,74196,601746,675942,675942,8921.0,0.0,,,,,,,,,,,,
4916,2013年度,,178518,178518,,,29322,5146,,,6721,,1694,9783,,-1225,0.0,,,,19613,-13955,20614,8832,-1124,33980,,-102291,-13228,,320,,-114219,-80239,-28300,150218,-6696,-49195,94327,,,,-104206,,-6041,-464,,-168462,,95078.0,0,-36178,-75442.0,,348227,6396,280488,321258,601746,601746,,,,498.0,0.0,51939.0,980.0,-13351.0,-44400.0,0.0,47879.0,316890.0,,
4916,2013年01月01日至2013年09月30日,,153385,153385,,,21349,3487,,,4917,,1694,19418,0.0,-777,,,,,-45644,-4172,-34946,-10594,-2316,-97672,,-55143,-18392,0.0,486,,-73579,-171251,-121163,32222,-4888,-41239,-13905,,,,-86678,,-5161,1500,,-90339,,138663.0,0,-10916,-75442.0,,100184,4359,299,321258,321557,321557,,,,,,50088.0,-530.0,0.0,,,47879.0,,0.0,
4916,2013年01月01日至2013年06月30日,,100019,100019,,,13539,2057,,,3068,,1694,5879,0.0,-1002,,,,,40334,971,-75651,-18475,108,-52713,,14368,-9438,,20,,4548,-48165,-22930,77089,-3039,-29018,45032,,,,-88126,,-2131,1491,,-88766,,52800.0,0,-5655,,,95024,7979,59269,321258,380527,380527,,,,,,25235.0,-402.0,0.0,,,47879.0,,,
