公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 預付費用（增加）減少,　　 取得子公司股權,　　　　　 其他營業負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　 攤銷費用,　　 預付投資款增加,　　 存入保證金增加
6278,2015年01月01日至2015年09月30日,,874392,874392,,,653861,5017.0,0.0,541,-36594,5979,0.0,1383,4104,634291.0,,,664.0,-18911,617467,-104601.0,-103333,-204040,30027,-295,216978,,-1401,-649815,-55885.0,-28371,-6644,-742116,-525138,109153,983545,91402,26487.0,-43881,-492362,565191,,15499,0.0,0.0,-226772,28793,-2414670.0,-18991,-2616141,,-68398,700000,-1128884.0,71.0,-421998.0,0.0,-71129.0,0.0,-990338,234871,-2806417,6401364,3594947,3594947,,,,,,,,,,
6278,2015年01月01日至2015年06月30日,,532766,532766,,,434531,-15.0,-702.0,541,-28617,2907,0.0,-2836,2725,408534.0,,,664.0,-17882,2543480,-20695.0,-224680,-37667,5751,-259,2248712,,-1844,-1786693,-31119.0,-87896,-11544,-1919096,329616,738150,1270916,68316,,-30806,-385650,922776,,15499,0.0,0.0,-179647,28519,-2261872.0,-23822,-2421323,,-747098,700000,-250000.0,108.0,0.0,0.0,,0.0,-296990,-236617,-2032154,6401364,4369210,4369210,,,,,,,,,,
6278,2015年01月01日至2015年03月31日,,219862,219862,,,220694,-15.0,-3531.0,978,-16287,315,0.0,-1275,1374,202253.0,,,-2653.0,-43216,1479677,-5901.0,-54797,2624,42380,-138,1417976,,429,-1368189,-54577.0,-130523,-4884,-1557744,-139768,62485,282347,37509,,-14859,-150757,154240,,8346,0.0,0.0,-97127,28755,-2179529.0,-2809,-2242364,,-82913,0,0.0,65.0,,0.0,,0.0,-82848,-116193,-2287165,6401364,4114199,4114199,,,,,,,,,,
6278,2014年度,,1765270,1765270,,,868247,-812.0,-850.0,14202,-89087,19136,-15274.0,-7236,5779,,,,186.0,-12007,-752539,-285.0,201110,-22669,46994,-165,-539075,,-1958,-845533,127715.0,177969,-21146,-562953,-1102028,-322732,1442538,199487,11036.0,-58799,-365422,1228840,,-8709,-16625.0,26520.0,-796531,9364,,107377,-678604,,2745997,1805739,-1476804.0,1210.0,-572736.0,20919.0,,16128.0,-1387908,441664,-396008,6797372,6401364,6401364,,-14809.0,779296.0,300.0,-3928361.0,,,,,
6278,2014年01月01日至2014年09月30日,,1280074,1280074,,,649037,246.0,-3460.0,12880,-70370,19555,5634.0,3549,4411,621482.0,,,0.0,-10853,-637918,-216.0,97425,-143818,67690,-1072,-628762,,-986,-204332,142157.0,138083,123420,198342,-430420,191062,1471136,157300,11036.0,-39312,-237474,1362686,,-8101,-16625.0,0.0,-531065,8221,0.0,110776,-436794,,3326572,1000000,-950633.0,180.0,-572736.0,19928.0,0.0,-3912029.0,-1088718,-156675,-319501,6797372,6477871,6477871,,,,,,,,,,
6278,2014年01月01日至2014年06月30日,,802979,802979,,,436904,284.0,-32.0,7570,-42560,7882,5634.0,533,3028,419243.0,,,0.0,-8409,125051,0.0,33445,-93011,-24393,-1419,31264,,-1923,-834069,104982.0,-46863,13139,-764734,-733470,-314227,488752,115322,,-23595,-156271,424208,,-602,0.0,0.0,-255632,3944,0.0,11829,-240461,,1111861,0,-359139.0,191.0,-86679.0,310.0,,16128.0,682672,-210401,656018,6797372,7453390,7453390,,,,,,,,,,
6278,2014年01月01日至2014年03月31日,,246978,246978,,,223125,505.0,0.0,3711,-15808,5282,1770.0,2148,1534,222267.0,,,0.0,1776,837830,0.0,25781,173526,29708,-1404,1067217,,1204,-1240118,42340.0,-191915,48360,-1340129,-272912,-50645,196333,59991,,-11698,-101066,143560,,0,0.0,0.0,-50509,519,0.0,6873,-43117,,747207,0,-105671.0,-102.0,,0.0,,0.0,641434,32484,774361,6797372,7571733,7571733,,,,,,,,,,
6278,2013年度,,2248310,2248310,,,885220,86597.0,0.0,30170,-82503,28239,35621.0,3562,7679,,,,0.0,-11278,3563797,0.0,51292,725315,-12715,514,4317420,,3487,-3745245,77642.0,127240,6165,-3530711,786709,1781294,4029604,101257,0.0,-40228,-411529,3679104,,-5945,-27000.0,0.0,-1020160,45023,,48336,-959746,,-223615,63148,-145527.0,11370.0,-493933.0,0.0,,0.0,-789140,-288081,1642137,5155235,6797372,6797372,,0.0,994585.0,495.0,-583.0,,,,,
6278,2013年01月01日至2013年12月31日,,2248310,2248310,,,885220,86597.0,,30170,-82503,28239,35621.0,3562,7679,,,,,-11278,3563797,,51292,725315,-12220,514,4317420,,3487,-3745245,77642.0,127240,6165,-3530711,786709,1781294,4029604,101257,,-40228,-411529,3679104,,-5945,-27000.0,,-1020160,45023,,48336,-959746,,-223615,63148,-145527.0,11370.0,-493933.0,0.0,,,-789140,-288081,1642137,5155235,6797372,6797372,,,994585.0,,-583.0,,0.0,,,
6278,2013年01月01日至2013年09月30日,,1676410,1676410,,,664362,20993.0,0.0,24625,-57054,22371,0.0,2413,6175,,,,,-8645,1839657,0.0,284385,495754,16989,469,2628609,,1451,-2708443,75491.0,-23494,26326,-2626433,2176,686061,2362471,-55119,0.0,-30234,-323823,1953295,,-5945,-27000.0,,-722940,24104,,15124,-716657,,-255523,62097,0.0,,-493933.0,0.0,,0.0,-687359,-154321,394958,5155235,5550193,5550193,,,683885.0,,,2236.0,,,,
