公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 舉借長期借款,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 停業單位稅前淨利（淨損）,　　 存出保證金增加,　　 短期借款減少,　　 預付設備款減少,　　 取得無形資產,　　 發行公司債,　　 償還公司債,　　　 收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少)
1526,2015年01月01日至2015年09月30日,,87477,87477,,,10784,737,-5810,4731,-715,-2,-17313,,,,85,16253,-56034,-2234,0,-87083,-4313,,-42731.0,-176057,,70346,2264,341,-5231,444,-1352,-5361,27,,60783,-115274,-122840,-35363,722,-4545,-2782,-41968,,-10515,2,72,-24564,-37699,,3326365,-648750,176893,21291,118517,110408,228925,228925,660000.0,,,-2694.0,-3160722.0,,0.0,,,,22.0,-7566.0,-695.0
1526,2015年01月01日至2015年06月30日,,32604,32604,,,6813,491,1831,2963,-546,-2,9364,,,,384,-20795,-26460,-1400,0,-45597,-841,1086.0,-33946.0,-127569,,42213,17918,397,-7626,457,-843,-3204,61,,48927,-78642,-57714,-25110,528,-2933,-2272,-29787,,-5543,2,72,-11899,-19501,,2074035,-427500,159412,-10473,99651,110408,210059,210059,440000.0,,,-2133.0,-1927123.0,,,,,,14.0,20928.0,-446.0
1526,2015年01月01日至2015年03月31日,,6907,6907,,,3315,245,1848,1396,-258,0,9107,,,,2920,1034,-6486,26,0,-24946,-2973,1086.0,,-29339,,10048,-1101,1337,-8621,163,-272,354,-16,,1667,-27672,-12014,-5107,330,-1213,-1069,-7059,,-5568,0,12,-2671,-9317,,889572,-206250,82878,-9521,56981,110408,167389,167389,220000.0,0.0,,-1090.0,-820444.0,0.0,,,,,5.0,15658.0,-225.0
1526,2014年度,,61016,61016,,,13166,957,-2056,5267,-750,-75,-5165,11344.0,,,-1555,-17693,-10101,-690,227,-6649,-1053,-1086.0,,-38600,,-577,23440,246,7648,-81,1978,1323,11,-798.0,33190,-5410,5934,66950,690,-5279,-2274,60087,,-7473,111,743,-10327,-18806,,2898136,-844167,-56152,6611,-8260,118668,110408,110408,825000.0,,,-668.0,-2935121.0,,-1192.0,30000.0,-30000.0,,,,
1526,2014年01月01日至2014年09月30日,,42676,42676,,,9874,716,-1510,4052,-525,-74,1721,14254.0,,,-1705,11379,2575,0,227,4224,-4846,,0.0,11854,,-2819,800,-572,-4461,180,516,-700,458,-599.0,-7197,4657,18911,61587,629,-3859,-1790,56567,,-5675,109,734,-10102,-15597,,2072795,-641250,-44598,-1464,-5092,118668,113576,113576,620000.0,,,-551.0,-2096143.0,,-112.0,,,,,,
1526,2014年01月01日至2014年06月30日,,28780,28780,,,6620,473,121,2796,-299,-79,-91,9541.0,,,362,7592,12127,-5763,227,10217,-1382,,,23380,,-4154,851,-1450,-4656,-75,1025,-4617,949,-403.0,-12530,10850,20391,49171,320,-2728,-1388,45375,,-4396,104,715,-5,-3949,,1430490,-427500,-46142,-456,-5172,118668,113496,113496,420000.0,,,-367.0,-1469132.0,,,,,,,,
1526,2014年01月01日至2014年03月31日,,14282,14282,,,3288,238,-438,1423,-195,4,-2843,1477.0,,,-375,17591,-6630,1149,227,4553,-2789,0.0,0.0,13726,,-16572,4713,-750,-5345,-130,1564,-4850,974,-201.0,-20597,-6871,-5394,8888,203,-1204,-651,7236,,-2075,5,465,0,-1726,,747373,-213750,-6944,2895,1461,118668,120129,120129,210000.0,,,-152.0,-750567.0,31.0,,,,,,,
1526,2013年度,,39040,39040,,,13854,933,325,6548,-158,-119,-5743,15640.0,,,5158,-14277,5988,6121,-227,11163,1156,0.0,,15082,,7724,-2166,1755,6458,16,-857,2457,3,-957.0,14433,29515,45155,84195,138,-6611,-1174,76548,,-4124,265,606,-318,-3571,,2970202,-765417,-24955,7479,55501,63167,118668,118668,780000.0,,,0.0,-3009740.0,,0.0,0.0,0.0,,,,
1526,2013年01月01日至2013年12月31日,,39040,39040,,,13854,933,325,6548,-158,-119,-5743,15640.0,,,5158,-14277,5988,6121,-227,11163,1156,0.0,0.0,15082,,7724,-2166,1755,6458,16,-857,2457,3,-957.0,14433,29515,45155,84195,138,-6611,-1174,76548,,-4124,265,606,-318,-3571,,48642,-765417,-24955,7479,55501,63167,118668,118668,780000.0,,0.0,0.0,-88180.0,,,,,,,,
1526,2013年01月01日至2013年09月30日,,28081,28081,,,10501,734,-2,5021,-82,-120,-3006,13046.0,,,997,-2308,20312,6897,0,2057,-724,0.0,-1239.0,25992,,-594,-5658,-489,-824,-174,-631,678,8,-719.0,-8403,17589,30635,58716,76,-4935,-1271,52586,,-3346,263,610,-201,-2674,,-41230,-371667,-22897,4469,31484,63167,94651,94651,390000.0,0.0,,,,,,,,,,,
