公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他流動資產（增加）減少,　　 其他金融資產減少,　　　　 處分投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 存出保證金減少,　　 償還公司債,　　 舉借長期借款,　　 存入保證金減少,　　 發放現金股利,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 停業單位稅前淨利（淨損）,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資,　　 處分子公司,　　 現金增資,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　 其他應收款－關係人增加,　　 現金減資,　　 庫藏股票處分,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 庫藏股票買回成本,　　 其他應收款－關係人減少,　　 短期借款減少,　　 按攤銷後成本衡量之金融資產到期還本
3419,2014年01月01日至2014年03月31日,,-23775,-23775,,,29991,5188,,4242,-2369,-743,-3395,318,33232.0,,,12207,46561,37400,,102786,,-14542,-40302,-4375,-127.0,-59346,43440,76672,52897,-3967,-1150,47780,,-20093,2081,-341.0,-4827,2432,-151891,,62840,-417.0,16.0,62439,219,-41453,628431,586978,503596,6618.0,,,,,,-131143.0,0.0,,,,,83382.0,,,,,,,,,,,,,,,,,,,
3419,2013年度,,-29657,-121252,,,115296,21325,,15017,-3525,1213,-2134,1237,147975.0,,,3711,298775,-53260,,234834,,13296,-86885,-6516,-583.0,-80688,154146,302121,180869,-10741,-10059,160069,,-85397,10533,-1178.0,-18374,3369,-164698,,-31487,0.0,,-41126,35582,-10173,638604,628431,628431,-14392.0,,-454.0,,-3000.0,3454.0,-74105.0,0.0,-98300.0,96632.0,-16.0,-7955.0,0.0,-91595.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,
3419,2013年01月01日至2013年12月31日,,-121252,-121252,,,115296,21325,0.0,15017,-3525,1213,-2134,1237,147975.0,,,3711,298775,-53260,,234834,,13296,-86885,-6516,-583.0,-80688,154146,302121,180869,-10741,-10059,160069,,-85397,10533,-1178.0,-18374,3369,-164698,,-31487,,0.0,-41126,35582,-10173,638604,628431,628431,-14392.0,,-454.0,0.0,-3000.0,3454.0,-74105.0,0.0,-98300.0,96632.0,-16.0,-7955.0,,,,,,,,,,,,,,,,,,,,
3419,2013年01月01日至2013年09月30日,,-121960,-121960,,,86298,16294,0.0,11450,-2267,1136,706,927,114544.0,,,13537,318011,-1705,,339988,,-3189,-156047,-13620,-448.0,-173304,166684,281228,159268,-8455,-9627,141186,,-65304,10276,-71.0,-12863,2251,-63489,,-120270,-1251.0,-19.0,-121540,23460,-20383,638604,618221,618221,10145.0,2222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,2013年01月01日至2013年06月30日,,-92758,-92758,,,56991,11043,0.0,7381,-1290,917,-1276,614,74380.0,,,11198,239175,-31290,,240150,,-2194,-83306,-76,-304.0,-85880,154270,228650,135892,-5410,-7582,122900,,-39873,9169,-5.0,-7269,1266,-34490,,-57760,-834.0,21.0,-58573,30366,60203,638604,698807,698807,21067.0,2222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,2013年01月01日至2013年03月31日,,3013,3013,,,27916,5590,0.0,4041,-445,-147,-10889,304,26370.0,,,11088,149475,-25768,-16259.0,118536,,-2077,-36750,29696,-150.0,-9281,109255,135625,138638,-2942,-2249,133447,,-11422,5981,3.0,-2365,519,-7284,,-88005,-417.0,17.0,-88405,19494,57252,638604,695856,695856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,2012年01月01日至2012年12月31日,,107786,107786,,,112022,22130,-11046.0,27024,-1940,-9026,706,1200,141074.0,,,23515,141955,184406,,273846,,419,-305023,-18012,-594.0,-323210,-49364,91710,199496,-19592,-15157,164747,,-33438,137163,0.0,-22134,1913,86765,,26241,,115.0,-50311,-18059,183142,455462,638604,638604,-76030.0,,-16.0,20.0,-3000.0,3016.0,0.0,3245.0,-47567.0,-29100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
3419,2012年01月01日至2012年09月30日,,55373,55373,,,84002,16714,-3948.0,21353,-1267,-1034,2367,901,119088.0,,,5729,183428,191025,,356841,,1714,-365104,-25294,-446.0,-389130,-32289,86799,142172,-13504,-12418,116250,,-28646,6166,3245.0,-21180,1326,-41311,,53742,-4250.0,737.0,50229,-16463,108705,455462,564167,564167,-23341.0,-2222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,2012年01月01日至2012年06月30日,,42865,42865,,,55463,10466,-714.0,13890,-908,-1649,-2858,600,74290.0,,,24699,57766,139051,,215713,,-376,-310227,-35683,-300.0,-346586,-130873,-56583,-13718,-9410,-9771,-32899,,-7317,6166,1361.0,-13682,902,-14811,,31773,-2833.0,718.0,29658,-11088,-29140,455462,426322,426322,-5803.0,-2241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,2012年01月01日至2012年03月31日,,13557,13557,,,31236,3973,-490.0,6649,-265,602,367,300,42372.0,,,23698,49133,2528,-13319.0,62040,,4018,-159732,44912,-150.0,-110952,-48912,-6540,7017,-3883,-3728,-594,,-16779,0,1369.0,-8070,219,-23261,,158748,-1416.0,65.0,157397,-11593,121949,455462,577411,577411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
