公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　 現金增資,　　　　　 應付票據增加（減少）,　　 預付設備款減少,　　 其他非流動資產減少
6405,2015年01月01日至2015年09月30日,,111973,111973,,,123226,5288,4008,-6115,-50.0,126357.0,,,0,122478,163,7903,-3660,101.0,126985,,-7340,-34593,-92.0,-42025,84960,211317,323290,5538,-3958,-120504,204366,,-590068,50.0,1.0,-25069,-1574.0,-616660,,50000.0,474000.0,-19773,60.0,-131600.0,372687,3263,-36344,562291,525947,525947,,,,,,,,
6405,2015年01月01日至2015年06月30日,,68411,68411,,,81147,3150,2560,-4919,,81938.0,,,0,172553,763,6829,-2246,101.0,178000,,-17717,-53693,71.0,-71339,106661,188599,257010,5026,-2560,-91670,167806,,-547387,,,-9321,-31545.0,-588253,,,474000.0,-13156,,,460844,-3880,36517,562291,598808,598808,0.0,,,,,,,
6405,2015年01月01日至2015年03月31日,,29835,29835,,,41097,3598,1283,-2501,,43477.0,,,0,199262,746,6587,-1420,54.0,205229,,-21174,-55088,-10.0,-76272,128957,172434,202269,1931,-1283,-12634,190283,,-550002,,,0,-96.0,-508393,,,474000.0,-6564,,,467436,-2101,147225,562291,709516,709516,41705.0,,,,,,,
6405,2014年度,,503149,503149,,,165806,-1381,5416,-8916,0.0,,,,3,81496,3257,2651,-5759,45.0,81693,,1641,-28420,-31.0,-26810,54883,215808,718957,9324,-5416,-131877,590988,,-160311,0.0,-10.0,0,-156218.0,-278704,,,5000.0,-30997,,-197400.0,-223397,7480,96367,465924,562291,562291,37835.0,,0.0,160925.0,0.0,,,
6405,2014年01月01日至2014年09月30日,,403579,403579,,,122946,-506,4094,-6497,0.0,120037.0,,,3,18695,3507,5326,-7001,-630.0,19900,,6079,-25096,3.0,-19014,886,120923,524502,6751,-4094,-125108,402051,,-147216,0.0,-10.0,79919,-12404.0,-79711,,0.0,5000.0,-19459,0.0,-197400.0,-211859,-324,110157,465924,576081,576081,,,,,,,,
6405,2014年01月01日至2014年06月30日,,264665,264665,,,80756,83,2752,-4409,,79182.0,,,-61,-32769,4123,5283,-4753,-97.0,-28274,,-6536,-15382,485.0,-21433,-49707,29475,294140,4222,-2752,-76706,218904,,-89006,,,0,-833.0,-87071,,,0.0,-12946,,,-12946,-6182,112705,465924,578629,578629,2768.0,,,,,,,
6405,2014年01月01日至2014年03月31日,,103876,103876,,,39447,-772,1387,-1892,,38170.0,,,3,93766,-1166,-6254,-1976,77.0,84450,,-2771,-33743,1129.0,-35385,49065,87235,191111,1886,-1387,-7162,184448,,-25034,,,-53288,0.0,-78322,,,0.0,-7603,,,-7603,-2116,96407,465924,562331,562331,0.0,,,,,,,
6405,2013年度,,525191,525191,,,130261,-763,6460,-2768,249.0,,,,-3,37242,-3866,8789,-2415,-77.0,39670,,-58745,-45146,1144.0,-102747,-63077,70735,595926,1858,-7102,-142113,448569,,-270001,239.0,0.0,-89050,-56960.0,-415772,,,0.0,-109363,,-62250.0,135116,7785,175698,290226,465924,465924,0.0,,373.0,133812.0,306729.0,,,
6405,2013年01月01日至2013年12月31日,,525191,525191,,,130261,-763,6460,-2768,249.0,,,,-3,37242,-3866,8789,-2415,-77.0,39670,,-58745,-45146,1144.0,-102747,-63077,70735,595926,1858,-7102,-142113,448569,,-270001,239.0,0.0,-89050,,-415772,,0.0,,-109363,,-62250.0,135116,7785,175698,290226,465924,465924,,,373.0,133812.0,306729.0,0.0,-56960.0,
6405,2013年01月01日至2013年09月30日,,408343,408343,,,93353,-1171,5039,-1603,249.0,,,,-45,58863,-1714,4223,-532,,60795,,-52855,-75971,,-128826,-68031,27836,436179,1420,-5680,-133878,298041,,-216569,239.0,-9.0,-71680,,-287697,,0.0,0.0,-102928,,-62250.0,-165178,1847,-152987,290226,137239,137239,,,,95867.0,,0.0,322.0,
6405,2013年01月01日至2013年06月30日,,237317,237317,,,58829,-1685,3578,-1112,73.0,,,,-642,146707,-264,308,908,,147017,,-46899,-45702,,-92601,54416,114099,351416,1167,-3658,-92893,256032,,-118147,239.0,,-93783,,-211033,,0.0,0.0,-94426,,,-94426,3376,-46051,290226,244175,244175,,,,59683.0,,0.0,,658.0
6405,2012年01月01日至2012年12月31日,,527693,527693,,,82117,2402,10631,-909,469.0,,,,0,-279350,197,-8567,-4426,0.0,-292146,,50165,155381,0.0,193051,-99095,-3741,523952,940,-10791,-67154,446947,,-338780,211.0,1625.0,9620,,-318515,,-50000.0,,-155841,,-13098.0,23721,-2037,150116,140110,290226,290226,,,644.0,95354.0,242660.0,-12495.0,8809.0,
6405,2012年01月01日至2012年09月30日,,375715,375715,,,57219,1526,7995,-611,0.0,,,,0,-153746,-909,-7696,-8356,,-170707,,24348,118200,,130053,-40654,25475,401190,674,-8797,-65524,327543,,-212044,0.0,1627.0,-27133,,-231190,,-50000.0,67565.0,-38748,,-13098.0,-34281,-3365,58707,140110,198817,198817,,,,66129.0,,-12495.0,6360.0,
6405,2012年01月01日至2012年06月30日,,229503,229503,,,34724,612,5316,-399,0.0,,,,0,-110201,-459,-12578,-5645,,-128883,,43760,99837,,131102,2219,42472,271975,464,-5268,-46706,220465,,-114120,0.0,,-35217,,-195031,,-40000.0,61425.0,-29573,,,-8148,-1796,15490,140110,155600,155600,,,,40253.0,,-12495.0,,-45694.0
