公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 其他金融資產增加,　　 收取之股利,　　 取得子公司股權,　　 其他籌資活動,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　 處分採用權益法之投資,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 預付設備款增加,　　 短期借款減少,　　 處分子公司股權（未喪失控制力）,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 其他金融資產減少,　　 償還公司債,　　 發放現金股利,　　 處分待出售非流動資產,　　　　 其他項目,　　 預付投資款增加,　　　　　 預付款項（增加）減少,　　 存入保證金減少,　　　　 股份基礎給付酬勞成本,　　 支付之利息-營業活動,　　 取得以成本衡量之金融資產,　　 停業單位稅前淨利（淨損）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 發行公司債,　　 現金增資,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 處分以成本衡量之金融資產,　　 預收款項增加－處分資產,　　 其他應付款－關係人增加,　　　　 處分待出售非流動資產損失（利益）,　　　　 金融資產減損迴轉利益,　　 取得備供出售金融資產
4104,2016年01月01日至2016年09月30日,,455162,455162,,,65590,8355,6741,7269,29286,-28317,-97939,-11015,-4415,-803.0,,,,-1139.0,-14839,2151,-27183,-51027,-716561,939,-41909,-16900,,5529,-858444,,-6508.0,4608,-136624,-2844,592378,5989,35364,1696,,20493,498994,-359450,-450478,4684,28038,-67860,-35138,,7491,-27310,22638,-15862.0,37482,-7974,4246,-280848,,157000,0,0,-4691,0.0,-19739,-75665.0,-45675,-75442,-437103,2902808,2465705,2465705,-7171.0,,,-14258.0,,-194413.0,137861.0,-52366.0,0.0,,0.0,,,-1318.0,0.0,,,,0.0,49252.0,-48942.0,10631.0,4844.0,0.0,,-304451.0,161613.0,-1395.0,,2495.0,-13.0,0.0,,,,,-91028.0,-15558.0,-904602.0,543083.0,0.0,0.0,0.0,,,-35138.0,,,254250.0,-54018.0,-3506.0,-45000.0
4104,2016年01月01日至2016年06月30日,,318388,318388,,,44752,5573,2177,4554,19774,-19304,-62396,-11419,-4415,-947.0,,,,253.0,-7061,-634,6522,-846,-614364,5720,1384,-10037,,4245,-612251,,-3817.0,2093,-113852,-5649,139025,3101,28969,-1695,,21864,54651,-557600,-645066,-326678,17659,-32421,-341440,,7491,-13209,21650,-10155.0,21799,-6176,4246,-419358,,337000,0,0,-3123,0.0,-6728,,529026,16407,-215365,2902808,2687443,2687443,-7171.0,,,-7204.0,,-206034.0,2150.0,-52366.0,0.0,,0.0,,,-550.0,0.0,,,,,30891.0,-30616.0,7345.0,,,,,161613.0,-1395.0,,2567.0,-7.0,,,,,,-87466.0,-15388.0,-714042.0,356718.0,0.0,,,,,,,,254250.0,-54018.0,-3506.0,-45000.0
4104,2016年01月01日至2016年03月31日,,174763,174763,,,23036,2771,1153,4515,8481,-9026,-33206,-1305,-4261,-541.0,,,,804.0,58891,-5278,-3850,12568,-380680,9518,-13425,-26227,,-111,-345151,,-193.0,3071,-5107,-2961,152440,4051,-29881,14217,,23234,143613,-201538,-265715,-90952,7749,-389,-83592,,7231,-7112,1870,-9123.0,6034,-183,4282,-107545,,187000,0,0,-1559,,-3260,,391683,-19296,181250,2902808,3084058,3084058,-1520.0,,,,,-154585.0,,-46066.0,0.0,,,,,0.0,,,,,,13835.0,-14091.0,,,0.0,,,161613.0,,,2639.0,-3.0,,,,,,-64177.0,-15258.0,-287976.0,170404.0,0.0,,,,,-83592.0,,,255571.0,-54018.0,,
4104,2015年度,,547017,547017,,,112926,12462,16049,-2662,35417,-46379,-70749,1878,-106136,,,,,1858.0,26504,7826,32397,-62332,-248413,1746,108210,-41227,,19426,-165447,,-109.0,-7471,39833,-8172,370334,-4109,30075,44301,,0,459071,293624,252303,799320,43054,-102415,739959,,166188,-24965,5891,-50948.0,14905,-5016,420,233680,,-671000,-99913,15000,-29051,79.0,-29772,-88118.0,-32998,-11547,929094,1973714,2902808,2902808,-4596.0,,,-223363.0,0.0,0.0,82029.0,-17429.0,146839.0,,4243.0,5042.0,0.0,-3452.0,-9179.0,,,,798.0,58920.0,-59778.0,-18686.0,0.0,232723.0,0.0,-282381.0,0.0,,-16639.0,-11442.0,0.0,2042.0,,0.0,,,-41321.0,-5611.0,-1128444.0,1133799.0,600000.0,299250.0,,,,739959.0,6717.0,71700.0,122700.0,,,
4104,2015年01月01日至2015年09月30日,,399453,399453,,,86243,8984,16564,-2549,26326,-33409,-52955,347,-84205,-2144.0,,,,500.0,-33262,5933,12516,-58462,-662866,4229,31223,-26971,,16620,-721821,,-109.0,-4362,140008,-11798,336753,-1029,35627,-59247,,0,440521,-281300,-316728,82725,28274,-80192,30807,,129773,-19657,3642,-31557.0,6922,-1525,4666,289363,,-604000,-99913,15000,-27535,83.0,-24425,-88118.0,-81831,11548,249887,1973714,2223601,2204208,-3946.0,,,-76363.0,,,27995.0,-17429.0,146839.0,,4243.0,0.0,0.0,-1147.0,-9061.0,,,,798.0,40996.0,-41965.0,0.0,0.0,247739.0,0.0,-282381.0,0.0,,0.0,-11281.0,0.0,2042.0,,,,,-35428.0,4678.0,-783735.0,791671.0,600000.0,299250.0,19393.0,,,,,,,,,
4104,2015年01月01日至2015年06月30日,,275610,275610,,,57742,6152,5009,4210,17069,-23707,-38730,-494,-56226,-685.0,,,,-139.0,18589,2559,10248,-24500,-406545,-7826,154826,8856,,14182,-240950,,-4291.0,-1983,-93838,-11320,293738,-5935,48649,-2278,,0,232039,-8911,-37715,237895,23689,-39158,222426,,79351,-17615,2430,-16960.0,16460,-938,5454,-99106,,-294000,99947,15000,-9637,79.0,-9246,,248982,-24491,347811,1973714,2321525,2321525,-2871.0,,,-76363.0,,-8973.0,3500.0,,146839.0,,4243.0,0.0,,-147.0,-3078.0,,,,,24552.0,-25068.0,0.0,,,,,0.0,0.0,0.0,-11200.0,,,,,,,-28804.0,9297.0,-414502.0,332275.0,300000.0,,,,,,,,,,,
4104,2015年01月01日至2015年03月31日,,121325,121325,,,29294,3031,6446,876,8429,-11585,-16575,-654,-29326,-328.0,,,,0.0,45101,-129,-14490,-6138,-324918,-7994,94257,-52404,,7773,-259188,,97.0,-591,-171059,-10698,-54935,-5808,11112,20487,,0,-212622,-471810,-482542,-361217,11504,-383,-350096,,41154,-13046,2546,-11045.0,10210,-637,5297,291733,,-540000,94950,15000,-5359,,-5148,,6282,-12920,-65001,1973714,1908713,1908713,,,,,,,,,146839.0,,0.0,0.0,,-140.0,,,,,,9773.0,-10113.0,0.0,,296657.0,,,0.0,,,-246.0,,,,,0.0,,-10732.0,-1227.0,-39263.0,0.0,300000.0,,,,,,,,,,,
4104,2014年度,,470414,470414,,,113365,9689,30979,-438,31838,-15567,-38467,4750,-95196,,52935.0,,,,77468,-1301,-8806,-11308,273687,-8138,38700,50645,,5042,415024,,547.0,-88470,27686,-651,-231868,5266,68292,101994,148.0,-672,-117728,297296,350231,820645,15603,-99512,736736,,70722,-29641,4088,-6602.0,106077,-11661,8253,-347658,,494000,50039,15000,-28545,0.0,-26337,-57494.0,56004,19792,464874,1508840,1973714,1973714,-6702.0,-384465.0,110200.0,-78945.0,156701.0,-241851.0,9741.0,,0.0,0.0,8513.0,1576.0,7851.0,-512.0,,0.0,,,164643.0,51324.0,-49538.0,23882.0,24500.0,,-320000.0,-225905.0,38746.0,,-18000.0,-965.0,-9397.0,6809.0,0.0,-136742.0,,,,,,,,,,,,,,,,,,
4104,2014年01月01日至2014年09月30日,,379133,379133,,,83923,6017,8656,30,23630,-8911,-29520,1670,-76564,,7018.0,,,0.0,61723,-6538,-20090,-20722,13320,-751,31757,19024,,-453,76534,,34.0,-14490,-84398,-7523,-208563,141,79079,20575,-550.0,-673,-216368,-139834,-132816,246317,8823,-97399,157741,,33262,-16145,704,-6716.0,104412,-8426,1759,-41006,,2000,29988,15000,-22130,0.0,-18932,-57494.0,-520895,1372,-402788,1508840,1106052,1106052,-5526.0,-210200.0,320400.0,-78945.0,,0.0,8414.0,,0.0,0.0,8513.0,2198.0,7851.0,-190.0,,0.0,,,86078.0,34721.0,-33919.0,23882.0,24500.0,83490.0,-320000.0,-225905.0,38746.0,-7900.0,-367804.0,-736.0,-9500.0,,,,,,,,,,,,,,,,,,,,,
4104,2014年01月01日至2014年06月30日,,256822,256822,,,55640,4134,5877,835,16487,-7081,-9663,0,-72428,0.0,-2121.0,,,0.0,-26358,-9229,-34460,6485,77316,3395,185285,56556,,-4770,254220,,-579.0,-60502,-154954,-13356,105238,-22,31092,59373,-576.0,-505,-34791,219429,217308,474130,7028,-56879,424279,,29346,-21606,0,-3005.0,98952,-8360,2727,-463960,,-37000,29924,0,-15839,0.0,-12690,,-35605,-8038,-83324,1508840,1425516,1425516,,-210200.0,110200.0,0.0,,-159838.0,3039.0,,0.0,,8513.0,3200.0,,-39.0,,,,,,22371.0,-22106.0,23882.0,,,,,38746.0,-7900.0,-367804.0,,,,,,,,,,,,,,,,,,,,,,,
