公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款－關係人減少,　　 處分無形資產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還公司債,　　 存入保證金增加,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　　　　 應收帳款－關係人（增加）減少,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 取得無形資產,　　 發放現金股利,　　 取得採用權益法之投資,　　 其他應收款減少,　　 取得投資性不動產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 存入保證金減少,　　 存出保證金減少,　　 短期借款減少,　　　　 股利收入,　　 收取之股利,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 舉借長期借款,　　 償還長期借款,　　 庫藏股票買回成本
3027,2016年01月01日至2016年09月30日,,76135,76135,,,26975,1301,9391,-10647,4,49,50.0,,-1231,-3451,,,,,89775,329,-38151,81375,59214,-10160,182382,,,692,35513,-7216,7576,,36836,219218,240563,316698,7497,-8944,-14099,301152,,,-83370,0.0,-949.0,,,-117276.0,860.0,-198312,,0,,152.0,168,-52976,-20545,29319,521363,550682,550682,,,,1781.0,,-454.0,-14609.0,,,,,0.0,0.0,,-76470.0,-1096.0,1096.0,,21345.0,271.0,40482.0,-2699.0,0.0
3027,2016年01月01日至2016年06月30日,,54907,54907,,,18840,855,6228,-7070,4,38,48.0,,-993,1764,,,,,93217,-14280,-72219,58615,57667,-5181,117819,,0.0,2455,56792,-12935,-3776,,42718,160537,179158,234065,4305,-6072,-10411,221887,,,-81933,,-220.0,,,-99438.0,1482.0,-177235,,0,,405.0,168,-24013,-8196,12443,521363,533806,533806,,,,1781.0,,0.0,,,,,0.0,,0.0,0.0,-63262.0,-1093.0,1093.0,,18621.0,182.0,40357.0,-1681.0,
3027,2016年01月01日至2016年03月31日,,17909,17909,,,9420,429,3272,-3234,4,18,,,-201,-4740,,,,,93077,525,-18929,266700,45761,819,387953,,,-10720,5165,-16560,1897,,-20117,367836,371808,389717,2543,-3201,-3702,385357,,,-78654,,-411.0,,,-4989.0,1142.0,-81916,,0,,813.0,168,-255244,-7595,40602,521363,561965,561965,,,,,,,,,,,,,0.0,,-295809.0,-996.0,996.0,,3972.0,101.0,40255.0,-671.0,
3027,2015年01月01日至2015年09月30日,,55809,55809,,,27391,240,8523,-8397,0,30,-1.0,,-1480,-785,,,,,10546,764,-11698,-143668,-34664,-4987,-183707,,,4549,57341,5778,-7633,,60529,-123178,-98485,-42676,8472,-7891,-29508,-71603,,,-5575,1.0,-21.0,,,-35355.0,0.0,-40834,,222131,,0.0,0,190221,18961,96745,598222,694967,694967,,,,848.0,,-838.0,-29000.0,,,,,-722.0,-68.0,,0.0,-828.0,828.0,,24693.0,494.0,0.0,0.0,-2842.0
3027,2015年01月01日至2015年06月30日,,32208,32208,,,18230,137,5423,-5542,0,30,0.0,,-1017,-12240,,,,,4328,883,-47004,-33564,-10559,-1331,-87247,,0.0,-6826,48271,-3446,-16159,,22166,-65081,-60888,-28680,5463,-5153,-15662,-44032,,,-3737,,0.0,,,0.0,1858.0,6072,,118117,,0.0,0,118033,-5298,74775,598222,672997,672997,,,,848.0,,-29.0,,,,,6292.0,,-84.0,12.0,0.0,-828.0,828.0,,4193.0,326.0,0.0,0.0,
3027,2015年01月01日至2015年03月31日,,6887,6887,,,9231,69,2450,-1484,0,0,0.0,,-293,-9118,,,,,-1527,767,12568,-147364,34781,2582,-98193,,0.0,-10800,-9410,-13350,-13894,,-47300,-145493,-144638,-137751,1890,-2281,-2980,-141122,,,-2553,,,,,-61823.0,822.0,-63554,,164199,,,0,164062,-3457,-44071,598222,554151,554151,,,,,,,,,,,0.0,,-137.0,0.0,0.0,,,,855.0,154.0,,,
3027,2014年度,,58211,58211,,,37324,321,7657,-10307,1366,-9,603.0,,-2553,28676,0.0,63353.0,,,-18626,-775,19855,-90,-5816,-450,-5902,,-112.0,-3626,-42919,9381,-395,625.0,-37046,-42948,20405,78616,10151,-7345,-18567,62855,,0.0,-11635,24.0,,,,-2726.0,,-14791,,56310,0.0,120.0,1974,44397,5996,98457,499765,598222,598222,501.0,,0.0,0.0,,-510.0,-14007.0,0.0,,0.0,0.0,-170.0,,,,-226.0,226.0,,,,,,
3027,2014年01月01日至2014年09月30日,,65796,65796,,,27780,337,5714,-6628,1366,-118,479.0,,-1451,9120,0.0,36599.0,,,-4266,-996,2357,102592,-8632,-16150,74905,,-112.0,-5289,-18361,-4422,1801,457.0,-25926,48979,85578,151374,6633,-5335,-7192,145480,,0.0,-9997,0.0,-55.0,,,0.0,1296.0,-5394,,0,0.0,113.0,1974,-54890,3420,88616,499765,588381,588381,,,0.0,0.0,,-143.0,-14007.0,,,,3490.0,,,15.0,-42970.0,,,,,,,,
3027,2014年01月01日至2014年06月30日,,25977,25977,,,18548,232,2722,-4411,1366,-66,60.0,,-1246,-14998,0.0,2207.0,,,-9890,-190,9890,-38335,-13553,5573,-46505,,-112.0,5688,-22339,9306,-10455,304.0,-17608,-64113,-61906,-35929,4416,-3130,-6264,-40907,,0.0,-2254,0.0,-10.0,,,0.0,1882.0,2787,,25251,0.0,113.0,1974,27338,-3949,-14731,499765,485034,485034,,,0.0,0.0,,,,,,,3154.0,0.0,,15.0,,,,,,,,,
3027,2014年01月01日至2014年03月31日,,14163,14163,,,9341,95,1148,-1931,1157,1,60.0,,-459,6514,0.0,15926.0,,,-2393,-475,36357,68418,-7774,-2050,92083,,-93.0,1341,-31312,-14513,-4542,150.0,-48969,43114,59040,73203,1931,-1556,-4364,69214,,,-1555,0.0,0.0,,,0.0,600.0,2214,,0,0.0,0.0,1571,-9166,-318,61944,499765,561709,561709,,,,,,,,,,,3154.0,,,15.0,-10737.0,,,,,,,,
