公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 取得採用權益法之投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　　　 其他項目,　　 收取之股利,　　 採用權益法之被投資公司減資退回股款,　　 其他應收款－關係人增加,　　 其他非流動資產減少,　　 處分無活絡市場之債券投資,　　 取得無形資產,　　 發放現金股利,　　 庫藏股票處分,　　　　 股份基礎給付酬勞成本,　　 其他投資活動,　　 發行公司債,　　 現金增資,　　 非控制權益變動,　　　　 處分待出售非流動資產損失（利益）,　　 處分子公司,　　　　 處分投資性不動產損失（利益）,　　 預收款項增加－處分資產,　　 處分投資性不動產,　　 預付設備款減少,　　　　　 持有供交易之金融負債增加（減少）,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資
1715,2015年01月01日至2015年03月31日,,95343,95343,,,76374,2150,681.0,-2936,16901,-3142,35013,1532,,,,24387,49525,-21435,164557,-11839,14027,1925,74909,145811,9583,451450,,-12457,-1556,-86202,-92271,-29885,-8186.0,-9855,701.0,-239711,211739,336776,432119,3142,-12580,-13360,409321,,,,-566652.0,0.0,-155278,14676,,,,-58042.0,-713228,,295464.0,,0.0,,356570,0,,634235,-46636,283692,1830039,2113731,2113731,-1536.0,,,,0.0,,,,,,,,,0.0,-17799.0,0.0,0.0,,,,0.0,,,125037.0,-732702.0,784770.0
1715,2014年度,,900217,900217,,,267562,7429,7334.0,-16537,66900,-11520,-63695,4671,-75144.0,,,13472,45375,-620,-79967,36081,1495,-4650,15950,29728,-66253,-9389,,-30249,907,-163458,47915,65726,11189.0,8300,,-59670,-69059,-144203,756014,11520,-65469,-205502,578890,,-1080976.0,,-202451.0,488781.0,-640998,965,0.0,,,-5441.0,629995,,,-308742.0,,0.0,1500000,-1842160,-321881.0,-1346626,104972,-32769,1862808,1830039,1830039,-2901.0,0.0,82327.0,,,,1083877.0,0.0,-474414.0,0.0,0.0,,0.0,121791.0,-21220.0,-225040.0,-10840.0,-109347.0,,1013762.0,-16684.0,0.0,,,,
1715,2014年01月01日至2014年09月30日,,807697,807697,,,197998,5265,4778.0,-6753,56646,-11161,-51965,3028,-139024.0,,,153,51579,-270,-14523,11856,-42466,-3395,-96130,64883,-49807,-78120,,-5831,0,-173927,-19181,48381,,-18936,1108.0,-168386,-246506,-385530,422167,11161,-50728,-161250,288852,,-524410.0,,-156676.0,488781.0,-526739,972,0.0,,,,888131,,,-330834.0,,0.0,700000,-718696,-287557.0,-1010930,61737,227790,1862808,2090598,2090598,-2473.0,,67502.0,,,1503.0,624793.0,,-474414.0,0.0,,-6151.0,,121791.0,-21220.0,-225040.0,-10840.0,-109347.0,,1013762.0,-16864.0,,,,,
1715,2014年01月01日至2014年06月30日,,390154,390154,,,130235,2980,2818.0,-6513,36066,-5117,-30695,794,5544.0,,,438,125461,-8553,-155990,-55959,28721,-1983,-483,22465,-2335,-48218,,81800,0,-110629,-21325,45054,,11399,445.0,6744,-41474,-35930,354224,5117,-38410,-69834,251097,,-277989.0,,-156942.0,33959.0,-345111,984,,,,-45754.0,706481,,-167306.0,,0.0,,600000,-1319812,0.0,-781654,-69391,106533,1862808,1969341,1969341,-1986.0,0.0,0.0,,0.0,0.0,384551.0,0.0,,,,,0.0,121791.0,-16327.0,-13763.0,-10840.0,-109275.0,126347.0,1014140.0,-16864.0,,,,,
1715,2014年01月01日至2014年03月31日,,151122,151122,,,64217,1312,1147.0,-4223,17984,-3293,-5023,379,51660.0,,,0,58984,-1564,-52952,-35321,32726,-562,-59772,26784,-1433,-33110,,56,0,-29403,1859,-32875,0.0,-995,880.0,-60478,-93588,-41928,109194,3293,-13434,-36912,62141,,-47966.0,,,33191.0,-133939,1263,,,,,-288554,,,-157461.0,70000.0,,600000,-716972,0.0,-220760,113897,-333276,1862808,1529532,1529532,-5050.0,0.0,0.0,0.0,-122363.0,-197212.0,221106.0,0.0,0.0,,,-31794.0,0.0,0.0,-16327.0,-15790.0,-10840.0,,,,,,,,,
1715,2013年度,,646298,646298,,,259790,5740,-482.0,-23552,66644,-13988,-70691,2570,177969.0,,,16069,-139449,14711,-204886,44280,-12587,1899,-240012,-105992,-651,-626618,,40723,1037,112804,73283,22675,0.0,-4568,,245954,-380664,-202695,443603,13988,-50856,-123149,397380,,-604182.0,,-1148.0,578000.0,-636550,692,45275.0,,,-25949.0,-210219,,,32190.0,,-50000.0,1170000,-1735185,-146442.0,-189229,260624,258556,1604252,1862808,1862808,-1383.0,0.0,113794.0,,,,433643.0,0.0,-322678.0,0.0,6300.0,,700000.0,182709.0,-19823.0,-52979.0,0.0,0.0,,0.0,0.0,0.0,,,,
1715,2013年01月01日至2013年12月31日,,593658,593658,,,259790,5740,-482.0,-30260,66644,-13988,-70691,2570,210506.0,,,22777,-139449,14711,-204886,44280,-12587,1899,-226278,-105992,-651,-606176,,40723,1037,112804,73283,22675,0.0,26262,-22230.0,254554,-351622,-141116,452542,13988,-50856,-70509,458959,,-604182.0,,-1148.0,,-636550,517113,,,,-40787.0,-271798,,32190.0,,,-50000.0,1170000,-1735185,-146442.0,-149583,220978,258556,1604252,1862808,1862808,-1383.0,-13734.0,113794.0,,45275.0,,433643.0,0.0,-322678.0,,6300.0,14838.0,700000.0,182709.0,19823.0,,,,,,,,,,,
1715,2013年01月01日至2013年09月30日,,469799,469799,,,189738,4305,-984.0,-30173,58617,-10571,-56290,2418,145691.0,,,3661,-118482,13264,-166030,34568,11093,1355,-172196,-26495,156,-419106,,60237,1151,88189,20150,47335,0.0,10011,-16638.0,210435,-208671,-62980,406819,10571,-47446,-58697,391979,,0.0,,-1148.0,0.0,-381423,516621,45275.0,,43447.0,-1675.0,221097,,0.0,-22077.0,0.0,-50000.0,970000,-1402055,-146442.0,-508904,31582,135754,1604252,1740006,1740006,0.0,-11369.0,80732.0,,0.0,,0.0,0.0,-16574.0,158244.0,,,,,,,,,,,,,,,,
1715,2013年01月01日至2013年06月30日,,330186,330186,,,127346,2533,,-8109,39696,-6532,-41162,1313,90472.0,,,0,-78194,8023,-165570,32308,16504,369,-45182,37840,-473,-194375,,54205,1499,-2876,34260,6174,0.0,3878,-11252.0,85888,-108487,-18015,312171,2609,-24694,-24302,346049,,0.0,0.0,,0.0,-155634,517060,,,,-79486.0,362331,,78669.0,,,-50000.0,920000,-1374376,-146442.0,-572149,171093,307324,1604252,1911576,1911576,0.0,-24613.0,80265.0,-1148.0,47202.0,34337.0,,,,,,,,,,,,,,,,,,,,
1715,2013年01月01日至2013年03月31日,,125592,125592,,,64104,1309,-921.0,-2670,21357,-2609,-15779,1115,65906.0,,,0,-5725,7354,-11024,37965,25054,-896,-153618,9993,-417,-91314,,33255,-26851,17497,39882,-19891,0.0,12922,-486.0,56328,-34986,30920,156512,2609,-18668,-13359,127094,,0.0,0.0,-1148.0,170820.0,-61880,301,47202.0,0.0,52828.0,-73960.0,134163,,0.0,-5029.0,110000.0,0.0,670000,-1005916,-146442.0,-377387,98703,-17427,1604252,1586825,1586825,,,,,,,,,,,,,,,,,,,,,,,,,,
