公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分按攤銷後成本衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 備供出售金融資產減資退回股款,　　 處分無活絡市場之債券投資,　　 應付短期票券增加,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 其他非流動負債增加
9925,2015年01月01日至2015年09月30日,,1117686,1117686,,,289230,4007,2043,4954,18340,-4220,-240197.0,-651,-347,-50196,-2440.0,1105,29494,51122.0,,,53,-2087,-21552,10396,14595,-46654,-45249,,-17524,-29411,-114477,-23433,-11321,-196166,-241415,-190293,927393,-18340,-330005,579048,,0.0,-5232,97617,0.0,-26.0,0.0,36120,-362746,825,-10223,37594,-61188.0,4220.0,240189.0,-22850,,-232500,89811.0,-223,5252,-728941.0,3977,-862624,2179,-304247,4217430,3913183,3913183,,,,,,,,
9925,2015年01月01日至2015年06月30日,,712453,712453,,,190428,2587,2316,-1993,12043,-3087,-150457.0,-367,72,-26637,,1312,19267,45484.0,,,53,10132,-29587,71206,15066,-33874,32996,,-24729,485,-96674,2989,-1520,-119449,-86453,-40969,671484,-12043,-239457,419984,,,-5232,55312,,-13000.0,0.0,18080,-260742,391,-4297,18788,9037.0,3087.0,13464.0,-165112,,-553500,-100140.0,-148,3021,,14700,-636067,-2863,-384058,4217430,3833372,3833372,,,,,,,,
9925,2015年01月01日至2015年03月31日,,292756,292756,,,93368,1257,639,-4317,6043,-814,,750,15,-13359,,-145,7305,90742.0,,,52,-44216,-16010,14381,18976,-45551,-72368,,8437,-21014,-163256,33914,5407,-136512,-208880,-118138,174618,-6043,-1264,167311,,,-5232,23454,,-7000.0,,8550,-152864,391,-809,4098,5545.0,814.0,784.0,-122269,,-568500,-288.0,-74,896,,14700,-553266,-739,-508963,4217430,3708467,3708467,,,,,,,,
9925,2014年度,,1410447,1410447,,,361166,8155,5033,-3240,30518,-5842,-195905.0,-3267,2450,-164984,2793.0,-332,35641,,,,-32055,24050,41229,-76906,-46001,-55933,-145616,,-23357,44936,77137,4251,6728,109695,-35921,36265,1446712,-30518,-222988,1193206,,,-951482,697560,,,-18604.0,36172,-433458,3352,-4123,-43256,-12372.0,5842.0,196814.0,-529019,,159500,,-8202,1031,-683738.0,42481,-838209,3843,-170179,4387609,4217430,4217430,,72186.0,3604.0,-9068.0,-349281.0,,,
9925,2014年01月01日至2014年09月30日,,1212033,1212033,,,267814,6930,4593,-8563,22726,-3658,-193199.0,-2551,-320,-167087,-3418.0,-646,22607,-54772.0,,,-36731,22565,27743,-175329,3864,-73888,-231776,,-34877,6741,-60894,-17774,4835,-101969,-333745,-388517,823516,-22726,-220373,580417,,3604.0,-650876,630190,-9025.0,0.0,-18604.0,34882,-318808,3902,-2297,-34578,-11054.0,3658.0,182056.0,-186950,,-119000,-399438.0,-4003,1458,-683738.0,8661,-1196060,2789,-799804,4387609,3587805,3587805,,,,,,,,
9925,2014年01月01日至2014年06月30日,,768279,768279,,,176614,5766,3899,-8670,16095,-2690,-129807.0,-1947,293,-66287,,-385,15386,8267.0,,,-47669,7783,40421,-124586,6906,-53870,-171015,,-40215,-13897,-87306,12341,3210,-125867,-296882,-288615,479664,-16095,-128169,335400,,,-351316,216853,,0.0,-15000.0,23886,-201769,3687,-884,-27563,-2003.0,2690.0,1850.0,-349569,,66000,-649416.0,-744,1081,,0,-583079,5648,-591600,4387609,3796009,3796009,,,,,,,,
9925,2014年01月01日至2014年03月31日,,330744,330744,,,89877,2999,5483,-898,7389,-808,,1125,9,-53552,,-107,7764,59281.0,,,0,-6869,27663,-472539,-20589,-56421,-528755,,-48004,16163,-155208,33208,103,-153738,-682493,-623212,-292468,-7389,-5740,-305597,,,-209100,174093,,0.0,,0,-102204,985,-312,-28424,-1809.0,808.0,0.0,-165963,,-9000,-115380.0,-454,1891,,0,-122943,3022,-591481,4387609,3796128,3796128,,,,,,,,
9925,2013年度,,1305567,1305567,,,364245,10717,4814,2120,33369,-5845,-180633.0,-11030,276,-39459,30786.0,-1535,45368,,,,103667,-20662,-28817,-4754,-44520,5276,10190,,14748,-25606,91461,66918,2087,149608,159798,412991,1718558,-33369,-219860,1465329,,,-1382653,736330,,,0.0,48290,-468998,1731,-4027,-40512,-7211.0,5845.0,179849.0,-929977,,-201000,,-1175,-4531,-683738.0,28249,-173060,-17775,344517,4043092,4387609,4387609,,253193.0,0.0,1379.0,689135.0,,,
9925,2013年01月01日至2013年12月31日,,1305567,1305567,,,364245,10717,4814,2120,33369,-5845,,-11030,276,-39459,30786.0,-1535,45368,,,,103667,-20662,-28817,-5538,-44520,5276,9406,,14748,-25606,91461,66918,2087,149608,159014,592840,1898407,-33369,-219860,1645178,,,-1382653,736330,,,0.0,48290,-468998,1731,-4027,-47723,,5845.0,,-1109826,,-201000,,-1175,-4531,-683738.0,28249,-173060,-17775,344517,4043092,4387609,4387609,,433826.0,,1379.0,689135.0,,0.0,
9925,2013年01月01日至2013年09月30日,,1044588,1044588,,,235684,8788,5541,5748,24145,-3821,-174387.0,-3843,62,-51629,9690.0,-533,24514,,,,103667,-30123,-204139,25181,-135831,-22974,-264219,,-39998,-1117,18100,23761,8097,8843,-255376,-175417,869171,-24145,-214908,630118,,,-1085153,549457,,,0.0,37506,-354943,1056,-3233,-10689,509.0,3821.0,193168.0,-659054,,49213,539721.0,-1051,-3346,-683738.0,28249,-70952,31852,-68036,4043092,3975056,3975056,,79959.0,0.0,,,9447.0,,
