公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 買回應付公司債損失（利益）,　　　　　 應付票據－關係人增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 應付短期票券增加,　　 償還公司債,　　 取得子公司股權,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 短期借款減少,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分以成本衡量之金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 預付投資款增加,　　　　 股利收入,　　 收取之股利
3017,2016年01月01日至2016年09月30日,,865324,865324,,,515459,23010,16856,0.0,86998,-19127,3782,140300,128235,,,,-285913,,362707,248,-6113,3638,558629,-56370,115239,43113.0,735178,,-87179,-537862,0,123678,,14084,,-487289,247889,1141715,2007039,19127,-85663,-142139,1798364,,0.0,,-1589912,27435,2641,-7558,-30633,0.0,-1564988,,4006610,,3762450,-3351454,-199,,390220,-418156,205440,7705596,7911036,7911036,,,-87521.0,,,,,-1536.0,,90492.0,-4027187.0,0.0,19732.0,8565.0,,893826.0,-10.0,,-151.0,1771.0
3017,2016年01月01日至2016年06月30日,,543867,543867,,,347194,16284,13727,,57372,-13633,5618,116260,33793,,,,-185138,,570632,102,41454,1985,1036073,-135694,128216,20089.0,1477719,,135142,-1361440,0,-98200,,-4062,,-1328569,149150,725157,1269024,13633,-56584,-107851,1118222,,,,-951431,23692,1171,-6033,-123335,0.0,-1046862,,2464908,,2710000,-2395928,-21,,53471,-190403,-65572,7705596,7640024,7640024,,,-54466.0,,,,,-608.0,,54975.0,-2725488.0,0.0,,8565.0,,576007.0,-9.0,0.0,,
3017,2016年01月01日至2016年03月31日,,279742,279742,,,174798,9141,4962,,29718,-6608,11185,43508,24227,,,,-58187,,942197,80,-20499,5116,619292,-111887,161208,-7026.0,1530294,,398858,-1117178,0,-146107,,-18792,,-883220,647074,937929,1217671,6608,-30450,-36240,1157589,,,,-278123,5881,306,-4072,-234731,,-490455,,1153986,,1430000,-1278620,-23,,-517067,-62038,88029,7705596,7793625,7793625,,,0.0,,50000.0,,,-76.0,,20284.0,-1872410.0,0.0,,0.0,,290855.0,-1.0,,,
3017,2015年01月01日至2015年09月30日,,757530,757530,,,526443,32032,-824,205.0,77767,-18049,-11351,1134,225450,,,,-703564,,-407467,571,23717,-1229,438586,-203621,65510,-84.0,-787581,,182383,-258521,-459,376154,,66569,,366130,-421451,407840,1165370,18049,-76061,-156087,951271,,-30000.0,,-984393,31867,2385,-23516,-247259,448107.0,-800465,,5759395,,3185121,-2939275,-5195,,563814,231013,945633,5592249,6537882,6537882,,,-246262.0,,,,,-987.0,,256759.0,-5436232.0,-15300.0,0.0,3268.0,,829291.0,4.0,,-2529.0,3879.0
3017,2015年01月01日至2015年06月30日,,429230,429230,,,349087,20936,-17451,,51573,-12979,-7938,-2187,159767,,,,-542073,,414816,632,71573,5324,450959,-180781,109146,24340.0,353936,,119295,-805031,-383,-93632,,65495,,-714256,-360320,179704,608934,12979,-51130,-92776,478007,,,,-738189,30841,4001,-7983,-94363,221766.0,-603162,,4405458,,1950000,-1950071,-337,,500757,-167589,208013,5592249,5800262,5800262,,,-198550.0,,,,,-784.0,,221347.0,-3904293.0,-15300.0,,3268.0,,540024.0,0.0,-30000.0,,
3017,2015年01月01日至2015年03月31日,,242463,242463,,,175056,10792,-12737,,25961,-5783,-4020,291,131256,,,,-189042,,678214,-622,66139,7333,18344,-206503,51104,15414.0,440381,,192092,-455398,-5,-139874,,5138,,-398048,42333,363059,605522,5783,-25761,-14570,570974,,,,-464099,41,1680,-593,-55294,,-542780,,2705479,,1290000,-928583,-59,,801240,-67747,761687,5592249,6353936,6353936,,,-143848.0,,0.0,,,-90.0,,131417.0,-2265597.0,-15300.0,,3216.0,,320726.0,-1.0,,,
3017,2014年01月01日至2014年03月31日,,93152,93152,,,163259,8028,-16457,-10.0,25992,-7634,5441,1074,44641,224327.0,,,-423108,0.0,658915,-6225,184398,-1633,102930,-167639,-14478,-124198.0,208962,,84065,199083,-3020,-318381,-917.0,62458,-12.0,23058,232020,456347,549499,7634,-29494,-29086,498553,,,,-319419,2400,-351,-5431,98471,0.0,-250077,,2665447,,870000,-1033735,-453,,-172597,37483,113362,6057919,6171281,6171281,,-218.0,-178641.0,,80000.0,,,-7.0,,152894.0,-2753856.0,,,0.0,,,,,,
3017,2013年01月01日至2013年12月31日,,369363,369363,,,696621,31016,56686,128.0,71860,-25858,9119,12718,248017,1135570.0,,,-100495,,-482133,-6,-50469,-16054,-1086749,67247,-114077,,-1782736,,58714,1384982,29585,239224,544.0,63807,2110.0,1779184,-3552,1132018,1501381,25858,-61243,-92598,1373398,,-252677.0,0.0,-909776,29515,16275,-17938,-170046,0.0,-1368827,,7881950,,4804918,-4030690,-151,0.0,2389846,213755,2608172,3449747,6057919,6057919,72.0,218.0,-47571.0,-71423.0,-50000.0,-23900.0,-35385.0,396.0,34795.0,65110.0,-6156896.0,-14856.0,4560.0,,,,,,,
3017,2013年01月01日至2013年09月30日,,263717,263717,,,522670,22762,-6780,22.0,48989,-15815,-1358,2896,107533,715627.0,,,-220369,,314610,-6836,-120581,-11067,-556771,-59381,-104477,,-764872,,-64101,450307,20990,80311,-157.0,103708,1369.0,592542,-172330,543297,807014,15815,-46106,-72943,703780,,-252677.0,0.0,-693336,5853,14758,-14813,-137094,,-965293,,5545142,,2728528,-2322253,176,0.0,1889349,205015,1832851,3449747,5282598,5282598,0.0,115.0,-45000.0,96929.0,-45000.0,0.0,-35385.0,-87.0,34795.0,60087.0,-3981859.0,,,,,,,,,
3017,2013年01月01日至2013年06月30日,,161637,161637,,,349877,10652,-4083,0.0,28432,-10310,-691,4108,66397,444382.0,,,-156445,,757523,-6943,-100614,-4500,-603276,-13591,-141794,,-269640,,-5924,623449,11284,11975,-377.0,-9578,913.0,632018,362378,806760,968397,10310,-27101,-42976,908630,,-28794.0,0.0,-526014,2878,-4300,-1903,-100116,,-542132,,981171,,2080976,-1721908,193,0.0,1385047,211247,1962792,3449747,5412539,5412539,0.0,276.0,20000.0,96117.0,80000.0,0.0,-35385.0,,,,,,,,,,,,,
