公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付帳款增加（減少）,　　 收取之股利,　　 按攤銷後成本衡量之金融資產到期還本,　　 處分無活絡市場之債券投資,　　 處分不動產、廠房及設備,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 非控制權益變動,　　　　　 應付票據－關係人增加（減少）,　　 取得備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　　　 股利收入,　　　　 金融資產減損損失,　　　　　 持有供交易之金融資產（增加）減少,　　 支付之股利,　　 發放現金股利,　　　　　 負債準備增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　　 收益費損項目,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　 處分採用權益法之投資,　　 處分無活絡市場之債務工具投資,　　 其他金融資產增加,　　　　 處分其他資產損失（利益）,　　 取得以成本衡量之金融資產
1203,2016年01月01日至2016年09月30日,,547361,547361,,,95081,20884,2523,8009,-13928,32326,-25,-15494,-84737,,,,-11204,-19111,0,340933,-22604,0,288014,,30046,-4493,8907,-26688,261326,298267,845628,13871,-8023,-160916,698258,,,0,0,-39349,725,0.0,,-3969,,48000,0,-1477,-193789,-14047,486453,1184617,1671070,1671070,0.0,7698.0,0.0,,0.0,0.0,-2975.0,-9390.0,-240312.0,0.0,0.0,1253.0,-7698.0,,,,0.0,-61148.0,0.0,,,36941.0,44767.0,,0.0,,0.0,1000.0
1203,2016年01月01日至2016年06月30日,,315244,315244,,,64634,15003,2271,4751,-9654,27691,420,-15494,-76069,,,,-11849,38780,0,333992,0,-20249,340674,,-49410,-24095,24670,-106383,234291,247652,562896,9595,-4760,-88294,479629,,,0,0,-29390,-48,1665.0,0.0,-35019,,50000,0,-2021,-71066,6076,379620,1184617,1564237,1564237,0.0,192.0,0.0,,0.0,0.0,0.0,-6861.0,-119045.0,,0.0,,-192.0,,,,,-57548.0,0.0,,,13361.0,-385.0,,0.0,0.0,,
1203,2016年01月01日至2016年03月31日,,141653,141653,,,31115,7795,2248,2336,-3296,12432,379,0,-70797,,,,10541,34739,0,204532,0,-2585,247227,,-91532,-81560,-59302,-232394,14833,-2955,138698,2177,-2360,-12129,126386,,,0,0,-21010,-58,3827.0,0.0,-21459,,80000,0,-836,79164,-5239,178852,1184617,1363469,1363469,,,,,0.0,,,-4109.0,0.0,,,,,,,,,,0.0,,0.0,-17788.0,-109.0,0.0,,,,
1203,2015年度,,605915,605915,,,140121,26734,-18715,15027,-24612,63919,1053,0,-40416,,,,-4311,3898,34129,-44261,0,19894,9349,,-9723,23387,-145967,53936,63285,220177,826092,24612,-14991,-117211,725123,,,-404,0,-118975,-7241,,,34235,,-26830,-3094,13475,-331374,29336,457320,727297,1184617,1184617,-1809.0,6621.0,0.0,,0.0,-2.0,-7395.0,-60567.0,-74925.0,0.0,0.0,0.0,-6219.0,0.0,0.0,0.0,-240000.0,188048.0,103993.0,,,156892.0,124826.0,,0.0,,,
1203,2015年01月01日至2015年09月30日,,619691,619691,,,104371,20043,-8829,11650,-20946,48224,-62,0,-34523,,,,-22714,-40298,34129,-199515,15336,3552,-209510,,-7413,43096,-47069,-6342,-215852,-100774,518917,20957,-11719,-152925,379462,,,-404,0,-90498,-7243,0.0,,5772,,-216830,-3094,13466,-281476,77299,181057,727297,908354,908354,5044.0,4232.0,0.0,,0.0,-1.0,-11734.0,-32387.0,-75018.0,0.0,0.0,0.0,-4232.0,,,,0.0,0.0,104611.0,,,115078.0,43428.0,,0.0,,-618.0,0.0
1203,2015年01月01日至2015年06月30日,,413955,413955,,,70208,14107,-9791,8840,-8845,46485,464,0,-17980,,,,-8562,30113,34129,-231216,0,-1808,-177344,,3042,-13613,-33361,30830,-146514,-43026,370929,8845,-8838,-98825,272111,,,-404,0,-35944,968,0.0,0.0,84095,,-176830,-1237,9860,-243077,64204,177333,727297,904630,904630,74762.0,0.0,0.0,,0.0,0.0,-6720.0,-13992.0,-74870.0,,0.0,,,,,,,,104611.0,,,103488.0,35577.0,,0.0,-1.0,,
1203,2015年01月01日至2015年03月31日,,256886,256886,,,35616,7855,-9398,6057,-4793,32372,0,0,-2383,,,,-26514,27198,34129,59277,0,-4021,90069,,-56996,-41138,-8426,-106560,-16491,-17603,239283,4793,-6055,-20863,217158,,,0,0,-16406,922,-2826.0,-1.0,-33958,,-127449,0,-94,-140847,113374,155727,727297,883024,883024,,,,,0.0,,,,-13304.0,,,,,,,,,,-341.0,,-66438.0,-1112.0,-102219.0,86913.0,,,,
1203,2014年度,,533233,533233,,,158801,25682,11995,26597,-13722,38227,887,0,36634,275571.0,,,11633,-54397,-8719,-22996,0,-23065,-97544,,19523,16769,47477,120229,22685,298256,831489,13722,-26568,-113524,714649,,-157561.0,0,0,-101203,-979,,,-387381,,33198,-2475,1573,-258546,119082,187804,539493,727297,727297,36460.0,9530.0,0.0,0.0,0.0,-1.0,-14776.0,-5109.0,-50842.0,0.0,-3758.0,0.0,-9530.0,0.0,0.0,0.0,-240000.0,,-103994.0,,,,,,,,,
1203,2014年01月01日至2014年09月30日,,397410,397410,,,119379,18783,7901,22449,-10123,36470,5502,0,29751,222876.0,,,5236,-51727,2975,-118609,-27864,-29404,-219393,,19216,26054,90647,78988,-140405,82471,479881,10123,-22466,-105728,369046,,-43211.0,0,0,-39050,-243,0.0,,-93972,,169496,-2475,-15,-123835,107752,258991,539493,798484,798484,-58603.0,7236.0,0.0,0.0,0.0,-1.0,-9788.0,2078.0,-50841.0,0.0,-3757.0,0.0,-7236.0,,,,-240000.0,1674.0,,,,,,,,,,
1203,2014年01月01日至2014年06月30日,,317132,317132,,,82839,11889,1927,15873,-6547,27587,810,0,5480,139858.0,,,11508,-47659,-368,-155755,0,-19278,-211552,,13662,34639,19831,87644,-123908,15950,333082,6547,-15890,-57995,265744,,-34161.0,0,0,-24104,-47,0.0,0.0,-62461,,98811,-2475,-60,45435,65503,314221,539493,853714,853714,19512.0,0.0,0.0,0.0,0.0,-1.0,-2511.0,2120.0,-50841.0,,-3757.0,,,,,,,,,,,,,,,,,
