公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分無形資產,　　 其他預付款項減少,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得投資性不動產,　　 短期借款增加,　　 舉借長期借款,　　　　 不動產、廠房及設備轉列費用數,　　　　　 其他金融資產（增加）減少,　　 預收款項增加－處分資產,　　 預收款項減少－處分資產,　　 預付設備款減少
2420,2015年01月01日至2015年09月30日,,572384,572384,,,50874,1739,0.0,28460,-2846.0,-50081,28146.0,,,201927,-2826,17837,3939,27883,72,-34579,214253,,-28094,-69182,-37501,94,2647.0,-132036,82217,110363,682747,2938.0,-28680,-111984,545021,,-33352,89257,3869.0,0.0,-27203.0,32571,,-17785.0,-111695,1804,0.0,-534270.0,-1770.0,0.0,-663716,6283,-79841,656803,576962,576962,,,,,,,,,,,,,,,
2420,2015年01月01日至2015年06月30日,,324389,324389,,,33403,1159,0.0,19032,-1934.0,-50016,1644.0,,,162676,6386,6876,5281,12107,0,-8921,184405,,-24276,-37614,-27732,-1784,1762.0,-89644,94761,96405,420794,2026.0,-18260,-62729,341831,,-24622,88393,4156.0,,-16085.0,51985,,-17413.0,-76419,1806,,,,0.0,-92026,-5084,296706,656803,953509,953509,0.0,143.0,,,,,,,,,,,,,
2420,2015年01月01日至2015年03月31日,,176602,176602,,,16611,580,,9584,-717.0,-50701,-24643.0,,,211559,9832,4594,-394,-15246,72,-2153,208264,,-24897,11312,-60131,-3268,879.0,-76105,132159,107516,284118,809.0,-9865,-1507,273555,,-14848,89249,4150.0,,-12603.0,65948,,0.0,-41390,1793,,0.0,,0.0,-39597,-4236,295670,656803,952473,952473,,,,,,,,,,,,,,,
2420,2014年01月01日至2014年09月30日,,492234,492234,,,54227,1941,-2266.0,29385,-2783.0,2436,82940.0,,,222203,9743,-33422,2060,-12387,-92,-46188,141917,,2298,-38689,1126,-2178,2662.0,-34781,107136,190076,682310,2859.0,-29775,-63158,592236,,-65944,0,988.0,-1180.0,-19290.0,-85426,,-8408.0,-5598,0,-5228.0,-427416.0,-2048.0,-12.0,-448710,1206,59306,275697,335003,335003,,,,,,,,,,,,,,,
2420,2014年01月01日至2014年06月30日,,291092,291092,,,36354,1422,-2266.0,19302,-1769.0,2345,55388.0,,,-41400,14013,-33572,612,-28105,0,3778,-84674,,12914,23028,-9472,-3942,1788.0,24316,-60358,-4970,286122,1845.0,-19692,-61246,207029,,-9781,0,1009.0,,-13565.0,-22367,,-9249.0,-3718,75,,,,-3.0,-12895,983,172750,275697,448447,448447,-182.0,152.0,,,,,,,,,,,,,
2420,2014年01月01日至2014年03月31日,,162535,162535,,,18465,1025,,9633,-767.0,2342,30698.0,,,-86468,-17842,-10177,-4633,-13072,-114,507,-131799,,9457,45751,-24946,3070,936.0,34268,-97531,-66833,95702,843.0,-9923,-2661,83961,,-5333,0,1006.0,,-8489.0,-12816,,0.0,-1852,86,,-2.0,,0.0,-1768,1524,70901,275697,346598,346598,,,,,,,,,,,,,,,
2420,2013年01月01日至2013年12月31日,,609737,609737,,,70845,3356,16309.0,36407,-5627.0,4573,,,,309533,-23229,-42688,-9702,1898,9886,-7664,238034,,6348,24746,22185,-2855,,53259,291293,413513,1023250,5613.0,-34361,-88741,905761,,-57086,278,-566.0,-6283.0,-9284.0,-2728747,,,-146091,23012,,-305297.0,-2047.0,-3.0,1579316,-4496,-248166,523863,275697,275697,,,,-3643.0,0.0,122220.0,2835.0,-2655806.0,140742.0,1869000.0,,,,,
2420,2013年01月01日至2013年09月30日,,425566,425566,,,52872,2404,9872.0,23736,-3938.0,3799,,,,518448,-41037,-7387,-4232,10099,-27946,4928,452873,,12022,67162,19705,-4564,,96548,549421,638212,1063778,3938.0,-23942,-74794,968980,,-54053,278,-308.0,-2571.0,-7709.0,-2720170,,,-5245,22983,,-307344.0,,-2.0,1579392,-1467,-173265,523863,350598,350598,,,,,,88791.0,2223.0,-2655807.0,0.0,1869000.0,46.0,,,,
2420,2013年01月01日至2013年06月30日,,285015,285015,,,34945,1515,9872.0,12995,-2583.0,676,,,,505514,-73385,-11532,-2449,-1795,-30353,7243,390789,,9114,50896,28152,-3242,,86405,477194,534660,819675,2583.0,-13201,-45798,763259,,-27974,278,,-1520.0,,-2688408,,,-3486,22976,,,-2047.0,-1.0,1891666,-5865,-39348,523863,484515,484515,,,,,,57466.0,1485.0,-2655807.0,5224.0,1869000.0,46.0,-2454.0,-3071.0,-314.0,
2420,2013年01月01日至2013年03月31日,,153561,153561,,,16956,593,,2503,,272,,,,564782,-14233,-75346,-9861,-31630,-48669,5704,390747,,16143,50341,10959,-5331,,72857,463604,483928,637489,,-2709,-548,634232,,-8444,278,262.0,,,-2662993,,0.0,-7217,21776,,,,,1897343,-8052,-139470,523863,384393,384393,,,,,,20324.0,745.0,-2655807.0,3957.0,1878827.0,,,,,718.0
2420,2012年01月01日至2012年12月31日,,485198,485198,,,65648,2463,-1668.0,2239,-3646.0,7901,,,,-323920,4647,452,5054,52281,16804,-6988,-251670,,-15359,16705,-15276,-10371,,-27671,-279341,-202138,283060,3624.0,-3394,-123671,159619,,-205555,2232,819.0,-2970.0,-15720.0,-221194,,,-3377,0,,-305297.0,-2319.0,-2.0,-194878,2594,-253859,777722,523863,523863,,,,-6772.0,11038.0,77203.0,-3370.0,0.0,-23275.0,139392.0,,,,,
2420,2012年01月01日至2012年09月30日,,387182,387182,,,50036,2060,-1538.0,1436,-2808.0,6833,,,,-210604,-16522,-108711,-2011,-33115,5906,-3917,-368974,,14903,194372,13063,-4371,,219815,-149159,-93140,294042,2808.0,-2730,-105699,188421,,-15696,2232,-1464.0,0.0,-9675.0,-24603,,,-2092,0,,-307617.0,,-2.0,-368805,-1237,-206224,777722,571498,571498,,,,,,56019.0,1848.0,0.0,-59094.0,0.0,0.0,,,,
2420,2012年01月01日至2012年06月30日,,246264,246264,,,33418,1172,-1538.0,1008,-2065.0,6797,,,,-371691,-13270,-103137,-707,13938,-10280,-1463,-486610,,7144,120511,4977,-18834,,115028,-371582,-332790,-86526,2065.0,-2244,-64192,-150897,,-8113,584,,0.0,,-13080,,,-1380,0,,,-2319.0,-1.0,-66176,3426,-226727,777722,550995,550995,,,,,,38792.0,1230.0,0.0,-62476.0,0.0,0.0,0.0,-6328.0,777.0,
2420,2012年01月01日至2012年03月31日,,100773,100773,,,16914,592,,608,,5813,,,,-259845,-12388,-23508,-378,26493,-13450,43,-283033,,-7174,7695,-32871,-17282,,-49017,-332050,-308123,-207350,,-1902,-7825,-217077,,-8771,553,777.0,,,-5376,,-61176.0,-2868,0,,,,,-62245,3954,-280744,777722,496978,496978,,,,,,23927.0,615.0,0.0,0.0,1799.0,,,,,2065.0
