公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　 發放現金股利,　　　　　 應收票據（增加）減少,　　　　　 其他營業資產（增加）減少,　　 處分持有至到期日金融資產,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 股份基礎給付酬勞成本,　　　 收益費損項目,　　　　 利息費用,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 支付之利息,　　 短期借款增加,　　　　 呆帳費用提列（轉列收入）數
2495,2015年01月01日至2015年06月30日,,88057,88057,,,19802,2910,-36309,0,-4315,14981,,,,-279069,-59399,1869,-62736,71760,-327898,,-116,,-52141,-1118,,2057,,5000,-46344,-374242,-366846,-278789,40320,-16728,-256008,,-1471482,1362168,-4000,-9181,,-334,471,0,,-23415,,-9885.0,144640,-2056,-136839,835484,698645,698645,0.0,,-323.0,,98943.0,,1982.0,,811.0,7396.0,-26.0,-811.0,154525.0,7534.0
2495,2015年01月01日至2015年03月31日,,52082,52082,,,9998,1518,-19517,0,-3103,4349,,,,-187229,-3725,-33472,-73796,33110,-267727,,-116,,-25467,232427,,1521,,3095,211433,-56294,-62445,-10363,14890,-88,3919,,-1207355,1043579,-1000,-6642,,0,467,0,0.0,-156722,,,63750,-1260,-90313,835484,745171,745171,,,-2615.0,,14229.0,,84.0,,520.0,-6151.0,-27.0,-520.0,63750.0,
2495,2014年度,,226279,226279,,,42413,7072,-54946,35,-1414,-4490,-8116.0,,,-136577,-27730,6349,-24855,-3096,-180105,,-240981,0.0,-45552,-8070,-19.0,-4216,8.0,9773,-289057,-469162,-477278,-250999,43673,-18834,-226160,,-2359308,1984054,-104476,-24349,0.0,-2440,1849,-381,0.0,-364434,,0.0,-42374,1715,-631253,1466737,835484,835484,0.0,-42374.0,5804.0,0.0,140617.0,,3214.0,,,,,,,
2495,2014年01月01日至2014年09月30日,,85690,85690,,,30951,5492,-38831,20,-4752,3307,-10829.0,,,-53190,24915,-126551,-59094,-3369,-211531,,-244910,0.0,-29802,102326,0.0,30484,-19.0,7023,-134898,-346429,-357258,-271568,36285,-15826,-251109,,-1841047,1581765,-99476,-20571,0.0,-2538,2471,-311,0.0,-239090,,0.0,-42374,785,-531788,1466737,934949,934949,0.0,-42374.0,5758.0,,140617.0,-9116.0,2100.0,,,,,,,
2495,2014年01月01日至2014年06月30日,,12263,12263,,,20462,3688,-21473,20,-3917,13075,10047.0,,,-227569,14837,-60978,-41361,2256,-308399,,167505,0.0,-56581,105421,0.0,18770,-19.0,5517,240613,-67786,-57739,-45476,26948,-4768,-23296,,-1340940,1027660,-98476,-15102,0.0,-2440,2149,-346,,-327767,,0.0,0,260,-350803,1466737,1115934,1115934,0.0,,4416.0,,99728.0,-2777.0,969.0,,,,,,,
2495,2014年01月01日至2014年03月31日,,23248,23248,,,10011,1807,-11137,20,-3511,2473,-337.0,,,-231969,49388,-14597,-63859,-5068,-262005,,185625,0.0,-30671,-2799,0.0,2372,-19.0,4518,159026,-102979,-103316,-80068,11635,-126,-68559,,-912372,636941,-86476,-5317,0.0,-2440,1936,-351,0.0,-295321,,0.0,0,1046,-362834,1466737,1103903,1103903,,,4100.0,,72758.0,,,,,,,,,
2495,2013年度,,123938,123938,,,42139,7107,-38346,893,-3188,-8582,23.0,,,-90805,6517,17376,96587,-15867,7254,,241097,-830.0,21479,30830,-2.0,6519,-12.0,15221,314302,321556,321579,445517,27073,-18162,454428,,-2477550,2271114,-251952,-45745,127.0,0,1946,-1352,0.0,-479227,,-18595.0,-117469,-590,-142858,1609595,1466737,1466737,0.0,-98874.0,-5804.0,-750.0,24185.0,,0.0,,,,,,,
2495,2013年01月01日至2013年12月31日,,123938,123938,,,42139,7107,-38346,893,-3188,-8582,23.0,,,-90805,6517,17376,96587,-15867,7254,,241097,-830.0,21479,30830,-2.0,6519,-12.0,15221,314302,321556,321579,445517,27073,-18162,454428,,-2477550,2271114,-251952,-45745,127.0,0,1946,-1352,0.0,-479227,,-18595.0,-117469,-590,-142858,1609595,1466737,1466737,0.0,-98874.0,-5804.0,-750.0,24185.0,,,,,,,,,
2495,2013年01月01日至2013年09月30日,,40871,40871,,,32169,5323,-25340,11,-1552,-6267,4344.0,,,227442,28513,-35249,143353,-16456,347603,,0,-830.0,-12245,37339,-3.0,4065,-30.0,7046,35342,382945,387289,428160,17730,-8193,437697,,-2918405,2600560,-109340,-39816,120.0,0,0,-1267,0.0,-470075,,-18595.0,-117469,-50,-149897,1609595,1459698,1459698,-1927.0,-98874.0,,,,,,,,,,,,
2495,2013年01月01日至2013年06月30日,,33300,33300,,,21843,3556,-16313,11,2001,-9971,1127.0,,,281759,22860,15807,143626,-3359,460693,,2293,-830.0,-53614,28847,-2.0,2449,-30.0,2885,-18002,442691,443818,477118,13530,-7386,483262,,-2103494,1457575,-93753,-35594,120.0,0,0,-318,,-778020,,-18595.0,-18595,684,-312669,1609595,1296926,1296926,-2556.0,,,,,,,,,,,,,
2495,2013年01月01日至2013年03月31日,,40582,40582,,,11147,1819,-8346,11,-3692,-5960,-5021.0,,,246658,30745,16329,69723,-14997,348458,,6394,-830.0,-58087,12137,-2.0,-1170,-30.0,1711,-39877,308581,303560,344142,4566,-665,348043,,-738537,420236,-78752,-9602,120.0,0,114,-318,0.0,-406739,,-18596.0,-18596,958,-76334,1609595,1533261,1533261,,,,,,,,,,,,,,
2495,2012年01月01日至2012年12月31日,,212474,212474,,,45714,7793,-25161,61,-6023,1545,23929.0,,,218485,3286,-7133,-14928,-6819,192008,,-799,830.0,5282,-58711,-8.0,3393,-423.0,6776,-43660,148348,172277,384751,22652,-55078,352325,,-1516154,1798335,-154129,-175502,29.0,-2134,833,-2217,0.0,-46165,,0.0,-283595,-2517,20048,1589547,1609595,1609595,0.0,-283595.0,0.0,-883.0,4774.0,,,,,,,,,
