公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 退還（支付）之所得稅,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　 發放現金股利,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產減少,　　 短期借款減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少)
2605,2016年01月01日至2016年09月30日,,874502,-13969,860533,,,1019352,102143,-20306,40,,,,187053,-9170,22053,-7381,14588,,207143,,18970,1882,-17765,,3499,210642,1321373,2181906,19212,2022768,,-691787,80.0,,-460681,,,,-1372291,-110123,-222731,-2273449,-316124,-1027486,5303812,4276326,4276326,-178350.0,9502.0,114389.0,-568304.0,,,116637.0,,,1110731.0,412.0
2605,2016年01月01日至2016年06月30日,,727046,0,727046,,,681055,68445,-14190,40,,,,123160,-13975,5189,-4312,11890,,121952,,19767,1662,-37252,,-15606,106346,841696,1568742,13518,1403910,,-608004,-284.0,,-632683,,,,-837078,-65525,-91174,-993777,-131662,-354212,5303812,4949600,4949600,-178350.0,0.0,0.0,,,,-24395.0,,,735350.0,217.0
2605,2016年01月01日至2016年03月31日,,425176,0,425176,,,343379,34102,-7484,41,,,,65060,-12915,-26164,21434,7155,,54570,,-10947,0,-54939,,-65659,-11089,358949,784125,7793,791918,,-14794,-291.0,,80495,,,,-598549,-45343,-105500,-749392,-117312,5709,5303812,5309521,5309521,0.0,0.0,0.0,,,,95580.0,,,370038.0,227.0
2605,2015年度,,1592560,41082,1633642,,,1339488,132816,-19756,159,,,,75584,168751,-41882,14923,15067,,232443,,-61248,-202,61989,,376,232819,1631725,3265367,21242,3177600,,-708793,0.0,,8875,,0.0,0.0,-2344164,-135624,-416797,-3464889,275882,-2532,5306344,5303812,5303812,-109009.0,-53801.0,707158.0,-568304.0,,,10510.0,,,1398906.0,-163.0
2605,2015年01月01日至2015年09月30日,,1171444,40545,1211989,,,1000365,99725,-14378,34,,,,-55958,162321,-15799,7550,27999,,126113,,-71451,1033,-6974,,-77099,49014,1081467,2293456,16024,2200477,,-109725,-7.0,,611226,,,0.0,-1662553,-110169,-175676,-2516702,317862,612863,5306344,5919207,5919207,-109003.0,-53293.0,700474.0,-568304.0,,,20484.0,0.0,,1032453.0,293.0
2605,2015年01月01日至2015年06月30日,,744924,40132,785056,,,657218,66400,-9090,34,,,,-1175,75155,-19418,34005,25022,,113589,,-52195,2037,-2878,,-52866,60723,722433,1507489,10692,1409178,,-84652,,,619288,,,,-1125003,-68887,-112561,-1306451,-207394,514621,5306344,5820965,5820965,-109003.0,-52852.0,694681.0,,,13.0,9246.0,0.0,,661710.0,170.0
2605,2015年01月01日至2015年03月31日,,370382,40490,410872,,,330988,33955,-4948,0,,,,50801,146365,-8853,24655,6961,,219929,,-69637,34,22705,,-46852,173077,479643,890515,5545,896060,,-23808,10.0,,711318,,,0.0,-681016,-43818,-58312,-783146,-92303,731929,5306344,6038273,6038273,0.0,-53429.0,702256.0,0.0,,,32860.0,0.0,,306566.0,46.0
2605,2014年度,,1266074,155982,1422056,,,1319462,128822,-14117,73,1385230.0,,,83970,-212589,5044,-75896,-15924,0.0,-215395,,30352,-2668,-77335,328.0,-49323,-264718,1120512,2542568,12255,2365283,,-1746418,-56.0,-31585.0,-480790,,10000.0,1145718.0,-1854122,-130038,-135052,-1588629,377458,673322,4633022,5306344,5306344,-189540.0,-49010.0,1297269.0,-625135.0,,,,,,,
2605,2014年01月01日至2014年09月30日,,988916,102037,1090953,,,988637,94553,-8922,0,1025548.0,,,110903,-94113,-11038,-55033,5663,0.0,-43618,,60155,-719,-15271,246.0,44411,793,1026341,2117294,8243,1936007,,-1097042,-33.0,,314384,,,569457.0,-942955,-104493,-113644,-1266770,-319483,664138,4633022,5297160,5297160,-189530.0,-48720.0,1289565.0,-625135.0,,,121894.0,-50000.0,,,
2605,2014年01月01日至2014年06月30日,,801176,0,801176,,,675372,64099,-5515,0,733956.0,,,109481,8301,-9252,-35954,-10610,0.0,61966,,38776,101,-70117,389.0,-30851,31115,765071,1566247,4826,1381543,,-412133,,,-383298,,,,-847191,-68841,-32606,-998638,-65394,-65787,4633022,4567235,4567235,-189530.0,,,,,5.0,28830.0,-50000.0,,,
