公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 收取之股利,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 取得無形資產,　　 因合併產生之現金流入,　　 其他非流動資產減少,　　 應付短期票券增加,　　 其他借款增加,　　 其他非流動負債增加,　　 其他非流動負債減少,　　　　 股利收入,　　　　 其他項目,　　 對子公司之收購（扣除所取得之現金）,　　 其他金融資產增加,　　 其他借款減少,　　 存入保證金減少,　　 發放現金股利,　　　　 不動產、廠房及設備轉列費用數,　　 存出保證金減少,　　 現金減資,　　 預付設備款減少,　　 短期借款增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 庫藏股票處分,　　　 收益費損項目,　　　　 收益費損項目合計,　　 其他投資活動,　　　　　 淨確定福利負債增加(減少),　　 非控制權益變動,　　　　　 應收票據－關係人（增加）減少,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 處分採用權益法之投資
1416,2016年01月01日至2016年09月30日,,1308852,1308852,,,5725,761,,0,28785,-4231,-725707,-387,-175995.0,,,,-12531,965,0.0,14445,666,1722012,264098,-128,117875,,2108605,,-51736,-110502,,149849,,-14,-926280,-51937,,,-1023829,1084776,180756,1489608,4231,-27176,-119996,1547963,,,,-837912,2448.0,-503.0,,509630,,,-1649000.0,481000,,21130,-1318910,-2606,736077,108639,844716,844716,,201296.0,,,,,,,0.0,,,,-32971.0,,,,-57000.0,,-343226.0,,0.0,,,228186.0,1114965.0,-223.0,,,-904020.0,,-33209.0,0.0,1203.0,-32869.0,92182.0,15077.0,156465.0
1416,2016年01月01日至2016年06月30日,,1158976,1158976,,,3800,506,,13066,17282,-2737,-747550,-387,-5464.0,,,,683,8034,0.0,16318,239,1749747,296067,-142,-266264,,1805389,,-65072,-28145,,483215,,33,-914303,-43925,,,-601406,1203983,482499,1641475,2737,-16008,-117667,1678862,,,27634.0,-537433,2448.0,-307.0,,525737,,0.0,-1379000.0,101000,,0,-976898,-423,1227278,108639,1335917,1335917,,168325.0,,,,,,0.0,0.0,23000.0,,,,,,,,-986.0,-343226.0,,0.0,,,622314.0,1036486.0,-222.0,,,-721484.0,,-33209.0,0.0,707.0,-32869.0,30000.0,,
1416,2016年01月01日至2016年03月31日,,280613,280613,,,1901,252,,5443,7072,-1265,11211,0,,,,,-19631,-219039,0.0,15481,498,1032581,168659,0,-300897,,677893,,-63674,21121,,53607,,25,-510449,-37491,,,-536775,141118,165732,446345,1265,-6803,-75022,365785,,-20276.0,,-254488,,,,272172,,0.0,-1238000.0,157000,-53000.0,0,-628846,-388,8723,108639,117362,117362,,,,,,,,0.0,0.0,0.0,,,,,,,-77000.0,-646.0,,,0.0,,,582800.0,580027.0,-222.0,,,24614.0,,86.0,,241.0,-32869.0,,,
1416,2015年度,,-13857,-13857,,,9451,2081,-5.0,37468,11939,-6564,-1321,489,-7064.0,,,,14602,-705,25.0,-4102,-612,-112843,-46568,894,-137255,,-287767,,98188,-88477,,-3025,,-48,-180542,44394,,,-128896,-416663,-379053,-392910,6564,-11704,1082,-352984,,,,-1240510,2139.0,0.0,-210.0,-1021185,,,,845656,,0,1047845,7394,-318930,427569,108639,108639,,43984.0,,230686.0,,,,7869.0,499500.0,,,,-8864.0,,,-25695.0,-23000.0,-1516.0,-88007.0,,4536.0,-293355.0,0.0,108567.0,,0.0,0.0,,37610.0,,614.0,,-1203.0,,,,
1416,2015年01月01日至2015年09月30日,,16001,16001,,,7755,40,,40775,7282,-4979,-33761,62,-7224.0,,,,19200,3425,25.0,-7266,451,192540,6857,893,-137934,,78191,,32434,-147335,,16188,,-33,-389536,-6744,,,-494565,-416374,-414835,-398834,4979,-8109,255,-358178,,0.0,47034.0,-734219,1305.0,2774.0,0.0,-564341,,,,371656,,553,630822,9560,-282137,427569,145432,145432,,43531.0,,,,0.0,,8483.0,305500.0,,,,-8411.0,,,,-65000.0,,-88007.0,,,,,105016.0,110282.0,,,,1539.0,,461.0,1104.0,,,,,
1416,2015年01月01日至2015年06月30日,,93168,93168,,,5469,40,0.0,-27543,5001,-3447,-32020,23,-7224.0,,,,19583,5716,25.0,-5141,451,362423,30859,893,-129142,,285667,,14070,-137749,,19088,,24,-390360,-8755,,,-503375,-217708,-277409,-184241,3447,-4776,-14,-150464,,,,-469982,0.0,0.0,0.0,-306950,,-87518.0,,1656,,393,160703,268,-296443,427569,131126,131126,,35120.0,0.0,52363.0,,0.0,,7955.0,231500.0,15000.0,0.0,0.0,0.0,,,0.0,0.0,,,,2773.0,,0.0,0.0,99941.0,,,,-59701.0,,307.0,-328.0,,,,,
1416,2015年01月01日至2015年03月31日,,160117,160117,,,3028,40,,-22231,2225,-1652,-31242,23,,,,,15442,-3313,25.0,-285,451,434887,51249,893,-242,,499107,,28166,-177857,,21324,,28,-251523,-4380,,153.0,-384089,115018,65209,225326,1652,-2350,9,224637,,0.0,,-236547,,2772.0,0.0,-290006,,-72913.0,,0,-53344.0,4498,-82259,502,-147126,427569,280443,280443,,,,,,0.0,,6539.0,9500.0,30000.0,,,,,,57274.0,,,,,,,,0.0,,,,,-49809.0,-120044.0,,,,,,,
1416,2014年度,,532296,532296,,,10418,2250,202.0,-75699,7260,-5184,-202737,-140969,-49910.0,-489361.0,,,-23085,-8699,-25.0,70,-357,-382079,32946,-894,-23259,,-405382,,-25690,290769,,-57177,,-98,454837,5699,658.0,,668998,263616,-225745,306551,5184,-7526,-113020,263095,,,,-420910,551672.0,-622.0,0.0,-289299,,0.0,,256344,,5322,343524,19111,336431,91138,427569,427569,,71906.0,,135777.0,,0.0,,0.0,637000.0,-60000.0,0.0,,-72861.0,37869.0,,,,0.0,-677333.0,0.0,0.0,0.0,6200.0,111533.0,-542124.0,-19292.0,70658.0,,,,,,,,,,
1416,2014年01月01日至2014年09月30日,,256344,256344,,,8165,79,0.0,-3130,4149,-3321,-157323,-140969,-5844.0,-368024.0,,,-7509,-8786,,109,40,-589739,-51633,0,-1144,,-658662,,-18547,57159,,-29826,,-140,600962,-3447,493.0,,606654,-52008,-420032,-163688,3321,-5348,-62748,-156229,,-176426.0,68213.0,-260029,551672.0,-674.0,-7585.0,-342827,,0.0,,408800,,0,424148,39332,-35576,91138,55562,55562,,72234.0,,,,-204.0,0.0,0.0,674000.0,,,0.0,-69830.0,,,0.0,-60000.0,6707.0,-677333.0,,,,,71974.0,,-517794.0,,,,,,,,,,,
1416,2014年01月01日至2014年06月30日,,56933,56933,,,5973,51,0.0,27580,2680,-2010,-88029,0,496.0,-114431.0,,,-3223,81,,99,41,-398455,-36539,0,-949,,-438945,,61798,60259,,-25646,,-55,202837,-3107,328.0,,296414,-142531,-256962,-200029,2010,-2614,-62394,-198221,,,,-167536,0.0,-783.0,-7586.0,-391396,,0.0,,61000,,3144,534875,7248,-47494,91138,43644,43644,,64806.0,-57950.0,2696.0,,-407.0,,,530500.0,0.0,0.0,0.0,-61172.0,,,-159830.0,-70000.0,,,,,,0.0,10231.0,0.0,,,,,,,,,,,,
