公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息-營業活動,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 其他非流動負債增加,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　　　 其他營業資產（增加）減少,　　 存出保證金增加,　　　　 股利收入,　　　　　 其他應收款－關係人（增加）減少,　　 取得採用權益法之投資,　　 處分不動產、廠房及設備,　　 短期借款減少,　　 其他非流動負債減少,　　 發放現金股利,　　 非控制權益變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他流動負債增加（減少）,　　 現金增資,　　 其他金融資產減少,　　 其他非流動資產減少,　　 取得以成本衡量之金融資產,　　 其他投資活動,　　 償還長期借款,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　 股份基礎給付酬勞成本,　　 取得子公司股權
3596,2016年01月01日至2016年09月30日,,1349973,1349973,,,154946,23845,-7819,,13105,-10286,-45423,-1482,,,,519040,,30554.0,-278406,-163884,27316,39121,,355477,277825,-892.0,632410,671531,833345,2183318,10382.0,-9159,-139239,2045302,,,-200258,-17277,900.0,-18289.0,0,-289681,,,,,0.0,-310390,-37594,1407637,1312268,2719905,2719905,,,,31299.0,,-8731.0,3683.0,0.0,-289.0,-302630.0,-7471.0,-95499.0,,0.0,,,-49709.0,0.0,0.0,,161814.0,3629.0,
3596,2016年01月01日至2016年06月30日,,962026,962026,,,103000,15388,-2844,,9550,-2799,-22417,-1502,,,,-303229,,24504.0,119699,-61462,-1092,-358499,,132521,179158,-582.0,311097,-47402,54898,1016924,2021.0,-6843,-81469,930633,,,-94025,-12090,0.0,-3654.0,0,-115817,,0.0,,-215.0,,-8008,-5195,801613,1312268,2113881,2113881,3924.0,,,,,-8731.0,3683.0,,,,-7793.0,-136919.0,,0.0,,,-1000.0,,0.0,,102300.0,,
3596,2016年01月01日至2016年03月31日,,318482,318482,,,51934,7268,-2917,,4589,-1227,-5342,-669,,,,-865335,,-14770.0,-746420,8489,27406,-1610441,,1117850,-90768,-292.0,1026790,-583651,-528053,-209571,879.0,-3142,-9633,-221467,,,-60959,-4850,,,0,-70363,,,,-202.0,,130287,-12186,-173729,1312268,1138539,1138539,,,,,,-8731.0,1820.0,133345.0,,,-2856.0,-19811.0,,0.0,,2357.0,,,0.0,,55598.0,1962.0,
3596,2015年度,,725172,725172,,,209198,27148,2639,,17232,-11269,-46933,-4058,,,,-1496745,,55834.0,-51524,22460,-11605,-1465428,,542707,-51575,,489842,-975586,-721708,3464,11377.0,-17408,-150817,-153384,,,-486813,-34933,-7910.0,-569.0,-872,-530332,,,,,20500.0,-243774,29892,-897598,2209866,1312268,1312268,,,,36115.0,,0.0,18389.0,-475650.0,-4280.0,-416202.0,-26200.0,16152.0,-1290.0,870000.0,,,-17838.0,214.0,-200000.0,,253878.0,23806.0,-11942.0
3596,2015年01月01日至2015年09月30日,,419658,419658,,,160463,20057,1642,,17591,-9184,-44442,-1401,,,,-946747,,26517.0,-492482,-61811,8544,-1409311,,557199,-50388,-971.0,505840,-903471,-706798,-287140,8156.0,-13530,-123550,-416064,,,-286301,-20271,-7910.0,-3544.0,-872,-339709,,,,,20500.0,-227314,21154,-961933,2209866,1247933,1247933,15832.0,,,36115.0,,0.0,1770.0,-475650.0,238.0,-416202.0,-26200.0,56668.0,,870000.0,,,-17838.0,-4743.0,-200000.0,,196673.0,,
3596,2015年01月01日至2015年06月30日,,77300,77300,,,107408,13064,-2130,,12068,-6656,-23340,-486,,,,-196394,,-836.0,64123,19587,22302,-94019,,-149049,-100161,-655.0,-249865,-343884,-233401,-156101,6354.0,-9701,-85593,-245041,,,-223592,-19224,-7910.0,-1944.0,-872,-253093,,-475650.0,,-94.0,20500.0,214756,-31309,-314687,2209866,1895179,1895179,10555.0,,,,,0.0,449.0,,,,,-2801.0,,870000.0,,,,,-200000.0,,110483.0,,
3596,2015年01月01日至2015年03月31日,,13244,13244,,,58457,6074,-2172,,5960,-3057,-12740,-507,,,,355000,,2877.0,-706595,9424,18712,-385325,,293334,-165059,-335.0,127940,-257385,-179592,-166348,,-4807,-2157,-171093,,,-168278,-10368,,,2219,-182319,,,,-105.0,0.0,194245,-23701,-182868,2209866,2026998,2026998,25778.0,,,,,0.0,451.0,-475650.0,,,,-64743.0,,870000.0,,-3252.0,,-872.0,-200000.0,,77793.0,,
3596,2014年度,,974270,974270,,,262748,21182,-8605,,26178,-14643,-118701,-2226,244247.0,,,-196535,0.0,-72266.0,32411,-96443,2065,-342997,,474506,188969,,661942,318945,563192,1537462,14323.0,-25123,-185351,1341311,,0.0,-579555,-50615,0.0,-787.0,-7019,-702048,,,0.0,,9171.0,-164591,41219,515891,1693975,2209866,2209866,50534.0,,,27780.0,,-3961.0,3909.0,323140.0,342.0,-344201.0,-21043.0,-12229.0,-1533.0,0.0,,,-63860.0,-160.0,-132000.0,,,,
3596,2014年01月01日至2014年09月30日,,731024,731024,,,202820,15210,-8454,-44617.0,19095,-11253,-89149,-1835,147480.0,,,793890,0.0,,-34689,-11171,26516,683149,,259672,47812,-965.0,306519,989668,1137148,1868172,10137.0,-19264,-155655,1703390,,0.0,-377564,-38224,0.0,1554.0,-5602,-419545,,,0.0,,8786.0,-450907,1797,834735,1693975,2528710,2528710,37883.0,,,27780.0,-91397.0,-1000.0,2451.0,-94550.0,101.0,-344201.0,-21043.0,,,,,,-1000.0,-160.0,,,,,
3596,2014年01月01日至2014年06月30日,,500347,500347,,,141262,9796,2226,,13018,-7959,-59061,-2075,122449.0,,,621572,0.0,-77038.0,423119,-27987,21498,940735,,-600868,9008,-642.0,-592502,348233,470682,971029,7536.0,-13204,-89423,875938,,0.0,-227506,-10314,,12172.0,-4180,-228377,,-111601.0,0.0,21.0,2684.0,-108896,-891,537774,1693975,2231749,2231749,25242.0,,0.0,,,-1000.0,2451.0,,,,,-20429.0,,,,,,,,,,,
