公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產減少,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 其他非流動負債減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 處分投資性不動產,　　 預付設備款增加,　　 短期借款增加,　　 償還長期借款,　　 存入保證金減少,　　　　 呆帳費用提列（轉列收入）數,　　　　 股利收入,　　 收取之股利,　　 發放現金股利,　　　　 處分投資性不動產損失（利益）,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　　　　 其他營業資產（增加）減少,　　 取得投資性不動產,　　　　 處分其他資產損失（利益）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 存入保證金增加,　　 其他非流動資產增加
1465,2016年01月01日至2016年09月30日,,65443,65443,,,34952,87,,1284,-16904,-393,-200.0,,,,,11578,-39250,20785,6320,-3640,94387,-4227,-7163,19,-68075,10734,,2903,4050,3801,-8560,,-3215,-318,,-19382,-8648,10178,75621,15423,-1675,-14840,74529,,0.0,-311000,436221,-10399,639,,-300.0,6289.0,,120365,,,0.0,,-106427,-167356,-28832,-1294,232894,231600,231600,,,-720.0,,-60929.0,0.0,,,,,,,,,,,,,18826.0,-18043.0,0.0,,-365.0
1465,2016年01月01日至2016年06月30日,,49077,49077,,,24172,49,0.0,1304,-11501,-650,-169.0,,,,,15511,-33444,18921,9427,-9148,46365,-7445,-598,-374,-70223,-31008,,2820,25628,6647,-9181,1211.0,7533,293,,22360,-8648,4557,53634,11884,-1695,-8021,55802,,0.0,-146000,261158,-7944,650,,-300.0,3878.0,947.0,110287,,,0.0,,-54260,-117176,-12192,36721,232894,269615,269615,,,-2102.0,,-62916.0,0.0,,,,,,,,55802.0,,,,,13205.0,-12591.0,0.0,,
1465,2016年01月01日至2016年03月31日,,26287,26287,,,12213,24,,754,-5667,0,-107.0,,,,,16997,-31874,9883,11726,-58752,7509,-4493,-3032,-7,-20598,-72641,,1457,6224,12462,-24506,,657,-55,,-16631,-89272,-82055,-55768,4638,-1094,-3,-52227,,,-15000,123032,-1443,0,,,2913.0,,106259,,,,,-2742,-2742,-7922,43368,232894,276262,276262,,,-1289.0,,,0.0,,,,,,,,-52227.0,,,,,7217.0,-12870.0,,,-1954.0
1465,2015年度,,150681,150681,,,49985,196,,2048,-24302,-967,-890.0,,,,,-5433,124218,-316,-8662,53745,91316,2524,12982,1191,-334365,-62800,,-13461,-92701,-1932,-18171,,-8758,412,,-142178,-204978,-178908,-28227,24170,-1733,-13428,-19218,,-101.0,-608000,606050,-7464,1305,,0.0,3066.0,0.0,-5040,,,126268.0,0.0,-49050,-143633,8725,-159166,392060,232894,232894,,0.0,0.0,,-122525.0,-135.0,,0.0,0.0,-98427.0,0.0,,,-19218.0,,,,,26070.0,-7567.0,104.0,236.0,
1465,2015年01月01日至2015年09月30日,,123889,123889,,,37398,149,,1649,-18864,-921,-872.0,,,,,9658,69419,-10592,-49947,27396,-3460,71,14097,-92,-373578,-317028,,-18744,-33967,9627,-14672,,-9678,4,,-72418,-389446,-370907,-247018,17753,-1126,-12766,-243157,,-101.0,-360000,483054,-5700,1253,,0.0,-890.0,0.0,117246,,,63609.0,0.0,-28284,-27930,19057,-134784,392060,257276,257276,,0.0,-474.0,,-63356.0,101.0,,0.0,0.0,,0.0,,,-243157.0,0.0,,,,18539.0,-4988.0,104.0,,
1465,2015年01月01日至2015年06月30日,,56179,56179,,,25230,103,97.0,1332,-12448,-1025,-736.0,,,,,83,57315,-2993,-2205,3348,1191,-1672,-897,-4610,-324642,-275082,,13430,8117,13176,-20070,,-6869,43,,6879,-268203,-255650,-199471,11722,-1145,-7337,-196231,,-11.0,-110000,217920,-4071,1025,,0.0,2504.0,,107379,,,61084.0,0.0,-51301,-51064,-11587,-151503,392060,240557,240557,,0.0,0.0,,-60842.0,-5.0,,,,,0.0,,,,,,,,12553.0,-948.0,12.0,,
1465,2015年01月01日至2015年03月31日,,34714,34714,,,12624,56,,694,-6236,-393,-582.0,,,,,1596,41912,-4505,-1015,2038,39432,143,11163,-223,-316286,-225745,,-2461,-48263,5028,-46416,,-4791,-86,,-96643,-322388,-316225,-281511,5905,-694,-2145,-278445,,,-55000,160466,-3426,393,,,1601.0,,104034,,,,0.0,-5412,-5547,-4653,-184611,392060,207449,207449,,0.0,0.0,,0.0,-135.0,,,,,0.0,,,,,,,,6163.0,346.0,,,
1465,2014年度,,172141,172141,,,54060,249,,4756,-20263,-102,,32032.0,,,0.0,-10145,-34185,37825,-1774,-69711,30342,1176,4555,-401,-128984,-171302,,1839,48818,-2827,-1398,0.0,-15158,-4258,-15023.0,11993,-159309,-127277,44864,20620,-5477,-14718,46669,,,-570000,623457,-12531,102,0.0,-34.0,20015.0,2769.0,77209,,,125339.0,-29.0,-16829,-121581,24407,26704,365356,392060,392060,0.0,16443.0,-3012.0,,-186892.0,0.0,0.0,-1380.0,1380.0,-43170.0,-4765.0,,,46669.0,,,-523.0,,,,,,
1465,2014年01月01日至2014年09月30日,,133071,133071,,,41140,193,,3931,-14966,0,-407.0,23746.0,,,0.0,-8654,-15229,33408,-1695,-53019,8088,-14030,6495,-7059,-290039,-341792,,-8641,23644,5702,-22598,0.0,-24754,-4120,-12447.0,-43214,-385006,-361260,-228189,14354,-3613,-8729,-224797,,,-440000,459509,-7650,0,0.0,-34.0,23091.0,1603.0,50529,,,121442.0,-29.0,-34771,-33689,6022,-201935,365356,163421,163421,,,-2433.0,,-120331.0,0.0,0.0,-1380.0,1380.0,0.0,-4765.0,,,-224797.0,-58.0,16443.0,,,,,,,
1465,2014年01月01日至2014年06月30日,,100088,100088,,,28311,130,,2134,-9628,0,-322.0,15860.0,,,0.0,-7701,-6124,16872,-22049,-24804,-33121,-2664,-12512,-1933,-275774,-369810,,34631,27857,-1896,-8969,0.0,-14286,-4222,-7360.0,25755,-344055,-328195,-228107,8874,-2476,-8009,-229718,,,-255000,302610,-4058,0,0.0,-34.0,23639.0,,81229,,,118344.0,-29.0,-31185,-30132,-5154,-183775,365356,181581,181581,,16443.0,-2371.0,,-117262.0,0.0,,,,,-4765.0,,,-229718.0,,,,,,,,,
