公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 處分無形資產,　　 取得投資性不動產,　　 應收款項減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 應付款項增加,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分子公司,　　 存出保證金增加,　　 應付款項減少,　　 應收款項增加,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 對子公司之收購（扣除所取得之現金）,　　　　 非金融資產減損迴轉利益,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 停業單位稅前淨利（淨損）,　　 存出保證金減少,　　 預付設備款增加,　　　　 買回應付公司債損失（利益）,　　 取得採用權益法之投資,　　 取得待出售非流動資產,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預付費用（增加）減少,　　 預付設備款減少
2371,2015年01月01日至2015年09月30日,,-7041258,-7041258,,,8286665,379180,41053.0,-79850,3223032,-668071,-55809.0,-341478,-1454361,-37038,116143.0,9409466.0,,,-123257,1970051,-137411,755033.0,-164461,1914307,68108,-15137,-91496,-380924,3794813,,-134088,-357652,70,1076435,-87520,-1964254,262.0,135108,-329356.0,32650,-1628345,2166468,11575934,4534676,323678,52658.0,-3135666,-482560,1292786,,-4000,215416,-10947708.0,4721748.0,0.0,0.0,4672.0,61640.0,-5105684,3098321,-257733,71925,-340264.0,-2002.0,0.0,-8483669,,0.0,-653520.0,-2596258,0.0,-600000,12062225,-8452398,21566.0,0.0,44620,0.0,40625.0,-813271,-946411,-160078,-8297372,30140282,21842910,21842910,,,,,,,,,,,,,,,,,,,,,,,,,,
2371,2015年01月01日至2015年06月30日,,-3196076,-3196076,,,5633569,279303,,25344,2148066,-452368,-20157.0,-208863,-1453734,-30679,99626.0,6020107.0,,,-48817,4059972,-493795,569556.0,-669217,1987796,210746,87036,-70780,-505309,5127188,,-264465,-2080936,124949,-579525,-93583,-2171832,262.0,208164,-229367.0,141543,-4944790,182398,6202505,3006429,217283,19803.0,-1998284,-583851,661380,,-4000,210786,-8764216.0,4154979.0,0.0,,4672.0,61640.0,-3123459,2842077,-196455,71925,-46828.0,29406.0,0.0,-4759473,,,-730763.0,-1377275,,-300000,11173023,-6780095,14244.0,0.0,56918,,,2931,2058983,-442363,-2481473,30140282,27658809,27658809,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2371,2015年01月01日至2015年03月31日,,-1592779,-1592779,,,2813491,140006,,13325,1047675,-214826,,-107352,-6750,-7667,,3677902.0,,,-22033,2493043,-146055,251954.0,-65509,1482771,386253,40987,-49824,-136760,4234827,,-197334,-1477887,-7555,-1155664,-37459,-450314,221.0,87967,-144938.0,89252,-3293711,941116,4619018,3026239,96276,,-894998,-204030,2023487,,0,100,-7961391.0,2823617.0,,,,61640.0,-1493677,55742,-165543,0,,31387.0,0.0,-6648125,,0.0,-1018611.0,0,,-300000,8588000,-3018789,11701.0,0.0,88395,,,1664,4381049,-478564,-722153,30140282,29418129,29418129,0.0,,0.0,0.0,28689.0,,,,,,,,,,,,,,,,,,,,,
2371,2014年度,,-2405164,-2405164,,,10558621,555416,308864.0,-220810,3598543,-434967,-65267.0,-622182,-172838,-419229,427005.0,,,,126809,-1008961,98607,611430.0,753350,59613,-547300,355317,-555479,1012796,852874,,138236,44476,-457289,-431229,-57378,-803469,-199.0,-56274,,-743477,-2886413,-2033539,11497902,9092738,347162,668661.0,-3527207,-776896,5804458,,-242293,727899,,,-232358.0,42576.0,530348.0,121730.0,-4797792,1402661,-466134,2496,-1628.0,0.0,-94814.0,-10913168,,-1665771.0,,0,1500000.0,-6254746,30166171,-13379541,378407.0,,38185,138457.0,468708.0,-286446,11649116,406771,6947177,23193105,30140282,30140282,0.0,,,-27404.0,545692.0,,18285.0,0.0,13531441.0,-53308.0,-519810.0,-18387215.0,10508760.0,0.0,,,,,,,,,,,,
2371,2014年01月01日至2014年09月30日,,975409,975409,,,7817442,406715,139470.0,12207,2522859,-309033,-63616.0,-457465,94023,-410900,35438.0,9787140.0,,,81314,-577237,168627,83963.0,913713,-1410030,-557536,231920,-228353,363317,-930302,,160619,3816,-460855,-350731,-23780,-471837,-1057.0,52145,-304271.0,-666613,-2062564,-2992866,6794274,7769683,221228,63616.0,-2438490,-656859,4959178,,-381805,880871,-12776728.0,7454495.0,-326669.0,7532.0,0.0,121730.0,-3596373,928539,-409604,3543,0.0,25368.0,-94814.0,-8163915,,3362045.0,0.0,-1876926,1500000.0,-6353026,17839592,-9533171,0.0,-7553.0,6347,138457.0,468708.0,-308403,5236070,357251,2388584,23193105,25581689,25581689,,,,,,,,,,,,,,,,,,,,,,,,,,
2371,2014年01月01日至2014年06月30日,,2459095,2459095,,,5156919,275342,,59793,1638404,-212722,-46062.0,-323602,-78611,-332994,28583.0,6165050.0,,,81007,-744299,-541749,-157795.0,979593,-151564,-392296,104471,-265426,729242,-358816,,106971,-350326,-424306,-1330634,1606,59374,3837.0,196551,-222224.0,-718411,-2677562,-3036378,3128672,5587767,179241,15633.0,-1689412,-451135,3642094,,-352798,574082,-6837540.0,5777040.0,-229156.0,,0.0,121730.0,-2082194,240239,-176044,1454,0.0,21889.0,-94814.0,-2632404,,,-3549510.0,-3132753,,-4543528,13626378,-2974101,0.0,-805.0,0,,,-30744,-605076,158265,562879,23193105,23755984,23755984,476144.0,-72436.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,
2371,2014年01月01日至2014年03月31日,,927011,927011,,,2589186,134347,,-36873,804533,-92634,,-141425,-307,-118006,,3138821.0,,,-205086,-1591257,-34494,-254438.0,379820,1450855,-271230,226075,-49680,204616,-144819,,178638,-862844,-142450,-962159,19451,-469762,135242.0,-91859,-120990.0,116598,-2200135,-2344954,793867,1720878,86403,,-1169115,-98930,539236,,-50254,145684,-6904768.0,4378214.0,,,,121730.0,-853664,25311,-87682,169,,0.0,-94814.0,-2846996,,6481244.0,0.0,-4212199,,-4543526,11493602,-1605181,0.0,-6436.0,0,,,0,7607497,324010,5623747,23193105,28816852,28816852,477438.0,,-7.0,-4360.0,0.0,,,,,,,,,,,,,,,,,,,,,
2371,2013年度,,-4944175,-4944175,,,13141041,1029246,0.0,-92670,3179873,-362090,-57164.0,-80669,-61918,-1040387,1390264.0,,,,101242,-195818,469383,-1198982.0,-1117185,629778,49908,220933,-366670,377563,-1025199,,99833,734902,96924,120695,-268315,51383,0.0,250306,,-282221,234234,-790965,14773535,9829360,368175,219810.0,-3754807,-854366,5808172,,-131440,626296,,,-3721.0,171589.0,1236112.0,-109784.0,-4804130,292953,-321376,41831,-2501.0,67310.0,0.0,-3448905,,2203529.0,,-901276,0.0,0,12363463,-23361989,23735.0,,214,0.0,0.0,611153,-4770001,1202817,-1207917,24401022,23193105,23193105,1896290.0,,,0.0,4291170.0,,17444.0,-1498470.0,15564500.0,4649.0,-569273.0,-11809812.0,7844957.0,1556521.0,,,,,,,,,,,,
2371,2013年01月01日至2013年12月31日,,-4944175,-4944175,,,13141041,1029246,,-92670,3179873,-362090,-57164.0,-80669,-61918,-1040387,1390264.0,,,,101242,-195818,469383,-1198982.0,-1117185,771681,49908,220933,-366670,235660,-1025199,,99833,734902,96924,120695,-268315,51383,,250306,,-282221,234234,-790965,14773535,9829360,368175,219810.0,-3754807,-854366,5808172,,-131440,626296,,,-3721.0,171589.0,1236112.0,,-4804130,292953,-321376,41831,-2501.0,67310.0,,-3448905,,2203529.0,0.0,-901276,,0,12363463,-23361989,23735.0,0.0,214,,,611153,-4770001,1202817,-1207917,24401022,23193105,23193105,1896290.0,,0.0,,4291170.0,,17444.0,-1498470.0,15564500.0,4649.0,-569273.0,-11809812.0,7844957.0,1556521.0,,,0.0,,,0.0,0.0,-109784.0,,,,
2371,2013年01月01日至2013年09月30日,,-4682148,-4682148,,,10447808,728553,0.0,-113417,2341436,-238115,-55030.0,-294105,-65056,1324074,0.0,,,,166487,-1583930,492558,-825465.0,-627779,2724689,4881,271595,144510,712143,1479689,,207933,-149505,-237456,-909474,-377308,-217702,-75775.0,266684,,-323990,-2158474,-678785,11773370,7091222,239153,55030.0,-2108245,-590813,4686347,,-12238,404349,,,-3719.0,27432.0,,0.0,-3230617,475355,-243027,3389,-2502.0,75817.0,0.0,-2882345,,1231601.0,,0,0.0,0,6395427,-14624739,,2656.0,219,0.0,0.0,-298119,-3816069,-169105,-2181172,24401022,22219850,22219850,2087091.0,,,,3476886.0,,,-1498470.0,12452155.0,,-341881.0,-9863937.0,5843741.0,1556521.0,-125523.0,0.0,,,,,,,,,,
